SOSR_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
SOSR101,114445,118028,86544,48251,233120,288002,69729,156325,22207,1136652,198,489,458,283,544,404,117,199,33,2724,37,63,66,47,206,241,58,139,0,858,3390,4956,4245,2569,10835,8315,2115,2843,262,39530,236,257,320,233,1563,1263,287,510,15,4678,4330,4984,3592,1645,4821,5881,1065,2189,334,28847,1936,2617,2669,1770,8347,7557,1668,2514,132,29221,20925,21494,15518,7395,16117,11368,2510,4138,1035,100490,17210,19279,8122,2888,4380,3117,682,1403,681,57773,3015,3180,3365,1658,7138,6305,1389,2061,277,28395,1474,1488,1587,1212,5260,6229,1450,3332,122,22158,3634,3359,5617,4774,20737,23247,4973,9408,425,76172,1427,2747,2235,1348,4758,4946,1113,1800,164,20540,5484,12004,12107,7361,24178,30173,7026,12771,626,111723,4637,6456,5249,2382,7170,5891,1121,1759,340,35001,3939,3164,5353,2467,20403,11568,3228,4340,328,54781,10729,23486,17424,11736,26125,21117,6238,14623,891,132355,16573,35384,37142,24172,45533,38078,6484,11828,1861,217049,4786,2626,1793,893,2342,2025,463,768,126,15821,9729,5357,3617,1757,4847,3377,760,1162,305,30907
SOSR102,16991,27916,18256,13007,52100,60504,17701,33569,3790,243837,48,161,119,68,117,81,31,43,13,681,48,37,90,36,148,166,65,129,9,731,378,1102,838,558,1573,1212,385,455,36,6541,49,79,121,75,358,226,50,81,4,1049,485,1274,996,508,1040,1103,193,379,71,6048,178,408,387,238,698,560,117,164,9,2763,4022,7747,4912,2518,3824,1927,518,667,231,26372,4133,8008,2816,1051,1444,867,233,442,229,19228,346,676,546,249,719,660,162,270,26,3663,200,291,255,155,618,392,84,188,10,2183,525,635,1252,822,3019,1845,445,571,48,9163,212,482,456,270,1044,713,174,285,12,3647,761,2170,2217,1432,3103,2606,617,1040,62,14007,790,2250,1333,670,1463,897,197,318,79,7985,1232,958,2038,1077,5903,2944,1038,1090,74,16365,2363,5639,4972,3341,6151,4715,1639,3434,152,32406,4940,10786,13373,10139,13124,10491,1939,3231,502,68518,737,796,446,215,386,308,64,130,31,3103,2144,1854,1295,648,1372,797,197,286,80,8684
SOSR111,1778,4533,3272,2470,9930,10921,3778,7304,754,44728,20,82,73,49,105,54,20,33,8,446,15,12,25,9,70,54,24,65,3,283,67,224,181,141,374,293,84,110,6,1488,6,11,8,8,52,55,15,21,0,177,40,182,180,109,259,257,51,87,7,1184,18,83,72,46,129,98,22,34,0,500,395,1677,1156,581,974,454,126,166,43,5567,381,1662,638,287,398,277,76,158,37,3917,47,131,113,53,139,159,45,76,9,770,18,48,34,20,80,43,13,16,0,270,67,76,142,109,358,213,53,58,7,1087,22,64,69,51,195,124,30,45,3,605,63,277,355,224,487,333,78,140,3,1958,96,455,301,157,388,194,43,70,28,1740,216,190,353,207,985,492,164,171,11,2781,319,956,896,697,1024,786,345,695,34,5756,782,1837,2442,2036,2624,1831,377,634,114,12671,42,148,70,27,56,47,7,14,0,421,125,423,318,195,302,192,51,76,14,1692
SOSR112,4681,12216,8386,6409,26211,27098,8891,18579,2094,114568,56,247,195,110,288,213,47,88,12,1250,31,25,28,8,53,79,46,143,3,429,197,622,442,347,1053,928,213,258,32,4098,23,29,61,44,217,193,37,57,5,660,89,436,401,237,491,426,105,174,24,2380,60,145,155,121,301,250,59,80,7,1191,936,4072,2679,1430,2415,1232,363,427,144,13693,1116,3960,1755,755,1102,657,197,416,145,10099,109,287,260,144,331,264,79,113,9,1605,65,120,118,53,235,129,48,61,7,840,132,151,308,211,711,450,111,158,15,2251,85,170,175,119,504,278,66,122,13,1534,211,771,782,525,1301,761,242,386,31,5024,304,1140,672,342,807,416,80,167,40,3969,495,455,746,413,2787,1249,398,436,48,7025,849,2543,2309,1784,3458,2423,1000,1884,76,16323,1921,4453,5909,4840,7310,5542,1098,1730,289,33085,136,429,232,111,206,114,50,72,4,1354,323,961,731,472,837,524,133,197,38,4209
SOSR113,2360,5511,3695,2806,9958,10682,3525,7909,1068,47508,22,70,70,41,81,48,20,28,5,389,56,31,57,30,78,143,111,218,12,737,52,218,179,119,234,165,32,68,11,1080,9,20,26,17,88,53,10,19,0,237,54,233,167,91,217,181,39,87,11,1082,23,77,64,42,127,89,23,38,0,482,454,1777,1294,677,946,527,140,158,76,6043,644,2269,857,381,529,290,77,181,91,5324,43,154,110,63,128,94,23,61,11,685,16,67,49,24,69,45,11,21,0,296,50,84,153,101,301,172,34,59,0,949,29,90,76,63,265,141,32,42,4,747,87,366,327,207,440,337,85,136,17,2009,158,647,366,168,347,223,47,110,32,2109,224,205,329,170,1073,491,128,133,13,2774,312,939,958,717,954,768,300,629,39,5616,790,1735,2449,1791,2365,1765,378,617,133,12022,56,170,96,48,94,56,11,29,10,573,122,436,346,196,314,219,52,77,21,1783
SOSR114,2420,5533,3900,3173,11800,12938,4166,9661,1143,54731,50,187,176,95,207,191,40,107,11,1076,17,11,23,5,30,56,46,104,0,301,71,299,235,191,491,409,100,124,10,1929,16,12,22,33,105,67,20,13,3,290,78,266,216,106,197,222,41,69,15,1205,31,111,77,61,174,154,33,49,4,694,468,1928,1322,746,1190,601,180,278,71,6784,473,2001,907,391,528,355,86,271,81,5102,58,169,169,92,206,148,46,72,10,978,29,43,53,23,80,48,15,21,0,323,75,99,160,127,343,210,47,75,7,1140,29,82,78,71,272,144,35,66,8,781,127,398,394,282,627,449,119,209,19,2614,125,659,325,151,319,214,42,95,34,1958,313,219,415,240,1450,690,212,235,34,3809,392,1140,1153,912,1421,1119,515,900,51,7609,902,1923,2633,2066,2761,1865,374,666,119,13316,60,158,106,36,92,75,23,43,3,595,202,426,378,199,390,238,48,89,22,1994
SOSR115,4061,8109,5760,4357,15226,17913,5608,13403,1708,76136,64,302,222,145,251,222,36,139,30,1415,39,31,36,16,60,84,46,181,10,501,132,463,333,221,549,462,128,145,21,2449,22,33,40,24,96,69,6,33,0,329,141,445,311,162,303,313,51,133,29,1886,31,130,117,95,239,205,48,64,11,937,642,2547,1821,983,1429,761,238,339,103,8864,832,2891,1190,524,685,434,133,424,103,7219,78,278,275,114,224,189,70,135,10,1373,29,88,87,50,130,63,23,50,6,529,99,139,252,142,373,251,50,97,12,1404,42,137,138,94,339,197,42,92,8,1090,173,642,594,412,710,534,148,262,26,3505,204,898,470,231,401,276,71,145,32,2745,416,380,615,376,1929,857,275,310,51,5198,620,1726,1651,1423,1889,1518,640,1338,87,10886,1227,2835,3726,2838,3438,2572,526,898,200,18259,112,241,196,76,160,124,22,59,12,1008,283,632,459,251,459,311,77,106,40,2622
SOSR121,1156,2377,1644,1219,4286,5171,1434,3843,484,21611,20,103,59,39,50,42,17,43,3,388,10,8,5,7,16,19,9,23,0,94,24,130,89,62,133,109,28,43,7,626,6,12,11,8,23,17,7,8,0,91,29,160,105,62,84,98,20,41,6,610,13,45,24,22,57,44,12,17,0,234,160,737,477,270,377,211,62,93,27,2415,245,795,330,127,150,124,29,100,34,1939,23,95,91,41,74,51,17,37,3,438,5,18,24,10,31,21,3,10,0,128,19,38,69,49,102,79,12,38,0,416,15,39,28,16,91,60,14,24,0,294,53,208,198,121,184,148,38,94,4,1031,65,226,126,66,115,69,20,35,9,728,101,102,180,85,460,226,60,62,14,1297,180,533,522,374,548,455,176,393,24,3206,332,797,1086,758,908,743,138,259,50,5067,22,88,44,19,27,15,4,21,0,242,89,161,131,78,130,86,29,39,10,756
SOSR122,580,1094,876,623,1950,2426,762,1864,285,10456,12,43,36,17,33,49,7,30,3,240,6,0,0,4,8,5,4,13,0,34,7,52,37,27,77,74,11,26,0,317,0,10,4,4,16,11,4,0,0,61,17,62,46,26,58,49,10,25,4,294,11,16,17,13,35,35,6,14,0,144,74,284,216,112,197,91,27,60,3,1072,79,433,174,62,85,65,23,77,11,1004,16,71,35,17,30,35,7,30,7,244,3,9,7,3,14,10,3,4,0,59,6,17,48,15,52,35,5,25,0,201,7,14,5,11,29,8,4,4,0,96,22,76,79,53,91,73,10,39,3,449,32,147,66,32,54,40,10,18,10,405,66,44,85,39,263,103,31,39,5,685,97,224,237,196,238,171,76,166,20,1418,174,410,441,371,399,330,66,107,25,2329,12,37,30,10,19,18,8,18,0,157,23,79,57,38,59,38,7,10,12,328
SOSR131,7411,14216,9972,7421,21111,31948,10086,38495,3545,144209,416,2576,2216,1316,1305,2356,620,3541,357,14706,69,61,87,48,114,173,101,229,11,905,247,821,577,426,786,698,184,392,47,4182,24,67,92,53,160,147,32,64,4,650,379,1151,902,410,743,795,132,297,66,4885,93,311,288,205,427,401,115,218,17,2071,1019,3688,2347,1129,1701,1075,339,621,156,12082,1048,3338,1290,520,612,540,119,487,146,8106,181,606,534,233,392,425,90,273,41,2772,61,137,121,64,154,123,33,98,7,800,143,225,370,228,547,449,108,210,14,2298,103,319,278,190,472,342,85,184,21,2002,326,1277,1305,828,1263,1201,344,742,65,7349,269,1147,635,315,560,408,99,220,69,3729,600,533,872,522,2650,1406,410,607,60,7663,1085,3122,2990,2157,2922,2499,897,2200,156,18031,1737,4157,5224,3645,4029,3674,746,1362,277,24851,230,458,285,176,288,231,58,149,21,1896,531,1004,746,405,683,542,119,262,58,4362
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,152,170,146,86,224,249,75,208,66,1388,4,13,0,5,7,12,0,14,0,57,0,0,0,0,0,0,0,0,0,0,5,7,9,0,16,7,6,0,0,44,0,0,0,0,4,0,0,0,0,9,7,5,0,0,4,9,0,0,0,30,4,0,0,0,0,3,0,0,0,13,20,27,16,21,17,12,6,0,0,113,17,52,31,9,6,10,3,4,0,137,4,9,0,0,3,7,0,0,0,27,0,0,0,0,4,9,0,3,0,14,0,6,4,0,14,6,3,0,0,34,0,4,0,0,4,4,0,0,0,14,8,20,9,6,19,13,5,8,0,87,8,20,10,0,8,4,0,10,0,56,6,4,10,0,14,9,3,8,0,63,13,21,17,16,4,13,0,7,0,94,30,33,36,28,28,26,0,18,3,199,7,13,0,3,4,5,0,6,0,39,0,3,5,3,9,8,0,6,0,42
