SOSR_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOSR101,5622,5539,4761,809,1549,258,18531,913,575,838,123,271,22,2735,1504,1061,1385,233,562,57,4812,1238,993,1226,211,493,39,4199,1960,1666,1857,355,876,87,6791,2634,2622,2559,553,1217,105,9695,3484,4254,3576,847,1543,157,13867,4003,5417,4132,1047,1799,169,16567,4027,6547,3911,1128,1689,166,17467,5085,8354,4463,1363,1904,238,21397,4513,8042,3209,1115,1317,179,18376,10035,19203,8581,2312,2817,373,43315,5624,11136,3385,1099,1076,141,22463,6002,12593,3481,1014,953,169,24207,11116,23905,7053,1934,1943,280,46250,19106,46679,13571,3234,3133,444,86172,9337,24949,7314,1541,1380,189,44710,10681,32426,8619,1747,1376,199,55051,7109,14054,7043,1600,2304,357,32471,114006,230009,90972,22274,28201,3613,489084
SOSR102,1400,813,744,143,289,37,3426,407,176,213,56,90,7,947,687,311,381,91,202,13,1692,583,317,305,104,192,15,1519,961,586,560,185,309,33,2636,1170,953,860,288,478,39,3795,1442,1416,1030,431,550,53,4916,1847,2346,1381,597,740,53,6953,1863,2819,1293,644,647,56,7327,2450,3968,1561,835,746,80,9638,2036,3805,1103,578,415,40,7982,3725,6738,2208,828,667,64,14227,1924,3846,869,361,269,30,7301,1409,2893,569,226,120,22,5241,3039,6828,1637,563,397,50,12507,3212,7328,2019,507,351,41,13454,1151,2501,852,137,128,19,4777,743,1675,553,83,84,3,3144,1722,2381,1090,427,510,59,6184,31771,51691,19237,7083,7180,715,117672
SOSR111,244,138,89,35,32,13,547,85,24,43,14,7,0,176,132,49,60,18,43,4,317,121,64,61,25,39,3,312,190,127,97,64,83,11,575,336,272,160,98,95,21,975,396,507,230,131,113,10,1385,563,825,311,182,150,25,2045,527,867,293,183,115,23,2001,706,1151,300,186,120,14,2471,471,942,225,132,73,7,1847,699,1230,351,144,90,14,2529,273,586,93,50,25,3,1033,169,369,70,24,21,3,654,346,766,225,59,41,10,1443,336,672,193,47,45,3,1303,115,182,68,14,9,0,389,73,124,42,3,7,0,246,308,367,191,61,73,10,1019,6092,9255,3096,1476,1190,164,21263
SOSR112,604,305,198,57,121,19,1304,201,74,68,21,47,0,413,366,147,140,48,89,13,800,331,174,112,61,87,13,778,622,364,246,150,186,20,1597,880,728,448,270,280,25,2635,1079,1279,495,403,320,36,3613,1459,2027,653,548,430,46,5166,1384,2208,612,462,326,40,5025,1560,2655,728,428,336,36,5744,1002,2035,498,266,169,16,3995,1408,2577,804,286,207,27,5314,562,1198,252,114,73,11,2212,344,659,181,48,34,6,1265,828,1605,481,123,110,12,3162,823,1543,465,106,90,12,3042,305,476,188,34,28,0,1030,224,336,124,24,22,3,739,798,827,377,215,200,36,2455,14776,21227,7076,3668,3157,372,50280
SOSR113,323,135,90,34,52,12,648,135,34,45,10,21,0,248,232,87,56,37,84,7,488,221,90,75,48,53,6,485,349,231,131,108,107,9,938,437,354,196,153,139,15,1284,539,568,235,180,163,13,1698,634,753,326,221,172,21,2124,580,749,247,177,129,17,1895,611,919,283,173,124,5,2127,366,671,148,90,49,8,1333,572,971,289,123,98,7,2051,220,459,99,43,33,3,859,131,243,72,22,13,0,483,328,697,191,66,42,4,1324,321,690,203,58,49,6,1326,157,207,102,16,16,0,500,106,138,48,8,19,0,321,389,391,179,103,84,11,1152,6650,8374,3012,1675,1449,137,21303
SOSR114,308,123,98,42,59,12,633,106,28,36,12,25,8,205,217,88,80,27,61,3,475,188,105,71,50,54,6,477,408,315,145,109,108,12,1088,571,573,233,177,149,17,1720,688,836,264,208,181,21,2197,738,1021,334,222,161,15,2498,622,1011,302,160,114,7,2217,673,1077,329,163,129,12,2384,386,793,236,101,76,8,1599,648,1197,348,126,112,8,2437,270,606,134,57,22,4,1091,192,420,73,22,22,0,722,460,1000,224,65,46,7,1802,502,1065,247,81,34,10,1939,159,328,89,16,17,0,610,100,168,59,15,10,4,355,458,480,200,94,112,11,1355,7705,11208,3496,1731,1508,168,25811
SOSR115,557,190,159,57,85,19,1067,186,50,46,26,38,10,353,407,166,127,73,102,14,895,363,186,123,84,108,12,875,653,497,247,184,167,17,1768,884,818,339,254,209,19,2528,885,1060,391,255,229,24,2838,990,1367,481,296,246,30,3402,850,1286,429,252,170,15,2994,874,1409,415,260,170,15,3141,584,1171,291,124,108,8,2285,1013,1662,477,193,129,16,3490,388,834,161,79,42,4,1512,307,534,122,39,24,5,1030,813,1489,341,124,85,11,2858,790,1538,375,113,79,5,2908,265,419,157,37,32,3,915,203,277,103,25,21,0,633,632,658,284,159,163,17,1915,11655,15603,5063,2625,2213,245,37401
SOSR121,174,61,49,13,34,0,336,57,17,22,10,11,0,124,137,48,47,21,19,9,281,90,69,37,18,28,3,249,216,137,74,42,47,7,519,243,203,111,58,41,0,658,259,258,137,59,69,0,783,315,426,144,84,81,7,1054,228,363,118,79,59,4,849,302,452,142,77,34,4,1017,199,344,94,53,21,9,716,285,557,189,63,55,4,1150,142,273,61,23,10,0,515,85,163,52,12,7,0,327,206,475,144,36,23,6,890,263,515,174,33,25,0,1028,101,176,47,9,9,0,350,74,107,30,12,3,0,232,196,232,124,54,43,7,656,3582,4893,1794,769,632,58,11728
SOSR122,66,26,23,12,17,9,156,34,10,14,8,12,3,78,90,38,27,10,24,0,194,60,50,26,18,14,3,177,141,98,34,29,30,3,330,132,129,51,44,27,0,380,144,161,52,50,37,0,444,167,199,63,47,26,5,496,117,164,60,32,16,0,396,121,200,67,25,23,0,435,95,128,28,21,5,0,278,122,193,77,28,14,0,435,43,75,21,10,11,0,154,34,57,15,0,4,0,108,78,157,49,7,4,0,302,95,204,61,16,11,0,388,43,46,26,10,7,0,138,40,51,14,0,0,0,101,102,101,47,22,26,3,295,1726,2076,765,380,320,28,5290
SOSR131,1485,916,586,106,165,15,3279,254,128,80,22,43,0,532,548,214,227,56,98,7,1147,509,247,193,62,68,11,1097,819,489,361,114,151,16,1958,1025,788,459,142,178,8,2602,1222,1059,609,165,178,19,3258,1376,1486,723,206,210,16,4014,1062,1398,632,179,152,16,3433,1268,1690,749,203,184,20,4118,827,1383,437,124,117,4,2887,1676,2537,1111,213,186,14,5751,591,1151,360,96,65,0,2266,536,939,311,54,36,0,1881,1253,2196,779,160,128,11,4525,1920,3303,1286,230,165,16,6925,874,1589,601,84,78,4,3230,945,1723,744,122,82,16,3623,1505,1528,842,205,222,19,4315,19698,24769,11091,2543,2507,221,60836
