SOSR_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SOSR101,3975,5821,4847,2634,8660,7930,1319,2401,7699,45290,117668,159210,135334,79211,223968,199031,44047,80183,15653,1054301,460,1048,901,501,1233,1247,362,827,92,6667,223,194,175,98,656,940,264,876,24,3435,9150,10313,9004,5549,32392,28432,7984,12996,876,116697,957,809,719,563,4804,5367,1343,2758,121,17441,38060,18081,12852,6594,20358,39104,8075,21152,2798,167067,3986,5512,5144,3326,20143,20552,4918,8962,373,72913,30747,37981,27896,13130,33086,27461,6414,12113,2118,190947,32613,37142,16679,6028,10159,7865,1928,4472,1609,118498,11068,10871,11740,5883,23932,26009,7237,14650,1616,113011,2951,3307,2951,2052,13341,17294,3939,8919,361,55114,5083,5785,8040,7268,40964,53753,12267,28367,938,162467,2616,5050,3839,2229,8874,11139,2780,6132,351,43011,8933,20814,19215,11826,51456,80551,17243,39332,1513,250883,9227,11894,9773,4352,13851,13219,2534,4686,809,70347,7565,5867,7905,3961,42630,28692,9152,11799,898,118468,14729,32803,21120,14085,38633,31842,9266,21579,1251,185311,20256,43232,44364,29688,62366,55213,10041,20720,2489,288363,9214,4715,3185,1732,5190,5201,1084,2323,288,32926
SOSR102,588,1196,891,498,1056,814,125,280,1323,6777,24181,46548,39346,24561,47160,33327,8273,13495,3010,239908,117,344,249,178,342,369,97,239,25,1968,405,141,231,135,1462,2064,826,1856,65,7185,1182,2032,1667,1257,7093,7056,2767,3456,170,26682,233,205,240,221,1584,1574,474,857,33,5421,3857,4494,3760,2671,8073,15312,3271,7375,672,49490,418,846,699,480,2224,2497,744,1346,46,9297,5470,12347,7516,4012,7588,4917,1437,2233,443,45957,7115,14119,4832,1904,3011,2049,580,1266,405,35284,1398,1971,1647,935,3493,3981,1482,3400,226,18534,410,571,440,303,1448,1357,335,717,31,5609,685,873,1495,1010,4803,3699,955,1638,72,15239,356,808,655,398,1614,1504,443,941,34,6757,1206,3465,3232,2299,6424,7742,1930,3968,120,30380,1447,3754,2232,1243,2853,2230,504,902,139,15306,2422,1676,2752,1613,12607,7669,3030,2961,207,34935,3019,7511,5926,4163,9297,7434,2466,5258,205,45280,5899,12878,15768,12238,17659,14961,2940,5238,661,88238,1391,1414,733,409,908,848,158,399,68,6325
SOSR111,59,247,154,82,184,149,39,66,242,1213,2806,8796,7582,5095,9192,6100,1663,2728,577,44538,48,171,168,114,295,237,80,173,29,1310,137,46,96,38,390,604,324,864,22,2527,183,366,340,280,1536,1578,632,798,40,5746,31,29,20,28,259,307,102,160,9,945,236,514,505,441,1676,2599,731,1461,94,8259,49,142,125,91,476,570,220,376,12,2057,560,2575,1610,908,1874,1097,361,517,80,9570,615,2716,1062,486,846,560,192,417,73,6965,190,338,332,202,621,769,279,875,34,3642,37,77,57,29,187,140,30,63,5,625,97,102,172,137,553,410,112,176,8,1759,38,98,93,83,307,233,86,177,7,1125,103,431,491,341,922,920,250,528,10,4004,148,722,503,289,695,431,125,238,41,3192,395,338,500,304,2037,1313,432,469,26,5814,399,1201,1070,839,1495,1194,517,1017,52,7783,931,2217,2856,2421,3421,2513,556,969,140,16034,86,259,124,52,139,124,29,56,9,869
SOSR112,205,574,372,243,530,361,56,147,715,3209,7337,21592,18332,12316,24943,16492,4425,7121,1656,114220,149,525,475,326,981,958,300,786,68,4577,205,72,105,51,461,757,472,1666,43,3830,495,1145,820,775,4074,4128,1341,1969,126,14883,113,92,125,127,883,890,250,476,23,2969,653,1292,1254,1048,3777,5865,1701,3581,255,19428,149,294,271,229,1087,1224,434,824,40,4548,1366,6218,3901,2132,4648,2946,992,1442,240,23887,1765,6673,2908,1305,2402,1571,486,1048,244,18401,447,847,791,511,1427,1496,552,1817,99,7985,119,251,190,101,569,373,123,212,8,1944,178,231,382,285,1052,968,263,515,27,3892,116,297,252,189,739,565,193,440,23,2810,327,1264,1130,811,2268,2035,625,1389,70,9915,481,1876,1165,667,1513,1058,244,539,82,7629,967,801,1071,658,6081,3556,1196,1368,119,15809,1065,3370,2797,2207,5091,3754,1514,2870,118,22791,2288,5434,7017,5953,9846,7776,1638,2738,366,43046,245,717,363,197,505,343,103,214,20,2706
SOSR113,107,267,176,100,224,150,28,75,380,1494,3314,9847,8153,5042,8881,5949,1570,2792,880,46426,64,154,161,97,236,216,75,213,27,1238,293,95,192,70,555,1191,714,2033,66,5221,175,363,327,262,1146,1032,367,573,43,4287,61,58,50,42,444,341,114,171,11,1288,362,677,604,547,1669,2522,611,1387,114,8499,58,149,114,99,408,468,157,348,4,1810,614,2657,1814,999,1846,1163,347,522,123,10086,1023,3728,1413,657,1099,660,188,467,161,9394,202,431,348,217,569,590,207,695,37,3301,41,110,54,45,153,134,36,63,0,641,68,122,189,131,442,290,65,156,4,1467,55,168,112,95,353,268,90,160,9,1311,130,550,464,317,836,850,226,455,25,3850,246,992,603,310,622,484,127,304,61,3759,450,387,476,273,2402,1472,454,534,62,6511,408,1184,1140,872,1348,1123,431,883,54,7441,958,2127,2851,2211,3102,2345,514,924,166,15189,104,293,159,85,188,137,26,97,20,1110
SOSR114,120,313,185,112,263,191,31,77,353,1641,3641,10428,9053,5945,11144,7464,2059,3561,843,54137,140,456,379,303,710,866,271,877,63,4066,122,43,64,26,207,344,309,949,33,2101,226,549,434,456,1963,1931,632,1014,68,7291,68,49,57,78,443,482,123,211,10,1534,532,818,687,597,1823,3103,814,1860,148,10383,87,210,153,120,541,657,197,414,24,2403,625,2826,1848,1067,2129,1395,449,777,116,11229,738,3152,1415,660,1075,733,209,641,142,8759,222,461,455,275,692,741,304,1020,77,4252,51,82,82,50,207,151,43,89,4,760,88,123,186,154,498,384,108,197,6,1754,49,139,110,93,367,290,81,193,11,1326,172,596,533,391,1048,1035,255,631,35,4699,218,988,537,276,601,518,109,281,58,3593,572,372,586,374,3183,1815,603,762,73,8338,492,1441,1355,1107,1950,1634,722,1290,67,10062,1025,2232,2996,2459,3519,2433,509,934,150,16254,119,256,170,79,211,198,49,102,12,1188
SOSR115,187,466,283,219,333,280,53,110,531,2465,5395,15302,12810,8389,13986,9719,2707,5047,1330,74678,206,650,566,390,976,1128,319,1174,128,5534,262,89,117,46,392,731,415,1558,64,3675,347,793,611,515,2150,2345,819,1228,83,8898,91,85,88,107,557,576,152,336,16,2002,1011,1456,1170,947,2650,4529,1108,2717,276,15860,92,283,213,179,643,774,256,500,29,2976,889,3745,2457,1368,2513,1708,552,1018,173,14417,1297,4366,1824,867,1285,934,282,938,182,11976,321,760,712,350,945,1001,390,1309,92,5873,67,153,136,91,261,206,59,169,9,1162,129,189,300,179,532,455,110,216,14,2125,77,237,201,141,468,374,104,269,14,1880,263,976,859,615,1204,1374,373,846,40,6541,364,1384,783,430,732,681,177,398,76,5020,823,642,814,547,4349,2681,935,1089,117,12000,776,2163,1945,1726,2615,2207,885,1919,105,14343,1432,3304,4247,3290,4412,3365,715,1266,254,22280,193,418,328,145,388,304,67,191,35,2067
SOSR121,53,140,96,58,117,78,10,28,131,709,1458,4443,3698,2286,3661,2690,717,1421,332,20708,65,205,138,109,229,285,100,368,29,1536,57,26,22,15,117,188,82,333,11,854,85,217,163,120,538,611,210,339,32,2313,30,24,25,26,138,171,39,94,8,551,246,443,393,316,791,1376,314,829,66,4777,29,75,50,47,186,233,62,139,14,840,217,1095,649,389,690,474,146,280,41,3980,367,1245,483,215,286,251,64,224,58,3193,118,219,228,98,269,305,112,445,30,1825,17,38,31,18,69,70,17,35,0,300,32,59,87,62,141,162,32,94,3,678,25,54,44,21,134,106,34,77,10,497,79,308,276,188,333,368,108,268,12,1939,111,374,226,121,226,196,43,115,18,1430,215,182,240,141,1105,633,194,241,30,2980,225,664,611,448,742,663,236,562,33,4185,399,939,1253,873,1231,984,189,392,59,6312,55,148,78,37,105,74,11,56,10,571
SOSR122,24,83,48,28,45,37,10,22,70,362,695,2105,1669,1086,1819,1289,344,717,180,9901,36,124,110,56,130,237,85,224,25,1032,28,7,11,4,41,65,35,151,8,352,46,89,77,74,263,334,96,160,5,1131,12,20,9,21,80,79,25,44,6,304,120,193,206,152,351,564,161,372,41,2160,24,35,41,25,102,109,29,64,10,439,113,404,307,172,338,212,65,140,9,1750,137,634,255,102,164,139,56,185,22,1696,51,124,94,50,103,174,45,226,26,896,5,20,10,7,24,36,7,15,4,138,17,24,52,22,79,62,17,43,0,316,17,31,13,16,45,36,13,35,0,202,41,118,117,86,166,176,36,125,5,857,62,211,112,62,94,99,23,56,19,726,134,83,121,79,582,328,114,101,19,1551,110,276,280,225,335,259,93,239,25,1843,203,483,516,435,512,433,96,156,37,2869,24,61,55,22,52,51,9,34,10,312
SOSR131,380,944,627,352,626,587,102,358,1070,5051,8951,25942,21811,13227,20437,18094,4741,12512,2670,128384,1090,4546,4099,2852,3719,8100,2745,18485,1030,46668,412,157,236,115,641,1287,733,2487,109,6178,642,1370,1061,887,2784,3233,1054,2391,181,13597,140,169,174,126,788,890,242,555,26,3110,2144,3099,2348,1715,4073,7877,1879,5689,514,29352,220,607,497,345,1137,1426,490,1340,55,6121,1444,5260,3172,1606,2951,2317,739,1718,253,19466,1570,5143,1915,818,1080,1019,270,1016,229,13057,617,1308,1190,589,1292,1768,609,2555,223,10146,113,241,181,99,334,371,83,308,17,1743,181,349,477,304,785,896,252,636,31,3916,171,517,419,270,675,728,211,656,47,3694,522,1969,1840,1205,2038,2674,779,2200,125,13344,486,1780,1020,599,983,1030,256,600,125,6880,1169,897,1139,791,5415,3796,1199,1789,162,16357,1352,3907,3474,2503,3902,3484,1213,3003,217,23058,2031,4887,5915,4199,5057,4715,1006,2147,334,30293,400,793,454,278,623,514,120,410,45,3634
