SOSR_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOSR101,851874,558215,731906,699730,583756,496062,366276,206084,87045,4580940,386,382,484,493,521,524,727,903,1266,5690,10380,12228,16568,11200,9033,8444,6974,4974,3588,83379,154,332,612,396,289,335,222,79,21,2438,195,676,683,406,448,538,423,141,41,3546,21,102,150,68,70,70,73,22,6,580,35,237,213,154,122,123,103,35,3,1026,14,46,65,47,37,45,53,21,3,329,10,33,48,25,27,22,19,3,0,187,50,335,207,146,102,131,92,17,3,1083,0,3,0,3,0,0,7,0,0,17,10853,13984,18550,12441,10135,9716,7954,5296,3669,92593,11235,14371,19038,12937,10660,10241,8685,6196,4932,98283,863109,572578,750942,712667,594413,506304,374958,212276,91978,4679221
SOSR102,181889,121553,127362,126364,128372,126295,109394,68892,29184,1019318,114,159,110,115,157,213,250,289,190,1605,3526,4516,4044,2978,2969,3044,2654,1637,1038,26416,27,51,85,56,66,125,216,165,14,796,87,172,198,149,193,224,187,59,16,1287,3,7,14,8,11,27,32,24,0,122,5,14,16,3,23,32,14,11,0,123,3,16,7,7,8,33,29,23,4,139,11,0,10,8,7,3,0,4,0,42,43,100,88,57,45,51,42,17,8,447,0,0,0,0,0,0,4,0,0,5,3713,4879,4463,3265,3316,3544,3177,1948,1085,29375,3824,5034,4574,3381,3474,3754,3424,2235,1276,30978,185713,126588,131936,129740,131842,130060,112821,71128,30464,1050296
SOSR111,37136,21819,24905,23647,22604,21652,19199,11566,4510,187023,32,27,37,33,29,50,62,54,31,348,766,947,871,649,591,659,588,298,179,5547,66,123,129,77,85,83,130,68,6,767,19,21,39,13,29,38,29,5,0,211,0,0,3,0,5,9,14,3,0,32,0,0,4,4,4,9,7,3,0,23,0,3,3,0,0,4,5,0,0,26,0,0,4,0,4,0,0,0,0,3,5,13,4,0,0,0,14,9,0,51,0,0,0,0,0,0,0,0,0,3,849,1123,1060,747,716,799,788,397,192,6673,884,1149,1097,778,746,849,848,453,216,7018,38014,22959,26005,24423,23346,22498,20052,12016,4732,194046
SOSR112,94602,58272,65075,58479,58655,60210,56195,36663,15775,503937,84,148,96,86,100,127,159,140,82,1026,2290,3915,3192,2212,2259,2446,2075,1172,601,20164,29,102,122,79,84,114,156,71,13,772,43,107,128,93,130,178,95,34,11,819,5,22,23,21,25,19,30,11,0,158,3,8,9,4,13,23,12,6,0,86,6,10,12,5,19,19,24,4,0,96,3,4,4,6,10,3,3,0,0,29,11,50,63,41,34,34,32,15,4,289,0,0,0,0,0,0,0,0,0,0,2396,4227,3548,2467,2577,2840,2426,1308,628,22416,2477,4373,3640,2557,2675,2960,2583,1446,716,23435,97079,62645,68721,61035,61336,63176,58778,38116,16486,527375
SOSR113,39771,23099,25790,24762,26295,29349,29018,18250,7523,223855,65,57,56,60,49,88,125,92,38,643,1061,1305,1364,1036,1115,1329,979,502,204,8892,22,51,66,42,58,103,151,43,11,549,9,45,92,50,95,87,62,10,4,449,7,35,24,22,32,35,50,13,3,216,6,5,13,3,11,10,15,0,0,71,0,0,0,7,0,11,18,10,0,53,8,4,12,8,4,0,0,0,0,33,15,21,19,24,43,60,65,21,6,271,0,0,0,0,0,3,0,0,0,3,1120,1469,1588,1201,1356,1640,1340,600,227,10541,1186,1524,1649,1257,1407,1728,1472,690,272,11175,40967,24621,27437,26015,27695,31080,30482,18942,7795,235038
SOSR114,47216,26014,28705,27835,28451,31410,31334,20979,8745,250695,52,62,54,51,61,96,121,119,56,682,990,1504,1343,1018,1144,1642,1323,561,227,9762,15,89,73,62,73,176,395,238,24,1152,37,82,134,99,149,154,110,23,7,790,9,4,15,7,15,17,13,9,0,92,0,5,14,8,15,20,19,4,0,85,3,6,0,11,14,27,32,5,5,105,3,0,4,0,4,5,5,0,0,16,28,54,67,37,49,88,66,20,5,405,5,0,0,0,0,0,0,0,0,9,1087,1748,1660,1241,1462,2128,1955,852,267,12404,1141,1801,1712,1293,1525,2228,2075,974,327,13083,48363,27821,30421,29134,29977,33634,33407,21953,9076,263785
SOSR115,63854,34305,36770,37799,41122,48702,49555,29711,11347,353170,96,96,73,102,100,171,194,174,81,1090,1593,2243,1905,1533,1867,2509,2153,829,330,14970,26,101,148,73,100,166,380,193,27,1219,30,198,153,103,134,175,110,43,0,960,6,27,34,19,23,37,27,10,0,193,3,28,26,8,6,26,23,4,0,120,4,13,24,8,3,25,33,9,3,125,0,3,3,0,3,5,3,0,0,26,52,91,96,79,91,179,142,51,0,785,0,0,0,0,0,0,0,0,0,4,1712,2709,2395,1830,2227,3129,2878,1147,366,18399,1814,2808,2467,1935,2333,3299,3072,1322,446,19487,65664,37108,39239,39737,43456,52004,52628,31035,11794,372656
SOSR121,17677,9426,8885,10270,12254,14145,13254,6533,1976,94412,28,30,25,24,24,54,40,32,13,276,532,574,489,416,465,623,626,226,55,4008,11,14,29,10,17,32,86,46,7,261,22,33,22,40,41,37,32,4,0,232,0,4,4,0,5,9,4,5,0,35,0,4,7,0,3,4,7,0,0,28,0,4,0,4,0,4,0,0,0,17,0,3,3,0,0,4,0,4,0,7,4,10,4,14,15,42,21,11,3,123,5,0,0,0,0,0,0,0,0,4,579,653,560,481,547,755,786,297,68,4725,603,686,582,504,573,810,828,328,82,5000,18278,10113,9460,10782,12827,14956,14085,6863,2060,99417
SOSR122,8053,4470,4421,4854,6214,7994,7081,3400,938,47428,24,27,11,16,30,37,41,30,3,209,589,459,461,464,567,696,553,154,38,3979,4,23,33,33,35,41,54,15,4,238,4,46,47,30,42,56,12,9,5,245,3,8,14,12,15,9,15,9,0,94,0,6,11,7,4,4,7,0,0,39,0,10,0,6,3,6,4,0,0,29,0,3,0,0,0,0,0,0,0,7,47,19,61,45,56,97,76,24,3,424,0,0,0,0,0,0,0,0,0,0,653,571,614,601,725,912,714,212,54,5051,672,595,632,615,754,948,753,241,54,5258,8730,5072,5049,5469,6971,8944,7825,3634,992,52685
SOSR131,98970,58505,47458,59601,80014,90562,73236,32412,7802,548555,158,149,158,135,173,258,279,184,44,1545,3035,4259,2834,2265,2727,3430,2990,1111,350,22996,80,217,227,141,158,223,285,88,14,1429,100,378,248,167,226,295,225,73,11,1718,11,62,49,47,35,58,67,20,0,348,5,56,40,17,18,23,54,19,4,237,0,21,21,5,21,48,55,18,0,194,0,14,7,0,5,7,5,0,0,47,101,132,150,105,92,151,126,44,8,910,0,0,0,0,0,0,0,0,0,0,3337,5135,3582,2751,3276,4236,3804,1374,388,27883,3491,5281,3740,2891,3450,4500,4081,1566,430,29427,102463,63781,51196,62494,83466,95058,77313,33977,8238,577987
