SOSR_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
SOSR101,6652,12323,13746,13885,15245,20826,31354,19980,6351,140359,4547,12038,15139,14429,14461,18125,29217,25261,14378,147608,4234,16855,24194,21352,19124,18457,19117,12155,5804,141294,2693,16601,28727,24405,21274,18528,13893,7335,2439,135894,1499,16989,35495,28328,25423,20209,11502,5318,1900,146656,710,16130,45002,33201,27960,22216,10541,3668,1199,160625,210,10241,40156,27739,22507,16516,6505,1987,689,126537,110,4340,35140,26917,21247,14443,5254,1740,627,109815,54,1660,24670,22341,17692,11248,3710,1125,398,82887,45,1130,35754,45691,33547,18634,5038,1473,531,141843,24,179,5402,11145,8911,4371,1391,485,222,32123,42,231,5597,18676,19040,8686,2818,1238,500,56834,6713,9468,24620,19665,14798,12227,11291,11393,13392,123570,126802,152436,380866,359568,304077,260048,198163,114713,56501,1953176,131761,33566,47461,43621,36738,49616,42313,18339,7143,410562,42214,11744,7302,8545,8159,11611,12664,5831,1935,110014,27231,24505,16729,16475,16017,22220,23828,14153,4885,166053,12070,22899,23967,21849,24293,34513,56782,40575,13207,250153,9494,22643,25494,21946,22698,29412,47471,38506,20348,238010,10976,33189,40572,31565,28720,30190,33486,21155,8735,238586
SOSR102,2106,2858,2948,2839,3429,5726,10956,7795,2080,40729,1627,3020,3487,3374,4080,6152,11537,10298,5930,49512,1457,4469,6024,5478,5574,6509,8075,5023,2537,45151,878,4680,6808,6356,6105,5953,5022,2736,893,39423,454,4464,8061,6830,7088,6320,3577,1563,602,38952,198,3285,8818,7545,7751,6601,2866,843,302,38201,55,1775,7002,6038,5710,4345,1454,394,148,26931,19,687,5758,5165,5116,3496,1081,410,173,21912,7,217,3703,4115,3953,2514,662,178,70,15431,11,168,3785,6500,6521,3620,784,207,46,21644,5,19,435,1012,1073,591,181,64,35,3418,22,37,370,1395,1670,978,371,213,99,5159,1618,1747,3506,3221,2885,2937,3581,4277,4535,28316,29980,32608,67067,66817,67991,68238,60452,38742,19113,451009,21914,3884,5168,5007,5311,9824,7091,2804,1062,62062,13086,1967,1253,1460,1718,3196,3263,1463,534,27941,8178,5240,3778,3218,3511,5597,6945,4076,1160,41705,3638,5497,5448,4593,5847,9656,19461,15390,4420,73942,3367,5481,5662,5166,6508,9968,18830,16194,8519,79697,3790,8058,9004,7384,7926,10040,14238,9094,3635,73174
SOSR111,352,446,638,585,654,1046,2108,1373,339,7541,307,504,758,696,771,1121,2049,1694,892,8803,308,726,1319,1143,1054,1213,1495,913,394,8569,177,899,1542,1314,1104,1073,901,465,138,7612,104,878,1856,1469,1371,1199,675,282,116,7948,49,553,1814,1574,1588,1245,471,155,41,7497,13,305,1245,1104,1087,695,234,62,23,4760,0,120,959,889,835,570,160,83,36,3663,3,53,563,660,643,407,108,26,7,2465,0,33,499,956,952,537,115,30,11,3130,0,6,53,122,129,83,33,9,5,436,3,9,63,161,188,115,54,40,16,653,322,321,755,657,562,585,633,751,621,5209,5724,5687,13334,12628,12167,12026,10801,6687,2981,82029,3823,529,920,883,861,1626,1074,449,222,10383,2658,300,249,288,292,520,536,261,94,5205,1519,843,802,710,696,984,1323,658,205,7742,604,805,1107,967,1113,1719,3742,2736,713,13504,612,833,1194,1065,1249,1809,3425,2634,1256,14091,750,1287,1871,1549,1501,1881,2628,1552,573,13600
SOSR112,933,1192,1672,1371,1634,2760,5553,4052,1198,20357,744,1234,2035,1693,1913,3058,6010,5359,3152,25207,777,1933,3379,2645,2606,3223,4336,2881,1222,23009,537,2130,3924,3257,2924,2819,2690,1567,581,20427,315,2172,4545,3571,3559,3294,1886,919,343,20599,127,1595,4491,3746,3653,3284,1552,563,182,19199,43,888,3181,2558,2629,2099,796,241,93,12540,13,326,2384,2273,2192,1662,556,293,126,9827,5,112,1459,1618,1786,1270,347,109,45,6750,6,86,1354,2511,2763,1734,440,120,40,9066,0,6,141,317,384,301,100,41,22,1326,10,21,163,435,575,392,224,131,54,2002,1222,1187,2313,1981,1835,1786,1984,2305,2229,16843,15182,15136,34351,30854,31444,33159,31469,20989,10278,222863,10444,1604,2421,2052,2230,4102,3188,1344,528,27915,6581,756,706,675,742,1353,1680,701,282,13478,3851,2242,1995,1605,1753,2762,3538,2164,760,20668,1592,2169,2839,2366,2891,4713,9973,7988,2471,37002,1584,2143,3200,2676,3190,5063,10028,8386,4505,40776,1922,3235,4809,3814,3884,5105,7551,4901,1813,37028
SOSR113,394,441,759,723,916,1599,3129,2080,607,10640,311,440,937,896,1120,1734,3242,2675,1532,12891,305,780,1483,1388,1417,1730,2068,1285,623,11086,182,856,1689,1445,1400,1444,1272,718,248,9250,108,861,1785,1518,1566,1486,907,409,158,8802,46,473,1626,1427,1576,1440,681,234,86,7596,23,269,1071,1009,1027,825,320,117,37,4703,8,105,776,794,820,665,234,139,53,3600,0,57,494,552,651,474,132,38,12,2407,4,29,525,806,917,623,177,43,13,3140,0,3,62,160,135,116,41,11,9,534,7,10,76,173,207,177,104,61,24,843,505,433,1111,970,924,966,1100,1230,1169,8404,6018,5547,13814,13279,14165,16213,16020,10253,4991,100303,4280,531,1018,973,1057,2255,1690,690,246,12738,2731,263,285,346,369,710,837,386,120,6048,1530,901,936,829,939,1549,1970,1035,289,9978,684,833,1298,1230,1607,2779,5709,4194,1254,19585,723,804,1441,1390,1849,2926,5462,4301,2195,21092,797,1325,2112,1908,2066,2739,3764,2323,896,17929
SOSR114,411,555,741,704,910,1558,3544,2406,622,11446,329,527,943,864,980,1701,3306,3075,1814,13547,365,788,1529,1336,1348,1780,2298,1553,741,11736,270,1014,1836,1606,1473,1659,1341,873,285,10355,147,971,2005,1782,1763,1691,892,480,158,9888,52,731,1926,1730,1759,1653,733,231,79,8885,19,383,1282,1171,1224,933,343,118,39,5513,6,164,1056,989,998,740,255,138,66,4409,3,52,652,752,762,510,144,59,18,2954,0,40,694,1136,1197,701,175,55,21,4023,0,0,75,164,151,108,44,18,7,567,11,12,58,200,220,177,105,52,32,870,572,499,1173,1077,949,1089,1163,1406,1201,9124,6922,6674,15561,15020,15260,17322,17270,11893,5633,111551,4814,643,1131,994,1094,2308,1855,828,403,14076,2953,288,338,334,395,750,896,411,160,6518,1555,870,887,819,902,1592,2248,1301,405,10577,724,943,1254,1127,1573,2704,6412,4921,1399,21064,748,870,1371,1300,1633,2911,5679,4913,2566,21986,946,1345,2087,1863,1968,2882,4183,2700,1086,19062
SOSR115,513,589,978,1003,1296,2571,5627,3369,862,16815,473,606,1237,1251,1398,2606,4944,4247,2271,19035,523,1046,2024,1840,2010,2703,3384,2085,919,16534,327,1244,2414,2165,2247,2406,2164,1132,400,14501,189,1152,2547,2433,2511,2441,1427,600,224,13526,90,777,2349,2238,2476,2450,1130,352,109,11980,30,427,1607,1511,1625,1433,557,142,47,7375,14,176,1297,1294,1409,1107,414,198,88,6005,5,66,801,999,1080,841,253,43,24,4107,0,50,768,1548,1663,1090,287,69,26,5500,0,9,96,232,249,166,62,26,8,840,16,19,99,251,365,261,161,104,32,1300,815,651,1556,1574,1527,1642,2006,1995,1573,13330,9539,7943,19796,20385,22209,26907,26813,16251,7304,157150,6765,843,1416,1373,1731,3971,2886,1071,527,20590,3995,369,436,493,587,1272,1534,631,208,9534,2067,1049,1174,1104,1306,2607,3331,1755,504,14907,935,1079,1607,1623,2221,4371,10388,6994,1873,31084,1027,1083,1847,1833,2371,4393,8864,7078,3274,31763,1306,1745,2733,2536,2939,4358,6324,3866,1336,27139
SOSR121,171,143,260,262,371,673,1455,769,143,4252,139,194,330,315,456,710,1203,804,395,4544,132,249,519,503,610,750,829,408,165,4163,82,326,565,578,638,678,588,258,64,3764,47,270,548,635,684,690,384,132,37,3416,14,194,538,614,707,686,274,76,20,3131,7,96,373,400,512,402,163,27,11,1988,0,25,321,331,405,335,132,39,9,1600,0,11,183,300,341,268,67,10,0,1179,0,11,189,450,592,366,80,12,0,1692,0,0,18,63,75,53,27,10,4,253,5,6,29,89,132,85,52,17,0,417,243,165,368,400,376,464,522,401,252,3192,2804,1993,4811,5549,6590,7684,6915,3368,1199,40916,2019,242,358,422,509,1189,837,225,83,5888,1215,114,129,134,181,377,421,135,35,2735,629,265,338,324,365,748,874,403,96,4042,282,289,422,408,619,1204,2757,1656,331,7966,297,339,511,470,724,1246,2208,1426,575,7801,335,439,691,677,860,1207,1565,772,250,6796
SOSR122,58,77,143,136,202,459,760,370,73,2282,57,104,166,184,244,394,708,475,178,2516,63,126,239,215,292,413,405,180,69,2009,36,130,291,261,317,389,241,102,32,1797,26,150,271,276,335,353,176,73,28,1688,7,92,274,287,353,382,135,25,12,1564,6,51,173,186,253,200,69,19,5,965,4,24,140,141,199,156,66,23,7,762,0,10,71,125,141,132,39,3,0,521,0,5,88,188,224,153,29,7,0,698,0,0,5,34,33,34,12,4,0,125,0,5,9,34,56,49,26,9,0,185,154,90,241,245,298,317,353,204,114,2034,1247,1053,2372,2585,3328,4223,3645,1710,575,20745,958,123,190,196,257,623,418,133,43,2947,462,41,59,58,92,215,215,80,20,1238,270,176,184,171,209,459,533,226,39,2259,113,153,238,236,390,835,1500,846,160,4467,129,167,266,300,448,730,1355,820,282,4492,153,232,357,330,467,698,776,371,114,3497
SOSR131,836,934,1302,1599,2103,3724,6072,2973,548,20087,748,929,1585,1758,2322,3561,5003,3041,1098,20036,781,1359,2377,2613,3193,4017,3612,1612,452,20018,602,1613,2681,2872,3556,3768,2750,1095,227,19161,318,1666,2821,3128,4088,3932,2172,721,157,19008,163,1216,2787,3142,4276,4118,1935,508,90,18232,37,619,1911,2299,2984,2653,1157,248,49,11950,16,244,1584,2053,2788,2235,901,245,72,10144,3,93,985,1608,2271,1765,594,153,20,7494,8,54,1042,2703,3852,2576,761,166,41,11207,5,15,116,476,726,542,191,66,8,2150,9,23,188,726,1356,1045,490,177,40,4054,1751,1161,2412,2961,3595,3962,3301,1981,781,21902,17250,11874,24836,31539,41886,46587,35755,15494,4215,229449,12695,1470,2284,2682,3845,7294,5329,1983,555,38141,7160,751,761,884,1188,2381,2521,921,222,16785,3425,1641,1764,1840,2537,4496,4923,2205,496,23329,1550,1653,2163,2456,3604,6682,11923,6642,1386,38067,1817,1604,2437,2648,3795,6540,10310,5774,1772,36697,2349,2487,3384,3712,4944,6934,7339,3396,809,35354
