region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
1000,36943,728338,70257,999878
1001,3038,59179,5007,82077
1002,847,15677,1726,22463
1003,1122,16352,1515,23513
1004,666,10070,1320,15728
1005,1152,23684,2726,32480
1006,1897,21504,2156,34858
1007,372,14664,1633,18522
1008,634,11321,958,15738
1009,15310,192355,20772,304755
1010,625,15001,2144,20268
1011,2861,42942,4341,64244
1012,833,27373,2098,33992
1013,757,13740,1536,19505
1014,620,16190,1778,21485
1015,547,14581,1430,18369
1016,502,9539,1640,17900
1017,562,12753,870,16202
1018,1107,21053,1514,28285
1019,468,8601,1189,12248
1020,1087,14259,1361,21774
1021,360,8804,1174,11788
1022,1097,15892,2138,25071
1023,16483,282844,23679,398779
1024,1568,21959,3079,33343
1025,1140,26838,2674,36475
1026,284,8665,935,10945
1027,1865,28471,2607,41719
1028,655,12149,887,16134
1029,548,8133,927,12609
1030,176078,1353544,287704,4028523
1031,930,30910,3002,38736
1032,750,19553,1807,25424
1033,648,9481,967,14147
1034,1575,40127,2856,52045
1035,14907,139903,15148,268952
