region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
1000,6839,101,65,61,14,7080,4072,60,39,46,3,4220,3842,51,38,23,3,3957,7208,103,75,54,8,7448,9157,111,93,54,3,9418,19893,238,178,106,12,20427,16319,241,140,77,13,16790,17082,245,85,78,14,17504,7764,102,29,31,5,7931,6326,72,23,38,12,6471,4359,33,31,52,17,4492,6739,79,57,55,9,6939,109600,1436,853,675,113,112677
1001,373,10,18,0,0,401,261,15,27,0,0,303,248,9,25,0,0,282,507,29,44,0,0,580,743,43,91,3,0,880,2169,84,159,3,0,2415,2275,61,61,4,0,2401,1963,24,17,0,0,2004,593,8,4,0,0,605,337,0,7,0,0,344,195,3,4,0,0,202,507,15,22,0,0,544,10171,301,479,10,0,10961
1002,74,3,4,0,0,81,61,3,4,0,0,68,55,0,4,0,0,59,129,6,0,0,0,135,173,3,4,0,3,183,440,8,18,0,0,466,429,3,8,0,0,440,354,6,11,0,0,371,131,3,0,0,0,134,84,3,0,0,0,87,54,3,0,0,0,57,107,0,0,0,0,107,2091,41,53,0,3,2188
1003,91,9,9,0,0,109,47,5,8,0,0,60,36,7,0,3,0,46,81,13,10,0,0,104,105,17,14,0,0,136,255,43,31,0,0,329,241,59,34,0,0,334,378,79,36,0,0,493,172,23,16,0,0,211,178,15,8,3,0,204,92,10,3,0,0,105,91,12,11,0,0,114,1767,292,180,6,0,2245
1004,87,3,3,0,0,93,46,0,0,0,0,46,39,0,0,0,0,39,83,8,0,0,0,91,82,3,5,0,0,90,224,4,6,3,0,237,191,10,5,0,0,206,253,7,7,3,0,270,127,5,3,0,0,135,79,3,3,0,0,85,37,0,0,0,0,37,66,5,6,0,0,77,1314,48,38,6,0,1406
1005,113,4,3,0,0,120,74,7,3,0,0,84,75,9,5,0,0,89,135,10,7,0,0,152,212,18,8,0,0,238,664,31,16,0,0,711,751,29,16,0,0,796,902,20,9,0,0,931,326,3,3,0,0,332,173,0,3,0,0,176,93,0,3,0,0,96,170,3,7,0,0,180,3688,134,83,0,0,3905
1006,193,11,3,0,0,207,66,4,0,0,0,70,74,6,0,4,0,84,142,10,0,0,0,152,198,11,0,0,0,209,573,32,7,0,0,612,646,41,0,0,0,687,976,56,0,4,0,1036,459,27,0,0,0,486,381,12,0,0,0,393,270,6,0,0,0,276,228,12,0,0,0,240,4206,228,10,8,0,4452
1007,125,0,3,0,0,128,156,0,4,0,0,160,180,0,7,0,0,187,265,5,3,0,0,273,284,0,6,0,0,290,450,0,8,0,0,458,235,0,3,3,0,241,166,0,3,0,0,169,41,0,3,0,0,44,25,0,0,0,0,25,27,0,0,0,0,27,159,0,5,0,0,164,2113,5,45,3,0,2166
1008,77,6,0,0,0,83,48,0,0,0,0,48,44,0,5,0,0,49,80,0,0,0,0,80,119,5,0,0,0,124,233,4,7,6,0,250,290,8,3,0,0,301,300,3,6,0,0,309,138,3,0,0,0,141,84,0,0,0,0,84,37,0,0,0,0,37,71,6,0,0,0,77,1521,35,21,6,0,1583
1009,1291,123,67,6,0,1487,695,65,36,0,3,799,672,58,20,3,0,753,1247,85,39,6,0,1377,1665,128,42,7,3,1845,4700,339,165,10,6,5220,5958,463,190,4,3,6618,9417,459,167,3,3,10049,4457,180,51,3,3,4694,2785,111,32,0,3,2931,1393,47,17,7,0,1464,1908,99,43,6,4,2060,36188,2157,869,55,28,39297
