region_id,Sme_Usl_ad_1_yr_ago_as_2011_M,Sme_Usl_ad_1_yr_ago_as_2011_F,Sme_Usl_ad_1_yr_ago_as_2011_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1018,10533,11501,22034,702,783,1485,1214,1368,2582,20,20,40,160,187,347,13,8,21,11,15,26,11,4,15,9,9,18,7,8,15,0,0,0,1445,1619,3064,93,85,178,35,20,55,2275,2507,4782,572,538,1110,13380,14546,27926
1019,4778,4942,9720,352,378,730,283,278,561,6,5,11,27,29,56,4,0,4,3,4,7,0,0,0,4,0,4,3,0,3,0,0,0,330,316,646,13,11,24,14,6,20,709,711,1420,654,290,944,6141,5943,12084
1020,8828,9217,18045,401,435,836,799,804,1603,17,20,37,54,56,110,6,3,9,16,10,26,3,3,6,5,3,8,12,10,22,0,0,0,912,909,1821,62,75,137,25,9,34,1400,1428,2828,375,327,702,10603,10972,21575
1021,4291,4191,8482,428,485,913,431,413,844,16,14,30,98,69,167,10,3,13,34,31,65,3,0,3,18,9,27,3,0,3,0,0,0,613,539,1152,33,32,65,12,15,27,1086,1071,2157,646,316,962,6023,5578,11601
1022,9352,9989,19341,767,856,1623,761,845,1606,35,41,76,106,95,201,20,15,35,18,20,38,3,3,6,15,8,23,14,18,32,0,0,0,972,1045,2017,71,81,152,20,15,35,1830,1997,3827,872,822,1694,12054,12808,24862
1023,157933,165258,323191,5755,6236,11991,17470,18523,35993,338,324,662,818,786,1604,110,107,217,215,175,390,56,53,109,148,137,285,137,117,254,0,0,0,19292,20222,39514,1318,1404,2722,352,332,684,26717,28194,54911,8218,7429,15647,192868,200881,393749
1024,12399,13128,25527,851,905,1756,1203,1259,2462,36,51,87,97,113,210,8,13,21,33,25,58,10,4,14,13,13,26,33,42,75,3,0,3,1436,1520,2956,65,68,133,30,27,57,2382,2520,4902,1499,957,2456,16280,16605,32885
1025,13440,14394,27834,900,940,1840,1576,1712,3288,60,63,123,137,162,299,33,28,61,44,43,87,19,18,37,15,15,30,21,28,49,0,0,0,1905,2069,3974,110,111,221,30,29,59,2945,3149,6094,1038,900,1938,17423,18443,35866
1026,4146,4431,8577,366,409,775,261,252,513,11,9,20,41,43,84,3,3,6,10,9,19,5,10,15,3,5,8,5,4,9,0,0,0,339,335,674,27,22,49,4,6,10,736,772,1508,353,349,702,5235,5552,10787
1027,15342,17246,32588,1149,1309,2458,1739,1952,3691,55,63,118,174,163,337,18,20,38,27,19,46,12,15,27,12,12,24,24,25,49,0,0,0,2061,2269,4330,83,91,174,32,44,76,3325,3713,7038,865,808,1673,19532,21767,41299
1028,6363,6208,12571,588,613,1201,454,375,829,51,23,74,184,144,328,21,9,30,56,53,109,4,6,10,18,10,28,3,0,3,0,0,0,791,620,1411,55,51,106,14,4,18,1448,1288,2736,326,264,590,8137,7760,15897
1029,4905,5258,10163,333,349,682,384,451,835,10,11,21,36,38,74,0,0,0,6,6,12,0,0,0,7,4,11,16,21,37,3,0,3,462,531,993,5,7,12,13,10,23,813,897,1710,302,288,590,6020,6443,12463
1030,1578589,1639934,3218523,52432,53472,105904,161520,166477,327997,3966,3753,7719,4536,4754,9290,1097,1057,2154,1541,1560,3101,329,337,666,454,373,827,1312,1262,2574,47,27,74,174802,179600,354402,35940,40237,76177,2897,2759,5656,266071,276068,542139,113072,99865,212937,1957732,2015867,3973599
1031,14238,15265,29503,899,979,1878,1854,2034,3888,35,22,57,146,159,305,16,10,26,6,9,15,8,14,22,15,16,31,29,12,41,0,0,0,2109,2276,4385,58,72,130,53,41,94,3119,3368,6487,1126,1043,2169,18483,19676,38159
1032,9602,10631,20233,838,895,1733,757,880,1637,9,14,23,65,54,119,3,11,14,7,5,12,3,0,3,7,4,11,3,7,10,0,0,0,854,975,1829,40,37,77,36,26,62,1768,1933,3701,607,596,1203,11977,13160,25137
1033,5509,6009,11518,414,562,976,313,319,632,15,9,24,27,34,61,3,3,6,3,3,6,5,3,8,0,3,3,37,32,69,0,0,0,403,406,809,18,21,39,16,7,23,851,996,1847,323,350,673,6683,7355,14038
1034,19294,20792,40086,1132,1251,2383,2421,2782,5203,172,184,356,267,223,490,40,39,79,38,31,69,15,18,33,71,64,135,77,72,149,3,0,3,3104,3413,6517,199,208,407,55,40,95,4490,4912,9402,911,888,1799,24695,26592,51287
1035,109271,112563,221834,4593,4805,9398,9681,10154,19835,165,166,331,349,342,691,51,67,118,100,86,186,29,22,51,31,47,78,124,144,268,0,0,0,10530,11028,21558,1217,1226,2443,185,161,346,16525,17220,33745,5354,4844,10198,131150,134627,265777
