region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
1000,16175,3692,20053,150878,58938,7930,217746,516975,67293,802014
1001,1340,251,1603,13276,5183,720,19179,41709,4498,65386
1002,371,82,456,3078,1262,191,4531,12141,1523,18195
1003,755,198,956,3343,1413,201,4957,13111,1501,19569
1004,448,75,526,1938,840,91,2869,8812,1313,12994
1005,503,76,585,5102,2146,300,7548,15842,2313,25703
1006,793,202,1001,5469,2194,259,7922,18116,1981,28019
1007,356,132,491,2525,1129,106,3760,9670,1746,15176
1008,406,144,556,2057,855,114,3026,9089,1001,13116
1009,6790,2035,8890,48324,20043,2714,71081,154855,19613,245549
1010,431,58,489,3132,1477,163,4772,9537,1865,16174
1011,1271,410,1687,9776,3707,517,14000,34060,3950,52010
1012,566,96,672,5599,2351,360,8310,16211,1782,26303
1013,705,323,1034,2122,977,124,3223,11803,1742,16768
1014,418,113,534,3350,1386,155,4891,10757,1763,17411
1015,497,88,588,2616,1215,158,3989,9366,1385,14740
1016,303,101,413,2792,1020,97,3909,8506,1571,13986
1017,209,49,258,2732,1284,134,4150,7549,976,12675
1018,656,81,742,4172,1760,309,6241,15194,1440,22875
1019,248,52,300,1733,797,112,2642,6260,1146,10048
1020,611,143,754,3101,1552,161,4814,11947,1159,17920
1021,91,28,119,2084,720,85,2889,5164,1043,9096
1022,619,220,842,3425,1678,215,5318,13516,2034,20868
1023,7627,1528,9249,64021,29664,3517,97202,205616,21256,324074
1024,590,163,758,5003,2075,288,7366,16470,2823,26659
1025,652,103,759,6017,2295,338,8650,17502,2221,28373
1026,236,51,296,1692,632,112,2436,5154,827,8417
1027,1318,252,1584,6012,2479,380,8871,23079,2510,34460
1028,200,22,225,2997,982,153,4132,7563,797,12492
1029,290,71,364,1787,708,93,2588,6731,883,10202
1030,57741,12836,71481,650043,211327,23117,884487,2114875,257661,3257023
1031,707,178,893,6013,2523,305,8841,19001,2704,30546
1032,763,146,917,3547,1509,205,5261,13565,1654,20480
1033,366,126,495,1856,771,80,2707,8114,988,11809
1034,886,183,1081,8255,3211,428,11894,26634,2575,41103
1035,4649,858,5552,43207,19694,2416,65317,137756,14425,217498
