region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
1000,118814,234463,2108,11556,11724,54120,3647,16630,56319,227053,73798,309359,4320,17299,8285,25694,18752,57481,31357,100474,105155,409833,540,2450,3094,11083,1554,5721,18899,53154,24087,72408,1041,3169,3615,7619,12213,25680,16869,36468,40956,108876,3107,6487,268032,759659
1001,8316,16356,131,709,927,4252,238,1087,5096,20037,6392,26085,390,1580,712,2288,1304,4024,2406,7892,8798,33977,42,198,297,1050,155,572,1939,5220,2433,7040,136,416,421,911,1014,2117,1571,3444,4004,10484,293,607,21411,61424
1002,2105,4140,44,273,237,1102,68,288,1150,4548,1499,6211,90,373,205,669,290,881,585,1923,2084,8134,21,91,80,281,38,142,501,1368,640,1882,21,59,105,222,241,502,367,783,1007,2665,85,172,5281,15111
1003,2908,5763,33,204,214,952,68,289,1201,4666,1516,6111,84,324,217,696,340,1037,641,2057,2157,8168,17,63,95,345,31,96,520,1356,663,1860,47,133,126,261,428,889,601,1283,1264,3143,75,153,6404,17227
1004,2277,4488,21,122,136,625,45,208,667,2683,869,3638,49,213,89,273,272,836,410,1322,1279,4960,6,45,62,234,25,91,357,1029,450,1399,22,55,56,120,187,384,265,559,715,1958,39,79,4310,11485
1005,3093,6134,62,364,339,1572,104,487,1957,7877,2462,10300,133,548,268,860,533,1674,934,3082,3396,13382,22,98,120,437,59,234,717,1986,918,2755,30,89,133,279,378,783,541,1151,1459,3906,133,270,8081,23692
1006,4200,8276,87,478,396,1807,118,530,2030,8187,2631,11002,188,744,295,960,641,2019,1124,3723,3755,14725,24,101,136,467,50,166,616,1692,826,2426,49,154,153,314,490,1039,692,1507,1518,3933,101,214,9574,27148
1007,2101,4145,23,128,151,682,93,412,834,3267,1101,4489,60,242,106,322,372,1108,538,1672,1639,6161,10,59,69,249,54,182,518,1418,651,1908,21,64,69,143,306,652,396,859,1047,2767,67,145,4854,13218
1008,2465,4881,24,114,168,751,50,200,764,3071,1006,4136,55,214,112,351,284,871,451,1436,1457,5572,9,29,49,191,22,88,277,755,357,1063,22,64,70,150,196,404,288,618,645,1681,39,83,4606,12217
1009,31149,61958,663,3637,3451,15952,1186,5394,17651,69825,22951,94808,1785,7383,2722,9100,6546,20641,11053,37124,34004,131932,231,1015,1182,4179,739,2593,6558,17921,8710,25708,677,2148,1465,3166,5454,11574,7596,16888,16306,42596,1069,2181,82528,238667
1010,1861,3701,38,206,190,880,91,417,1100,4359,1419,5862,104,413,107,356,463,1470,674,2239,2093,8101,25,120,84,279,48,189,561,1547,718,2135,42,130,66,154,360,765,468,1049,1186,3184,73,144,5213,15130
1011,7489,14810,124,675,694,3208,194,899,3513,13799,4525,18581,254,1010,557,1771,1118,3420,1929,6201,6454,24782,43,193,274,980,129,480,1577,4215,2023,5868,108,321,334,724,923,1918,1365,2963,3388,8831,181,382,17512,48805
1012,3211,6324,69,388,367,1641,148,669,2126,8561,2710,11259,128,512,255,785,583,1794,966,3091,3676,14350,39,172,149,570,96,360,909,2564,1193,3666,53,168,138,301,447,949,638,1418,1831,5084,139,288,8857,26046
1013,3049,6040,10,35,147,657,51,224,708,2839,916,3755,58,210,126,404,282,867,466,1481,1382,5236,10,52,77,285,29,112,409,1097,525,1546,14,38,85,183,327,670,426,891,951,2437,66,136,5448,13849
1014,2125,4193,53,307,201,934,82,384,1196,4685,1532,6310,98,397,158,500,434,1369,690,2266,2222,8576,19,66,75,260,40,138,547,1461,681,1925,28,86,99,203,330,691,457,980,1138,2905,85,175,5570,15849
1015,1970,3882,35,184,170,791,77,343,900,3639,1182,4957,62,257,124,376,302,935,488,1568,1670,6525,14,80,88,300,46,167,559,1528,707,2075,32,98,87,190,286,594,405,882,1112,2957,84,180,4836,13544
1016,1674,3344,49,260,200,971,77,369,1168,4750,1494,6350,86,361,108,325,385,1271,579,1957,2073,8307,19,91,39,136,36,132,332,934,426,1293,27,83,49,110,235,518,311,711,737,2004,84,179,4568,13834
1017,1607,3209,43,255,166,784,96,442,949,3780,1254,5261,66,283,101,320,428,1346,595,1949,1849,7210,19,74,54,216,44,152,473,1327,590,1769,22,74,60,136,326,705,408,915,998,2684,60,129,4514,13232
1018,2738,5433,39,204,276,1264,82,408,1486,5899,1883,7775,117,492,192,633,438,1370,747,2495,2630,10270,16,81,148,519,57,209,799,2124,1020,2933,51,164,167,340,490,1033,708,1537,1728,4470,128,273,7224,20446
