region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1000,90006,7394,5443,1046,80,176,1011,105156
1001,7551,702,419,54,7,8,55,8796
1002,1817,144,86,17,4,5,13,2086
1003,1837,186,100,22,0,0,9,2154
1004,1048,124,79,13,0,5,10,1279
1005,2891,271,177,29,3,5,19,3395
1006,3265,255,187,20,0,4,24,3755
1007,1344,153,109,13,0,4,17,1640
1008,1249,117,70,6,0,5,12,1459
1009,28612,2909,1905,288,33,33,222,34002
1010,1699,198,152,20,3,3,20,2095
1011,5452,542,344,62,3,7,44,6454
1012,3114,259,203,48,5,6,39,3674
1013,1165,119,65,13,0,6,14,1382
1014,1799,227,148,19,0,4,24,2221
1015,1364,132,119,23,0,9,20,1667
1016,1840,116,76,20,3,0,18,2073
1017,1492,166,124,30,5,4,27,1848
1018,2175,232,172,31,0,6,16,2632
1019,971,99,70,11,4,5,11,1171
1020,1897,188,141,23,5,5,21,2280
1021,1100,100,111,10,0,0,11,1332
1022,2010,198,121,22,4,4,8,2367
1023,38948,3603,2247,384,32,78,284,45576
1024,2816,254,203,32,4,12,35,3356
1025,3423,288,211,33,0,11,15,3981
1026,981,77,73,7,0,3,15,1156
1027,3283,351,195,30,0,3,25,3887
1028,1774,144,125,9,0,3,12,2067
1029,939,97,68,11,3,3,25,1146
1030,474007,26912,13728,5403,255,449,1514,522268
1031,3268,317,215,36,4,5,26,3871
1032,1854,201,150,40,3,5,24,2277
1033,1031,106,86,10,4,0,11,1248
1034,4838,398,281,40,4,3,36,5600
1035,28344,2287,1393,257,19,50,170,32520
