region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
1000,86177,4427,6342,2853,125,99924,215371,5531,5099,2570,310,228881,13365,400,331,188,15,14299,10571,583,780,276,20,12230,239307,6514,6210,3034,345,255410,11564,620,863,618,78,13743,337048,11561,13415,6505,548,369077
1001,4866,748,1609,62,0,7285,17592,1050,1974,65,14,20695,757,46,104,6,0,913,950,153,307,9,3,1422,19299,1249,2385,80,17,23030,808,93,239,10,0,1150,24973,2090,4233,152,17,31465
1002,1269,158,288,15,4,1734,4468,265,505,23,6,5267,256,12,30,3,0,301,271,33,80,3,0,387,4995,310,615,29,6,5955,215,23,49,3,0,290,6479,491,952,47,10,7979
1003,1206,434,615,172,0,2427,4159,1062,824,153,6,6204,195,51,58,10,0,314,172,104,93,11,0,380,4526,1217,975,174,6,6898,191,58,78,26,0,353,5923,1709,1668,372,6,9678
1004,1105,197,228,55,0,1585,3284,258,278,36,0,3856,213,18,21,3,0,255,148,31,27,3,0,209,3645,307,326,42,0,4320,157,31,44,8,0,240,4907,535,598,105,0,6145
1005,1970,321,343,11,3,2648,6615,535,397,19,11,7577,315,21,26,3,0,365,410,59,73,3,4,549,7340,615,496,25,15,8491,285,62,50,3,0,400,9595,998,889,39,18,11539
1006,2135,360,121,31,7,2654,8245,708,99,34,7,9093,430,36,17,3,0,486,355,43,20,5,0,423,9030,787,136,42,7,10002,378,43,15,7,0,443,11543,1190,272,80,14,13099
1007,2341,33,132,9,0,2515,3822,27,121,13,3,3986,237,3,8,0,3,251,268,6,10,0,0,284,4327,36,139,13,6,4521,348,5,44,3,0,400,7016,74,315,25,6,7436
1008,1345,200,131,142,0,1818,3554,180,119,91,3,3947,206,18,11,5,3,243,132,9,13,12,0,166,3892,207,143,108,6,4356,180,21,17,10,0,228,5417,428,291,260,6,6402
1009,17861,4767,3175,661,36,26500,64347,7330,4185,430,68,76360,2752,449,263,40,6,3510,2993,542,436,70,13,4054,70092,8321,4884,540,87,83924,3057,675,514,87,6,4339,91010,13763,8573,1288,129,114763
