POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA2000,24,61,0,0,228,517,233,521,69,118,6,14,634,1555,10435,22236,0,0,11146,23920,0,0,0,0,0,0,17,29,17,29,71,119,11492,24645,3858,..,15345,24645
POA2007,5,5,4,9,338,794,341,808,0,7,227,399,1274,2561,1046,2258,0,0,2556,5230,0,0,0,0,0,0,11,32,11,32,18,29,2926,6102,606,..,3536,6102
POA2008,41,95,55,123,928,2308,984,2437,67,114,469,841,893,1566,2023,3352,3,8,3455,5882,0,0,0,0,0,0,45,74,45,74,36,52,4564,8539,954,..,5516,8539
POA2009,0,4,69,140,246,584,317,719,42,68,80,133,1759,3509,3362,7015,0,0,5233,10722,0,0,0,0,0,0,4,9,4,9,25,42,5583,11504,927,..,6510,11504
POA2010,131,315,415,861,2902,6549,3315,7403,692,1080,1327,2061,3411,5243,4127,6376,10,20,9565,14780,0,0,0,0,0,0,74,146,75,150,75,118,13158,22766,2396,..,15553,22766
POA2011,34,82,9,20,939,1703,949,1720,236,371,1384,1992,4734,6767,2630,4029,0,0,8979,13161,0,0,0,0,0,0,62,93,62,93,53,79,10068,15138,2577,..,12652,15138
POA2015,293,772,539,1168,1013,2578,1555,3751,179,347,683,1261,2396,4301,90,143,3,15,3340,6067,0,0,0,0,0,0,30,83,30,83,30,43,5248,10708,611,..,5861,10708
POA2016,82,205,333,689,1349,3432,1684,4118,195,343,1000,1604,1737,3177,1072,1594,15,27,4011,6750,0,0,0,0,0,0,69,133,69,133,33,61,5889,11271,886,..,6776,11271
POA2017,61,130,230,499,846,1989,1071,2485,115,170,680,1088,4968,9365,7174,13491,3,11,12933,24119,0,0,0,0,0,0,17,42,17,42,26,35,14103,26814,2446,..,16547,26814
POA2018,2018,5937,206,534,120,326,319,863,1127,2743,900,1844,3098,6036,576,1161,32,83,5741,11867,0,0,0,0,3,3,60,130,62,134,12,32,8159,18825,968,..,9121,18825
