POA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,3,0,7,46,6,3,4,0,0,59,0,0,3,0,6,0,0,0,0,11,0,7,29,263,46,29,18,0,0,388,5,0,0,33,8,5,4,0,0,54,0,0,0,3,0,0,0,0,0,3,0,0,0,32,6,14,4,4,0,74,0,6,23,74,16,19,15,8,6,157,0,0,7,55,17,20,22,3,0,132,0,3,3,27,9,4,5,4,0,47,0,4,30,237,28,19,15,3,0,337,6,16,257,3011,211,23,9,0,0,3527,0,0,5,48,6,11,0,0,0,73,9,17,19,128,44,32,16,12,0,273,0,7,159,228,41,27,16,0,0,485,0,0,0,12,0,4,4,0,0,27,0,0,0,9,0,3,0,0,0,17,6,14,194,969,104,84,47,41,7,1475,36,49,321,1197,183,131,73,45,9,2050,694,725,4036,16113,2398,1872,1310,625,165,27936
POA2007,0,0,4,22,0,0,0,0,0,31,0,0,0,0,4,0,0,0,0,6,0,5,19,66,19,10,6,0,0,116,0,0,0,10,0,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,3,0,20,0,0,8,26,4,8,0,0,0,46,0,0,8,13,0,0,0,0,0,25,0,4,5,13,3,0,0,0,0,24,0,3,21,78,6,0,0,0,0,111,0,4,28,434,43,15,3,0,0,529,0,0,0,41,0,6,5,0,0,55,7,9,7,27,6,6,0,0,0,68,0,0,44,57,5,10,10,0,4,130,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,5,61,404,40,17,5,0,0,539,14,19,123,254,32,41,24,6,5,528,219,266,1528,3937,600,389,292,122,56,7410
POA2008,0,0,11,12,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,11,0,5,20,83,5,9,5,0,0,117,0,0,3,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,17,6,0,0,0,0,29,0,0,37,49,7,5,4,0,0,106,0,0,9,23,4,6,5,0,0,39,0,0,11,28,0,0,0,0,0,42,0,0,27,74,3,0,0,0,0,109,0,5,18,214,23,3,0,0,0,265,0,0,4,19,0,0,0,0,0,20,3,0,31,66,11,8,0,0,0,122,0,0,56,69,11,15,8,0,0,155,0,0,0,11,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,11,0,6,82,335,34,21,11,5,0,491,10,7,245,409,46,38,23,8,4,789,213,205,3142,5242,686,504,295,97,25,10400
POA2009,0,0,5,23,5,4,3,0,0,34,0,0,0,0,5,4,0,0,0,11,0,0,9,114,27,21,22,5,0,199,0,0,0,28,7,4,10,0,3,49,0,0,0,3,5,0,0,0,0,3,0,0,3,15,8,13,10,3,0,54,0,3,7,44,14,4,7,0,0,89,0,0,0,38,17,14,10,3,0,86,0,0,0,27,6,0,3,0,0,36,0,3,4,44,6,0,7,0,0,65,0,9,14,232,42,17,0,0,0,318,0,0,0,33,3,4,0,0,0,43,5,7,14,67,20,17,18,10,0,165,0,0,17,92,31,19,15,5,0,179,0,0,0,9,5,0,0,0,0,16,0,0,0,11,3,0,0,0,0,16,3,20,59,605,113,59,54,24,4,945,43,63,66,437,102,84,90,27,9,913,612,684,1003,5910,1489,1325,1087,447,98,12658
POA2010,0,0,3,20,4,3,0,0,0,28,0,0,0,10,5,10,3,0,0,32,0,5,17,185,50,36,11,9,0,315,0,0,0,53,13,7,18,11,0,101,0,0,0,0,0,0,0,0,0,4,0,5,5,95,31,21,14,6,0,184,0,0,12,78,24,10,9,0,0,130,0,6,21,149,26,24,37,8,0,274,0,0,0,40,5,8,0,0,0,59,0,0,3,77,8,0,3,0,0,99,5,10,30,521,89,28,7,3,0,696,0,0,0,46,16,8,0,0,4,74,8,23,23,319,73,56,22,8,0,538,0,5,40,113,28,28,18,10,0,242,0,0,7,28,10,12,8,3,0,53,0,0,0,11,6,5,0,0,0,21,5,10,77,948,174,111,101,79,42,1547,34,53,165,893,262,209,106,84,38,1847,609,825,2358,13676,3422,2706,1653,863,330,26443
POA2011,0,0,0,13,3,0,0,0,0,23,0,0,0,0,3,0,5,0,3,14,0,0,0,92,22,24,11,3,0,160,0,0,0,37,5,5,15,5,10,83,0,0,0,0,0,0,0,0,0,0,0,0,0,41,17,25,22,9,7,113,0,0,3,44,11,9,9,0,0,81,0,0,9,90,37,19,11,12,0,179,0,0,0,17,3,7,3,0,0,32,0,0,0,31,8,4,5,0,0,44,0,3,0,106,24,19,5,0,0,162,0,0,3,42,5,6,3,3,0,61,7,3,11,184,54,44,26,17,3,345,0,0,6,40,21,17,15,8,5,100,0,0,0,8,8,3,4,5,0,24,0,0,3,8,3,3,0,0,0,16,4,5,40,659,134,92,104,77,30,1144,31,40,247,788,196,142,105,47,23,1615,350,416,1238,8665,2440,2119,1651,872,418,18187
POA2015,0,0,4,8,0,4,0,0,0,15,0,0,0,6,0,0,0,0,0,9,0,3,12,84,27,3,4,0,0,127,0,0,3,29,0,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,11,6,3,0,81,3,7,11,34,10,4,0,0,0,74,0,0,5,70,19,10,5,0,0,109,0,0,7,23,0,0,0,0,0,33,0,0,0,32,0,0,0,0,0,36,0,3,9,63,11,12,0,0,0,103,0,0,0,13,0,7,0,0,0,21,8,6,7,94,17,9,9,3,0,148,0,0,7,44,21,13,17,0,0,106,0,0,0,12,3,0,0,0,0,17,0,0,0,10,0,0,0,0,0,8,0,13,24,398,81,45,40,11,5,615,11,40,52,311,59,39,27,19,3,549,578,731,959,6096,1455,884,493,179,44,11422
POA2016,0,0,4,16,4,0,0,0,0,25,0,0,0,0,3,0,3,0,0,5,0,0,7,72,12,10,11,4,0,122,0,0,0,17,8,4,5,4,0,37,0,0,0,0,0,0,0,0,0,3,0,0,5,32,13,11,3,0,0,64,0,0,10,15,17,3,0,4,0,53,0,0,10,64,12,6,11,0,0,105,0,0,4,19,0,5,6,0,0,34,0,0,0,18,0,0,4,0,0,31,0,3,20,94,13,13,8,0,0,159,6,0,0,23,10,6,5,0,0,49,0,8,17,105,27,17,3,0,0,179,0,0,21,29,13,17,12,11,3,109,0,0,0,12,4,0,7,0,0,18,0,0,4,4,0,0,0,0,0,7,3,18,42,449,96,78,100,87,46,912,17,50,90,426,136,114,77,60,32,1008,453,617,1327,5869,1649,1391,978,569,211,13072
POA2017,0,0,5,42,3,0,0,0,0,49,0,0,0,5,0,0,0,0,0,11,0,0,29,219,45,18,16,9,0,334,0,0,0,84,7,4,14,3,4,127,0,0,0,0,0,0,0,0,0,4,0,4,9,134,20,10,7,7,0,187,3,0,32,100,24,3,6,4,0,175,0,0,26,124,24,16,14,11,0,220,0,0,6,33,9,0,0,0,0,51,0,3,13,171,11,5,11,0,0,218,0,8,32,154,31,17,4,0,0,242,0,0,5,43,5,6,5,6,0,67,3,10,29,152,24,14,9,3,0,243,0,4,26,129,29,41,43,12,4,297,0,0,6,45,0,0,3,0,0,55,0,0,4,18,4,4,0,0,0,29,16,102,174,1566,184,122,166,142,62,2531,51,87,262,1009,164,166,125,88,41,2007,1252,1041,4046,16447,2272,1779,1293,634,233,29003
POA2018,4,6,9,66,7,0,6,0,0,101,0,0,0,0,5,4,0,0,0,10,0,13,19,178,61,44,34,17,0,366,0,0,0,32,12,9,4,0,0,58,0,0,0,5,5,0,0,0,0,10,0,0,3,42,7,13,4,3,3,78,0,5,10,42,11,9,10,0,0,80,0,0,11,52,15,14,12,4,0,104,0,0,8,25,0,7,6,0,0,50,0,0,4,46,5,3,7,0,0,62,0,9,9,73,19,9,11,0,0,135,0,0,4,48,65,46,36,43,5,249,3,3,6,53,11,4,4,0,0,82,0,0,19,58,20,12,14,7,0,138,0,0,4,14,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,13,11,31,59,645,216,202,250,188,58,1652,50,82,144,450,105,90,74,65,29,1082,1150,1487,2448,8175,2238,1724,1359,959,339,19878
