POA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2000,7973,7855,15823,1269,1437,2700,2769,2456,5219,170,127,300,121,108,231,36,36,67,37,28,71,3,0,7,9,15,19,35,30,67,0,0,0,3175,2796,5974,558,511,1070,82,88,176,5084,4834,9917,1071,952,2024,14128,13636,27762
POA2007,2060,1960,4023,236,250,489,944,898,1845,46,58,100,39,36,74,8,16,27,18,16,31,0,0,0,5,0,4,10,16,23,0,0,0,1068,1041,2108,98,96,187,21,13,36,1414,1398,2818,274,250,520,3748,3614,7362
POA2008,2743,2495,5235,319,338,651,1414,1438,2862,57,69,130,53,40,94,15,18,37,15,28,43,9,10,19,4,5,8,21,34,55,0,0,0,1590,1644,3234,193,185,380,23,23,51,2128,2188,4316,414,380,789,5284,5056,10335
POA2009,4105,4142,8249,420,455,875,987,886,1870,61,40,101,46,39,87,9,8,11,19,12,29,0,5,6,3,4,11,18,13,27,0,0,0,1147,1000,2145,149,162,307,23,16,38,1732,1633,3363,481,429,915,6321,6201,12522
POA2010,9682,6798,16479,735,502,1239,2764,2244,5004,165,138,308,123,109,230,44,33,77,51,42,95,6,4,11,10,6,14,29,33,68,0,0,0,3193,2607,5810,355,270,620,60,40,101,4349,3421,7769,1244,787,2029,15278,11006,26278
POA2011,6221,5286,11508,647,544,1191,1362,1310,2668,86,77,169,78,74,150,29,22,48,35,23,59,3,5,7,6,8,14,27,17,44,0,0,0,1621,1536,3163,198,187,382,46,34,71,2506,2304,4810,977,784,1757,9703,8371,18072
POA2015,3822,3502,7321,236,261,493,1255,1207,2454,45,29,80,33,48,82,8,7,18,14,11,25,0,4,6,4,0,6,15,16,33,0,0,0,1367,1330,2699,88,84,175,22,21,37,1713,1696,3408,294,251,544,5825,5450,11271
POA2016,4508,3675,8181,287,254,535,1344,1223,2565,51,58,111,35,31,66,16,19,28,14,18,31,5,0,9,0,0,3,12,16,22,0,0,0,1483,1361,2845,134,107,236,32,21,48,1934,1735,3667,626,476,1095,7060,5886,12946
POA2017,8776,7780,16549,842,724,1573,3582,3318,6902,159,134,288,128,131,261,36,29,67,39,35,69,4,4,13,15,7,23,27,29,52,0,0,0,3981,3697,7677,340,304,645,74,69,142,5239,4797,10036,1130,934,2069,15146,13506,28653
POA2018,7008,7104,14108,453,418,875,1508,1507,3018,49,44,93,33,37,76,13,14,20,12,10,18,3,0,3,0,3,5,4,16,18,0,0,0,1630,1631,3258,121,121,243,49,23,68,2249,2190,4440,561,487,1053,9818,9780,19597
