POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2000,4014,8099,4,6,47,198,6,15,734,2541,789,2761,19,87,102,327,147,454,264,865,1059,3627,0,0,17,52,3,12,175,385,190,445,18,63,106,227,157,340,286,630,474,1076,297,637,5832,13447
POA2007,808,1637,0,0,9,59,3,14,225,807,244,881,8,25,27,91,31,94,69,213,313,1089,0,0,6,24,3,8,56,136,64,167,8,16,27,51,53,115,84,185,149,354,81,165,1349,3242
POA2008,1273,2550,0,0,15,64,0,3,209,702,218,772,14,44,28,83,30,90,68,220,289,987,0,6,11,23,0,0,46,101,52,127,7,20,30,73,43,98,86,190,139,321,109,228,1813,4090
POA2009,1876,3769,4,9,40,164,4,12,641,2214,681,2405,13,69,89,279,99,338,208,687,894,3089,4,5,25,77,8,19,138,315,166,418,14,34,71,157,143,294,227,488,394,902,79,161,3241,7924
POA2010,3835,7636,0,0,35,161,4,15,690,2402,729,2574,24,102,82,261,102,316,208,679,935,3254,0,3,21,62,6,7,156,350,182,422,6,22,68,145,156,320,232,494,412,916,131,261,5307,12064
POA2011,2533,5009,5,10,15,70,7,26,357,1204,384,1312,7,18,40,117,55,158,103,301,485,1615,3,11,9,35,3,21,109,246,131,310,8,33,39,84,130,265,186,380,314,689,51,114,3385,7423
POA2015,1743,3463,0,4,42,182,8,20,674,2375,724,2582,17,85,58,194,66,222,148,502,869,3085,5,10,14,43,4,14,123,256,145,323,6,32,41,98,86,184,141,310,280,636,55,118,2952,7303
POA2016,1637,3266,4,16,35,151,0,8,488,1751,530,1929,13,45,62,189,75,234,144,471,676,2397,0,3,9,38,3,26,97,244,115,311,0,3,41,84,106,243,152,333,270,642,85,168,2665,6474
POA2017,4637,9247,4,14,44,198,11,55,1176,4000,1234,4264,15,78,87,274,112,347,221,693,1450,4955,0,0,20,69,26,68,278,663,323,810,26,77,96,206,255,544,381,827,703,1633,235,500,7023,16342
POA2018,2389,4815,20,103,150,676,25,123,1229,4439,1423,5341,102,445,179,631,382,1250,662,2317,2084,7661,3,18,13,50,13,50,207,478,237,601,35,109,109,261,324,726,471,1097,710,1697,148,311,5324,14477
