POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2049,7,19,66,57,36,24,7,0,0,215,3,17,87,67,50,24,9,3,0,249,153,623,2375,1750,1325,742,186,22,0,7178
POA2050,4,24,62,43,29,13,3,0,0,182,8,21,97,67,26,15,3,0,0,235,281,742,2146,1372,857,508,134,14,0,6060
POA2060,4,13,54,47,27,28,3,4,0,186,0,31,138,97,56,45,24,0,3,389,137,634,3099,2224,1395,1037,439,115,4,9083
POA2061,0,4,20,4,17,10,6,0,0,56,0,10,45,36,27,28,11,7,0,164,22,204,1156,776,544,491,234,69,0,3505
POA2062,7,8,30,28,25,10,5,0,0,115,0,6,45,37,38,25,10,0,0,157,90,184,945,1094,905,527,227,27,4,4007
POA2063,0,5,4,16,7,17,3,3,0,63,0,7,18,29,38,21,4,7,0,130,138,220,293,610,834,575,234,47,4,2954
POA2064,0,9,37,21,12,21,15,0,0,114,5,6,43,69,32,21,15,0,0,189,110,357,1203,1540,945,518,192,21,4,4888
POA2065,10,27,139,96,102,63,14,7,0,456,5,43,238,228,114,86,24,8,0,744,335,1233,6025,5315,3379,2118,783,136,4,19324
POA2066,14,49,128,145,98,74,27,7,0,544,15,40,190,213,118,88,33,9,0,707,577,1221,4340,5028,3826,2401,861,153,8,18412
POA2067,10,24,80,109,65,55,15,0,0,350,11,47,171,198,125,66,14,11,0,641,306,1056,3311,3711,2508,1466,482,73,13,12907
POA2068,21,20,27,53,59,33,12,3,0,225,8,21,41,80,91,56,15,0,0,317,377,607,1066,2096,2348,1476,494,67,6,8535
POA2069,10,19,21,35,47,38,9,4,0,180,13,19,33,65,73,39,19,7,4,265,320,607,958,1604,1803,1203,453,96,12,7049
POA2070,7,17,21,32,35,32,5,0,0,161,14,14,43,78,76,33,21,4,0,277,298,584,1014,1663,1724,1145,376,75,0,6872
POA2071,4,12,26,27,43,21,9,4,3,147,7,23,40,64,80,29,14,5,0,256,250,615,907,1316,1577,1093,371,68,10,6198
POA2072,0,17,20,17,21,14,14,3,0,106,9,9,49,61,52,27,8,0,0,209,172,386,882,980,1001,673,215,44,3,4353
POA2073,7,19,35,31,42,32,17,0,0,182,14,20,43,90,96,57,21,6,0,353,401,739,1026,1964,2171,1573,516,98,6,8496
POA2074,11,21,45,46,53,45,23,3,0,253,9,26,52,106,109,73,25,14,0,415,518,918,1250,2457,2876,1991,700,147,15,10874
POA2075,9,26,42,50,68,53,16,3,0,274,12,20,56,128,111,76,34,3,0,444,420,778,1018,2405,2623,1769,682,141,8,9854
POA2076,17,37,41,63,82,49,17,3,0,306,15,36,61,112,130,81,14,7,0,445,617,1009,1381,2727,3147,2065,655,141,11,11759
POA2077,24,64,134,158,150,82,29,0,0,642,15,69,217,295,169,114,33,5,6,938,628,1669,4875,6544,4445,2760,769,77,11,21785
POA2079,11,16,22,27,38,24,5,0,0,150,6,8,22,39,31,33,4,0,0,144,229,311,677,1002,1021,791,177,12,0,4216
POA2080,0,0,10,5,10,9,0,0,0,40,0,0,3,3,9,9,0,0,0,18,49,68,117,197,239,172,34,5,0,890
POA2081,9,5,12,16,28,27,9,0,0,111,6,9,16,24,15,19,8,0,0,89,193,242,335,608,785,573,125,15,0,2876
POA2082,10,12,9,23,22,22,3,0,0,100,3,6,18,34,27,16,4,3,0,104,176,206,286,689,820,479,127,12,0,2793
POA2083,0,3,10,5,5,5,0,0,0,33,0,4,8,10,20,9,7,0,0,43,20,51,114,147,201,221,79,12,0,843
POA2084,7,11,12,14,29,19,6,0,0,95,3,6,10,12,15,19,7,0,0,75,109,161,192,298,492,372,133,41,0,1802
POA2085,9,22,24,34,61,40,24,4,0,220,8,21,26,54,69,36,9,0,0,235,345,483,487,1121,1659,955,349,63,5,5450
POA2086,24,27,38,53,72,43,11,4,0,271,16,21,46,77,106,47,14,0,0,328,471,602,862,1664,2038,1186,298,63,0,7178
POA2087,12,22,30,38,72,36,9,0,0,214,20,25,21,67,75,48,12,9,0,274,417,537,587,1323,1877,1110,302,47,3,6214
POA2088,15,34,59,63,72,46,35,4,0,328,5,40,117,137,136,98,44,23,3,602,472,979,2514,2994,3302,2495,1081,293,26,14153
POA2089,0,20,43,42,28,19,4,0,0,162,3,12,89,75,42,25,13,3,0,265,108,480,2185,1738,1143,825,344,79,6,6908
POA2090,5,7,53,35,35,36,7,0,0,185,4,23,92,76,48,44,8,11,0,298,139,464,1963,1859,1507,1106,541,101,4,7678
POA2092,6,13,13,10,31,17,6,0,0,88,4,13,21,38,55,32,5,0,0,163,199,258,343,753,1074,618,196,32,3,3484
POA2093,11,26,70,54,80,56,7,0,0,318,25,26,109,131,135,74,20,5,0,532,623,828,1957,2849,3291,1963,558,87,9,12173
POA2094,8,4,14,16,13,15,3,0,0,74,9,12,33,42,31,8,4,0,0,141,119,209,832,831,708,560,165,13,5,3444
POA2095,3,10,88,58,20,31,13,0,0,222,3,35,186,129,70,41,16,3,0,481,208,559,3071,2329,1602,1194,393,85,9,9451
POA2096,19,19,87,59,40,40,9,0,0,272,12,30,152,105,94,46,12,7,0,448,331,572,2370,2056,1858,1158,306,39,0,8688
POA2097,14,26,66,70,69,48,9,3,0,301,13,31,53,92,110,62,18,6,0,389,540,760,1384,1782,2108,1423,418,63,4,8471
POA2099,35,78,226,166,148,122,26,7,0,815,30,99,302,298,240,168,32,5,0,1181,948,1983,5395,5537,5104,3318,837,97,10,23226
POA2100,20,52,93,97,102,62,25,6,0,456,24,35,83,149,145,68,13,3,0,526,652,988,1802,2596,2992,1866,500,50,0,11455
POA2101,25,31,95,87,82,65,38,3,0,423,11,28,72,106,96,71,30,7,4,426,535,771,1789,2188,2302,1769,564,78,7,9996
POA2102,16,6,26,42,47,21,12,0,0,162,5,12,30,49,42,29,6,7,0,184,270,308,551,1014,1130,650,177,33,0,4136
POA2103,17,25,36,37,37,40,20,10,0,222,21,17,43,56,66,40,10,10,0,257,291,472,790,985,1300,1043,383,57,4,5337
POA2104,0,6,4,5,8,6,5,0,0,40,3,3,8,11,16,18,7,10,0,77,75,108,147,198,362,359,156,55,5,1449
POA2105,3,0,7,3,6,9,0,0,0,24,3,0,6,9,19,11,8,0,0,52,58,54,73,134,257,252,102,20,0,956
POA2106,6,16,24,23,41,42,8,7,0,174,10,10,40,57,71,66,21,7,0,274,296,447,801,831,1235,1118,366,64,0,5166
POA2107,20,23,26,42,46,39,15,3,0,219,15,19,44,78,75,83,21,8,0,354,450,571,697,1335,1850,1683,672,93,9,7359
POA2108,0,0,4,0,3,3,0,0,0,15,0,8,10,10,11,14,11,3,0,64,32,43,73,86,161,197,148,40,0,775
POA2110,10,11,8,13,25,29,6,4,0,109,13,16,26,31,62,31,19,3,0,206,222,372,493,826,1185,800,374,90,7,4375
POA2111,14,21,66,43,57,51,8,4,0,264,5,22,91,68,78,52,13,11,0,336,284,623,1931,1951,1806,1188,384,59,9,8232
POA2112,13,50,152,142,124,95,29,9,0,601,12,47,283,257,134,104,28,4,0,875,589,1560,5290,5027,3461,2553,690,69,4,19244
POA2113,11,48,113,87,78,70,16,0,0,414,12,58,225,184,87,65,19,0,6,651,498,1507,4823,3666,2212,1513,400,46,8,14674
POA2114,4,27,77,98,78,65,17,6,0,371,10,38,189,173,82,72,19,0,0,591,343,1047,3849,3494,2271,1700,418,53,3,13181
POA2115,11,17,35,53,60,37,16,0,0,223,7,16,80,79,38,36,4,0,0,262,212,475,1435,1527,1056,768,196,19,0,5689
POA2116,5,11,20,20,32,23,4,0,0,122,4,7,42,44,33,23,4,0,0,150,150,286,744,773,733,498,116,11,0,3314
POA2117,5,34,57,73,84,83,14,3,0,356,13,28,114,137,110,95,23,5,0,531,332,848,1949,2334,2190,1584,404,35,8,9687
POA2118,10,22,64,77,87,79,24,0,0,367,8,45,126,218,117,90,35,3,0,637,353,1053,2363,3524,2466,1853,526,80,0,12221
POA2119,12,11,11,23,37,29,7,3,0,137,7,13,30,55,57,35,18,5,0,212,307,499,688,1285,1512,1119,406,87,9,5907
POA2120,11,33,43,67,85,54,11,11,0,314,7,30,77,107,105,75,24,5,0,428,481,958,1417,2448,2777,1830,526,79,6,10521
POA2121,8,38,77,105,79,83,20,0,0,409,9,52,186,224,128,88,23,10,3,725,507,1446,4090,4421,3211,2357,608,78,5,16718
POA2122,9,31,78,97,89,76,25,5,0,413,8,74,221,203,126,107,28,0,0,771,335,1267,3641,3635,2663,2104,670,52,3,14373
POA2125,7,16,30,40,56,38,29,5,0,223,11,21,40,80,69,67,34,10,0,327,367,771,1083,1749,1875,1696,598,73,3,8216
POA2126,15,19,26,53,54,65,24,4,0,256,11,24,59,108,80,57,15,5,3,354,476,803,1107,2150,2323,1785,539,61,4,9248
POA2127,0,23,136,95,48,26,8,0,0,330,9,55,337,200,79,51,8,0,0,746,148,853,5358,3754,1700,933,281,17,3,13048
POA2128,0,4,11,20,13,6,4,0,0,52,0,4,20,29,16,5,0,0,0,72,24,79,307,319,178,119,28,0,0,1060
POA2130,4,4,36,26,19,7,8,0,0,111,0,12,42,50,24,13,10,0,0,150,75,329,1386,1066,806,501,143,13,0,4318
POA2131,0,29,95,74,57,51,13,0,0,323,3,57,229,108,75,40,23,7,0,545,218,1260,4048,2737,1859,1383,387,29,5,11925
POA2132,4,16,36,23,32,32,11,0,0,150,4,21,54,58,49,31,14,0,0,227,154,443,1103,1090,1142,820,208,26,3,4995
POA2133,0,11,52,39,39,32,16,0,0,183,5,12,40,45,38,24,5,0,0,173,205,423,958,1087,1222,829,223,15,0,4961
POA2134,0,23,52,30,24,27,8,7,0,180,3,98,257,89,81,52,12,0,0,595,152,1440,3317,1479,1032,817,200,28,4,8467
POA2135,3,33,75,54,49,43,8,6,0,266,9,145,268,137,76,80,13,7,0,734,321,2449,4238,2096,1851,1684,579,113,15,13347
POA2136,0,14,22,26,29,26,8,0,0,131,3,18,54,40,42,40,3,4,0,200,116,329,806,831,754,593,162,21,8,3610
POA2137,11,26,101,88,98,91,32,0,0,448,8,38,135,147,111,88,36,8,0,575,462,1144,2998,3099,3024,2334,750,106,9,13924
POA2138,4,15,75,53,42,37,11,0,0,244,11,38,235,159,65,44,17,0,0,565,236,858,3990,2769,1456,961,254,25,0,10556
POA2140,5,22,91,61,36,28,6,0,0,247,3,87,334,185,70,47,10,0,0,737,150,1328,4886,2742,1040,711,163,19,0,11034
POA2141,4,27,117,86,62,59,14,0,0,375,14,131,443,244,168,138,30,0,3,1164,261,1628,4854,2912,2136,1796,448,22,6,14060
POA2142,3,30,102,65,41,30,6,0,0,280,9,127,278,149,95,70,12,5,0,745,266,1522,3874,2450,1382,928,231,26,0,10685
POA2143,4,13,25,32,30,15,13,0,0,129,5,21,88,48,62,32,5,0,0,263,101,381,944,743,606,565,120,6,0,3470
POA2144,5,49,96,57,52,38,9,3,0,312,34,233,482,234,183,135,31,0,0,1335,353,2422,4703,2556,1649,1315,287,21,0,13300
POA2145,35,68,230,230,192,155,36,5,0,957,45,217,685,602,311,180,48,10,3,2098,1169,3249,10014,11703,6615,4282,1071,72,13,38193
POA2146,10,18,58,51,50,43,10,0,0,249,9,46,156,151,76,51,16,3,0,504,338,721,2142,2533,1706,1153,271,26,0,8895
POA2147,31,35,121,124,125,103,19,6,0,567,23,72,230,205,147,114,28,5,0,824,705,1517,3642,4163,3393,2448,632,44,6,16542
POA2148,30,91,235,201,175,130,28,3,0,891,36,220,542,493,338,191,60,3,3,1891,1068,3119,7896,7534,5021,3628,887,55,9,29215
POA2150,0,36,130,83,37,41,9,0,0,334,10,112,437,263,92,62,8,3,0,997,202,1874,8030,5399,1669,1046,244,26,0,18480
POA2151,4,24,63,71,85,50,11,0,0,317,8,41,109,132,67,55,13,3,0,427,301,759,2198,2728,2077,1405,377,50,0,9886
POA2152,3,10,30,38,40,29,7,0,0,161,8,8,44,68,46,22,6,0,0,207,228,378,1163,1445,1156,709,191,26,0,5295
POA2153,36,96,142,187,208,144,59,9,0,892,27,94,225,403,294,180,56,9,0,1272,1364,2445,4980,8586,6941,4488,1372,147,16,30336
POA2154,27,49,67,128,112,99,43,8,0,526,26,65,134,216,215,122,42,13,0,843,910,1710,2749,4721,4697,3296,1107,155,8,19349
POA2155,71,146,228,278,326,136,44,6,0,1234,46,140,338,560,413,210,56,7,0,1770,2213,3619,6848,11603,9471,4620,1129,83,3,39587
POA2156,21,42,35,41,63,58,27,6,0,293,12,23,49,44,80,52,30,7,0,300,474,703,737,1094,1650,1258,502,99,0,6521
POA2157,5,12,15,8,25,11,9,0,0,91,7,8,15,24,29,20,6,0,0,105,145,203,279,389,494,389,140,11,3,2058
POA2158,8,14,31,27,42,41,13,0,0,178,8,20,32,25,49,31,14,7,0,191,237,400,573,693,1070,836,285,68,5,4173
POA2159,8,13,10,19,23,32,0,0,0,103,4,7,15,19,48,21,9,4,0,121,158,198,342,406,598,526,199,34,6,2461
POA2160,10,36,84,69,102,60,10,3,0,367,23,97,300,214,143,125,28,0,0,929,462,1494,3705,2974,2137,1670,377,34,4,12855
POA2161,13,27,68,82,74,60,24,0,0,346,31,85,241,162,135,92,25,0,0,773,430,1131,2811,2009,1560,1223,317,20,0,9497
POA2162,5,19,35,55,57,35,13,0,0,214,15,53,85,106,94,61,17,3,0,447,258,699,1391,1195,1273,1002,213,7,0,6033
POA2163,4,4,30,28,18,12,3,0,0,92,8,29,53,62,54,39,10,0,0,258,100,318,697,498,475,369,91,9,0,2551
POA2164,3,31,53,60,52,41,14,3,0,256,19,37,96,89,82,64,18,5,0,413,319,707,1498,1278,1292,1071,254,20,5,6443
POA2165,16,43,91,102,120,61,16,4,0,444,31,104,208,199,197,168,28,4,0,938,489,1357,2734,2307,2361,1804,373,28,8,11460
POA2166,15,64,162,170,166,93,12,0,0,678,48,160,354,320,397,287,44,5,0,1615,568,2078,4093,3285,3626,2788,488,30,0,16957
POA2167,6,9,16,23,17,15,5,0,0,80,4,18,64,76,54,24,5,0,0,251,143,382,1104,1344,892,649,133,5,0,4659
POA2168,15,40,108,104,112,80,12,0,0,474,32,125,190,227,218,195,28,3,0,1022,724,1775,2975,2661,2803,2409,423,19,0,13789
POA2170,55,122,350,332,280,199,51,6,0,1388,98,238,603,594,516,348,62,9,3,2475,1869,4297,10001,9726,8421,5773,1332,104,11,41534
POA2171,23,54,119,132,140,90,19,0,0,574,47,67,181,202,191,119,28,0,0,827,1055,1753,3262,4141,3806,2310,425,26,0,16775
POA2172,5,6,10,7,15,17,5,0,0,62,0,4,11,18,9,9,4,0,0,65,82,148,257,336,407,292,65,5,4,1596
POA2173,5,24,36,42,56,35,3,0,0,205,16,22,69,72,69,43,4,0,0,298,431,822,1726,1793,1696,1029,166,16,0,7690
POA2174,0,4,29,31,21,4,4,0,0,93,12,26,91,98,38,28,4,0,0,295,175,510,1621,1877,950,383,45,4,0,5564
POA2175,0,3,5,8,7,10,0,0,0,42,3,5,9,10,19,8,5,3,0,54,44,88,114,117,170,144,44,12,0,727
POA2176,11,69,149,127,147,106,38,3,0,660,46,99,209,212,205,196,51,5,0,1022,790,1908,3666,3037,3378,3169,860,54,8,16870
POA2177,14,28,52,51,71,39,10,0,0,247,11,48,98,75,102,54,11,0,0,391,236,689,1403,1112,1148,941,217,3,0,5751
POA2178,5,8,16,18,23,23,4,0,0,95,0,10,19,18,18,17,3,0,0,87,113,219,304,293,429,308,107,16,0,1785
POA2179,5,23,82,54,33,18,5,0,0,221,11,35,142,107,52,25,10,4,3,379,240,568,2543,2059,1044,595,129,17,5,7206
POA2190,17,29,58,80,85,65,17,0,0,356,21,59,119,119,107,70,21,0,0,512,463,937,1811,1798,1605,1214,287,32,0,8149
POA2191,11,10,19,29,30,26,3,0,0,127,0,10,24,23,26,20,8,8,0,109,134,222,511,559,625,428,86,10,0,2575
POA2192,3,17,42,40,51,41,3,0,0,202,4,34,83,66,66,39,10,0,0,314,152,535,1383,1140,1052,715,174,12,0,5155
POA2193,7,18,66,65,73,48,13,0,0,287,7,39,118,97,64,58,15,0,0,393,251,703,2330,2056,1679,1291,291,16,0,8623
POA2194,5,32,102,79,74,53,11,4,0,351,4,72,211,173,120,79,12,3,0,667,198,1183,3218,2301,1651,1187,235,19,0,9993
POA2195,7,19,61,50,45,36,12,0,0,234,5,36,202,156,92,55,22,0,0,577,227,763,2488,2041,1227,843,206,11,0,7805
POA2196,19,49,100,99,100,74,23,3,0,468,25,104,199,139,153,106,25,0,0,759,483,1310,2825,2398,2224,1589,321,31,0,11184
POA2197,4,7,27,26,21,29,8,0,0,130,10,19,48,51,33,23,13,0,0,197,147,316,675,661,577,449,114,13,0,2951
POA2198,7,10,32,43,36,24,8,4,0,153,14,17,45,51,47,14,7,0,0,196,177,332,668,771,758,448,156,27,0,3338
POA2199,11,10,56,52,55,32,11,0,0,227,13,51,93,87,77,68,24,0,0,417,242,709,1523,1278,1184,981,251,24,0,6191
POA2200,16,73,202,160,138,80,26,3,0,684,33,118,352,259,186,167,37,4,0,1154,519,1744,4361,3520,2808,2098,513,34,0,15604
POA2203,4,17,63,62,60,38,7,0,0,259,5,16,84,78,46,30,8,4,0,267,181,515,2215,2002,1612,1043,205,14,4,7789
POA2204,10,34,151,104,113,66,12,0,0,497,5,56,210,163,111,48,24,5,0,623,311,1091,4758,3577,2714,1552,363,34,3,14408
POA2205,9,33,143,70,46,37,5,3,0,336,12,81,359,156,74,41,6,0,0,725,223,1317,5934,3088,1451,884,197,12,4,13108
POA2206,5,25,60,98,90,72,19,6,0,371,13,27,72,87,110,57,23,3,0,395,332,696,1480,1948,2328,1473,375,44,0,8680
POA2207,17,35,77,92,94,68,15,0,0,408,22,39,119,139,121,85,41,5,0,569,464,1110,2538,2883,2646,1979,513,35,4,12168
POA2208,3,18,27,49,56,35,11,0,0,196,6,27,59,61,66,60,6,3,0,297,209,475,1016,1287,1311,855,225,23,4,5417
POA2209,8,20,49,70,52,40,8,5,0,247,6,26,80,83,78,50,14,0,3,340,200,579,1548,1558,1322,1069,243,24,0,6543
POA2210,22,54,73,120,123,112,25,4,0,530,15,62,166,160,151,116,37,0,0,706,568,1312,2939,3084,2978,2246,575,77,0,13777
POA2211,9,34,56,50,62,42,12,3,0,277,8,50,74,89,88,52,12,3,0,369,324,720,1589,1713,1635,1378,288,39,0,7688
POA2212,16,20,52,56,43,50,11,0,0,253,4,29,94,88,68,50,28,0,0,362,301,650,1596,1716,1523,1110,268,11,0,7182
POA2213,14,33,78,59,53,54,18,5,0,312,23,37,120,122,100,82,18,3,0,502,509,931,2069,2507,2404,1728,372,38,0,10572
POA2214,4,4,17,15,22,11,7,0,0,81,5,10,17,22,14,8,4,0,0,74,123,150,341,414,441,274,86,11,0,1831
POA2216,4,30,105,106,100,77,16,3,0,445,14,89,241,170,110,80,22,7,0,724,334,1384,3959,3221,2314,1625,452,55,4,13352
POA2217,12,23,106,94,79,58,24,0,0,403,13,67,185,164,117,81,22,0,0,658,327,1259,3885,3240,2619,1848,455,50,4,13692
POA2218,0,24,51,37,41,39,13,0,0,222,7,41,105,93,63,56,20,3,0,385,217,788,2118,1734,1411,1125,272,25,0,7686
POA2219,10,9,50,44,44,42,11,5,0,219,12,22,57,57,61,46,16,6,0,283,249,418,1138,1367,1504,1121,340,35,3,6183
POA2220,12,51,104,84,69,79,15,3,0,419,11,137,346,204,143,101,24,0,0,960,340,2313,5403,3103,2234,1842,424,35,3,15690
POA2221,8,19,34,39,63,64,13,5,0,242,7,34,55,86,81,63,17,3,5,347,352,760,1275,1545,1824,1455,422,76,3,7713
POA2222,5,22,46,35,37,31,6,0,0,182,0,19,66,72,47,46,14,0,0,271,176,631,1566,1335,1163,922,241,24,6,6055
POA2223,10,26,69,68,83,68,17,3,0,348,5,38,91,103,85,55,22,7,0,415,431,915,2058,2512,2368,1721,470,48,5,10538
POA2224,10,24,51,54,56,53,10,4,0,265,7,25,56,63,74,51,16,7,3,307,349,539,1037,1382,1608,1152,383,92,8,6548
POA2225,0,5,13,15,25,16,12,5,0,82,0,4,8,19,35,19,7,0,0,103,192,221,313,679,809,430,163,19,0,2823
POA2226,18,15,40,35,51,36,11,6,0,206,3,14,34,64,41,24,7,6,0,194,355,509,1121,1628,1653,1011,258,28,0,6566
POA2227,16,22,64,58,58,54,9,5,0,281,17,26,49,76,64,41,19,0,0,288,502,690,1357,1823,1958,1269,326,35,0,7969
POA2228,21,29,84,94,63,46,16,8,0,360,11,33,106,106,83,55,15,3,0,420,467,864,2276,2430,2147,1474,440,67,12,10193
POA2229,41,45,132,110,111,85,26,6,0,557,24,61,131,153,146,97,32,7,5,652,826,1397,2996,3409,3486,2484,750,109,15,15470
POA2230,26,48,168,90,109,103,33,4,0,590,22,57,161,136,140,96,51,12,8,682,748,1496,3903,3111,3340,2970,989,136,14,16707
POA2231,5,6,14,14,6,7,0,0,0,62,3,5,8,20,15,14,0,0,0,58,83,83,198,297,287,194,54,3,0,1207
