POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2206,6402,6665,13064,414,412,835,1637,1649,3282,22,24,45,18,14,34,18,7,25,10,5,9,0,0,0,4,4,10,11,8,12,0,0,0,1717,1710,3419,219,252,463,42,38,81,2387,2410,4803,421,506,927,9209,9584,18790
POA2207,8372,8918,17288,484,491,976,2665,2745,5414,35,38,68,40,44,81,6,13,18,18,11,32,0,0,0,0,0,5,8,10,16,0,0,0,2781,2858,5641,573,561,1129,67,71,140,3903,3979,7882,752,785,1536,13026,13685,26711
POA2208,4000,4279,8282,196,197,394,1209,1234,2440,18,20,35,17,10,26,6,5,10,7,9,18,0,3,6,3,3,9,3,4,4,0,0,0,1267,1278,2549,194,232,424,20,24,45,1681,1739,3413,233,239,473,5915,6260,12178
POA2209,4486,4850,9337,267,281,545,1657,1681,3337,10,10,19,19,15,37,5,4,10,16,11,31,3,4,4,0,0,0,0,0,0,0,0,0,1710,1733,3440,467,419,883,54,36,89,2492,2464,4957,332,346,677,7313,7658,14969
POA2210,9362,9904,19266,638,635,1272,3483,3690,7181,44,32,71,57,36,96,27,25,52,21,25,46,11,6,15,3,4,10,16,13,30,0,0,0,3666,3829,7497,717,681,1403,107,126,234,5133,5272,10406,905,942,1855,15403,16119,31522
POA2211,5147,5401,10546,299,338,636,1853,1924,3779,28,30,56,29,17,39,15,4,15,15,12,22,0,0,0,4,8,14,4,8,12,0,0,3,1943,1991,3934,261,288,546,62,56,120,2572,2674,5241,419,428,846,8133,8501,16640
POA2212,4609,4958,9569,315,314,631,1953,2072,4025,21,14,33,21,19,44,5,8,12,9,5,12,7,3,10,4,8,8,12,14,23,0,0,0,2023,2135,4165,353,357,711,53,36,89,2746,2840,5589,432,524,952,7787,8327,16114
POA2213,6901,7274,14177,439,435,873,2515,2686,5198,17,29,48,24,25,51,4,5,11,13,9,27,0,0,9,0,0,9,7,13,20,0,0,0,2590,2769,5359,304,314,622,42,27,73,3370,3552,6926,378,413,789,10651,11235,21889
POA2214,1319,1396,2717,74,66,144,363,367,729,3,3,12,6,0,3,0,3,3,3,0,5,0,0,0,0,0,0,4,0,4,0,0,0,378,381,757,26,34,57,9,12,17,484,487,974,60,36,98,1861,1924,3790
POA2216,6673,7003,13675,931,821,1757,2743,2602,5348,42,44,85,53,51,109,17,12,27,15,18,32,5,0,3,12,5,11,14,12,30,0,0,0,2901,2747,5652,1809,1588,3400,126,113,245,5773,5272,11046,914,810,1726,13362,13090,26450
