POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2000,72,21,165,4626,5282,1516,858,11847,2397,26520
POA2007,26,16,56,1338,1590,425,226,2778,576,6930
POA2008,12,6,25,2295,2645,612,285,3290,869,9989
POA2009,49,10,98,2446,3334,1105,602,2964,908,11362
POA2010,173,62,330,6606,7885,1790,736,5899,2088,25009
POA2011,163,130,418,4442,5410,1321,539,3879,1827,17415
POA2015,23,9,44,2607,3732,931,415,1882,550,10120
POA2016,98,46,211,2913,3666,941,475,2900,1097,11997
POA2017,109,58,233,5790,7375,1877,976,8590,2101,26706
POA2018,156,31,339,3521,4546,1606,1103,5404,1065,17240
POA2019,69,40,155,2387,3138,1189,690,2765,751,10924
POA2020,98,15,190,3633,4272,1439,972,7496,1253,19057
POA2021,83,84,267,3560,4475,1397,659,2187,716,12998
POA2022,123,37,306,2783,3312,1219,613,2771,858,11551
POA2023,75,14,177,2320,2631,991,603,1797,426,8772
POA2024,96,206,401,2247,2986,1107,605,1603,765,9320
POA2025,95,92,284,1532,1997,669,370,1139,379,6081
POA2026,170,77,449,7377,8550,2536,1407,6164,1986,28025
POA2027,125,56,341,1772,2169,704,414,1395,505,6961
POA2028,63,19,144,1062,1376,444,242,819,191,4126
POA2029,127,116,361,1979,2502,935,523,1806,552,8293
POA2030,178,73,428,2862,3268,1434,974,2505,640,11690
POA2031,300,323,890,7076,9234,3264,1560,5694,1754,28589
POA2032,174,65,397,2560,3305,1240,775,3995,791,12661
POA2033,162,22,291,2524,2930,955,549,2870,659,10488
POA2034,124,38,312,4442,5493,1901,953,3361,1040,17187
POA2035,421,182,1030,6367,8102,3368,2005,7422,1715,28979
POA2036,309,158,728,5477,7173,3097,2019,7439,2838,28039
POA2037,79,22,180,3590,4920,1590,738,3055,987,14880
POA2038,77,12,133,1832,2970,1026,485,1174,474,7967
POA2039,28,3,55,1653,2684,971,418,1104,250,7078
POA2040,200,95,427,3993,6551,2635,1203,3132,908,18419
POA2041,75,24,208,3001,4733,1859,850,1936,575,12949
POA2042,64,22,145,4569,6140,1774,656,2768,915,16822
POA2043,17,7,37,2293,3550,881,321,1216,350,8607
POA2044,56,7,108,1582,2379,823,406,1547,291,7028
POA2045,158,16,289,1128,1661,789,453,1219,156,5411
POA2046,377,175,885,4920,6909,2985,1828,4832,1081,22555
POA2047,156,103,406,2259,3368,1372,708,1899,527,10129
POA2048,52,16,130,1715,2381,765,368,1073,331,6626
POA2049,87,62,200,2520,3724,1243,544,1876,763,10674
POA2050,16,4,51,2393,2994,727,294,1691,553,8660
POA2060,112,50,273,3205,4660,1557,687,2621,830,13560
POA2061,74,25,155,1395,1882,545,246,1211,485,5769
POA2062,46,5,91,1426,2090,820,384,873,173,5763
POA2063,146,21,270,1216,1577,794,509,909,164,5167
POA2064,61,10,156,1700,2263,1014,568,1678,330,7564
POA2065,145,64,464,6542,9536,3374,1606,4971,1072,27103
POA2066,301,119,703,6150,9150,3773,2198,5071,1020,27354
POA2067,358,40,673,4250,6071,2686,1875,6568,1038,22503
POA2068,189,69,460,3049,4429,2047,1280,2515,452,13769
POA2069,129,59,383,2563,3571,1936,1097,2128,370,11658
POA2070,188,15,412,2489,3555,1847,1188,2265,334,11674
POA2071,190,72,430,2359,3156,1678,1135,2366,359,11050
POA2072,97,11,187,1574,2135,1055,623,1637,273,7297
POA2073,133,28,370,3025,4240,2279,1465,2281,396,13692
POA2074,474,153,1174,4082,5897,3153,1934,3490,548,19105
POA2075,331,44,760,3524,5193,2782,1724,3483,403,17110
POA2076,644,141,1188,4261,6085,3238,2030,4229,676,20520
POA2077,325,130,766,6539,10033,4832,3045,8659,1444,34553
POA2079,42,5,94,1340,2022,970,568,1231,135,6260
POA2080,8,0,21,277,436,259,155,225,34,1386
POA2081,27,8,59,950,1402,722,450,662,79,4264
POA2082,31,5,75,901,1444,785,456,624,86,4297
POA2083,4,0,21,270,492,237,175,191,92,1453
