POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2000,0,26,99,46,30,28,42,29,6,302,0,27,176,105,22,31,19,7,7,401,36,325,955,448,204,141,98,67,19,2285,408,3414,10657,5426,2394,1869,1308,625,165,26257
POA2007,0,6,13,7,9,12,27,21,9,101,0,7,29,23,12,10,8,4,5,96,28,101,180,95,37,46,27,16,17,532,221,1261,2649,1283,597,389,292,122,56,6875
POA2008,0,3,9,4,9,9,13,9,3,56,0,9,19,9,6,0,0,3,3,46,32,222,302,121,51,45,26,4,0,818,413,2657,3858,1383,686,504,295,97,25,9914
POA2009,0,0,4,12,6,24,31,18,13,108,0,0,15,17,6,16,12,6,9,68,5,60,260,201,111,94,104,44,11,892,134,708,3188,2711,1489,1326,1087,447,98,11189
POA2010,0,3,14,25,26,38,58,61,43,274,0,9,21,22,27,17,16,15,14,135,29,149,611,375,281,239,155,150,77,2072,209,1985,8430,5243,3419,2704,1654,862,330,24835
POA2011,0,0,12,10,16,23,27,32,17,141,0,3,20,9,3,8,12,0,3,65,52,203,533,293,202,156,136,125,112,1802,144,998,5202,3453,2440,2122,1651,874,418,17300
POA2015,0,0,0,8,4,14,34,16,7,78,0,0,4,3,0,6,13,7,6,40,8,42,207,119,57,43,27,28,6,543,109,724,3635,2457,1459,884,493,180,44,9988
POA2016,0,0,10,15,18,54,68,65,26,255,0,6,4,10,11,12,25,39,35,137,18,77,264,188,141,136,141,115,49,1130,148,1070,3575,2286,1648,1393,971,570,211,11868
POA2017,0,10,27,21,26,85,110,48,31,353,3,11,42,23,13,28,33,21,10,180,44,228,769,342,187,192,175,123,66,2131,361,3473,11183,5255,2265,1783,1290,632,234,26489
POA2018,0,0,19,16,34,84,196,269,115,740,0,3,24,12,24,49,61,90,45,320,50,104,300,191,120,107,93,79,37,1072,360,1660,4902,3265,2233,1720,1363,959,339,16787
POA2019,0,0,3,12,21,31,92,91,31,287,0,0,8,8,5,3,9,16,11,67,26,53,182,139,74,76,78,75,46,744,272,769,2296,2311,1906,1376,924,499,155,10499
POA2020,3,5,27,18,15,54,113,121,60,419,0,11,44,15,18,21,39,50,19,221,32,211,506,192,59,78,71,47,22,1222,363,2874,7399,3250,1787,1387,920,522,189,18696
POA2021,0,0,7,9,6,11,16,29,29,100,0,0,8,3,5,8,8,6,5,34,29,53,146,119,85,62,71,69,91,720,205,928,3290,2407,2051,1549,1195,772,267,12661
POA2022,0,3,15,6,5,5,21,45,43,142,0,0,3,4,4,0,6,7,6,29,23,67,278,149,76,71,84,75,43,868,151,772,3209,2220,1626,1204,1049,681,306,11220
POA2023,0,0,5,3,5,5,5,16,7,39,0,0,7,0,0,6,0,0,0,14,40,27,93,59,51,44,50,40,16,409,212,557,1593,1449,1409,1255,1079,555,177,8291
POA2024,0,0,3,11,3,4,21,43,42,128,0,0,0,7,0,0,0,9,11,20,29,17,138,64,66,59,62,126,219,785,226,452,1909,1765,1629,1199,813,539,401,8929
POA2025,0,0,3,0,0,0,8,10,16,42,0,0,3,0,0,0,0,0,0,6,11,15,45,34,41,26,35,71,100,383,84,351,1143,983,886,768,789,589,288,5870
POA2026,0,0,25,14,6,27,40,67,56,238,0,3,12,4,12,13,17,18,12,87,57,103,665,395,212,136,118,126,81,1894,386,1516,9661,5949,3927,2493,1787,1079,449,27257
POA2027,0,0,0,0,0,0,11,10,10,30,0,0,3,0,3,0,0,5,0,13,15,35,83,67,53,59,53,67,61,494,90,352,1257,1050,882,949,1027,823,341,6779
POA2028,0,0,0,0,0,4,3,5,12,27,0,0,5,0,0,0,0,0,0,12,0,15,55,32,20,22,22,19,20,207,44,286,1005,663,511,488,532,365,144,4032
POA2029,0,0,4,4,5,12,17,24,17,70,0,0,3,0,5,5,0,4,4,18,19,24,65,77,55,62,50,90,123,560,161,522,1427,1452,1326,1063,936,708,361,7962
