POA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
POA2000,0,22,..,278,6,281,0,282,..,51,0,51,0,51,..,133,42,174,0,176,..,14,0,14,0,14,..,279,110,392,5,393,..,12,0,12,0,12,..,18,0,18,0,18,..,47,0,52,0,48,..,14,0,14,0,15,..,111,3,113,0,113,..,79,9,89,0,89,..,3,0,3,0,3,..,10,0,10,0,10,..,58,0,58,0,58,..,978,157,1134,3,1138,..,74,0,74,0,74,..,160,16,174,0,179,..,1269,168,1437,7,1441,..,238,40,270,0,275,..,18,0,18,0,18,..,1404,602,2015,3,2017,..,15,0,17,0,17,..,258,24,284,0,281,..,241,30,271,4,273,..,7135,1799,8929,39,8971,..,111,47,154,958,1112,3638,7246,1846,9082,991,13713,8750,..,..,..,..,8750,..,16,0,16,0,16,..,148,7,153,0,153,..,5,0,3,0,3,..,1032,254,1286,11,1291,..,3215,1016,4223,13,4238
POA2007,0,16,..,116,0,116,0,115,..,36,0,36,0,36,..,49,6,58,0,58,..,6,0,9,0,9,..,43,14,54,0,54,..,0,0,0,0,0,..,14,0,16,0,16,..,10,0,10,0,10,..,8,0,8,0,10,..,31,3,33,0,36,..,13,0,18,0,18,..,0,0,0,0,0,..,8,3,13,0,13,..,22,0,21,0,27,..,95,4,94,0,94,..,19,0,19,0,19,..,24,0,21,0,27,..,154,3,156,4,161,..,104,20,129,0,129,..,5,0,14,0,14,..,229,84,313,0,316,..,16,3,18,0,18,..,65,12,73,0,77,..,77,9,84,3,85,..,1828,436,2262,18,2280,..,11,4,18,250,269,1093,1841,437,2280,269,3644,2560,..,..,..,..,2560,..,4,0,4,0,4,..,46,4,49,0,49,..,0,0,0,0,0,..,306,156,459,8,463,..,1010,315,1322,5,1329
POA2008,0,13,..,104,0,105,0,105,..,26,4,28,0,28,..,44,9,44,0,44,..,8,0,8,0,8,..,73,13,85,0,85,..,3,0,3,0,3,..,5,0,5,0,5,..,16,0,16,0,16,..,10,0,9,0,9,..,26,0,25,0,25,..,18,6,22,0,22,..,4,0,4,0,4,..,0,0,0,0,0,..,19,0,19,0,19,..,182,8,183,0,183,..,18,0,19,0,19,..,34,0,33,0,33,..,256,7,261,0,261,..,80,6,94,0,90,..,5,0,5,0,5,..,106,34,138,0,138,..,7,0,11,0,11,..,88,18,99,7,99,..,100,3,101,3,104,..,2360,248,2614,9,2619,..,15,11,25,367,388,2072,2375,263,2635,376,5083,4700,..,..,..,..,4700,..,5,0,5,0,5,..,57,3,62,0,61,..,9,0,9,0,9,..,420,37,457,0,457,..,1777,210,1990,4,1991
POA2009,0,17,..,171,5,176,7,178,..,58,6,59,0,61,..,89,14,99,0,105,..,3,0,3,0,3,..,92,16,108,3,111,..,15,0,15,0,15,..,29,0,37,0,37,..,30,8,32,0,32,..,23,0,23,0,23,..,90,5,100,0,102,..,73,9,83,0,87,..,6,0,6,0,6,..,26,0,23,0,23,..,36,0,37,0,37,..,100,12,108,0,108,..,33,0,33,0,33,..,25,0,21,0,21,..,191,13,203,0,203,..,189,20,211,0,211,..,14,0,18,0,18,..,164,37,204,0,204,..,26,0,25,0,25,..,95,13,109,0,109,..,132,8,145,5,146,..,2328,373,2701,18,2727,..,22,4,29,422,456,3093,2355,379,2732,444,6267,6657,..,..,..,..,6657,..,7,0,7,0,7,..,72,4,75,0,75,..,4,0,5,0,5,..,420,120,539,7,545,..,674,195,866,3,872
POA2010,0,4,..,114,0,114,0,114,..,93,3,93,0,93,..,84,17,97,0,97,..,4,0,4,0,4,..,63,16,77,0,77,..,8,0,3,0,3,..,7,0,7,0,7,..,20,0,20,0,20,..,47,5,51,0,51,..,75,8,87,0,87,..,65,20,82,0,82,..,0,0,0,0,0,..,22,0,22,0,22,..,33,0,31,0,31,..,95,7,100,0,100,..,40,0,40,0,40,..,14,6,16,0,16,..,179,13,192,0,192,..,258,25,283,0,288,..,14,0,14,0,14,..,242,101,344,0,344,..,25,0,24,0,24,..,97,23,119,0,119,..,237,26,255,3,265,..,2497,472,2965,11,2975,..,39,3,39,711,752,7354,2533,476,3010,727,11082,18191,..,..,..,..,18191,..,44,0,43,0,43,..,122,11,132,0,139,..,5,0,5,0,5,..,319,137,461,3,462,..,540,176,715,0,719
POA2011,0,5,..,72,0,70,0,70,..,75,9,80,0,80,..,59,4,68,0,68,..,4,0,4,0,4,..,35,0,35,0,37,..,6,0,6,0,6,..,0,0,0,0,0,..,21,0,24,0,24,..,34,0,40,0,40,..,94,5,99,0,99,..,53,8,61,0,61,..,3,0,3,0,3,..,21,0,21,0,21,..,16,0,16,0,16,..,34,0,35,0,35,..,32,4,32,0,32,..,5,0,4,0,4,..,83,3,88,0,88,..,154,19,173,4,175,..,11,0,10,0,10,..,53,17,73,0,73,..,14,0,22,0,22,..,42,17,65,0,65,..,152,8,161,0,158,..,1490,151,1634,11,1644,..,33,3,41,744,786,5999,1524,150,1675,755,8424,13130,..,..,..,..,13130,..,28,0,29,0,29,..,70,0,70,0,70,..,4,0,4,0,4,..,126,22,148,0,153,..,216,35,250,0,250
POA2015,0,9,..,44,0,42,0,42,..,39,0,43,0,43,..,22,0,25,0,25,..,0,0,0,0,0,..,28,0,27,0,27,..,15,0,15,0,15,..,0,0,0,0,0,..,10,0,17,0,17,..,20,0,20,0,20,..,46,0,52,0,52,..,34,0,40,0,40,..,0,0,0,0,0,..,18,0,18,0,18,..,17,0,17,0,17,..,57,0,63,0,63,..,16,0,16,0,16,..,12,0,12,0,12,..,112,0,117,0,117,..,96,6,108,3,104,..,10,0,10,0,10,..,32,7,40,0,39,..,14,0,14,0,14,..,57,23,77,0,77,..,110,13,119,3,123,..,1159,128,1286,9,1297,..,18,3,22,243,266,3958,1173,128,1303,253,5515,8338,..,..,..,..,8338,..,15,0,15,0,15,..,62,0,62,0,62,..,7,0,7,0,7,..,196,37,236,6,241,..,300,54,356,3,357
POA2016,0,4,..,74,4,77,0,77,..,35,5,34,0,34,..,43,7,50,4,50,..,0,0,0,0,0,..,50,12,62,3,64,..,3,0,3,0,3,..,4,0,4,0,4,..,15,0,15,0,14,..,12,0,12,0,13,..,38,11,53,0,53,..,60,50,113,0,116,..,0,0,0,0,0,..,26,0,27,0,27,..,10,0,6,0,6,..,31,3,40,0,39,..,17,0,17,0,17,..,5,0,5,0,5,..,65,7,73,0,71,..,135,20,150,0,150,..,13,0,13,0,13,..,60,28,84,0,89,..,14,6,23,0,22,..,36,18,54,0,54,..,121,13,139,3,143,..,1311,410,1716,23,1740,..,17,7,28,434,456,3747,1328,415,1740,455,5943,8502,..,..,..,..,8502,..,13,0,13,0,13,..,136,22,157,0,153,..,26,0,26,0,29,..,143,139,282,3,280,..,311,152,460,3,467
POA2017,0,20,..,207,6,215,0,215,..,124,3,131,5,130,..,68,17,81,0,81,..,7,0,7,0,7,..,164,36,198,0,198,..,17,0,15,0,15,..,12,0,12,0,12,..,95,5,99,0,99,..,67,6,71,0,68,..,223,20,241,0,241,..,209,117,331,0,329,..,7,0,7,0,7,..,39,4,43,0,43,..,43,0,45,0,45,..,223,16,244,5,247,..,51,0,58,0,53,..,42,0,41,0,40,..,365,19,380,9,391,..,379,38,418,3,422,..,19,0,19,0,19,..,99,23,123,0,127,..,35,5,46,0,46,..,138,52,192,4,192,..,364,66,426,8,432,..,5520,1033,6549,57,6607,..,56,17,74,859,930,6131,5580,1049,6623,922,13669,14194,..,..,..,..,14194,..,33,0,33,0,33,..,251,21,273,0,271,..,15,0,17,0,17,..,854,201,1054,9,1061,..,3886,802,4685,49,4729
POA2018,0,12,..,411,52,462,3,467,..,113,17,130,0,132,..,53,0,51,0,51,..,0,0,3,0,3,..,53,18,73,0,70,..,17,0,17,0,17,..,18,0,18,0,18,..,62,3,63,0,63,..,37,0,36,0,36,..,138,20,160,0,161,..,161,44,208,0,208,..,5,0,5,0,5,..,41,7,49,0,51,..,38,0,38,4,46,..,259,40,302,4,306,..,96,7,100,0,104,..,40,3,44,0,47,..,433,58,487,8,498,..,270,48,317,0,318,..,12,0,13,0,19,..,65,21,85,3,90,..,129,55,187,0,186,..,63,18,76,0,76,..,284,62,343,15,358,..,4140,840,4980,54,5031,..,61,20,84,466,552,4335,4203,865,5062,518,9919,9185,..,..,..,..,9185,..,7,0,7,0,7,..,275,25,302,3,305,..,6,0,6,0,6,..,448,116,566,8,573,..,1456,263,1714,14,1727
