POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2050,54,103,193,144,111,71,49,21,6,736,722,1813,2612,1696,1117,761,438,173,51,9381
POA2060,96,88,252,205,125,117,90,83,31,1092,1572,1324,3627,2688,1770,1625,1348,906,273,15135
POA2061,32,29,127,77,86,89,75,59,30,603,387,391,1389,946,734,851,764,538,155,6158
POA2062,50,28,43,48,59,38,45,28,8,345,1319,518,1058,1247,1083,766,652,362,91,7088
POA2063,65,41,28,33,66,35,33,28,17,347,1328,799,361,764,1041,850,669,412,270,6493
POA2064,87,44,104,111,69,39,46,17,10,521,1852,880,1464,1926,1230,874,702,345,156,9417
POA2065,193,150,364,320,194,153,131,70,64,1641,4593,2588,6893,6233,4078,3054,2514,1281,464,31698
POA2066,282,173,259,315,192,174,107,88,115,1704,6490,3411,5053,6000,4565,3419,2642,1573,703,33844
POA2067,220,134,248,235,187,143,128,79,41,1419,4573,2981,4358,4864,3525,2609,2253,1235,673,27078
POA2068,172,102,59,102,147,92,67,51,66,869,3676,2074,1272,2490,2903,2142,1548,879,460,17450
POA2069,126,85,52,71,86,87,76,58,59,694,2939,1918,1187,1938,2227,1761,1401,840,383,14604
POA2070,123,90,59,80,94,73,57,35,15,630,2976,1856,1224,2065,2185,1724,1347,855,412,14648
POA2071,109,101,46,63,86,71,55,42,76,639,2462,1930,1118,1684,2092,1716,1268,825,430,13510
POA2072,73,57,61,56,57,52,36,13,7,419,1503,1185,1061,1293,1325,1039,773,434,187,8795
POA2073,147,103,63,88,127,106,75,39,24,774,3531,2329,1296,2350,2664,2259,1573,850,370,17221
POA2074,154,121,70,98,148,130,71,86,91,977,4320,2959,1527,2924,3476,2873,2249,1917,1174,23423
POA2075,152,80,41,90,127,115,90,62,35,789,4555,2443,1262,2977,3224,2608,2141,1702,760,21665
POA2076,185,162,58,131,173,126,106,110,136,1187,4818,3306,1672,3283,3834,3014,2375,1852,1188,25340
POA2077,429,223,287,391,276,201,192,133,122,2252,8270,4375,6077,8131,5615,4332,3460,1799,766,42819
POA2079,65,44,32,35,72,46,30,9,6,340,1555,951,834,1148,1193,1088,621,332,94,7816
POA2080,19,10,8,14,19,18,4,6,0,99,373,210,143,238,284,235,163,91,21,1766
POA2081,43,42,15,38,32,31,28,17,4,235,1124,728,390,699,881,762,459,289,59,5394
POA2082,51,42,17,23,38,31,13,19,5,240,1159,669,327,771,929,647,591,294,75,5458
POA2083,13,14,15,18,25,21,22,7,4,139,208,151,140,180,254,340,237,134,21,1665
POA2084,23,42,16,18,41,33,25,13,6,222,661,478,237,368,609,523,438,308,136,3759
POA2085,83,65,33,45,95,57,64,39,28,502,2141,1441,587,1262,1882,1271,1233,1147,484,11452
POA2086,128,92,60,90,139,77,34,37,9,670,3150,1862,1041,1922,2391,1597,1119,872,256,14214
POA2087,114,84,43,79,91,75,57,51,74,682,2803,1743,720,1602,2211,1572,1047,992,470,13161
POA2088,232,188,153,193,232,225,163,155,48,1596,4611,2963,2935,3649,4238,3727,3073,2216,916,28329
POA2089,74,42,118,123,78,83,67,66,65,717,1484,967,2483,2042,1408,1227,1004,619,248,11491
POA2090,97,75,110,124,98,88,81,41,34,745,1976,1098,2233,2211,1850,1589,1481,823,270,13533
POA2092,93,44,32,50,75,66,34,26,3,421,1708,951,434,903,1325,937,590,390,147,7384
POA2093,236,136,125,156,198,167,96,60,43,1228,5037,2615,2322,3366,3913,2774,1849,1131,538,23555
POA2094,73,41,56,74,52,54,24,18,3,404,1059,561,958,977,852,790,527,317,102,6141
POA2095,134,102,225,177,148,118,80,46,17,1043,2184,1325,3549,2809,2051,1853,1310,854,357,16296
POA2096,143,76,144,134,165,111,61,30,12,875,2651,1507,2715,2388,2241,1642,1063,554,197,14955
POA2097,203,128,94,117,185,131,78,48,20,1000,2995,2061,1644,2075,2524,1990,1419,899,385,15991
POA2099,432,282,402,396,368,311,208,151,100,2648,7482,4812,6524,6679,6164,4834,3287,2209,932,42917
POA2100,219,149,131,157,211,133,103,83,66,1252,4415,2698,2191,3038,3517,2589,1782,1144,601,21973
POA2101,226,142,147,163,171,179,128,96,80,1332,3478,2075,2107,2573,2746,2454,1990,1483,974,19885
POA2102,129,56,28,81,73,56,50,51,67,596,1827,964,652,1197,1312,894,681,540,304,8379
POA2103,134,87,82,95,109,89,98,84,60,830,1798,1228,945,1181,1530,1472,1390,914,419,10877
POA2104,24,29,8,17,39,43,32,46,26,258,462,357,184,250,465,537,613,629,305,3807
POA2105,28,15,14,23,23,23,24,24,0,166,272,228,96,168,338,391,310,165,31,2008
POA2106,80,70,62,66,98,123,58,45,10,602,1541,1176,960,984,1453,1624,1148,612,164,9659
POA2107,177,121,72,106,137,137,101,52,24,919,2884,1763,914,1648,2268,2408,2044,1088,408,15422
POA2108,8,13,9,10,20,23,26,17,14,142,173,150,100,121,209,326,365,248,44,1740
POA2110,85,82,56,71,101,71,84,122,261,937,1730,1307,630,1040,1477,1230,1088,740,598,9846
POA2111,126,78,112,124,116,95,76,68,123,917,2606,1602,2245,2316,2198,1808,1385,866,434,15456
POA2112,365,225,380,341,239,256,197,139,168,2312,6582,3958,6779,6451,4495,4176,3006,1676,901,38026
POA2113,238,221,394,258,176,166,108,68,67,1701,4122,3846,6188,4582,2876,2533,1770,1048,664,27637
POA2114,170,129,247,220,117,136,96,54,25,1197,4048,2610,4868,4388,2976,2817,2121,1026,410,25267
POA2115,171,112,164,136,117,91,73,40,28,932,2458,1383,1975,2053,1582,1460,1047,499,231,12686
POA2116,82,50,90,81,65,60,48,20,12,496,1390,882,1039,1066,1011,927,548,303,106,7274
POA2117,286,180,190,202,186,177,113,55,41,1427,4158,2626,2708,3255,3099,2924,1919,1024,471,22185
POA2118,254,137,167,213,154,146,95,81,31,1277,5832,3027,3205,4744,3396,3198,2450,1475,561,27888
POA2119,91,63,42,75,85,84,54,46,24,564,2360,1616,859,1564,1854,1622,1329,900,348,12458
POA2120,156,136,97,104,143,107,84,47,28,901,4017,2674,1763,2896,3296,2651,2003,1244,442,20988
POA2121,263,165,248,241,156,150,103,64,45,1446,6483,4025,5231,5643,4189,3744,2854,1383,650,34209
POA2122,241,196,280,236,217,201,133,104,78,1685,4900,3432,4972,4833,3701,3710,3056,1680,900,31187
POA2125,127,79,85,91,98,95,74,43,14,703,3037,2112,1345,2121,2220,2457,2142,886,291,16620
POA2126,123,99,48,78,106,76,73,64,96,768,3511,2604,1369,2556,2812,2634,2065,1015,511,19082
POA2127,216,117,423,275,121,105,64,21,0,1345,3673,1997,7206,4923,2307,1640,1061,322,63,23198
POA2128,31,175,491,441,219,81,31,14,0,1483,474,398,902,879,474,260,149,53,13,3600
POA2130,35,46,108,66,38,62,43,18,22,445,1004,712,1640,1260,1001,764,521,238,145,7288
POA2131,150,156,294,199,136,175,107,71,39,1325,2701,2711,5272,3531,2561,2378,1816,1237,816,23012
POA2132,77,60,53,66,74,85,63,87,121,683,1690,1264,1422,1388,1475,1351,1006,703,453,10755
POA2133,117,86,81,88,122,80,44,43,16,682,1912,1284,1297,1454,1660,1393,1095,587,245,10929
POA2134,101,225,403,175,127,103,83,70,85,1375,1724,3343,5119,2314,1758,1664,1184,678,428,18224
POA2135,205,366,435,169,148,144,98,65,49,1689,2921,5119,5863,2881,2554,2711,1922,1243,704,25915
POA2136,81,49,85,80,65,51,36,53,34,535,1285,921,1130,1113,1029,973,660,448,202,7763
POA2137,269,234,243,204,239,178,140,66,24,1599,4453,3093,3730,3868,3835,3507,2822,1696,715,27726
POA2138,149,147,308,185,113,121,106,51,34,1216,2863,2142,5312,3550,1972,1746,1290,601,202,19686
POA2140,201,276,489,277,98,99,46,20,7,1504,3112,2784,6897,3732,1606,1370,797,348,123,20766
POA2141,292,271,568,339,282,243,126,78,55,2256,4603,4178,7637,4704,3680,3755,2354,1075,439,32425
POA2142,633,433,662,490,323,275,158,66,19,3062,5126,4087,6558,4324,2819,2386,1687,760,252,27993
POA2143,160,121,120,108,79,83,37,17,7,728,1879,1357,1612,1286,1130,1218,807,340,148,9774
POA2144,679,619,841,550,413,379,255,129,97,3947,6872,6488,9013,5317,4000,3657,2288,1189,515,39333
POA2145,1432,777,1288,1213,771,612,442,368,299,7197,18355,9542,14782,16042,9610,7819,6164,3736,1476,87531
POA2146,268,170,217,222,174,129,60,55,18,1323,3943,2248,3093,3326,2348,1922,1453,857,261,19456
POA2147,576,369,445,393,330,303,217,118,57,2815,7122,4520,5104,5606,4708,4258,3562,1766,643,37285
POA2148,1109,770,1007,828,622,515,303,214,104,5468,13062,8700,11769,10621,7520,6737,5062,2788,1229,67483
POA2150,412,356,823,547,199,173,115,66,45,2723,5651,4000,11129,7361,2579,2113,1461,678,274,35254
POA2151,249,155,213,264,187,166,112,71,21,1432,3862,2296,2927,3688,2807,2362,1798,1061,396,21204
POA2152,125,57,82,93,72,55,69,67,55,676,2169,1120,1479,1840,1510,1098,944,758,346,11261
POA2153,574,328,318,426,377,334,243,157,170,2919,12925,7120,6221,10388,8456,6775,5899,3541,1294,62610
POA2154,323,255,167,243,290,220,202,200,225,2110,7675,5089,3403,5805,5835,4919,4239,2545,1371,40874
POA2155,727,524,434,569,532,299,175,130,92,3493,17878,10516,8519,13788,11288,6783,4299,2060,559,75699
POA2156,142,122,48,69,136,103,65,63,28,776,2313,1953,919,1321,1973,1803,1549,1139,443,13403
POA2157,45,23,18,32,30,27,28,7,8,213,807,549,334,478,619,542,433,221,66,4042
POA2158,77,81,52,44,83,83,47,46,21,532,1561,1189,721,880,1364,1245,941,711,326,8937
POA2159,77,56,22,58,62,47,43,19,11,386,886,646,432,520,737,741,592,416,182,5148
POA2160,998,596,866,726,496,397,223,112,48,4474,8092,5247,7138,5791,4401,3981,2639,1469,633,39388
POA2161,1102,584,659,619,431,333,197,111,84,4125,7953,4954,5894,4536,3632,3364,2250,1226,569,34379
POA2162,616,334,298,319,273,222,149,97,126,2439,4475,3022,2696,2496,2417,2362,1558,781,493,20306
POA2163,283,212,336,298,224,160,90,47,20,1674,2038,1476,1565,1367,1327,1217,927,387,235,10544
POA2164,341,183,207,213,175,181,158,112,73,1632,4221,2704,2795,2553,2605,2579,2124,1192,499,21273
POA2165,897,562,559,563,542,490,353,192,72,4239,8418,6167,5754,5729,5949,5794,4128,2284,831,45046
POA2166,957,656,666,639,687,667,383,281,251,5201,9009,7893,7314,6532,7602,7512,4754,2304,1253,54184
POA2167,140,78,99,100,83,70,43,29,20,657,2205,1213,1537,1759,1270,1069,727,430,327,10536
POA2168,1187,656,579,596,500,540,301,150,45,4564,9781,6899,5719,5569,5585,5932,3423,1628,486,45023
POA2170,2380,1418,1722,1604,1207,1033,729,580,443,11125,24138,15188,17018,16392,14110,12336,8538,4808,1947,114479
POA2171,653,392,310,381,367,224,117,40,13,2503,9299,6006,4753,5954,5527,4048,2214,826,248,38882
POA2172,24,24,16,14,28,22,9,4,0,140,580,406,321,383,483,402,217,86,17,2892
POA2173,183,191,146,142,117,87,21,17,8,907,3262,2143,2154,2245,2071,1552,717,311,90,14544
POA2174,222,112,143,168,114,53,21,12,0,838,3257,1572,2207,2428,1346,729,386,113,36,12080
POA2175,32,23,28,24,29,28,17,11,3,197,297,241,181,177,254,256,190,153,42,1790
POA2176,655,476,404,436,467,466,370,192,103,3579,8549,6866,6075,5678,6252,7102,5762,2699,1028,50022
POA2177,302,205,170,161,144,171,96,38,13,1303,3151,2510,2275,2027,2199,2385,1705,633,274,17154
POA2178,44,48,37,49,61,46,39,22,10,359,682,644,426,432,629,548,472,227,109,4170
POA2179,282,114,176,191,114,89,76,84,104,1226,4154,1644,3341,2789,1466,1158,952,548,211,16262
POA2190,757,451,332,368,338,277,187,95,39,2856,6527,4136,3391,3475,3200,2954,2151,1208,512,27559
POA2191,91,60,54,55,70,60,40,17,8,453,1246,807,749,848,938,816,589,401,159,6555
POA2192,233,172,222,223,174,179,135,98,80,1531,2214,1690,2210,1902,1811,1630,1182,789,348,13781
POA2193,174,137,239,199,139,110,79,57,22,1155,2713,1994,3317,2770,2284,2051,1411,896,335,17778
POA2194,359,313,567,456,343,279,158,84,50,2600,3390,3245,5519,4150,3414,3045,1904,981,493,26132
POA2195,673,329,603,450,281,226,122,74,41,2798,6581,3010,5463,4400,2629,2242,1511,859,409,27103
POA2196,654,491,475,420,375,319,201,145,73,3151,7031,4778,4963,4431,4130,3711,2546,1512,637,33743
POA2197,285,161,140,152,140,124,98,44,29,1173,2403,1391,1301,1249,1163,1096,806,477,239,10121
POA2198,268,148,121,138,124,79,82,90,121,1167,2290,1268,1117,1248,1187,891,810,692,340,9843
POA2199,523,278,320,260,237,189,135,66,29,2038,4325,2733,2802,2457,2273,2228,1630,798,400,19651
POA2200,1104,637,832,709,525,441,301,191,175,4909,10152,6411,8109,6649,5442,5083,3437,1850,864,48003
POA2203,104,122,221,152,143,111,76,35,19,980,1974,1387,2731,2414,2043,1576,975,611,226,13946
POA2204,253,184,399,287,253,208,127,107,36,1852,3546,2582,5806,4445,3627,2747,1944,1294,570,26567
POA2205,265,307,733,319,222,171,91,88,72,2261,3167,3301,8543,4273,2201,1740,1173,672,280,25338
POA2206,172,148,156,143,193,164,125,155,171,1425,3276,2263,1982,2461,3094,2473,1880,1527,758,19730
POA2207,383,237,235,276,215,202,190,172,159,2068,5035,3309,3502,3889,3668,3383,2731,1799,1059,28382
POA2208,125,94,106,107,109,79,52,57,28,757,2325,1513,1417,1744,1802,1540,1285,852,406,12881
POA2209,154,105,154,141,130,122,95,49,34,991,2626,1799,2197,2230,1994,2037,1611,898,433,15825
POA2210,409,304,309,312,313,306,214,192,92,2451,5583,3988,4139,4241,4256,4267,3334,2317,1132,33262
POA2211,210,142,168,145,141,144,86,80,74,1188,2984,2160,2238,2305,2270,2407,1617,1023,604,17610
POA2212,214,154,181,151,160,117,122,130,180,1419,3252,2138,2337,2385,2169,2066,1495,813,538,17184
POA2213,271,175,179,192,191,170,101,79,49,1408,4598,2877,2726,3281,3208,2932,2062,1117,494,23290
POA2214,50,26,17,27,30,19,18,13,0,205,850,517,456,521,550,417,442,269,43,4074
POA2216,346,265,429,367,301,230,174,129,66,2310,4023,3251,5469,4477,3368,2943,2370,1502,611,28027
POA2217,292,179,392,286,256,193,145,179,246,2167,4422,3165,5196,4397,3567,3059,2251,1664,959,28673
POA2218,158,152,192,164,130,135,88,48,22,1089,2419,1973,2888,2421,1972,1982,1476,763,292,16182
POA2219,159,116,135,143,154,139,118,72,39,1073,2237,1363,1493,1751,2017,1859,1528,1076,443,13771
POA2220,250,319,446,220,196,187,155,117,152,2054,4520,5183,7642,4433,3485,3724,2682,1432,672,33761
POA2221,164,137,95,115,148,127,91,95,90,1065,2977,2240,1713,2062,2428,2294,1701,1066,587,17065
POA2222,129,104,172,122,102,81,76,46,71,902,1930,1589,2126,1762,1582,1598,1176,602,291,12660
POA2223,206,138,152,167,150,143,118,55,66,1200,3810,2488,2539,3119,2896,2728,2140,1114,576,21403
POA2224,183,90,75,142,124,98,85,79,50,919,2491,1647,1291,1733,2068,1798,1543,1348,649,14559
POA2225,54,29,27,33,45,27,24,9,9,248,1254,716,385,784,929,619,536,257,83,5560
POA2226,141,71,80,117,109,79,80,39,28,753,2721,1447,1344,1898,1950,1534,1222,640,302,13054
POA2227,141,104,95,111,138,93,74,49,21,837,3015,1848,1605,2090,2284,1874,1370,908,377,15364
POA2228,240,160,187,208,181,125,108,103,56,1363,3685,2262,2756,2982,2707,2287,1884,1492,941,21001
POA2229,435,232,265,266,310,222,160,103,160,2160,5893,3540,3607,4014,4221,3679,3064,1873,1050,30943
POA2230,294,231,289,254,278,315,212,127,124,2134,4444,3391,4508,3735,4088,4438,3578,1729,792,30690
POA2231,43,28,11,29,36,23,14,12,4,207,596,309,243,361,368,295,209,118,35,2528
POA2232,366,236,262,266,277,237,163,137,78,2024,6377,3944,4831,5110,4801,3877,3072,2258,1025,35304
POA2233,309,211,127,186,221,161,162,135,92,1600,6232,3677,2727,4184,4214,3337,2958,1916,707,29960
POA2234,282,206,132,174,211,216,128,56,26,1437,5709,4141,3049,3616,4185,4725,3451,1299,479,30648
POA2250,901,625,631,587,641,623,444,321,257,5021,12586,8241,8788,9066,9117,8942,7267,4713,2431,71168
POA2251,424,232,163,240,276,263,222,182,156,2156,6094,3621,2715,3814,4493,4652,4356,2797,1173,33721
POA2256,221,152,152,121,166,172,159,118,49,1314,2367,1486,1650,1807,2030,2295,2192,1555,653,16039
POA2257,477,259,238,283,316,313,327,218,87,2516,5035,2820,2633,3642,3838,4244,4384,2789,1015,30403
POA2258,69,70,29,44,54,51,26,8,15,366,955,689,578,660,748,795,517,239,75,5253
POA2259,1145,725,592,630,640,520,525,451,297,5520,12638,8266,7432,7870,8500,7909,7168,4772,1678,66236
POA2260,343,206,196,251,220,235,192,105,51,1791,4926,3037,2417,3248,3659,3332,3082,1663,467,25845
POA2261,908,542,514,553,533,538,488,368,296,4745,9940,5870,6391,6600,6678,7161,6720,3917,1851,55129
POA2262,402,244,229,231,249,200,150,114,48,1870,4202,2532,2846,2350,2637,2660,2239,1484,451,21411
POA2263,469,285,290,264,270,258,199,174,72,2289,4121,2639,2953,2625,2833,3237,3153,2089,910,24554
POA2264,262,145,133,125,125,140,133,108,44,1213,2631,1760,1726,1634,1834,2159,2167,1635,620,16162
POA2265,111,75,52,54,39,52,41,38,28,486,1465,835,975,814,807,841,813,568,344,7464
POA2267,52,26,16,27,26,36,40,22,9,256,422,234,231,302,319,482,560,304,79,2920
POA2278,26,17,19,22,19,19,16,5,0,147,476,325,335,343,333,378,296,62,15,2565
POA2280,380,206,186,184,240,220,186,131,73,1797,4722,3068,2670,3087,3550,3668,3501,2098,820,27183
POA2281,167,134,77,116,117,176,144,89,45,1068,2467,1511,1161,1662,2000,2379,2291,1364,494,15323
POA2282,165,121,71,98,132,127,116,71,48,948,2806,1848,1255,1948,2229,2131,2093,1389,450,16146
POA2283,387,219,194,194,234,233,211,136,79,1891,3906,2668,2449,2447,3039,3507,3592,2054,746,24419
POA2284,202,105,90,144,125,112,102,126,119,1112,2204,1380,1589,1541,1553,1675,1378,872,425,12612
POA2285,515,278,313,289,286,200,138,118,52,2185,6978,4093,4962,4943,4153,3473,2895,1699,669,33869
POA2286,80,43,38,41,32,43,26,19,3,332,920,578,708,562,556,549,510,253,55,4690
POA2287,540,407,391,336,310,278,174,113,86,2630,7766,5695,5982,5554,4909,4229,3567,2115,1027,40845
POA2289,220,158,152,143,150,143,92,50,38,1143,4010,2589,2609,2898,2680,2181,1583,1188,521,20257
POA2290,475,264,301,308,271,236,182,140,89,2272,6608,3854,4564,4520,4374,4142,3403,2282,1161,34912
POA2291,143,132,129,113,135,109,60,39,20,896,2421,1966,1888,1769,1990,1849,1372,692,325,14279
POA2292,28,34,56,28,27,14,12,3,6,212,401,395,498,378,331,298,199,94,42,2622
POA2293,21,27,47,34,23,22,14,5,0,186,397,451,763,448,370,427,294,115,34,3302
POA2294,22,26,23,32,21,18,18,3,3,169,310,227,432,295,243,264,184,75,30,2061
POA2295,112,84,66,68,63,100,106,51,20,671,1418,733,835,1006,895,1037,1258,678,233,8091
POA2296,17,25,21,25,17,8,7,0,0,124,264,280,450,316,294,218,135,52,15,2026
POA2297,16,18,13,22,23,15,10,3,0,119,299,239,333,273,250,225,117,56,21,1801
POA2298,83,143,120,83,74,64,76,93,173,911,1376,1511,1892,1230,1132,1031,782,625,569,10141
POA2299,178,178,195,120,131,93,63,73,75,1109,2018,2000,2030,1503,1356,1244,872,569,310,11905
POA2300,74,149,185,132,126,133,102,47,10,964,1148,1740,2527,1496,1539,1574,1274,589,149,12058
POA2302,5,9,26,8,10,8,0,11,5,88,80,158,362,144,113,179,167,135,73,1411
POA2303,124,147,133,120,159,112,74,33,30,933,1382,1331,1310,1192,1313,1288,1065,552,281,9710
POA2304,199,167,224,153,137,121,94,74,101,1262,2476,1773,3030,2214,1781,1799,1415,782,541,15807
POA2305,165,111,79,106,105,117,87,45,26,834,2505,1624,1367,1744,1887,1674,1316,683,316,13108
POA2306,174,66,83,65,63,45,41,18,5,577,758,399,457,380,422,426,353,186,42,3421
POA2307,65,61,77,59,25,36,22,34,10,381,709,729,942,499,362,396,438,352,120,4537
POA2308,0,402,10,3,0,0,0,0,0,419,0,1321,28,4,0,0,0,0,0,1358
POA2311,19,10,5,9,5,11,10,0,0,62,178,72,83,111,97,168,123,60,22,913
POA2312,22,16,0,12,19,11,14,9,0,103,255,148,119,154,200,272,221,107,21,1500
POA2315,134,130,90,101,117,157,184,161,153,1246,2021,1367,1125,1369,1808,2418,2764,1769,653,15287
POA2316,89,51,40,40,77,92,87,71,11,559,965,648,471,563,841,1064,1181,713,124,6577
POA2317,58,37,34,38,41,62,66,81,24,442,831,553,473,513,735,1014,1150,960,329,6553
POA2318,192,122,98,99,129,96,115,67,16,927,2854,1593,1404,1680,1807,1735,1605,847,155,13667
POA2319,103,66,56,57,69,68,78,35,12,554,1093,670,624,644,806,1105,1158,627,163,6887
POA2320,746,376,369,430,346,308,200,136,56,2958,8414,4715,5211,5214,4862,4419,3684,1936,712,39163
POA2321,347,167,198,205,153,117,103,62,14,1357,4569,2238,3133,2722,2262,2064,1783,861,230,19857
POA2322,404,242,276,203,174,182,94,65,27,1666,5296,3002,3935,3254,2875,2699,2042,1030,247,24373
POA2323,424,242,264,227,222,238,152,77,80,1925,4815,3263,3346,3204,3375,3257,2766,1476,545,26051
POA2324,543,222,244,245,288,287,262,214,119,2431,4270,2713,2592,2568,2978,3668,3799,2202,671,25443
POA2325,588,521,752,665,556,416,299,154,100,4047,5792,3644,4107,3792,3915,3909,3439,1735,736,31073
POA2326,174,94,83,77,93,76,63,30,9,686,1673,937,980,950,965,1029,847,389,103,7871
POA2327,168,81,107,76,82,80,49,42,16,704,1438,966,1162,810,992,940,880,439,202,7830
POA2328,59,25,33,28,35,35,30,20,12,279,447,292,280,292,338,340,288,160,70,2506
POA2329,43,22,31,38,26,42,33,21,4,259,422,202,213,226,258,288,294,156,77,2138
POA2330,420,260,277,224,271,237,126,67,19,1911,4569,2528,2956,2699,2900,2654,1874,930,340,21445
POA2331,6,126,24,5,0,4,5,0,0,170,3,446,87,9,14,10,8,0,0,581
POA2333,321,196,256,224,218,161,94,50,24,1542,2995,1629,1988,1804,1778,1644,1177,585,189,13795
POA2334,49,35,36,24,26,20,12,14,0,225,779,432,544,476,407,314,250,125,20,3349
POA2335,161,69,78,88,64,65,31,22,3,569,1943,967,1190,1173,1020,885,650,240,55,8124
POA2336,46,22,29,32,38,42,17,16,6,251,473,296,311,291,340,396,282,150,56,2589
POA2337,128,69,89,75,81,79,63,42,31,651,1550,871,1017,1043,1001,1023,839,499,221,8060
