POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA2000,13516,13005,26520,4894,3234,8125,2643,2701,5347,970,1082,2053,624,573,1199,9128,7594,16720,3213,4406,7619,6.8,7.6,7.2,67.6,58.4,63.1,62.9,53.9,58.5,1942,1870,3813,231,256,489,4209,4318,8530,1837,1974,3814,691,448,1137,66,74,138,156,183,343,911,700,1615,7973,7855,15823,5084,4834,9917,3035,3042,6077,9667,9297,18961
POA2007,3533,3400,6930,1140,861,2003,691,721,1416,253,287,541,253,181,433,2336,2048,4387,936,1099,2032,10.7,8.9,9.8,66.2,60.3,63.3,59.1,54.9,57.1,590,542,1134,59,73,134,1063,1103,2165,330,391,722,216,129,347,16,27,47,35,35,69,265,191,454,2060,1960,4023,1414,1398,2818,886,799,1685,2488,2486,4973
POA2008,5097,4895,9989,1901,1487,3390,794,927,1718,334,364,699,291,284,577,3316,3062,6379,1361,1449,2813,8.8,9.3,9.1,65.1,62.6,63.9,59.3,56.8,58.1,881,853,1731,99,122,228,1673,1774,3450,420,333,752,250,158,404,22,20,48,29,34,65,299,212,516,2743,2495,5235,2128,2188,4316,1084,853,1931,3686,3749,7435
POA2009,5727,5631,11362,2611,1974,4584,853,1004,1857,368,403,765,209,203,413,4034,3584,7614,1244,1652,2893,5.1,5.7,5.4,70.4,63.6,67.1,66.8,60,63.4,960,907,1872,154,198,346,1839,1831,3673,564,594,1162,424,288,712,32,52,77,66,91,157,517,433,954,4105,4142,8249,1732,1633,3363,2057,2208,4266,3534,3329,6865
POA2010,14609,10404,25009,7333,4643,11977,1946,1723,3673,782,669,1450,517,316,832,10583,7347,17931,2788,2305,5090,4.9,4.2,4.6,72.4,70.6,71.7,68.9,67.6,68.4,2299,1701,4003,417,382,796,5125,3941,9068,1238,945,2185,987,411,1402,72,64,135,162,133,294,1219,608,1826,9682,6798,16479,4349,3421,7769,4977,3270,8243,8739,6699,15431
POA2011,9372,8044,17415,4645,3399,8048,1151,1195,2348,454,406,855,344,259,597,6592,5253,11849,1797,1960,3758,5.2,4.9,5,70.3,65.4,68,66.7,62.2,64.6,1500,1258,2753,266,331,594,3099,2760,5856,819,829,1643,736,352,1088,53,44,93,156,153,310,942,554,1495,6221,5286,11508,2506,2304,4810,3188,2720,5909,5387,4740,10124
POA2015,5218,4902,10120,3128,2503,5639,697,917,1612,280,351,632,155,116,269,4257,3889,8146,685,771,1456,3.6,3,3.3,81.6,79.3,80.5,78.7,77,77.8,781,843,1623,163,193,355,1819,1877,3689,459,481,947,500,242,739,30,34,71,53,65,123,581,346,928,3822,3502,7321,1713,1696,3408,1844,1740,3586,3438,3250,6685
POA2016,6594,5404,11997,2831,2057,4884,895,932,1828,379,340,713,287,172,457,4393,3495,7891,1611,1460,3074,6.6,4.9,5.8,66.6,64.7,65.8,62.3,61.6,61.9,908,808,1715,186,169,352,1956,1873,3823,562,460,1016,522,253,774,46,40,86,86,79,167,656,369,1028,4508,3675,8181,1934,1735,3667,2574,2084,4659,3667,3131,6802
POA2017,14175,12532,26706,6615,4892,11513,1774,1928,3702,876,882,1759,578,522,1103,9845,8226,18070,3227,3421,6651,5.9,6.4,6.1,69.5,65.7,67.7,65.4,61.5,63.5,2125,2176,4296,301,325,633,4416,4339,8758,1225,1130,2357,1326,585,1914,72,86,154,152,157,313,1547,828,2374,8776,7780,16549,5239,4797,10036,3526,3205,6733,9992,8885,18873
POA2018,8591,8653,17240,3585,2949,6536,1283,1525,2808,565,543,1110,270,253,521,5699,5277,10980,2337,2895,5234,4.8,4.8,4.8,66.4,61,63.7,63.2,58.1,60.6,1053,1062,2110,109,209,316,2040,2405,4447,732,870,1602,1133,514,1646,36,75,112,129,182,309,1301,774,2073,7008,7104,14108,2249,2190,4440,4102,4341,8441,4678,4534,9212
