POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2465,5,0,5,42,22,9,71,183,20,281
POA2466,63,11,70,152,81,4,228,1264,112,1601
POA2469,57,14,75,407,180,26,605,2683,483,3771
POA2470,425,90,512,1987,802,101,2891,8388,1195,12469
POA2471,56,8,65,370,149,11,529,1484,316,2321
POA2472,24,4,28,308,106,5,419,1037,163,1620
POA2473,120,22,146,338,180,22,550,1957,252,2753
POA2474,131,56,186,776,320,50,1147,3712,548,5413
POA2475,11,0,14,32,8,0,46,269,34,351
POA2476,16,3,17,73,55,8,138,480,115,733
POA2477,421,52,478,1927,766,96,2788,7369,538,10696
POA2478,1131,215,1347,4711,1742,183,6638,18552,1751,26942
POA2479,81,10,89,964,284,29,1279,2902,466,4646
POA2480,958,134,1099,6627,2598,358,9590,25454,3059,38110
POA2481,172,30,204,1871,615,57,2549,7980,1221,11748
POA2482,116,12,133,1059,384,70,1513,3539,728,5781
POA2483,170,20,189,1820,588,97,2504,6310,922,9728
POA2484,422,174,603,2872,1100,123,4104,10821,1727,16651
POA2485,673,140,822,1736,716,72,2526,9725,1208,13453
POA2486,1448,198,1652,4604,1674,187,6461,19554,1693,27704
POA2487,374,44,419,2452,751,116,3318,8339,688,12347
POA2488,52,13,72,649,201,24,875,1713,215,2806
POA2489,198,49,244,1485,390,64,1940,3830,393,6170
POA2490,6,0,8,117,35,5,153,350,35,541
POA2500,847,200,1052,5388,1556,105,7044,28726,2375,38144
POA2502,387,28,422,1851,497,47,2398,7087,648,10130
POA2505,184,13,199,769,306,23,1091,2866,257,4216
POA2506,187,34,220,1093,382,37,1516,4369,430,6313
POA2508,80,57,142,2039,442,28,2505,4555,294,7355
POA2515,171,24,197,2358,588,28,2970,6140,315,9425
POA2516,99,5,107,1487,324,23,1832,3295,174,5304
POA2517,467,75,538,2609,631,53,3293,7533,463,11290
POA2518,560,103,670,3187,937,58,4189,11436,883,16509
POA2519,438,42,476,2838,770,56,3656,9942,694,14288
POA2525,269,59,322,2377,562,42,2980,6590,344,9916
POA2526,366,138,504,2949,857,63,3868,9032,685,13594
POA2527,396,130,526,4980,1407,159,6544,13159,878,20585
POA2528,550,141,694,3289,1213,111,4607,13712,1418,19737
POA2529,452,143,598,5124,1542,140,6812,15757,1094,23656
POA2530,716,61,781,6283,1802,166,8258,18744,1102,28108
POA2533,441,130,572,2604,1141,133,3879,9705,783,14365
POA2534,189,12,205,855,385,40,1276,3294,234,4804
POA2535,312,82,394,1013,432,51,1498,4913,472,6881
POA2536,623,52,675,2121,999,113,3229,11989,1293,16506
POA2537,397,53,449,1436,714,90,2240,8102,894,11243
POA2538,130,9,144,323,166,23,511,1521,163,2190
POA2539,555,70,631,2616,1136,104,3861,12358,1085,17304
POA2540,1198,172,1377,6183,2723,309,9221,28333,3390,40949
POA2541,855,72,932,4094,1445,204,5741,15216,1726,22680
POA2545,10,0,12,104,75,3,187,705,100,990
POA2546,375,63,447,1066,451,41,1564,6487,751,8795
POA2548,281,53,337,956,415,54,1426,5509,435,7372
POA2549,119,5,133,620,245,26,898,2326,207,3425
POA2550,295,93,390,2345,992,142,3479,9518,1146,14145
POA2551,98,40,140,400,218,24,647,2166,313,3131
POA2555,6,0,6,21,7,0,30,90,22,134
POA2556,32,10,42,309,103,0,417,1428,193,2042
POA2557,94,10,105,4785,573,55,5415,8745,619,14778
POA2558,64,8,76,1854,425,36,2320,6075,422,8810
POA2559,14,0,11,539,74,6,614,1186,284,2083
POA2560,812,166,973,14112,2949,308,17368,43356,4361,65085
POA2563,7,0,7,38,19,3,57,140,22,226
POA2564,103,23,126,2361,450,44,2851,7240,875,10966
POA2565,257,20,275,6479,942,111,7529,15330,1293,24155
POA2566,160,37,202,5089,969,98,6154,14008,1341,21499
POA2567,214,28,242,8701,1514,182,10389,19839,1042,31271
POA2568,51,67,121,144,52,0,206,687,182,1074
POA2569,18,0,18,249,80,6,329,746,44,1120
POA2570,801,147,951,14080,2293,310,16684,28947,2238,47868
POA2571,88,8,96,2671,579,77,3329,6329,529,10184
POA2572,93,88,178,970,230,16,1215,2847,356,4416
POA2573,80,11,91,1099,210,41,1350,2890,197,4435
POA2574,78,7,91,992,278,40,1311,3211,224,4749
POA2575,362,28,395,3070,907,104,4074,9713,669,14459
POA2576,681,170,859,1849,644,66,2566,8939,670,12174
POA2577,280,85,369,2477,856,88,3417,9546,934,13902
POA2578,104,22,129,328,134,13,470,1924,121,2519
POA2579,53,19,67,731,222,26,980,2488,300,3774
POA2580,753,80,834,4597,1817,203,6619,17244,2190,26053
POA2581,29,4,30,474,111,14,603,1208,169,1977
POA2582,260,39,305,2345,812,102,3261,7130,609,11000
POA2583,139,21,166,588,276,21,883,2702,319,3904
POA2584,9,0,11,82,29,3,113,286,42,440
POA2585,5,0,5,22,6,0,30,131,33,198
POA2586,65,14,81,350,143,11,502,1575,295,2366
POA2587,68,5,72,391,160,15,572,1650,204,2422
POA2588,6,3,7,38,9,3,48,185,22,249
POA2590,250,28,275,898,453,40,1395,4155,430,5981
POA2594,328,32,357,1824,608,82,2507,6472,726,9709
POA2619,54,0,55,1948,517,87,2551,4760,197,7509
POA2620,511,72,596,7903,2465,288,10663,23683,2627,36975
POA2621,54,4,57,1304,370,45,1720,3289,241,5248
POA2622,77,12,85,571,212,26,810,2350,295,3457
POA2623,6,3,7,85,29,0,119,338,27,489
POA2624,0,0,0,26,7,0,28,88,23,142
POA2625,3,0,5,40,9,0,50,194,119,363
POA2626,9,0,4,66,23,3,100,288,34,420
POA2627,40,3,43,805,203,35,1045,3099,262,4407
POA2628,39,3,44,372,105,11,489,1163,143,1793
POA2629,13,3,18,42,22,4,59,331,78,475
POA2630,252,35,284,1210,439,38,1685,4998,752,7432
POA2631,3,3,10,83,31,3,116,348,63,527
POA2632,49,0,52,256,105,10,371,1062,130,1564
POA2633,9,0,18,32,18,0,50,203,15,276
POA2640,904,108,1009,6426,2366,288,9086,21352,1876,32307
POA2641,335,44,385,2434,988,130,3547,8994,953,13496
POA2642,60,5,70,872,335,38,1247,2565,447,4258
POA2643,90,6,99,410,155,23,584,1772,139,2501
POA2644,61,4,64,331,104,10,448,1389,197,2032
POA2645,18,0,18,34,14,3,56,230,20,310
POA2646,225,36,265,859,414,32,1308,3998,476,5783
POA2647,65,19,79,315,150,14,478,1459,220,2158
POA2648,66,9,78,304,127,11,439,1430,393,2262
POA2649,0,0,0,11,0,0,11,13,0,22
POA2650,1281,229,1524,9964,3616,457,14030,31919,3013,48965
POA2651,13,0,13,525,115,19,661,1464,299,2422
POA2652,69,14,81,786,300,24,1113,2294,354,3760
POA2653,65,12,80,325,145,17,484,1374,330,2188
POA2655,43,4,49,234,84,12,328,691,68,1088
POA2656,61,4,61,181,90,4,278,730,71,1073
POA2658,46,7,55,195,80,8,289,817,118,1219
POA2659,15,0,17,91,48,7,153,474,82,710
POA2660,33,0,37,252,108,14,373,805,95,1268
POA2661,0,0,0,60,0,0,61,248,7,321
POA2663,92,12,102,644,245,25,914,2457,1066,4436
POA2665,53,4,63,290,123,19,429,1080,121,1627
POA2666,206,26,231,756,343,26,1132,3212,275,4610
POA2668,4,0,7,58,12,0,67,219,32,325
POA2669,24,0,26,233,78,7,312,742,158,1217
POA2671,125,23,149,603,259,30,897,1995,300,3190
POA2672,40,7,44,205,92,8,304,739,146,1186
POA2675,38,4,44,239,75,3,320,849,178,1344
POA2678,0,0,0,0,10,0,10,416,7,433
POA2680,513,151,667,3772,1372,133,5281,13230,1906,20420
POA2681,17,0,20,288,93,12,392,941,111,1451
POA2700,158,13,168,665,268,31,966,2546,388,3899
POA2701,77,16,93,399,165,19,584,1261,133,1981
POA2702,14,0,17,112,55,6,165,437,44,644
POA2703,5,0,5,91,30,3,126,417,22,565
POA2705,237,37,279,1520,630,59,2214,5414,827,8457
POA2706,10,5,10,134,38,12,185,587,103,872
POA2707,33,9,40,174,79,11,267,600,86,951
POA2710,278,40,323,1203,516,80,1803,5428,827,8058
POA2711,79,16,90,388,181,15,579,1760,347,2687
POA2712,38,33,70,162,59,4,232,804,131,1168
POA2713,101,13,113,353,136,15,513,1499,269,2279
POA2714,92,20,116,328,142,26,493,1750,270,2514
POA2715,34,7,43,175,67,6,255,717,151,1120
POA2716,20,7,30,119,50,0,170,563,95,820
POA2717,18,3,25,122,67,4,193,626,179,996
POA2720,207,18,228,1231,488,54,1768,4536,559,6869
POA2721,0,0,0,28,8,4,42,113,24,177
POA2722,74,14,89,472,200,25,690,1758,324,2775
POA2725,3,0,5,40,21,5,63,214,23,298
POA2726,8,6,10,40,20,0,68,114,29,204
POA2727,0,0,0,53,18,0,75,152,40,272
POA2729,33,0,37,238,88,7,333,922,76,1326
POA2730,48,0,49,151,68,5,222,804,93,1117
POA2731,156,62,219,1090,330,46,1469,4219,483,6171
POA2732,88,19,106,191,93,14,299,1173,139,1617
POA2733,8,4,18,72,27,10,103,279,101,477
POA2734,3,0,6,67,32,0,102,256,32,390
POA2735,3,0,8,53,29,0,87,226,21,329
POA2736,10,0,6,48,24,3,69,230,44,347
POA2737,3,4,8,106,32,4,144,376,123,650
POA2738,20,0,21,411,128,22,564,963,93,1623
POA2739,17,0,17,192,84,13,289,722,114,1126
POA2745,189,12,203,6748,1194,139,8088,15651,767,24500
POA2747,463,59,530,11016,1848,232,13096,25811,2668,41577
POA2748,37,0,40,202,94,11,310,1187,55,1548
POA2749,112,4,118,3310,767,88,4164,8323,642,13133
POA2750,779,316,1099,7993,1746,170,9903,27682,2861,40446
POA2752,40,3,45,1188,232,16,1439,2834,190,4467
POA2753,416,91,515,2736,703,59,3494,10083,994,14575
POA2754,172,19,189,1206,275,27,1509,3997,227,5728
POA2756,329,21,358,6548,1417,174,8146,18380,1395,27915
POA2757,22,0,22,136,35,0,176,499,26,703
POA2758,119,7,125,1543,381,26,1952,5089,227,7270
POA2759,160,25,179,4608,1235,89,5929,14099,1015,21045
POA2760,375,136,514,6680,1016,134,7826,18184,2713,28723
POA2761,262,18,285,6448,1085,124,7658,17692,1410,26753
POA2762,47,5,49,5876,494,73,6442,8410,889,15740
POA2763,226,15,243,7282,960,74,8314,16206,1087,25607
POA2765,215,22,245,11045,1323,144,12512,18475,2791,33776
POA2766,370,187,564,2827,505,35,3371,9094,1121,13585
POA2767,199,18,220,3861,764,64,4687,12921,1096,18702
POA2768,136,8,145,6044,754,76,6872,14132,1890,22895
POA2769,134,8,142,4616,394,36,5047,6103,372,11518
POA2770,436,54,493,8919,1861,209,10981,30977,4712,46671
POA2773,110,4,115,1094,301,21,1413,3348,111,4872
POA2774,141,13,157,2536,604,32,3178,6885,262,10325
POA2775,19,0,21,148,43,0,188,1023,142,1349
POA2776,53,5,53,823,185,16,1023,2165,96,3278
POA2777,495,84,581,3240,816,76,4127,9944,440,14512
POA2778,23,5,32,424,95,7,530,1442,59,2032
POA2779,53,3,59,995,188,24,1209,2752,117,4077
POA2780,303,52,354,1783,469,64,2323,8711,584,11613
