POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA2000,2526,4903,1517,1647,1484,1131,457,1464,402,15520
POA2007,479,1354,343,470,402,302,163,345,89,3957
POA2008,806,2541,397,578,622,413,99,244,94,5805
POA2009,1572,2679,481,617,802,446,145,319,143,7204
POA2010,3538,7801,928,1116,1630,985,231,569,306,17102
POA2011,2522,4845,639,777,1217,631,143,308,174,11250
POA2015,1665,3398,529,476,863,485,139,209,114,7880
POA2016,1283,3301,493,525,785,425,146,330,142,7428
POA2017,2977,6946,1418,1163,1905,1163,394,711,295,16966
POA2018,1627,3301,1060,914,1414,823,482,636,191,10450
POA2019,1251,1816,871,711,1117,563,384,433,130,7271
POA2020,1536,3538,1420,1231,1672,976,635,994,279,12287
POA2021,2082,4284,388,464,885,577,75,159,145,9055
POA2022,1504,2961,538,511,736,468,128,312,151,7311
POA2023,1301,2397,246,297,578,406,44,109,164,5536
POA2024,1340,2682,388,371,600,359,64,139,110,6055
POA2025,880,1818,119,181,326,247,14,60,82,3734
POA2026,4285,8158,1277,1251,1669,1331,331,562,399,19258
POA2027,1079,1786,134,189,417,279,24,67,128,4104
POA2028,638,1190,90,125,281,184,19,39,77,2643
POA2029,1225,1930,307,362,578,384,67,117,128,5093
POA2030,1803,2662,285,402,759,521,48,127,171,6778
POA2031,3595,8146,1473,1388,2069,1176,357,627,300,19133
POA2032,892,2489,648,660,852,526,277,454,119,6915
POA2033,879,2341,521,539,768,474,162,303,93,6080
POA2034,2430,4776,905,841,1257,703,145,313,226,11596
POA2035,2923,5658,1682,1500,2141,1187,548,900,306,16846
POA2036,2390,4062,1868,1606,2217,1229,826,1054,275,15522
POA2037,1666,4140,500,650,984,524,136,296,168,9072
POA2038,1139,2416,332,343,586,332,66,120,74,5403
POA2039,1313,2050,286,232,527,307,66,122,59,4964
POA2040,2765,5175,850,865,1349,767,209,337,160,12468
POA2041,2214,3696,405,433,851,484,66,146,101,8397
POA2042,2086,5360,854,963,1320,675,226,365,178,12016
POA2043,1437,3305,400,344,713,330,78,109,94,6805
POA2044,923,1781,446,347,627,301,161,231,75,4893
POA2045,626,1182,242,236,429,251,73,112,24,3171
POA2046,3039,4680,1145,910,1998,1038,314,514,239,13877
POA2047,1507,2454,409,395,855,458,87,183,121,6474
POA2048,775,2074,317,362,531,268,92,147,46,4604
POA2049,1224,3136,512,529,885,380,149,283,73,7178
POA2050,1079,2825,355,509,641,355,76,144,71,6060
POA2060,1911,4254,457,496,1084,475,73,179,165,9083
POA2061,900,1662,107,123,383,204,23,49,61,3505
POA2062,979,1758,200,226,468,235,36,76,40,4007
POA2063,737,1251,123,178,333,183,31,57,73,2954
POA2064,811,2227,296,323,600,295,80,164,84,4888
POA2065,4275,9001,998,1042,2191,996,172,374,276,19324
POA2066,3899,7837,1118,1185,2194,1154,252,470,293,18412
POA2067,2287,5111,936,945,1600,983,253,555,257,12907
POA2068,1985,3424,435,513,1039,624,149,237,135,8535
POA2069,1588,3013,338,414,779,485,87,213,136,7049
POA2070,1526,3014,308,404,791,461,80,168,120,6872
POA2071,1289,2643,274,353,819,445,86,172,116,6198
POA2072,878,1859,258,270,499,326,62,107,83,4353
POA2073,1997,3550,406,471,1040,558,83,238,146,8496
POA2074,2448,4504,546,718,1367,697,143,298,162,10874
POA2075,2312,3760,551,619,1249,786,157,255,175,9854
POA2076,2403,4721,685,926,1524,778,164,386,184,11759
POA2077,2903,8044,2015,2207,2869,1431,644,1327,351,21785
POA2079,666,1323,480,427,582,298,139,256,42,4216
POA2080,146,277,109,82,121,60,29,55,3,890
POA2081,510,895,311,266,439,188,71,164,34,2876
POA2082,459,830,386,259,392,214,83,138,25,2793
POA2083,174,232,120,73,101,38,15,69,12,843
POA2084,391,457,252,149,226,158,56,98,15,1802
POA2085,1197,1605,530,416,782,486,146,229,62,5450
POA2086,1500,2188,768,582,929,588,205,338,85,7178
POA2087,1337,2097,498,514,813,498,151,239,68,6214
POA2088,3508,5881,587,842,1556,1007,147,296,331,14153
POA2089,1576,2961,378,421,809,450,71,134,100,6908
POA2090,1871,3285,376,438,878,448,92,170,126,7678
POA2092,992,1244,203,244,370,271,42,67,57,3484
POA2093,2854,4262,929,954,1389,950,268,383,183,12173
POA2094,838,1375,207,265,351,224,53,87,53,3444
POA2095,2346,3986,567,585,858,613,133,212,161,9451
POA2096,1940,3064,899,725,877,573,180,278,145,8688
POA2097,1652,2252,1148,785,1126,734,270,389,107,8471
POA2099,3842,5994,2919,2612,2784,1966,994,1746,363,23226
POA2100,2239,3112,1323,1045,1514,1017,400,646,151,11455
POA2101,1907,2709,1406,973,1252,808,317,492,135,9996
POA2102,804,1085,505,405,580,385,132,183,60,4136
POA2103,1014,1390,747,489,710,471,170,257,98,5337
POA2104,393,407,119,108,180,119,41,62,32,1449
POA2105,229,319,101,62,98,67,10,46,25,956
POA2106,1096,1480,662,432,616,432,122,251,78,5166
POA2107,1665,2252,867,615,807,555,145,334,125,7359
POA2108,194,265,71,46,83,70,9,20,23,775
POA2110,1146,1643,219,261,564,301,55,98,86,4375
POA2111,1822,2892,662,600,1155,568,149,278,111,8232
POA2112,3187,6620,1859,1496,2831,1499,547,860,334,19244
POA2113,2199,6004,1157,993,1980,1167,340,592,243,14674
POA2114,1892,4980,1200,1023,1857,912,366,709,247,13181
POA2115,883,1569,763,477,853,433,249,369,96,5689
POA2116,453,874,406,263,545,281,202,217,67,3314
POA2117,1465,2799,1022,864,1540,747,456,578,214,9687
POA2118,1730,4340,1141,987,1826,899,432,614,256,12221
POA2119,1167,2495,338,355,808,425,76,163,67,5907
POA2120,1874,4024,862,844,1447,709,200,438,126,10521
POA2121,2455,7388,1183,1129,2191,1102,357,650,264,16718
POA2122,1996,5356,1309,1157,1968,1087,451,756,297,14373
POA2125,1665,3150,570,499,1187,600,149,290,125,8216
POA2126,1706,3546,637,637,1394,665,192,314,152,9248
POA2127,2345,4928,993,882,1870,927,393,458,252,13048
POA2128,134,263,137,95,170,75,83,68,38,1060
POA2130,714,1934,294,281,543,252,91,140,66,4318
POA2131,1420,4302,1109,1215,1494,825,419,935,214,11925
POA2132,781,1819,399,354,728,407,145,254,106,4995
POA2133,759,1471,524,406,826,393,212,278,93,4961
POA2134,917,2555,792,923,1009,736,364,918,263,8467
POA2135,1650,4396,1138,1267,1569,1178,418,1438,291,13347
POA2136,537,1108,338,300,592,268,157,236,82,3610
POA2137,2752,4489,1194,1012,2200,1073,348,591,264,13924
POA2138,1726,4227,832,695,1449,737,266,439,190,10556
POA2140,1079,3596,1050,1107,1296,888,616,1098,301,11034
POA2141,1373,3610,1678,1404,1746,1068,1009,1704,478,14060
POA2142,897,2321,1177,1299,1289,919,1010,1456,318,10685
POA2143,333,828,392,376,503,239,305,366,123,3470
POA2144,860,2187,1669,1890,1284,1213,1274,2371,553,13300
POA2145,4430,12104,3508,3058,5882,2711,2925,2675,895,38193
POA2146,1001,2452,969,794,1372,625,771,714,179,8895
POA2147,1967,4067,2077,1628,2511,1194,1459,1343,305,16542
POA2148,2569,5795,3328,3069,4328,2309,4110,2993,717,29215
POA2150,1858,7464,1300,1587,2169,1177,1120,1418,391,18480
POA2151,1422,3304,938,839,1538,704,442,525,166,9886
POA2152,779,1713,482,444,844,376,257,286,98,5295
POA2153,5313,10365,2776,2232,4664,2264,948,1312,469,30336
POA2154,3770,6722,1544,1378,2831,1592,440,783,285,19349
POA2155,7255,12466,3680,3248,5920,3317,1311,1767,615,39587
POA2156,1425,1660,838,464,1003,542,170,319,102,6521
POA2157,457,434,360,127,264,168,80,141,34,2058
POA2158,880,1145,477,277,649,337,109,207,88,4173
POA2159,528,618,331,215,321,196,73,151,30,2461
POA2160,1253,2637,1573,1427,1922,1127,1170,1355,388,12855
POA2161,878,1717,1303,1063,1497,750,989,947,341,9497
POA2162,558,1221,743,637,896,484,670,653,182,6033
POA2163,157,425,307,312,320,200,381,353,94,2551
POA2164,622,1076,878,670,1015,556,832,643,149,6443
POA2165,803,1844,1383,1142,1628,1023,1609,1669,346,11460
POA2166,1203,2607,1823,1745,1966,1454,2708,2847,612,16957
POA2167,449,1260,488,536,701,282,424,402,116,4659
POA2168,1065,1952,1763,1554,2005,1191,2078,1808,378,13789
POA2170,4231,8446,5003,4483,6441,3404,4542,4003,987,41534
POA2171,2108,3427,1997,1485,2853,1513,1689,1370,328,16775
POA2172,307,435,190,154,266,104,61,57,27,1596
POA2173,950,1881,978,1090,1257,519,474,404,129,7690
POA2174,709,1636,511,574,824,411,417,369,110,5564
POA2175,123,110,104,42,153,47,70,54,30,727
POA2176,1744,3334,2109,1527,2758,1521,1793,1714,368,16870
POA2177,515,981,699,524,823,477,822,775,136,5751
POA2178,352,270,264,123,312,129,145,155,40,1785
POA2179,921,1770,847,656,1113,559,667,521,156,7206
POA2190,1001,1838,952,750,1331,783,603,665,220,8149
POA2191,355,604,322,247,457,228,136,173,44,2575
POA2192,543,1133,614,643,776,451,390,468,143,5155
POA2193,1299,2826,803,755,1230,655,356,548,160,8623
POA2194,929,2098,1202,1332,1155,931,702,1341,296,9993
POA2195,548,1437,826,1026,839,949,961,982,241,7805
POA2196,1166,2219,1311,1220,1741,1132,1050,1025,316,11184
POA2197,317,586,366,304,466,278,287,280,71,2951
POA2198,443,707,477,296,598,284,220,227,81,3338
POA2199,586,1264,726,635,1018,558,565,685,170,6191
POA2200,1382,3316,1789,1805,2273,1382,1455,1752,451,15604
POA2203,1356,3083,684,576,977,481,218,314,93,7789
POA2204,2374,5715,1311,1075,1721,826,439,698,254,14408
POA2205,1665,4158,1329,1095,1816,1021,642,1074,293,13108
POA2206,1546,2580,911,632,1329,722,329,442,187,8680
POA2207,1659,3328,1373,1019,1935,1005,738,882,227,12168
POA2208,788,1421,591,415,890,528,315,359,111,5417
POA2209,810,1762,694,625,1037,563,429,480,150,6543
POA2210,1816,3613,1602,1299,2276,1158,824,908,282,13777
POA2211,980,1927,890,725,1335,604,521,564,141,7688
POA2212,947,1768,809,671,1219,602,519,509,150,7182
POA2213,1538,2606,1213,970,1936,874,576,649,205,10572
POA2214,258,374,282,184,336,165,93,115,30,1831
POA2216,1575,3112,1525,1531,1805,1264,800,1441,310,13352
POA2217,1745,3865,1448,1407,1933,1168,700,1181,254,13692
POA2218,821,2032,828,825,1084,731,441,757,169,7686
POA2219,1074,1559,703,507,1050,592,248,333,116,6183
POA2220,1544,3885,1660,2053,1940,1613,785,1833,380,15690
POA2221,1364,2288,709,534,1275,693,307,373,177,7713
POA2222,655,1698,647,660,905,533,302,566,96,6055
POA2223,1665,3364,1020,905,1658,824,371,535,187,10538
POA2224,1297,1562,752,517,1030,627,283,323,153,6548
POA2225,597,860,300,225,406,232,66,105,38,2823
POA2226,1200,2014,747,563,1018,479,189,280,71,6566
POA2227,1440,2048,1091,774,1256,659,250,348,115,7969
POA2228,1652,2590,1269,1066,1495,927,418,600,173,10193
POA2229,2907,3879,1933,1526,2439,1263,511,772,243,15470
