POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2000,1418,4036,10684,5424,2398,1872,1310,625,165,27936
POA2007,485,1528,2654,1281,600,389,292,122,56,7410
POA2008,409,3142,3861,1384,686,504,295,97,25,10400
POA2009,1298,1003,3197,2708,1489,1325,1087,447,98,12658
POA2010,1434,2358,8431,5247,3422,2706,1653,863,330,26443
POA2011,770,1238,5205,3462,2440,2119,1651,872,418,18187
POA2015,1305,959,3634,2464,1455,884,493,179,44,11422
POA2016,1074,1327,3578,2286,1649,1391,978,569,211,13072
POA2017,2294,4046,11184,5261,2272,1779,1293,634,233,29003
POA2018,2634,2448,4905,3264,2238,1724,1359,959,339,19878
POA2019,2540,1457,2296,2304,1907,1381,925,499,155,13467
POA2020,2537,3579,7408,3256,1794,1394,917,522,190,21591
POA2021,1948,1469,3288,2406,2051,1549,1195,772,267,14946
POA2022,1958,1244,3211,2222,1628,1206,1046,688,306,13509
POA2023,1821,1246,1593,1449,1409,1257,1083,555,177,10590
POA2024,2055,1070,1909,1765,1630,1199,813,542,401,11380
POA2025,1101,645,1143,983,886,768,789,589,284,7189
POA2026,4669,2661,9669,5951,3931,2496,1791,1079,449,32693
POA2027,852,615,1257,1048,882,954,1025,831,341,7810
POA2028,579,426,1005,663,509,488,532,365,144,4709
POA2029,1616,1011,1427,1452,1326,1063,936,710,361,9911
POA2030,2746,1954,1264,1698,2315,1825,1391,814,428,14434
POA2031,5237,3498,7238,5497,4386,3218,2368,1502,890,33830
POA2032,1979,2456,2880,1925,1691,1407,1126,781,397,14643
POA2033,1438,2536,2503,1670,1228,1017,717,530,291,11927
POA2034,3067,1914,4648,3337,2636,2058,1460,815,312,20249
POA2035,5624,3787,5183,5192,4657,3922,3033,2167,1030,34602
POA2036,5725,3918,4930,4941,4635,3948,3083,1861,728,33767
POA2037,1765,2154,3813,2724,2005,1863,1468,678,180,16641
POA2038,1517,953,1648,1581,1444,1052,815,343,133,9487
POA2039,1474,665,1292,1604,1353,968,796,337,55,8553
POA2040,4389,2145,3275,4035,3605,2386,1686,854,427,22803
POA2041,2633,1262,1814,2465,2555,2104,1710,838,208,15584
POA2042,1850,2379,5280,3257,2532,1810,1025,397,145,18673
POA2043,1052,693,3105,2225,1251,806,350,145,37,9657
POA2044,1251,728,1859,1668,1072,757,573,274,108,8278
POA2045,1068,836,506,658,1040,937,704,445,289,6480
POA2046,4730,2472,3154,4146,4081,3417,2722,1675,885,27288
POA2047,1882,1083,1719,1798,1699,1488,1190,746,406,12011
POA2048,995,907,1657,1219,1160,749,479,324,130,7619
POA2049,1587,1391,2918,2090,1669,1176,810,430,200,12258
POA2050,722,1813,2612,1696,1117,761,438,173,51,9381
POA2060,1572,1324,3627,2688,1770,1625,1348,906,273,15135
POA2061,387,391,1389,946,734,851,764,538,155,6158
POA2062,1319,518,1058,1247,1083,766,652,362,91,7088
POA2063,1328,799,361,764,1041,850,669,412,270,6493
POA2064,1852,880,1464,1926,1230,874,702,345,156,9417
POA2065,4593,2588,6893,6233,4078,3054,2514,1281,464,31698
POA2066,6490,3411,5053,6000,4565,3419,2642,1573,703,33844
POA2067,4573,2981,4358,4864,3525,2609,2253,1235,673,27078
POA2068,3676,2074,1272,2490,2903,2142,1548,879,460,17450
POA2069,2939,1918,1187,1938,2227,1761,1401,840,383,14604
POA2070,2976,1856,1224,2065,2185,1724,1347,855,412,14648
POA2071,2462,1930,1118,1684,2092,1716,1268,825,430,13510
POA2072,1503,1185,1061,1293,1325,1039,773,434,187,8795
POA2073,3531,2329,1296,2350,2664,2259,1573,850,370,17221
POA2074,4320,2959,1527,2924,3476,2873,2249,1917,1174,23423
POA2075,4555,2443,1262,2977,3224,2608,2141,1702,760,21665
POA2076,4818,3306,1672,3283,3834,3014,2375,1852,1188,25340
POA2077,8270,4375,6077,8131,5615,4332,3460,1799,766,42819
POA2079,1555,951,834,1148,1193,1088,621,332,94,7816
POA2080,373,210,143,238,284,235,163,91,21,1766
POA2081,1124,728,390,699,881,762,459,289,59,5394
POA2082,1159,669,327,771,929,647,591,294,75,5458
POA2083,208,151,140,180,254,340,237,134,21,1665
POA2084,661,478,237,368,609,523,438,308,136,3759
POA2085,2141,1441,587,1262,1882,1271,1233,1147,484,11452
POA2086,3150,1862,1041,1922,2391,1597,1119,872,256,14214
POA2087,2803,1743,720,1602,2211,1572,1047,992,470,13161
POA2088,4611,2963,2935,3649,4238,3727,3073,2216,916,28329
POA2089,1484,967,2483,2042,1408,1227,1004,619,248,11491
POA2090,1976,1098,2233,2211,1850,1589,1481,823,270,13533
POA2092,1708,951,434,903,1325,937,590,390,147,7384
POA2093,5037,2615,2322,3366,3913,2774,1849,1131,538,23555
POA2094,1059,561,958,977,852,790,527,317,102,6141
POA2095,2184,1325,3549,2809,2051,1853,1310,854,357,16296
POA2096,2651,1507,2715,2388,2241,1642,1063,554,197,14955
POA2097,2995,2061,1644,2075,2524,1990,1419,899,385,15991
POA2099,7482,4812,6524,6679,6164,4834,3287,2209,932,42917
POA2100,4415,2698,2191,3038,3517,2589,1782,1144,601,21973
POA2101,3478,2075,2107,2573,2746,2454,1990,1483,974,19885
POA2102,1827,964,652,1197,1312,894,681,540,304,8379
POA2103,1798,1228,945,1181,1530,1472,1390,914,419,10877
POA2104,462,357,184,250,465,537,613,629,305,3807
POA2105,272,228,96,168,338,391,310,165,31,2008
POA2106,1541,1176,960,984,1453,1624,1148,612,164,9659
POA2107,2884,1763,914,1648,2268,2408,2044,1088,408,15422
POA2108,173,150,100,121,209,326,365,248,44,1740
POA2110,1730,1307,630,1040,1477,1230,1088,740,598,9846
POA2111,2606,1602,2245,2316,2198,1808,1385,866,434,15456
POA2112,6582,3958,6779,6451,4495,4176,3006,1676,901,38026
POA2113,4122,3846,6188,4582,2876,2533,1770,1048,664,27637
POA2114,4048,2610,4868,4388,2976,2817,2121,1026,410,25267
POA2115,2458,1383,1975,2053,1582,1460,1047,499,231,12686
POA2116,1390,882,1039,1066,1011,927,548,303,106,7274
POA2117,4158,2626,2708,3255,3099,2924,1919,1024,471,22185
POA2118,5832,3027,3205,4744,3396,3198,2450,1475,561,27888
POA2119,2360,1616,859,1564,1854,1622,1329,900,348,12458
POA2120,4017,2674,1763,2896,3296,2651,2003,1244,442,20988
POA2121,6483,4025,5231,5643,4189,3744,2854,1383,650,34209
POA2122,4900,3432,4972,4833,3701,3710,3056,1680,900,31187
POA2125,3037,2112,1345,2121,2220,2457,2142,886,291,16620
POA2126,3511,2604,1369,2556,2812,2634,2065,1015,511,19082
POA2127,3673,1997,7206,4923,2307,1640,1061,322,63,23198
POA2128,474,398,902,879,474,260,149,53,13,3600
POA2130,1004,712,1640,1260,1001,764,521,238,145,7288
POA2131,2701,2711,5272,3531,2561,2378,1816,1237,816,23012
POA2132,1690,1264,1422,1388,1475,1351,1006,703,453,10755
POA2133,1912,1284,1297,1454,1660,1393,1095,587,245,10929
POA2134,1724,3343,5119,2314,1758,1664,1184,678,428,18224
POA2135,2921,5119,5863,2881,2554,2711,1922,1243,704,25915
POA2136,1285,921,1130,1113,1029,973,660,448,202,7763
POA2137,4453,3093,3730,3868,3835,3507,2822,1696,715,27726
POA2138,2863,2142,5312,3550,1972,1746,1290,601,202,19686
POA2140,3112,2784,6897,3732,1606,1370,797,348,123,20766
POA2141,4603,4178,7637,4704,3680,3755,2354,1075,439,32425
POA2142,5126,4087,6558,4324,2819,2386,1687,760,252,27993
POA2143,1879,1357,1612,1286,1130,1218,807,340,148,9774
POA2144,6872,6488,9013,5317,4000,3657,2288,1189,515,39333
POA2145,18355,9542,14782,16042,9610,7819,6164,3736,1476,87531
POA2146,3943,2248,3093,3326,2348,1922,1453,857,261,19456
POA2147,7122,4520,5104,5606,4708,4258,3562,1766,643,37285
POA2148,13062,8700,11769,10621,7520,6737,5062,2788,1229,67483
POA2150,5651,4000,11129,7361,2579,2113,1461,678,274,35254
POA2151,3862,2296,2927,3688,2807,2362,1798,1061,396,21204
POA2152,2169,1120,1479,1840,1510,1098,944,758,346,11261
POA2153,12925,7120,6221,10388,8456,6775,5899,3541,1294,62610
POA2154,7675,5089,3403,5805,5835,4919,4239,2545,1371,40874
POA2155,17878,10516,8519,13788,11288,6783,4299,2060,559,75699
POA2156,2313,1953,919,1321,1973,1803,1549,1139,443,13403
POA2157,807,549,334,478,619,542,433,221,66,4042
POA2158,1561,1189,721,880,1364,1245,941,711,326,8937
POA2159,886,646,432,520,737,741,592,416,182,5148
POA2160,8092,5247,7138,5791,4401,3981,2639,1469,633,39388
POA2161,7953,4954,5894,4536,3632,3364,2250,1226,569,34379
POA2162,4475,3022,2696,2496,2417,2362,1558,781,493,20306
POA2163,2038,1476,1565,1367,1327,1217,927,387,235,10544
POA2164,4221,2704,2795,2553,2605,2579,2124,1192,499,21273
POA2165,8418,6167,5754,5729,5949,5794,4128,2284,831,45046
POA2166,9009,7893,7314,6532,7602,7512,4754,2304,1253,54184
POA2167,2205,1213,1537,1759,1270,1069,727,430,327,10536
POA2168,9781,6899,5719,5569,5585,5932,3423,1628,486,45023
POA2170,24138,15188,17018,16392,14110,12336,8538,4808,1947,114479
POA2171,9299,6006,4753,5954,5527,4048,2214,826,248,38882
POA2172,580,406,321,383,483,402,217,86,17,2892
POA2173,3262,2143,2154,2245,2071,1552,717,311,90,14544
POA2174,3257,1572,2207,2428,1346,729,386,113,36,12080
POA2175,297,241,181,177,254,256,190,153,42,1790
POA2176,8549,6866,6075,5678,6252,7102,5762,2699,1028,50022
POA2177,3151,2510,2275,2027,2199,2385,1705,633,274,17154
POA2178,682,644,426,432,629,548,472,227,109,4170
POA2179,4154,1644,3341,2789,1466,1158,952,548,211,16262
POA2190,6527,4136,3391,3475,3200,2954,2151,1208,512,27559
POA2191,1246,807,749,848,938,816,589,401,159,6555
POA2192,2214,1690,2210,1902,1811,1630,1182,789,348,13781
POA2193,2713,1994,3317,2770,2284,2051,1411,896,335,17778
POA2194,3390,3245,5519,4150,3414,3045,1904,981,493,26132
POA2195,6581,3010,5463,4400,2629,2242,1511,859,409,27103
POA2196,7031,4778,4963,4431,4130,3711,2546,1512,637,33743
POA2197,2403,1391,1301,1249,1163,1096,806,477,239,10121
POA2198,2290,1268,1117,1248,1187,891,810,692,340,9843
POA2199,4325,2733,2802,2457,2273,2228,1630,798,400,19651
POA2200,10152,6411,8109,6649,5442,5083,3437,1850,864,48003
POA2203,1974,1387,2731,2414,2043,1576,975,611,226,13946
POA2204,3546,2582,5806,4445,3627,2747,1944,1294,570,26567
POA2205,3167,3301,8543,4273,2201,1740,1173,672,280,25338
POA2206,3276,2263,1982,2461,3094,2473,1880,1527,758,19730
