POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2738,0,5,0,5,..,11,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,9,5,10,0,10,..,72,13,85,0,87,..,0,0,0,115,115,1934,72,13,85,116,2132
POA2739,0,3,0,3,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,40,7,42,0,43,..,94,13,111,0,108,..,6,0,5,131,140,1167,101,11,113,137,1414
POA2745,0,45,0,45,..,30,6,42,0,42,..,39,9,50,0,50,..,56,9,62,0,62,..,600,78,678,12,692,..,4584,487,5070,39,5110,..,85,16,98,788,884,25848,4673,495,5170,831,31847
POA2747,26,329,4,331,..,132,37,170,0,165,..,74,13,90,0,94,..,96,29,123,6,126,..,1733,185,1912,43,1956,..,11773,1349,13120,152,13272,..,210,36,252,2900,3153,37978,11985,1388,13371,3055,54397
POA2748,0,7,0,7,..,5,0,5,0,5,..,11,0,11,0,11,..,0,0,0,0,0,..,111,12,124,0,123,..,399,33,430,0,429,..,7,4,13,35,49,1317,409,37,444,34,1798
POA2749,0,8,0,10,..,26,7,38,0,35,..,21,0,26,0,26,..,18,9,23,0,23,..,329,37,368,0,372,..,1463,180,1646,12,1662,..,57,9,65,734,798,14576,1521,191,1713,747,17029
POA2750,9,107,3,114,..,125,43,176,3,178,..,49,11,56,0,56,..,88,8,96,0,103,..,906,116,1021,28,1054,..,5273,807,6079,98,6175,..,173,21,195,2869,3068,39957,5449,824,6275,2970,49204
POA2752,0,0,0,0,..,8,3,13,0,13,..,5,0,5,0,5,..,0,0,4,0,4,..,129,12,135,0,137,..,388,41,432,0,431,..,10,0,17,170,186,5131,399,43,441,175,5747
POA2753,0,8,0,8,..,17,6,20,0,20,..,3,0,5,0,5,..,5,4,11,0,11,..,389,37,426,5,429,..,1503,161,1662,16,1678,..,62,6,71,991,1065,14848,1565,167,1731,1006,17587
POA2754,0,0,0,0,..,18,0,19,0,19,..,0,0,0,0,0,..,4,5,10,0,10,..,88,10,103,0,108,..,424,45,471,4,480,..,14,0,14,239,248,6333,437,45,485,247,7065
POA2756,0,13,0,13,..,34,3,37,0,37,..,22,0,26,0,26,..,34,9,47,0,47,..,479,55,534,9,540,..,1961,277,2242,25,2262,..,90,8,99,1475,1574,31493,2054,286,2342,1497,35328
POA2757,0,0,0,0,..,3,0,4,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,55,7,55,0,60,..,0,0,0,27,25,763,54,7,62,27,850
POA2758,0,0,0,0,..,10,0,13,0,13,..,4,0,4,0,4,..,0,0,4,0,4,..,122,10,136,0,136,..,399,48,443,0,443,..,22,0,27,215,240,8164,417,46,468,212,8848
POA2759,10,118,0,118,..,35,15,50,0,50,..,244,40,287,4,290,..,69,25,93,0,93,..,879,139,1018,18,1032,..,5609,678,6287,52,6343,..,112,23,141,1047,1184,18909,5722,704,6424,1097,26434
POA2760,39,363,3,365,..,66,16,86,0,89,..,187,45,237,6,240,..,115,28,143,0,151,..,1921,300,2225,38,2262,..,10515,1308,11825,120,11947,..,215,60,269,3051,3314,22375,10727,1363,12091,3170,37632
POA2761,22,285,5,288,..,22,12,34,0,37,..,174,41,215,5,217,..,155,74,227,0,227,..,1757,292,2049,38,2088,..,14846,1563,16412,147,16562,..,236,46,279,1508,1786,16356,15078,1608,16685,1658,34702
POA2762,27,553,11,559,..,54,15,67,0,69,..,28,5,31,0,31,..,45,5,52,0,52,..,1536,158,1693,45,1741,..,10687,1036,11718,170,11890,..,125,26,150,876,1027,8868,10808,1059,11872,1041,21780
POA2763,45,779,11,796,..,64,22,83,0,83,..,98,25,123,0,123,..,50,20,67,0,66,..,1742,207,1955,50,2002,..,13608,1384,14998,158,15157,..,174,56,228,1098,1324,16712,13784,1442,15228,1259,33197
POA2765,43,721,19,734,..,57,10,67,0,67,..,70,11,81,0,81,..,74,7,80,0,80,..,2097,282,2379,59,2431,..,16536,1596,18133,238,18374,..,249,42,289,2877,3168,24073,16788,1638,18426,3114,45613
POA2766,10,133,7,142,..,26,9,31,0,31,..,72,17,90,0,85,..,74,40,113,0,120,..,1022,186,1210,15,1226,..,7641,1024,8663,80,8744,..,127,35,165,1128,1294,7012,7769,1062,8826,1211,17047
POA2767,51,503,5,501,..,31,13,48,0,43,..,152,42,196,0,196,..,75,25,104,0,104,..,1328,218,1549,27,1575,..,11048,1288,12341,81,12417,..,172,29,202,1134,1340,9632,11226,1316,12547,1208,23384
POA2768,48,672,4,674,..,39,0,44,0,44,..,59,15,76,0,76,..,69,13,81,0,81,..,1251,144,1394,26,1424,..,12820,1218,14037,97,14140,..,163,26,185,1782,1965,12759,12981,1242,14223,1881,28864
POA2769,13,423,3,425,..,15,0,14,0,14,..,57,6,68,0,68,..,33,3,35,0,37,..,958,78,1032,28,1066,..,8361,622,8984,76,9059,..,67,11,78,375,450,6802,8429,634,9062,449,16315
