POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA2000,106,88,223,167,59,110,30,168,13,965,148,114,252,231,98,117,50,211,23,1247,105,45,205,115,77,71,21,109,14,755,11,4,8,8,7,7,6,12,0,65,26,16,26,25,33,18,3,21,4,171,12,31,17,20,23,9,12,16,0,148,30,43,33,28,9,15,12,43,76,290,2181,4627,1232,1258,1226,863,304,1048,305,13053
POA2007,18,21,25,22,15,10,0,22,3,148,30,52,48,69,22,29,9,29,4,289,27,29,59,42,24,12,9,25,7,224,0,6,0,7,6,3,0,4,0,24,6,9,6,11,5,3,5,4,0,37,0,9,8,5,0,0,0,4,0,33,0,3,7,5,4,3,3,9,14,54,425,1268,285,360,317,203,99,240,64,3248
POA2008,30,35,39,20,13,10,3,21,0,173,48,52,40,55,37,26,7,33,3,304,32,45,78,44,33,19,0,25,8,279,0,8,4,3,7,3,0,3,0,31,0,7,0,6,3,4,0,0,0,36,4,8,0,10,3,3,3,0,0,34,3,11,0,3,6,10,3,0,13,52,710,2343,318,380,476,266,76,153,65,4788
POA2009,79,71,29,38,45,20,5,10,10,298,103,89,65,62,49,41,15,29,8,452,97,49,110,64,59,35,21,39,9,489,8,0,3,6,7,8,0,5,0,43,16,8,10,18,17,13,0,6,0,83,13,24,10,3,7,6,8,3,7,79,14,19,8,9,12,6,3,7,21,103,1382,2525,400,459,617,317,106,216,121,6148
POA2010,117,200,55,79,70,53,8,41,9,629,191,210,92,118,109,63,19,48,6,863,152,106,254,128,109,66,31,58,19,910,16,13,7,14,16,3,5,11,0,86,30,42,19,27,26,14,6,11,3,181,20,52,14,8,10,8,4,10,3,131,33,42,16,22,25,20,6,18,38,228,3087,7317,759,813,1287,710,149,383,241,14745
POA2011,108,127,36,45,75,39,7,24,8,476,152,148,64,95,93,55,9,16,12,640,142,74,221,111,90,56,8,43,16,759,7,10,12,11,15,9,4,0,0,66,41,35,13,21,34,19,7,9,0,189,20,43,8,10,12,12,4,3,0,115,19,33,4,8,13,12,5,10,24,132,2194,4568,542,572,978,474,88,200,150,9768
POA2015,72,93,26,29,34,25,11,11,0,293,124,98,51,64,73,32,7,13,0,465,99,65,187,56,70,43,23,41,0,591,5,4,6,7,14,10,0,0,0,54,18,18,6,13,19,9,3,0,0,88,4,13,6,4,10,0,0,3,0,41,20,24,4,8,10,3,7,0,17,105,1459,3182,439,349,654,341,94,124,88,6724
POA2016,52,80,25,19,38,25,3,10,9,263,59,93,54,65,47,42,14,26,9,405,73,50,135,53,55,28,15,37,11,461,3,3,4,11,4,3,0,14,0,50,17,18,9,10,19,11,3,10,0,88,13,13,4,4,4,0,0,3,0,52,14,29,3,11,6,11,9,9,18,107,1111,3104,394,376,612,287,92,198,122,6293
POA2017,127,151,65,43,58,51,18,22,13,554,198,232,123,154,140,93,26,55,20,1042,197,138,523,153,161,81,30,79,19,1392,10,17,10,20,18,11,0,15,0,102,26,38,24,22,27,21,6,19,3,185,16,57,9,22,12,9,0,15,6,147,24,46,16,18,19,15,14,20,46,216,2570,6537,1217,864,1530,838,245,469,223,14496
POA2018,79,99,54,54,77,33,20,17,3,433,105,130,71,107,123,81,27,31,7,685,125,74,473,144,110,62,60,87,23,1162,15,5,0,7,23,15,5,12,4,82,22,20,19,28,58,27,10,16,0,197,9,15,11,11,23,8,6,10,0,90,23,28,18,9,14,11,9,17,30,163,1390,3102,877,678,1068,489,263,308,134,8307
