POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA2000,930,96,5,11,0,0,11,1059
POA2007,281,21,0,4,0,0,3,313
POA2008,257,23,6,0,0,0,0,289
POA2009,800,83,11,3,0,0,4,894
POA2010,838,84,11,3,0,0,0,935
POA2011,427,45,6,0,0,0,4,485
POA2015,788,62,10,7,0,0,3,869
POA2016,602,51,9,6,0,0,8,676
POA2017,1320,105,18,7,0,0,5,1450
POA2018,1918,119,28,5,0,0,13,2084
POA2019,1603,130,41,12,0,0,7,1801
POA2020,1784,123,30,16,4,0,14,1960
POA2021,1172,105,27,0,0,0,3,1302
POA2022,1172,87,18,4,3,0,0,1279
POA2023,1119,97,24,9,0,0,3,1247
POA2024,1236,86,18,6,0,0,3,1348
POA2025,627,59,6,0,0,0,0,694
POA2026,2752,200,54,8,0,0,0,3015
POA2027,512,51,9,3,0,0,0,571
POA2028,366,34,6,0,0,0,0,412
POA2029,987,80,18,3,0,0,0,1087
POA2030,1869,141,35,9,0,0,0,2062
POA2031,3325,211,62,5,0,0,9,3609
POA2032,1388,87,17,0,0,0,4,1493
POA2033,930,65,11,3,0,0,0,1021
POA2034,1870,140,38,9,0,0,3,2058
POA2035,3838,253,72,25,3,0,11,4197
POA2036,3792,276,89,20,6,0,14,4190
POA2037,1028,102,12,0,0,0,5,1152
POA2038,973,68,18,5,0,0,5,1066
POA2039,916,69,19,0,0,0,0,1003
POA2040,2609,196,55,13,0,0,4,2881
POA2041,1663,128,30,0,0,0,0,1826
POA2042,1172,106,22,0,0,0,0,1303
POA2043,650,57,11,4,0,0,0,719
POA2044,761,55,14,10,0,3,0,846
POA2045,914,45,5,3,0,0,0,967
POA2046,3345,200,53,10,0,0,3,3613
POA2047,1254,80,15,3,0,0,0,1352
POA2048,679,45,9,0,3,0,0,745
POA2049,1043,80,19,4,0,0,6,1151
POA2050,454,30,11,3,0,0,0,497
POA2060,1046,102,11,0,0,0,0,1163
POA2061,279,46,0,0,0,0,0,326
POA2062,747,66,11,4,0,0,0,832
POA2063,924,45,23,6,0,0,0,996
POA2064,1231,78,11,4,0,0,0,1324
POA2065,3039,238,43,10,0,0,9,3333
POA2066,4280,256,63,12,3,0,8,4622
POA2067,3148,202,41,22,6,0,3,3425
POA2068,2470,154,39,3,0,0,5,2671
POA2069,2143,130,35,3,0,0,11,2317
POA2070,2135,132,30,5,0,0,0,2308
POA2071,1902,160,27,16,0,0,4,2109
POA2072,1188,87,19,4,0,0,4,1310
POA2073,2667,166,26,14,0,0,0,2883
POA2074,3337,188,46,14,0,0,0,3589
POA2075,3219,196,52,19,0,6,12,3487
POA2076,3633,214,62,24,0,0,6,3949
POA2077,5673,340,71,45,0,0,10,6148
POA2079,1147,81,25,8,3,0,6,1273
POA2080,255,12,3,6,0,0,0,278
POA2081,805,49,24,5,0,0,0,888
POA2082,809,44,16,7,0,0,0,870
POA2083,156,21,3,0,0,0,0,188
POA2084,493,35,10,7,0,0,5,551
POA2085,1604,115,34,8,0,0,7,1770
POA2086,2210,138,44,9,0,0,6,2410
POA2087,1988,113,31,7,0,0,0,2146
POA2088,3082,247,42,8,0,0,0,3388
POA2089,882,63,17,0,0,0,4,970
POA2090,1252,97,21,3,0,0,0,1366
POA2092,1108,82,31,3,0,0,4,1229
POA2093,3198,228,60,9,6,0,3,3500
POA2094,699,71,13,0,0,0,4,783
POA2095,1385,121,20,4,0,0,5,1529
POA2096,1697,122,39,6,0,0,8,1862
POA2097,2083,149,44,9,5,0,7,2301
POA2099,4904,375,113,36,3,0,14,5443
POA2100,2985,209,68,27,0,0,11,3300
POA2101,2260,197,51,21,0,0,8,2541
POA2102,1085,90,28,7,0,0,0,1218
POA2103,1209,103,30,4,3,0,3,1360
POA2104,383,42,5,0,0,0,0,431
POA2105,217,30,6,0,0,0,0,256
POA2106,1113,115,24,0,0,0,4,1257
POA2107,1836,201,42,10,0,0,4,2099
POA2108,143,12,0,0,0,0,0,161
POA2110,1221,92,18,5,0,0,0,1334
POA2111,1824,125,19,7,0,0,3,1987
POA2112,4741,295,81,24,0,0,5,5135
POA2113,2951,172,56,11,0,0,4,3187
POA2114,2948,158,38,24,0,0,11,3171
POA2115,1615,123,44,14,0,3,5,1801
POA2116,922,53,23,11,0,0,0,1008
POA2117,2829,190,57,22,0,0,6,3111
POA2118,4145,237,65,44,3,0,3,4493
POA2119,1862,110,31,13,0,0,0,2025
POA2120,3041,161,54,21,0,0,9,3283
POA2121,4911,229,57,35,0,0,9,5240
POA2122,3747,189,51,33,0,3,13,4035
POA2125,2614,146,26,23,3,0,4,2813
POA2126,3106,155,43,17,0,0,0,3332
POA2127,2371,189,38,8,0,0,11,2618
POA2128,265,19,9,0,0,0,3,300
POA2130,667,42,14,3,0,0,0,724
POA2131,1973,114,21,15,0,0,0,2127
POA2132,1310,78,19,5,0,0,3,1414
POA2133,1409,87,17,4,0,0,5,1528
POA2134,1334,107,17,15,0,0,8,1483
POA2135,2602,128,29,23,0,0,7,2796
POA2136,999,53,23,8,0,0,0,1079
POA2137,3288,204,51,21,0,0,9,3572
POA2138,2072,159,29,12,4,0,3,2281
POA2140,2125,124,15,18,0,0,5,2290
POA2141,3415,194,61,53,3,0,13,3739
POA2142,2805,158,63,44,10,4,12,3086
POA2143,1174,56,22,23,0,0,5,1274
POA2144,3971,197,61,54,3,0,16,4300
POA2145,11905,591,198,110,9,0,20,12850
POA2146,2672,117,40,27,3,0,14,2875
POA2147,4521,305,132,61,5,5,18,5052
POA2148,7859,553,237,146,9,3,39,8849
POA2150,3733,199,35,24,0,0,7,4006
POA2151,2525,145,53,10,0,0,10,2748
POA2152,1349,82,28,6,0,0,6,1468
POA2153,9337,516,157,50,5,3,20,10088
POA2154,5922,358,87,46,3,0,7,6423
POA2155,12211,807,294,96,0,3,23,13435
POA2156,1832,117,42,8,4,0,6,2001
POA2157,521,35,15,8,0,0,0,573
POA2158,1201,73,22,17,0,0,3,1318
POA2159,632,55,13,5,0,0,0,701
POA2160,4427,228,93,53,0,0,8,4809
POA2161,3775,195,80,65,0,7,12,4136
POA2162,2261,141,70,46,0,0,6,2529
POA2163,945,64,25,19,0,0,3,1061
POA2164,2582,140,55,29,0,0,6,2820
POA2165,5222,259,120,100,9,4,24,5725
POA2166,5263,522,209,143,25,10,46,6214
POA2167,1444,82,30,21,0,0,9,1587
POA2168,5047,339,174,112,11,3,28,5718
POA2170,13579,903,376,172,17,8,43,15109
POA2171,5933,328,157,73,5,3,21,6516
POA2172,473,33,4,0,0,0,0,515
POA2173,2107,165,64,30,0,0,5,2373
POA2174,1870,116,39,33,3,0,0,2072
POA2175,228,10,0,0,0,0,0,246
POA2176,6626,298,115,118,9,0,30,7188
POA2177,2030,108,52,50,6,0,6,2255
POA2178,513,20,9,8,0,0,0,555
POA2179,2239,153,71,29,0,0,6,2497
POA2190,3437,177,87,44,3,0,15,3751
POA2191,817,48,13,3,4,0,5,897
POA2192,1404,97,26,17,0,0,0,1553
POA2193,1979,118,35,14,5,0,11,2169
POA2194,2335,183,42,26,7,0,8,2605
POA2195,3345,137,50,52,4,0,3,3594
POA2196,4067,223,87,59,9,3,11,4455
POA2197,1147,66,40,28,0,3,8,1284
