POA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA2000,26,10,9,6,9,5,54,4,0,0,0,0,0,4,0,0,0,0,0,0,9,5,0,0,0,0,0,4,4,0,0,0,0,0,5,8,0,5,0,5,0,19,13,3,3,0,0,0,23,9,0,3,0,0,4,18,16,6,0,0,0,0,25,20,4,0,0,0,0,27,11,4,0,0,0,0,16,30,17,9,6,5,0,66,9,0,4,0,0,0,17,18,9,4,3,3,0,32,32,17,0,0,4,0,57,63,30,6,6,10,0,116,57,27,5,3,0,5,107,88,46,16,5,11,0,168,35,13,4,4,0,0,53,448,180,79,45,54,16,820
POA2007,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,0,0,3,4,0,0,0,0,0,4,4,5,0,0,0,0,14,4,4,0,0,0,0,8,4,5,0,0,0,0,6,11,6,0,0,0,0,20,6,0,0,0,0,0,11,9,6,0,4,0,0,13,10,14,5,4,0,0,33,28,21,8,5,0,0,54,10,11,4,0,0,0,20,10,3,0,0,0,0,19,5,0,0,0,0,0,8,106,75,25,17,15,7,239
POA2008,19,6,5,3,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,6,3,4,0,0,0,14,7,0,0,5,0,0,9,8,3,0,0,0,0,8,8,6,0,0,0,0,10,18,12,3,0,4,0,31,11,0,0,0,0,0,11,9,0,0,0,4,0,13,23,7,6,0,5,0,42,43,15,6,0,0,0,64,28,17,3,5,0,0,47,33,19,4,0,0,0,59,15,3,0,0,4,0,20,223,96,23,19,16,4,377
POA2009,21,16,13,4,3,0,49,6,0,0,0,0,0,8,0,0,0,0,0,0,0,6,5,0,0,0,0,3,9,0,0,0,0,0,9,8,6,4,0,3,0,14,8,6,0,0,3,0,13,8,7,0,0,0,0,20,10,8,3,0,0,0,20,10,9,0,0,0,4,21,13,4,0,0,0,0,18,12,13,4,0,0,0,40,5,8,0,0,0,0,19,11,12,0,0,0,0,30,26,21,5,4,0,0,59,61,44,13,6,8,7,135,42,30,10,0,0,0,84,58,37,13,10,5,0,127,23,13,4,0,7,0,40,328,225,71,34,37,7,700
POA2010,41,15,0,7,5,0,66,3,0,0,0,0,0,3,8,5,0,0,0,0,9,5,0,0,0,0,0,7,10,3,0,4,0,0,18,13,3,0,0,0,0,18,18,8,4,0,4,0,32,21,4,3,0,3,0,37,18,8,0,3,3,0,36,22,3,8,0,3,0,40,13,3,0,0,0,0,18,61,16,3,8,5,0,96,22,8,0,5,0,0,37,29,18,0,4,4,0,55,60,11,0,0,0,0,74,170,65,7,12,13,5,262,132,45,12,6,6,3,204,209,95,29,13,9,0,354,45,14,4,5,7,0,71,900,321,79,59,64,11,1432
POA2011,28,0,0,0,3,0,33,5,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,3,7,0,0,0,0,0,4,7,0,0,0,0,0,9,13,0,0,0,0,0,13,12,0,0,0,0,0,18,8,5,0,0,0,0,16,14,0,0,0,0,0,21,12,0,0,0,0,0,12,45,10,0,0,0,0,59,17,7,0,0,0,0,23,20,0,0,3,0,0,25,41,11,0,0,0,0,50,100,21,0,0,3,0,130,63,15,4,0,5,0,88,99,41,11,8,0,0,156,24,12,0,6,8,0,45,517,121,24,22,24,5,712
POA2015,15,10,4,3,0,0,30,8,0,0,0,0,0,8,4,0,0,0,4,0,5,0,0,0,0,0,0,5,10,5,0,0,0,0,13,7,5,0,0,0,0,10,10,8,0,0,3,0,25,15,6,6,3,0,0,32,14,8,3,3,0,0,28,25,6,4,3,0,0,39,16,6,0,0,0,0,19,36,21,5,4,4,5,74,22,11,4,0,0,0,39,47,14,6,0,0,0,62,64,41,3,5,0,5,121,128,85,18,3,10,0,250,65,76,9,0,0,0,153,87,97,7,3,0,0,199,27,12,9,4,0,0,50,597,414,69,42,36,11,1165
POA2016,21,7,3,0,6,0,35,0,0,0,0,0,0,4,8,0,0,0,0,0,3,6,0,0,0,0,0,8,8,0,0,0,0,0,8,8,7,0,0,3,0,17,16,4,0,0,0,0,21,9,4,5,0,0,0,19,3,10,4,0,0,0,22,9,9,0,6,0,0,11,11,9,0,0,0,0,26,23,13,6,4,0,0,44,16,6,4,0,0,0,24,20,12,5,0,0,0,38,34,15,6,0,4,0,55,90,47,4,10,3,0,150,52,53,3,0,0,4,118,64,67,20,3,0,0,152,21,17,4,0,0,0,34,410,272,57,23,23,9,802
POA2017,32,10,8,4,6,4,55,3,0,0,0,0,0,6,3,0,0,0,0,0,11,3,0,0,0,0,0,9,5,4,0,0,6,0,13,10,4,0,0,0,0,8,26,9,0,4,0,0,44,23,13,3,4,0,3,43,20,8,3,3,0,0,36,24,11,0,0,5,0,43,39,15,0,5,4,0,63,83,35,4,7,0,6,138,47,23,0,3,4,0,75,55,31,7,5,4,0,96,115,65,6,7,6,0,202,237,131,15,13,9,6,410,88,66,13,8,6,8,186,61,44,12,4,5,0,133,39,19,0,13,11,0,84,912,501,81,71,68,21,1654
POA2018,16,21,14,3,0,0,58,10,0,8,0,0,0,17,8,4,3,0,3,0,19,6,0,0,0,3,0,10,6,4,4,0,3,0,25,8,4,13,0,3,0,35,19,16,3,0,7,0,53,15,13,12,3,5,0,49,15,18,11,0,3,0,50,18,15,15,3,3,0,54,23,13,8,4,3,0,62,53,48,21,3,13,3,140,26,28,9,3,4,0,67,35,35,7,5,5,0,77,72,47,14,4,5,0,146,111,124,42,16,14,0,302,41,88,24,3,8,0,168,21,98,22,4,3,0,157,25,29,26,3,6,0,97,524,612,270,60,104,17,1580
POA2019,14,12,17,3,4,0,53,4,3,6,0,0,0,5,8,4,0,0,0,0,11,3,4,0,4,0,0,13,4,9,4,0,4,0,14,9,3,0,0,3,0,20,13,8,8,3,5,0,33,7,11,12,4,0,0,37,11,20,16,5,6,0,58,10,12,0,4,9,0,44,20,11,9,3,5,0,49,32,63,31,9,10,0,142,34,30,13,3,3,0,82,27,37,10,0,0,0,77,44,83,26,19,12,0,185,97,190,54,17,15,0,373,46,130,29,12,4,4,228,31,123,27,3,3,0,186,32,53,21,3,7,0,109,440,793,276,105,92,11,1717
POA2020,21,9,10,4,5,0,46,0,0,0,0,0,0,4,3,0,5,0,3,0,13,0,0,0,4,0,0,7,0,4,6,3,0,0,19,12,7,3,0,0,0,24,12,8,15,0,3,0,39,15,10,7,0,0,0,40,25,14,11,0,0,0,46,20,21,12,3,9,0,67,15,11,6,0,5,0,43,55,49,25,3,5,0,138,22,32,5,3,0,0,68,43,37,4,0,0,0,89,80,50,24,3,7,5,165,134,157,49,17,9,10,381,56,91,20,3,11,0,175,35,86,9,0,3,0,137,33,36,17,7,8,3,104,586,615,225,54,88,26,1605
