SA3_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
12104,132,40,8,126,2040,251,106,392,272,112,38,16,121,1310,221,105,314,290,149,45,39,170,1325,20875,5920,9500,4096,1102,237,115,2218,44066
12201,71,11,5,29,725,56,49,151,123,46,23,3,36,484,59,54,131,128,65,29,18,50,536,7200,2142,5090,2382,571,114,48,821,18376
12202,130,28,13,126,1565,60,73,352,249,93,41,12,99,972,71,72,300,269,121,38,36,244,1156,7208,2933,9038,4606,1306,263,112,1453,26911
12203,275,64,31,142,3013,147,179,792,552,244,76,38,159,2188,183,228,769,685,335,161,93,353,2805,21457,8271,20184,9368,2575,645,300,2871,65679
12301,97,39,23,45,827,27,37,168,139,91,20,20,61,576,42,44,163,136,89,51,31,119,676,8104,3424,8846,5056,1762,514,254,1181,29139
12302,296,121,112,271,2212,63,88,345,286,191,93,96,198,1364,63,90,217,219,164,97,127,303,1285,19889,9557,18407,10481,4629,1807,1470,5149,71395
12303,65,28,11,61,664,27,17,99,127,60,27,21,71,451,19,17,90,75,37,19,21,136,408,4717,1822,5116,3477,1289,396,215,1132,18163
12401,169,55,34,116,1821,127,94,272,260,127,56,35,95,1064,123,91,256,225,137,57,54,160,1108,9830,4200,9524,5496,1991,611,351,1512,33518
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,255,87,69,199,1934,71,97,301,312,174,98,87,169,1311,58,88,281,200,156,106,106,294,1299,18918,8044,17495,9992,3921,1310,869,3962,64499
12404,67,29,23,64,640,32,33,130,132,67,30,32,74,526,45,47,120,89,61,29,36,127,553,4375,1834,3894,2584,1088,336,244,1445,15804
12405,75,38,25,54,618,19,26,87,78,51,30,33,64,390,13,31,63,63,60,36,48,118,420,6254,2760,5735,3439,1529,553,466,1869,22605
12501,88,41,46,63,829,49,53,148,131,80,32,50,43,584,48,56,117,106,82,53,80,77,620,16758,6522,7923,3560,1588,664,632,3269,40922
12502,95,37,26,58,1082,47,67,271,212,89,43,17,83,831,56,59,196,187,116,52,52,117,835,8919,5247,9055,3694,1213,370,241,1555,30300
12503,255,118,124,199,1963,94,90,371,309,182,95,167,187,1495,101,124,349,262,195,102,209,387,1734,19841,7395,13434,8413,4583,2046,1878,6184,63769
12504,189,65,52,137,1862,88,113,437,320,161,86,62,140,1406,93,123,370,304,179,95,110,226,1489,21417,11334,15046,5683,2019,688,501,4224,60914
12601,87,14,7,27,823,53,43,214,190,100,22,13,30,668,36,57,185,183,117,29,28,80,714,7313,3797,7202,2842,846,181,97,832,23104
12602,180,70,26,147,2091,166,141,544,419,211,75,59,185,1792,247,178,529,467,268,126,124,527,2461,24892,10164,15984,6361,1931,548,346,3512,63745
12701,167,92,94,90,1187,30,34,184,177,121,72,108,87,807,16,49,119,125,77,50,142,56,643,16338,6314,14187,8603,3802,1470,1228,3367,55312
12702,407,174,300,251,2829,132,148,461,440,269,181,366,254,2252,97,143,419,359,278,197,530,433,2452,25392,8394,19208,12383,5824,2458,2678,5943,82287
12703,179,66,95,171,1570,42,83,288,242,133,56,101,150,1100,56,70,240,208,126,73,137,321,1228,15946,6877,13999,7450,3124,1240,1034,4299,53965
12801,228,60,29,159,2460,105,125,588,477,236,66,30,135,1762,151,170,672,614,304,105,79,318,2413,15475,5929,15203,8188,2469,545,247,2388,50448
12802,168,59,18,122,2000,78,93,406,358,165,47,32,115,1299,98,108,389,310,162,69,47,388,1575,13401,5366,15017,7817,2173,538,259,1860,46424
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
