SA3_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
12401,89,0,9,472,815,80,79,8,23,1000,28922,1414,1013,56,69,31473
12402,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,8
12403,112,0,4,689,1702,536,613,13,13,2877,43802,6966,6299,154,90,57311
12404,39,0,3,292,505,139,52,7,3,705,10846,2272,515,40,46,13719
12405,7,0,0,174,1054,246,140,0,3,1441,16104,2635,1104,24,26,19895
12501,236,3,3,492,838,217,1209,22,25,2301,11949,3423,20158,115,162,35804
12502,144,4,0,366,520,248,349,7,6,1132,14595,5658,5363,38,34,25687
12503,200,7,5,902,2627,699,1327,27,33,4712,32390,7544,12471,176,195,52771
12504,651,19,8,1019,827,435,2097,17,23,3395,20312,7565,28874,191,156,57104
12601,114,0,0,319,217,44,265,0,5,530,11485,1657,6009,10,43,19200
12602,585,3,8,1052,675,319,1146,25,18,2182,24223,8239,24551,152,125,57279
12701,48,0,4,637,1922,187,190,13,12,2324,38193,2906,1195,109,151,42554
12702,133,3,8,897,2350,467,766,48,33,3662,43397,7592,8473,167,200,59830
12703,179,6,3,608,1390,434,1237,12,15,3094,27883,5530,11475,44,115,45048
12801,498,3,0,818,629,341,729,20,9,1726,23703,7245,14538,225,71,45784
12802,248,0,0,511,471,176,294,18,16,972,27621,4719,7062,106,56,39566
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
