SA3_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
11201,11,6,14,28,84,259,281,204,221,37,1152,8,0,10,8,18,19,68,232,251,203,250,32,1092,0,0,3,10,6,6,24,84,133,148,212,15,647,5,3,0,5,5,11,9,59,87,142,288,13,631,0,0,5,6,4,10,10,26,38,70,393,17,584,0,0,7,11,5,20,22,66,112,95,168,26,540,6,0,15,30,4,19,16,10,16,5,10,41,174,51,37,404,422,298,533,1012,1767,1576,1271,1927,385,9689
11202,14,24,37,80,220,272,83,28,9,22,797,0,5,11,12,18,46,141,212,79,27,9,20,573,4,0,0,5,4,16,54,118,51,13,5,6,283,0,0,3,11,7,19,28,68,43,25,8,4,206,3,3,8,9,7,10,17,32,27,19,14,10,149,3,0,13,20,15,41,74,88,34,6,9,23,316,0,0,21,15,16,25,14,8,4,0,0,28,140,75,39,473,645,587,1023,1662,1623,474,154,86,282,7115
11203,13,16,11,36,96,306,296,166,115,38,1092,0,0,0,10,7,9,51,216,287,181,152,25,951,0,0,4,8,8,4,32,93,139,109,89,6,495,0,0,3,5,4,8,21,58,102,103,158,21,489,0,0,4,3,3,3,16,29,51,57,165,6,354,0,0,11,13,17,10,31,107,115,86,97,31,514,0,0,28,20,5,26,23,23,7,14,4,57,212,44,48,491,398,294,559,1086,2339,1761,999,1013,387,9422
11301,26,55,68,140,211,134,16,4,4,30,710,10,3,19,52,58,97,159,154,27,4,3,25,615,0,0,7,23,21,47,63,94,21,3,0,18,301,9,6,12,20,18,43,74,97,32,0,0,17,319,3,6,8,10,14,21,38,67,18,8,3,14,214,0,0,10,19,15,38,55,51,10,0,3,26,239,3,3,19,22,10,13,9,3,0,0,0,30,116,83,68,417,690,604,915,1092,864,153,39,23,319,5271
11302,7,15,25,32,39,26,3,0,3,19,167,0,0,5,24,15,31,37,19,8,0,3,14,156,5,0,0,4,8,15,11,14,0,0,4,0,56,0,0,0,8,8,14,14,25,7,0,0,13,76,4,0,5,4,3,10,11,11,0,0,4,4,55,3,0,5,10,11,11,15,13,0,0,0,3,68,0,3,13,7,3,3,0,5,0,0,0,11,41,28,16,151,238,174,291,243,152,18,3,25,124,1461
11303,40,84,88,199,456,357,85,10,3,37,1375,6,3,6,69,60,162,309,368,105,20,9,44,1168,3,0,6,19,20,78,136,179,66,21,0,10,556,8,4,13,10,16,64,126,181,93,11,7,19,566,7,6,17,11,14,38,52,116,83,20,18,19,402,4,0,19,44,23,50,108,117,49,7,6,26,456,4,9,27,45,18,26,31,15,5,0,3,66,255,114,160,759,1214,979,1738,2620,1983,593,112,71,474,10815
11401,7,18,34,77,252,513,282,43,15,51,1303,0,0,10,8,20,82,146,404,270,55,27,40,1060,0,0,0,4,9,68,67,197,155,38,14,15,561,0,0,4,5,5,57,53,129,161,53,32,14,511,0,4,10,8,3,18,30,73,88,35,53,21,336,4,0,6,9,5,39,70,142,63,23,6,31,416,3,0,11,33,9,22,32,26,7,3,0,59,219,57,45,300,696,519,1099,2102,3268,1505,306,203,467,10574
11402,11,3,7,23,39,140,131,77,32,21,479,0,3,4,5,10,8,37,102,127,88,47,17,450,0,0,3,6,3,0,16,47,85,69,46,6,281,0,0,3,0,5,7,8,38,82,69,62,9,281,0,0,0,3,4,8,12,22,41,64,150,10,313,0,0,0,3,3,0,12,45,41,33,33,17,187,0,0,3,16,0,8,7,7,9,0,0,25,70,15,14,72,234,136,217,404,872,812,520,464,194,3960
11501,7,11,6,21,21,155,312,273,209,19,1032,7,0,5,4,3,13,24,126,369,429,344,10,1342,0,0,0,3,0,8,10,52,209,293,264,13,861,3,0,3,5,4,7,14,55,299,472,620,29,1512,0,0,3,0,4,6,6,45,216,444,1273,31,2026,0,0,0,3,0,8,10,20,80,106,168,31,429,0,0,3,0,0,3,0,9,12,16,15,29,83,20,16,102,97,90,182,190,872,2057,2482,3258,279,9644
11502,0,0,4,0,8,39,31,24,21,5,138,0,0,0,0,4,0,11,23,22,30,40,7,138,0,0,3,0,0,5,8,9,7,20,23,0,78,0,0,0,0,0,0,0,14,16,21,57,3,116,0,0,0,0,9,0,0,10,15,31,110,5,181,0,0,0,0,0,0,6,5,10,10,15,7,54,0,0,0,0,0,0,0,0,0,0,0,3,8,4,5,20,19,29,46,79,164,168,180,321,71,1111
11503,0,4,4,6,3,33,32,19,10,11,128,3,0,0,3,0,3,3,41,26,23,16,9,121,0,0,0,0,0,0,4,11,23,14,17,3,80,0,0,0,0,0,4,0,14,28,17,25,3,90,0,0,0,0,0,7,5,3,8,12,28,8,61,0,0,0,0,0,0,0,14,3,0,11,8,43,0,0,0,0,4,0,4,0,0,0,0,5,16,4,6,13,20,38,69,86,227,188,107,127,67,952
11504,0,0,3,21,10,51,97,135,101,8,438,0,0,4,5,3,10,16,55,116,176,136,8,524,0,0,0,0,0,8,10,22,60,113,139,8,362,0,0,0,0,0,5,16,20,80,221,213,9,575,0,0,0,0,0,3,9,12,42,209,395,8,688,0,0,0,0,0,7,3,11,28,54,80,19,206,0,0,0,0,0,0,0,0,9,8,3,13,23,10,0,10,17,22,85,139,352,614,1102,1204,118,3675
11601,16,20,26,44,235,1201,545,90,25,36,2254,5,0,6,23,22,35,171,1112,664,161,39,38,2278,0,0,5,10,8,3,72,584,441,114,31,23,1299,0,5,4,13,15,10,46,548,493,196,59,19,1404,0,0,18,13,3,6,31,232,288,184,78,29,884,0,5,36,25,19,22,34,258,201,57,24,71,756,8,9,57,19,5,3,11,31,18,0,3,95,269,148,225,1210,702,424,600,1566,6860,3499,1001,316,608,17158
11602,4,8,8,23,48,355,508,438,128,22,1544,3,0,0,4,7,17,32,322,613,653,191,28,1867,0,0,0,0,0,22,12,152,400,481,189,23,1279,0,0,0,5,6,21,28,146,414,767,337,20,1742,0,0,4,0,4,11,14,75,223,571,485,19,1409,0,0,4,0,3,11,15,60,106,169,102,35,512,0,0,0,0,0,0,4,13,5,12,10,30,74,22,17,77,113,88,206,343,1918,3053,3667,1653,285,11437
11603,23,39,20,76,357,797,310,37,14,44,1731,0,4,6,18,22,46,264,711,348,62,21,15,1520,6,0,6,8,5,24,89,352,233,66,9,16,817,0,0,5,9,7,12,69,279,243,76,17,19,733,0,0,11,10,0,14,33,150,148,71,12,16,469,6,5,30,30,20,25,111,229,128,36,0,68,678,3,8,60,28,11,9,28,35,12,5,5,103,301,97,191,1034,945,490,794,2558,4637,1980,436,111,554,13815
11701,13,7,7,28,53,237,359,278,303,28,1317,0,0,6,10,5,12,47,190,380,393,396,25,1469,0,0,4,3,3,9,22,79,183,290,343,16,943,4,0,3,6,5,13,14,60,206,422,669,20,1430,3,0,0,0,3,13,16,25,95,241,793,17,1214,0,0,7,4,6,6,15,48,53,94,192,50,491,0,0,22,10,5,5,7,13,12,17,5,29,124,55,84,615,259,162,231,467,1415,1989,2219,3206,364,11061
11702,0,8,10,34,123,446,312,160,157,19,1270,0,0,3,5,11,27,64,292,406,242,266,14,1337,0,0,0,0,0,10,22,95,198,178,276,11,800,0,0,0,4,0,13,20,101,238,266,621,21,1278,0,0,0,3,0,11,15,48,124,188,1049,17,1464,0,0,4,4,3,6,11,50,65,63,245,25,481,0,3,9,3,0,3,3,12,5,0,0,45,85,23,45,276,244,155,379,798,2042,1824,1280,2810,282,10167
11703,32,45,45,130,379,1481,2057,1344,1438,136,7110,7,6,24,20,26,95,260,1111,2640,2358,2376,144,9057,3,0,10,17,24,35,83,189,730,1216,1548,68,3915,6,0,17,21,29,60,122,324,1164,2045,3887,105,7777,6,0,20,37,20,45,111,281,932,1919,8696,179,12237,7,15,40,41,28,44,58,100,252,407,1377,188,2560,16,22,135,29,18,21,23,43,75,67,107,231,766,310,668,3054,1396,794,1441,3184,7222,11393,11667,22136,1829,65101
11801,6,10,5,17,73,347,547,518,702,37,2269,5,3,4,7,4,20,73,244,615,740,1171,45,2930,0,0,3,4,0,3,29,41,170,337,716,22,1338,4,0,3,5,8,16,37,69,256,624,1878,56,2962,0,0,7,3,13,19,34,100,255,585,5841,104,6956,3,0,5,6,5,10,29,22,72,138,759,77,1117,0,0,17,6,0,3,9,14,22,23,60,102,245,53,39,293,164,129,233,759,1846,2828,3647,12249,669,22908
11802,18,30,17,38,93,442,829,575,469,58,2569,0,0,10,13,12,39,68,341,899,847,820,49,3099,0,0,4,6,6,21,36,108,372,533,630,37,1752,0,0,5,13,13,23,46,137,497,909,1373,29,3046,3,3,12,17,3,22,46,110,267,675,3097,54,4311,3,0,10,23,19,18,33,63,178,212,504,76,1142,3,5,78,21,7,11,6,24,16,20,38,103,326,128,226,1469,652,372,488,857,2401,4496,4605,7641,754,24091
11901,29,29,24,59,133,638,634,316,236,54,2165,0,0,9,16,7,30,83,484,608,326,252,60,1875,0,0,4,9,12,19,36,221,345,207,211,39,1097,4,0,8,4,5,12,32,170,329,288,357,27,1236,0,0,8,10,8,18,31,86,165,186,376,28,915,5,4,19,25,15,25,27,148,205,111,135,100,815,5,6,68,28,20,12,12,37,25,10,13,136,381,158,327,1746,1057,634,814,1150,4293,4269,2249,2133,918,19752
