SA3_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
11501,51288,55173,106462,55392,59348,114748,60214,64341,124552,28622,16282,44900,29395,17595,46990,27736,18865,46602,6126,14573,20700,7245,15160,22405,8112,13655,21767,1636,1871,3502,1174,1642,2818,3293,4055,7343,1675,1435,3118,1974,1749,3720,1874,1528,3404,38055,34163,72216,39796,36135,75934,41019,38098,79116,11839,19398,31237,13933,21197,35132,17583,24232,41818,4.4,4.2,4.3,5,4.8,4.9,4.6,4,4.3,74.2,61.9,67.8,71.8,60.9,66.2,68.1,59.2,63.5,70.9,59.3,64.9,68.3,57.9,62.9,65,56.8,60.8,4325,3001,7321,6251,4971,11225,8824,7709,16527,925,1282,2205,1112,1609,2719,1357,2035,3395,11149,11991,23134,12971,14621,27593,15859,17682,33542,5056,6820,11876,5469,7209,12681,5606,7350,12956,8675,3522,12192,8356,3617,11979,7872,3757,11632,370,713,1083,276,624,901,323,647,966,806,1458,2263,1041,1808,2848,1062,1773,2832,9850,5687,15537,9678,6047,15723,9251,6176,15428,56177,58736,114911,58423,61250,119668,64315,66747,131064,7013,7380,14400,8098,8446,16540,9207,9533,18740,39167,40905,80078,40285,42135,82418,44417,46300,90714,20211,21483,41697,23879,25055,48932,25711,26694,52405
11502,10012,10327,20332,10483,10791,21273,11430,11492,22921,5255,2753,8007,5174,2858,8034,4679,2766,7440,1315,2982,4292,1486,2996,4487,1797,2833,4632,336,366,705,290,318,607,760,794,1547,275,190,461,231,211,444,239,207,445,7178,6289,13466,7178,6384,13566,7468,6603,14067,2517,3687,6204,2783,3871,6652,3491,4434,7925,3.8,3,3.4,3.2,3.3,3.3,3.2,3.1,3.1,71.7,60.9,66.2,68.5,59.2,63.8,65.3,57.5,61.4,69,59.1,64,66.3,57.2,61.7,63.2,55.7,59.4,473,388,860,544,533,1076,741,741,1487,111,218,326,126,269,391,147,321,469,1439,1701,3138,1597,2015,3615,1872,2359,4231,854,1334,2188,876,1424,2299,1003,1538,2541,2579,838,3418,2699,888,3589,2914,1063,3975,74,141,209,46,155,199,72,168,237,163,289,451,218,375,590,262,396,660,2812,1265,4081,2959,1417,4377,3252,1622,4872,10862,11047,21912,10951,10969,21918,12025,11881,23906,1259,1275,2532,1174,1235,2407,1470,1453,2923,7972,8018,15994,7815,7862,15678,8868,8697,17561,3552,3705,7258,3951,4040,7992,4132,4130,8257
11503,9622,9361,18984,9893,9820,19710,10248,10019,20268,5183,2673,7849,5282,2871,8155,4485,2629,7115,1116,2691,3800,1118,2719,3836,1521,2713,4229,399,359,760,329,309,643,798,872,1668,247,240,487,235,242,475,227,146,376,6939,5960,12896,6967,6147,13114,7029,6359,13384,2068,2854,4920,2219,2986,5199,2793,3308,6103,3.5,4,3.8,3.4,4,3.6,3.2,2.3,2.8,72.1,63.7,67.9,70.5,62.6,66.5,68.6,63.5,66,69.5,61.1,65.4,68.1,60.1,64.1,66.4,62,64.2,198,215,416,249,317,563,299,477,780,88,183,275,104,233,334,111,285,397,724,1131,1859,755,1311,2067,861,1480,2332,671,1009,1678,782,1242,2020,789,1347,2138,3098,1082,4187,3379,1322,4703,3725,1522,5252,80,179,262,70,192,261,70,192,266,131,255,391,196,296,490,178,306,484,3314,1519,4832,3646,1817,5455,3972,2028,5998,10323,9984,20313,10045,9865,19903,10844,10502,21344,1060,1072,2129,1183,1193,2376,1235,1266,2502,7783,7389,15173,7366,7144,14509,8074,7826,15904,3024,3085,6108,3423,3521,6942,3393,3338,6732
11504,10061,10040,20103,12394,12660,25055,20973,21686,42659,6132,3209,9346,7489,4065,11550,11188,7407,18590,1086,2849,3935,1446,3677,5124,2789,5119,7904,381,393,779,295,385,679,1404,1860,3265,273,268,544,322,356,682,601,522,1127,7874,6725,14598,9554,8481,18033,15989,14902,30885,1779,2955,4732,2370,3713,6078,4276,6153,10425,3.5,4,3.7,3.4,4.2,3.8,3.8,3.5,3.7,78.3,67,72.6,77.1,67,72,76.2,68.7,72.4,75.5,64.3,69.9,74.5,64.1,69.3,73.3,66.3,69.8,393,322,716,698,629,1327,2095,2151,4244,103,158,260,162,253,416,368,558,925,1230,1704,2932,1792,2499,4289,4245,5603,9842,858,1129,1986,1147,1553,2700,2020,2622,4644,2753,984,3730,3212,1260,4468,4352,1970,6320,79,174,253,67,184,251,107,263,372,132,249,382,217,355,574,309,520,833,2960,1407,4365,3499,1803,5300,4768,2757,7520,11636,11314,22948,13092,13042,26136,21713,22014,43721,1445,1517,2963,2415,2461,4882,5227,5401,10625,7878,7736,15619,8286,8223,16507,10509,10400,20915,4184,4229,8416,6496,6610,13108,14577,15216,29786
11601,48391,50243,98633,53286,53992,107280,57239,57410,114649,24352,14310,38661,25816,15474,41290,20732,14816,35546,5194,9641,14841,6517,10480,16995,7507,10108,17620,1737,1712,3453,1582,1628,3206,5252,3893,9143,2168,2089,4258,2452,2367,4810,2251,1899,4154,33459,27754,61211,36361,29938,66303,35740,30719,66464,12593,20256,32858,14264,21371,35634,18027,23360,41385,6.5,7.5,7,6.7,7.9,7.3,6.3,6.2,6.2,69.1,55.2,62.1,68.2,55.4,61.8,62.4,53.5,58,64.7,51.1,57.7,63.6,51.1,57.3,58.5,50.2,54.3,1984,1738,3720,3113,2991,6099,4469,4611,9075,416,547,962,540,723,1266,686,1090,1770,5609,7081,12690,7320,9299,16625,9542,11596,21139,3706,4323,8026,4593,5123,9716,5174,5501,10677,9850,4275,14123,9908,4884,14793,9504,5231,14732,417,883,1298,409,766,1176,454,755,1216,574,1064,1634,874,1251,2124,857,1278,2129,10839,6221,17059,11194,6902,18092,10814,7269,18082,51507,52785,104297,53335,53743,107076,57607,57369,114976,7014,7053,14068,8678,8232,16910,9178,8843,18023,35399,36441,71837,35861,36646,72509,37623,38177,75808,18887,19226,38110,23020,22258,45271,25010,24183,49191
11602,27834,27996,55831,34839,35158,70003,53118,53689,106805,16771,9847,26620,20110,12277,32388,26210,19253,45460,2669,6676,9347,3795,8594,12388,6359,10770,17126,975,1121,2097,921,1155,2080,4520,4112,8634,987,1045,2033,1283,1401,2683,1611,1684,3296,21409,18683,40093,26109,23428,49538,38698,35816,74513,5505,8484,13990,7415,10454,17870,12422,15889,28307,4.6,5.6,5.1,4.9,6,5.4,4.2,4.7,4.4,76.9,66.7,71.8,74.9,66.6,70.8,72.9,66.7,69.8,73.4,63,68.2,71.3,62.6,66.9,69.8,63.6,66.7,1670,1373,3042,2943,2651,5591,6827,6634,13459,344,469,815,504,667,1170,890,1309,2193,4342,5435,9770,6256,8099,14360,12371,15005,27379,2413,2998,5409,3222,3830,7053,4825,5421,10251,5710,2474,8185,6158,3130,9290,7608,4429,12038,225,470,699,236,463,694,323,596,914,319,587,905,566,819,1385,740,1009,1752,6256,3528,9784,6961,4412,11378,8674,6036,14708,29978,30313,60290,35708,36452,72163,54380,55234,109610,5244,5242,10487,6714,6734,13451,12501,12697,25190,17690,17836,35525,21716,21916,43632,27249,27606,54862,14446,14864,29313,18117,18732,36847,34650,35513,70164
11603,37206,39823,77035,41038,43990,85031,43027,45438,88464,17166,9957,27125,18565,11005,29574,14356,10365,24717,3625,6379,10003,4575,7659,12233,4990,7078,12073,1495,1304,2799,1272,1259,2535,3773,2845,6624,2108,1991,4100,2213,2285,4501,1900,1591,3491,24395,19627,44022,26625,22209,48837,25021,21878,46901,10520,17902,28416,11845,19009,30851,14597,20049,34643,8.6,10.1,9.3,8.3,10.3,9.2,7.6,7.3,7.4,65.6,49.3,57.1,64.9,50.5,57.4,58.2,48.1,53,59.9,44.3,51.8,59.5,45.3,52.1,53.7,44.6,49.1,755,589,1347,1333,1262,2601,1814,1804,3620,175,233,415,230,352,585,284,573,851,3004,4112,7115,4189,5579,9773,5123,6722,11843,2027,2443,4468,2806,3561,6373,3079,3713,6789,6778,3460,10234,7309,4371,11677,7102,4901,12008,403,800,1199,386,785,1174,360,701,1065,416,758,1175,720,1045,1764,651,907,1555,7592,5018,12609,8413,6203,14615,8114,6510,14623,41879,43277,85152,43166,44954,88122,45990,47401,93394,5794,6109,11904,6520,6873,13392,5801,6143,11946,28973,30098,59072,29357,30499,59856,30982,31900,62882,14576,15401,29980,17336,18323,35651,17119,18196,35311
11701,15771,16442,32212,19169,19599,38766,24866,25026,49894,7413,4811,12220,9190,6139,15329,10155,7904,18058,1858,3201,5056,2443,4039,6479,3901,4934,8837,546,580,1125,550,610,1168,1740,1839,3578,555,470,1018,709,641,1354,884,802,1687,10362,9053,19423,12896,11438,24328,16675,15479,32151,4340,6371,10709,4876,6801,11676,6612,8042,14656,5.3,5.2,5.3,5.5,5.6,5.6,5.3,5.2,5.2,65.7,55.1,60.3,67.3,58.4,62.8,67.1,61.8,64.4,62.2,52.2,57.1,63.5,55.1,59.3,63.5,58.6,61.1,911,739,1650,1450,1391,2841,2474,2665,5144,139,186,322,179,330,512,303,532,842,2010,2498,4508,3206,3910,7117,5249,6358,11607,1170,1540,2719,1570,1949,3524,2369,2844,5215,2826,1113,3939,3135,1372,4513,3917,1731,5648,84,186,270,121,192,311,161,211,365,169,322,485,280,426,714,350,496,845,3078,1617,4700,3540,2000,5532,4419,2435,6852,15661,16124,31784,17170,17654,34828,20637,20735,41372,2400,2383,4784,3833,3644,7473,6705,6628,13336,10162,10673,20833,10608,11270,21881,11620,12030,23654,6723,6706,13426,9565,9209,18775,14322,14020,28341
11702,21440,21751,43196,22970,23989,46953,23396,24115,47505,10364,8106,18472,11396,9290,20683,10655,9373,20026,2792,4329,7115,3182,5082,8268,3449,4692,8142,665,827,1494,560,760,1319,1410,1650,3064,883,702,1584,838,734,1566,794,643,1437,14708,13962,28669,15977,15869,31846,16312,16351,32667,4960,6420,11381,5042,6285,11326,5735,6622,12353,6,5,5.5,5.2,4.6,4.9,4.9,3.9,4.4,68.6,64.2,66.4,69.6,66.2,67.8,69.7,67.8,68.8,64.5,61,62.7,65.9,63.1,64.5,66.3,65.2,65.7,1608,1822,3431,2118,2647,4769,2678,3405,6082,388,729,1116,498,870,1369,594,954,1548,4272,5316,9583,5344,6600,11937,6436,7743,14180,1820,2048,3870,1874,2204,4076,1931,2190,4115,2621,1257,3878,2758,1315,4075,2652,1313,3969,150,236,390,126,192,317,159,204,363,209,319,531,317,409,732,318,396,715,2985,1812,4799,3201,1916,5122,3129,1914,5047,19137,19383,38515,19408,19942,39352,20134,20569,40702,3912,4195,8106,4533,4823,9355,5422,5566,10990,11673,11887,23560,12186,12405,24591,12664,13100,25766,9916,10307,20219,11045,11671,22716,11810,12078,23889
11703,85629,76324,161954,103493,96083,199571,105310,95807,201122,42309,30025,72337,48757,35480,84233,48836,36854,85689,10345,12969,23316,13902,17769,31671,15380,17118,32505,2178,2384,4562,2468,2833,5304,6300,6616,12913,3281,2826,6107,3967,3689,7660,4160,3477,7631,58120,48203,106321,69096,59776,128869,74676,64067,138743,15607,18899,34502,20536,25199,45736,22504,25146,47654,5.6,5.9,5.7,5.7,6.2,5.9,5.6,5.4,5.5,67.9,63.2,65.7,66.8,62.2,64.6,70.9,66.9,69,64,59.5,61.9,62.9,58.4,60.7,67,63.2,65.2,8943,8208,17158,12449,12269,24714,16532,16049,32585,1703,2075,3778,2104,2535,4639,2604,3155,5760,22503,21845,44349,28860,29861,58724,34078,33445,67527,7226,7022,14245,8413,8433,16852,9674,9467,19142,7027,3291,10322,7636,3628,11270,8055,4068,12121,482,577,1062,459,523,979,530,627,1159,749,867,1618,1119,1281,2402,1195,1310,2506,8257,4742,12996,9212,5434,14650,9780,6003,15781,56819,50830,107653,64748,59388,124132,69916,63311,133223,21677,20974,42658,28533,29452,57985,34686,32963,67656,26909,24210,51115,30235,27120,57357,33160,30045,63199,48798,44964,93759,62010,60600,122607,68098,63274,131367
11801,48844,53308,102148,50250,56338,106593,50888,56934,107824,25476,18435,43912,26587,19893,46480,25048,19995,45044,5794,10626,16420,6446,11859,18308,7416,11255,18672,1432,1797,3232,1124,1691,2818,2433,3415,5850,1327,1238,2564,1273,1278,2553,1251,1317,2569,34032,32092,66128,35436,34727,70160,36153,35987,72140,8977,15582,24559,9618,15783,25397,11661,17487,29145,3.9,3.9,3.9,3.6,3.7,3.6,3.5,3.7,3.6,69.7,60.2,64.7,70.5,61.6,65.8,71,63.2,66.9,67,57.9,62.2,68,59.4,63.4,68.6,60.9,64.5,5237,4705,9947,6391,6403,12797,7753,7938,15689,940,1544,2486,1114,1667,2788,1191,1943,3134,14424,16043,30466,15802,18328,34125,17853,21030,38880,3778,5724,9505,3687,5753,9437,3785,5690,9473,4458,2114,6565,4215,1989,6204,4173,1989,6163,198,316,508,171,291,456,190,347,541,434,813,1249,716,1158,1873,672,1030,1705,5089,3237,8325,5107,3432,8533,5035,3366,8402,40462,43915,84382,41459,45167,86627,44393,48043,92435,10363,11417,21781,11035,12328,23366,12219,13963,26180,23489,26047,49536,23813,26324,50135,26036,28636,54672,24247,26347,50591,26900,29656,56562,27963,30833,58798
11802,53351,56138,109484,58497,61193,119695,54815,58755,113575,24101,17753,41858,25847,19255,45100,23267,19407,42671,6214,11396,17609,7108,12849,19962,7731,11905,19633,1634,1922,3549,1324,1884,3213,2964,3804,6764,1953,1685,3635,2044,1999,4042,1677,1405,3083,33897,32754,66656,36323,35996,72321,35637,36511,72153,15155,19387,34542,17644,20644,38287,15808,18974,34775,5.8,5.1,5.5,5.6,5.6,5.6,4.7,3.9,4.3,63.5,58.4,60.9,62.1,58.8,60.4,65,62.1,63.5,59.9,55.4,57.6,58.6,55.6,57,62,59.8,60.8,4839,4660,9497,6239,6409,12650,7173,7689,14866,745,1398,2140,952,1660,2610,989,1938,2931,11049,13330,24375,13267,16329,29599,13813,17565,31376,3745,5520,9269,4050,5854,9904,4133,6059,10193,7145,2839,9986,7441,2964,10410,7391,3063,10458,280,481,763,249,462,720,285,481,770,525,987,1511,781,1242,2030,757,1208,1970,7959,4310,12264,8475,4680,13153,8440,4756,13190,45660,48762,94418,47662,50827,98495,47699,51143,98841,10843,11677,22521,12774,13565,26343,12492,13433,25927,27261,29866,57125,28357,31111,59468,29966,32780,62748,25861,27336,53199,30226,31357,61580,27325,29078,56403
11901,60382,64114,124502,65523,69221,134747,71862,75084,146943,25363,14372,39733,26626,15534,42166,19639,14451,34092,6709,11064,17779,8555,12739,21296,7957,11326,19278,2281,1940,4222,1978,1881,3862,7325,5393,12719,2775,2153,4932,3161,2690,5847,2864,2099,4959,37133,29530,66665,40320,32840,73160,37785,33261,71046,19310,30597,49907,21315,32319,53635,28914,36422,65342,7.5,7.3,7.4,7.8,8.2,8,7.6,6.3,7,61.5,46.1,53.5,61.5,47.4,54.3,52.6,44.3,48.3,56.9,42.7,49.6,56.7,43.6,50,48.6,41.5,45,1661,1374,3041,2581,2482,5064,3802,3721,7529,390,540,933,513,785,1295,648,1157,1806,6007,7108,13114,7911,9356,17268,10323,12188,22511,4119,5422,9546,4898,6683,11582,5559,7575,13134,11745,4347,16091,11889,5219,17111,11458,5649,17108,456,938,1394,425,903,1330,502,917,1420,659,1351,2013,1073,1744,2822,1167,1744,2913,12860,6643,19502,13392,7864,21254,13128,8306,21440,64880,67754,132629,67576,70158,137742,74761,76857,151619,7759,7829,15592,9573,9770,19338,10155,10069,20215,45592,47759,93352,46863,48595,95461,51532,53375,104905,21605,22643,44252,26208,27185,53388,27941,28403,56342
11902,49599,49925,99521,54271,53763,108035,58446,56383,114838,19472,10831,30303,21216,11868,33083,14392,10702,25093,6682,8159,14840,8486,9994,18485,7283,8537,15819,1957,1576,3531,1683,1421,3109,6115,4328,10439,2470,1961,4433,2799,2321,5123,2611,1643,4257,30580,22527,53105,34190,25611,59797,30403,25210,55613,15252,23772,39024,16745,24891,41637,23379,26950,50329,8.1,8.7,8.4,8.2,9.1,8.6,8.6,6.5,7.6,61.7,45.1,53.4,63,47.6,55.4,52,44.7,48.4,56.7,41.2,48.9,57.8,43.3,50.6,47.5,41.8,44.7,2400,1803,4205,3325,2784,6111,4348,3589,7940,360,443,801,474,683,1159,593,952,1546,6080,6453,12542,7945,8419,16368,9440,10181,19622,3762,4222,7986,4339,4987,9324,4904,5608,10513,6841,3067,9911,7058,3449,10505,7134,3733,10863,350,638,993,321,578,904,355,620,979,559,925,1486,828,1227,2059,802,1253,2054,7751,4636,12383,8200,5262,13463,8287,5613,13897,50787,50949,101743,53064,52726,105789,56793,55151,111940,7298,6890,14188,9185,8370,17555,9564,8452,18012,34028,34731,68754,35038,35796,70834,37240,37748,74986,19567,18917,38485,23964,22214,46179,25089,22316,47404
11903,45941,50119,96060,51001,55027,106026,54040,56852,110895,21239,13384,34623,22241,14052,36298,17957,13716,31674,5599,10140,15740,7439,11984,19429,7529,11013,18538,1536,1569,3105,1352,1562,2916,5038,4256,9291,1743,1699,3444,2181,2138,4317,1926,1420,3348,30113,26788,56904,33221,29736,62962,32447,30411,62857,13634,21074,34704,15499,22799,38302,18904,23516,42424,5.8,6.3,6,6.6,7.2,6.9,5.9,4.7,5.3,65.6,53.4,59.2,65.1,54,59.4,60,53.5,56.7,61.8,50.1,55.7,60.9,50.2,55.3,56.5,51,53.7,3177,2818,5993,4327,4087,8414,5128,4980,10107,516,770,1288,642,975,1618,783,1315,2097,7773,8930,16713,9895,11107,21005,11600,12973,24577,3910,5125,9039,4340,5696,10034,5048,6417,11467,7605,3021,10627,7336,3269,10608,7382,3615,10993,316,582,897,282,541,816,354,643,995,549,1062,1622,855,1480,2333,867,1453,2324,8480,4666,13147,8468,5285,13754,8606,5712,14316,46559,49774,96329,48607,51475,100083,52173,54316,106491,6844,7221,14065,8846,9363,18205,9338,8986,18325,31504,33875,65380,32745,34910,67660,35415,37717,73126,18765,20175,38937,22562,23827,46388,23114,22938,46053
11904,49498,51625,101123,56696,58826,115522,61005,62659,123659,22719,14790,37508,25483,16863,42350,21753,16809,38562,6467,9619,16086,8503,12501,21011,9435,11976,21407,1799,1764,3561,1659,1749,3408,4416,4261,8677,1889,1705,3596,2361,2082,4436,2359,1766,4123,32869,27879,60751,38008,33199,71206,37956,34816,72771,13283,20667,33956,15089,21919,37009,19111,23989,43104,5.7,6.1,5.9,6.2,6.3,6.2,6.2,5.1,5.7,66.4,54,60.1,67,56.4,61.6,62.2,55.6,58.8,62.6,50.7,56.5,62.9,52.9,57.8,58.4,52.7,55.5,2950,2601,5543,4297,4263,8559,5497,5900,11396,484,681,1160,664,942,1610,819,1279,2098,7511,8459,15974,10646,12002,22651,13008,14738,27747,4401,5350,9759,5116,6166,11278,5936,6907,12841,7929,3337,11264,8029,3737,11773,8314,4165,12481,347,684,1031,315,597,911,368,654,1023,597,1090,1686,925,1465,2391,981,1510,2488,8873,5117,13987,9272,5801,15073,9665,6327,15995,48515,50323,98841,51184,52914,104098,55095,56764,111860,7504,7615,15119,10792,10663,21456,12323,11922,24250,31805,33535,65340,32943,34733,67672,35415,37566,72988,20648,21014,41665,26647,26425,53071,28544,27807,56352
12001,29498,32054,61548,33739,37524,71262,34448,38330,72771,15457,10485,25940,17250,12115,29369,15590,12314,27904,3165,6670,9832,4039,7864,11908,4790,7538,12322,978,1145,2122,823,1149,1979,2070,2529,4595,894,761,1655,1131,1096,2227,1000,840,1839,20491,19058,39549,23244,22226,45472,23447,23219,46665,6996,11127,18118,8518,13095,21609,9469,13375,22840,4.4,4,4.2,4.9,4.9,4.9,4.3,3.6,3.9,69.5,59.5,64.3,68.9,59.2,63.8,68.1,60.6,64.1,66.4,57.1,61.6,65.6,56.3,60.7,65.2,58.4,61.6,2511,2360,4870,3701,3950,7654,4416,4828,9245,552,806,1360,674,1034,1710,743,1298,2039,6298,7348,13648,8047,9515,17561,9050,10833,19882,2530,3450,5978,2937,3980,6918,3201,4341,7537,4427,1822,6248,4528,1991,6517,4657,2126,6783,181,334,513,186,300,483,205,333,534,389,733,1122,592,967,1558,612,977,1591,4996,2890,7887,5301,3257,8556,5477,3440,8917,27724,29983,57708,30669,33435,64105,32483,35383,67868,5359,5693,11050,6659,7056,13713,6942,7439,14380,17391,19054,36450,18729,20775,39506,20810,23140,43954,13567,14572,28141,17124,18428,35553,16566,17859,34424
