SA3_CODE_2021,C21_SH_Tot_NPFH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPFH_2,C21_SDRTHT_0b_s_a_b_NPFH_3,C21_SDRTHT_0b_s_a_b_NPFH_4,C21_SDRTHT_0b_s_a_b_NPFH_5,C21_SDRTHT_0b_s_a_b_NPFH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPFH_2,C21_SDRTHT_1b_NPFH_3,C21_SDRTHT_1b_NPFH_4,C21_SDRTHT_1b_NPFH_5,C21_SDRTHT_1b_NPFH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPFH_2,C21_SDRTHT_2b_NPFH_3,C21_SDRTHT_2b_NPFH_4,C21_SDRTHT_2b_NPFH_5,C21_SDRTHT_2b_NPFH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPFH_2,C21_SDRTHT_3b_NPFH_3,C21_SDRTHT_3b_NPFH_4,C21_SDRTHT_3b_NPFH_5,C21_SDRTHT_3b_NPFH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPFH_2,C21_SDRTHT_4mb_NPFH_3,C21_SDRTHT_4mb_NPFH_4,C21_SDRTHT_4mb_NPFH_5,C21_SDRTHT_4mb_NPFH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPFH_2,C21_SDRTHT_NB_NS_NPFH_3,C21_SDRTHT_NB_NS_NPFH_4,C21_SDRTHT_NB_NS_NPFH_5,C21_SDRTHT_NB_NS_NPFH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPFH_2,C21_SDRTHT_Tot_NPFH_3,C21_SDRTHT_Tot_NPFH_4,C21_SDRTHT_Tot_NPFH_5,C21_SDRTHT_Tot_NPFH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPFH_2,C21_F_a_0b_s_a_b_NPFH_3,C21_F_a_0b_s_a_b_NPFH_4,C21_F_a_0b_s_a_b_NPFH_5,C21_F_a_0b_s_a_b_NPFH_6_mor,C21_F_a_0b_s_a_b_Total,C21_F_a_1b_NPFH_2,C21_F_a_1b_NPFH_3,C21_F_a_1b_NPFH_4,C21_F_a_1b_NPFH_5,C21_F_a_1b_NPFH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPFH_2,C21_F_a_2b_NPFH_3,C21_F_a_2b_NPFH_4,C21_F_a_2b_NPFH_5,C21_F_a_2b_NPFH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPFH_2,C21_F_a_3b_NPFH_3,C21_F_a_3b_NPFH_4,C21_F_a_3b_NPFH_5,C21_F_a_3b_NPFH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPFH_2,C21_F_a_4mb_NPFH_3,C21_F_a_4mb_NPFH_4,C21_F_a_4mb_NPFH_5,C21_F_a_4mb_NPFH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPFH_2,C21_F_a_NB_NS_NPFH_3,C21_F_a_NB_NS_NPFH_4,C21_F_a_NB_NS_NPFH_5,C21_F_a_NB_NS_NPFH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPFH_2,C21_F_a_Tot_NPFH_3,C21_F_a_Tot_NPFH_4,C21_F_a_Tot_NPFH_5,C21_F_a_Tot_NPFH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPFH_2,C21_OD_0b_s_a_b_NPFH_3,C21_OD_0b_s_a_b_NPFH_4,C21_OD_0b_s_a_b_NPFH_5,C21_OD_0b_s_a_b_NPFH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPFH_2,C21_OD_1b_NPFH_3,C21_OD_1b_NPFH_4,C21_OD_1b_NPFH_5,C21_OD_1b_NPFH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPFH_2,C21_OD_2b_NPFH_3,C21_OD_2b_NPFH_4,C21_OD_2b_NPFH_5,C21_OD_2b_NPFH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPFH_2,C21_OD_3b_NPFH_3,C21_OD_3b_NPFH_4,C21_OD_3b_NPFH_5,C21_OD_3b_NPFH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPFH_2,C21_OD_4mb_NPFH_3,C21_OD_4mb_NPFH_4,C21_OD_4mb_NPFH_5,C21_OD_4mb_NPFH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPFH_2,C21_OD_NB_NS_NPFH_3,C21_OD_NB_NS_NPFH_4,C21_OD_NB_NS_NPFH_5,C21_OD_NB_NS_NPFH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPFH_2,C21_OD_Tot_NPFH_3,C21_OD_Tot_NPFH_4,C21_OD_Tot_NPFH_5,C21_OD_Tot_NPFH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPFH_2,C21_DS_NS_NPFH_3,C21_DS_NS_NPFH_4,C21_DS_NS_NPFH_5,C21_DS_NS_NPFH_6_mor,C21_DS_NS_Tot,C21_Tot_NPFH_2,C21_Tot_NPFH_3,C21_Tot_NPFH_4,C21_Tot_NPFH_5,C21_Tot_NPFH_6_mor,C21_Tot_Tot
10102,647,14428,0,0,0,0,0,0,28,5,0,0,0,30,444,142,75,17,6,684,396,245,169,46,11,871,25,35,19,14,7,97,11,0,4,0,0,12,906,421,262,76,23,1690,7,0,0,0,0,7,128,24,8,8,0,160,367,182,92,24,15,678,44,37,25,6,0,106,0,0,3,5,0,14,6,0,0,0,0,9,559,243,127,40,20,988,0,0,0,0,0,4,8,5,0,0,0,11,3,0,0,0,0,12,3,3,6,0,0,11,5,5,0,0,0,9,0,0,0,0,0,0,24,8,4,3,0,46,4,3,9,0,0,16,7195,3777,3926,1568,691,17164
10103,158,4644,0,0,0,0,0,0,3,0,0,0,0,4,38,4,5,0,0,45,30,20,14,7,0,72,4,3,10,6,0,22,0,0,0,0,0,0,77,28,25,11,5,149,3,0,0,0,0,6,18,3,0,0,0,21,51,21,3,0,0,81,35,18,13,4,0,74,11,5,4,0,3,23,0,4,0,0,0,5,114,51,27,8,3,207,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,0,0,8,4,3,0,0,0,5,7,3,0,0,0,8,0,0,0,0,0,0,16,8,0,0,0,24,17,3,6,0,0,25,2611,971,896,406,160,5049
10104,660,18875,6,0,0,0,0,6,18,5,0,0,0,25,341,51,7,3,0,407,376,92,48,16,9,543,44,11,14,9,4,83,9,4,0,0,0,16,795,161,77,33,13,1075,0,0,0,0,0,0,16,0,0,0,0,19,244,58,15,3,0,324,150,44,25,3,0,220,15,7,5,3,0,35,9,6,0,0,0,13,431,108,48,11,0,609,14,6,0,0,5,20,50,0,3,0,0,50,83,12,0,0,0,97,22,10,0,0,0,34,9,0,4,0,3,18,0,0,0,0,0,4,179,24,8,3,8,224,43,10,9,3,0,63,12583,3372,2935,1270,686,20841
10105,438,9269,0,0,0,0,0,0,5,0,3,0,0,11,121,21,5,0,0,146,96,52,29,11,6,184,24,5,10,11,5,54,7,0,0,0,0,4,244,81,53,18,10,400,0,0,0,0,0,0,6,0,0,0,0,7,41,15,6,4,0,66,0,4,3,0,0,15,4,0,5,0,0,9,0,0,0,0,0,0,56,22,17,4,0,95,0,0,0,0,0,0,10,0,0,0,0,11,11,0,0,0,0,10,4,4,0,4,0,7,0,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,0,38,3,4,3,0,0,14,4930,1854,1737,847,451,9814
10106,517,9678,0,0,0,0,0,0,4,0,0,0,0,3,88,21,7,0,0,119,35,21,14,4,0,82,9,6,0,0,4,20,4,0,0,0,0,6,139,49,21,8,3,225,0,0,0,0,0,0,9,0,0,0,0,9,21,7,0,0,0,24,5,4,3,0,0,13,0,0,3,0,0,9,0,0,0,0,0,0,39,6,6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,5,0,3,0,0,9,0,3,4,7,0,6,0,0,0,0,0,0,18,6,3,8,0,34,16,5,10,0,3,37,4803,1863,1830,995,527,10017
10201,1739,39176,0,0,0,0,0,0,53,5,0,0,0,57,1154,140,46,4,3,1347,1709,633,384,112,25,2862,118,72,55,33,17,289,36,9,4,0,0,52,3067,857,489,148,50,4602,11,0,0,0,0,12,132,10,0,0,0,133,1283,311,121,18,0,1736,825,370,203,55,15,1471,95,41,44,29,15,218,22,8,0,5,0,40,2358,738,367,101,36,3607,4,0,0,0,0,9,14,0,0,0,0,16,77,23,5,0,0,106,36,9,3,0,0,48,0,5,6,6,0,17,3,0,0,0,0,5,139,44,19,6,0,207,36,16,10,4,3,73,22009,9825,9979,4012,1832,47656
10202,1989,39573,4,0,0,0,0,4,44,3,0,0,0,43,764,116,36,8,0,927,962,433,215,77,24,1715,79,57,62,33,22,262,27,5,4,0,0,42,1880,622,317,117,47,2989,0,0,0,0,0,4,57,8,0,0,0,62,727,148,53,4,6,941,276,124,62,22,11,497,29,9,14,13,0,74,10,10,0,4,0,20,1104,298,129,45,19,1592,3,0,0,0,0,6,31,0,0,0,0,26,49,5,3,0,0,57,24,5,7,7,0,45,7,3,7,0,0,13,0,0,0,0,0,0,111,17,14,3,0,145,22,11,6,5,0,47,19975,9366,8935,4013,2067,44351
10301,523,11487,0,0,0,0,0,0,25,0,0,0,0,26,193,44,17,0,0,261,145,66,49,13,3,278,28,21,9,5,3,71,9,0,0,0,0,18,408,139,78,17,16,654,0,0,0,0,0,0,17,0,0,0,0,21,88,25,13,0,0,130,28,0,8,0,0,41,5,5,0,0,0,9,3,0,0,0,0,9,143,30,22,0,3,207,0,0,0,0,0,5,3,0,0,0,0,3,0,6,0,0,0,9,4,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,5,13,4,3,7,4,25,10,10,8,0,0,24,5916,2460,2372,1099,542,12400
10302,619,13358,5,0,0,0,0,5,4,0,0,0,0,4,93,12,9,5,0,124,51,17,11,0,0,77,18,8,9,7,4,47,9,0,0,0,0,10,176,31,34,17,3,259,0,0,0,0,0,0,14,0,0,0,0,14,78,14,4,0,0,100,6,6,6,0,0,20,4,5,5,7,0,19,0,0,0,0,0,3,110,24,13,10,0,157,0,0,0,0,0,5,6,0,0,0,0,9,7,0,0,0,0,10,7,3,3,0,0,11,10,0,5,0,3,15,0,0,0,0,0,0,33,12,13,5,3,54,31,16,9,7,3,68,7202,2591,2196,1273,632,13897
10303,496,11695,0,0,0,0,0,0,25,0,0,0,0,23,131,33,4,0,0,176,114,56,21,4,0,199,3,0,4,7,4,22,12,3,0,0,0,17,284,90,36,14,3,432,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,25,4,0,7,0,0,10,5,0,0,0,0,6,0,0,0,0,0,3,25,13,6,5,0,51,0,0,0,0,0,0,4,0,0,0,0,4,10,3,0,0,0,16,6,4,5,0,0,12,8,3,3,0,0,19,5,0,0,0,0,5,37,5,5,0,5,60,16,4,4,5,0,31,6205,2323,2156,1072,506,12268
10304,722,14845,0,0,0,0,0,0,23,6,0,0,0,32,206,66,15,0,0,284,117,55,33,10,0,219,9,6,13,5,8,42,0,0,0,0,0,0,360,133,62,10,7,580,0,0,0,0,0,0,17,0,0,0,0,21,77,20,5,0,0,102,22,9,8,0,0,36,5,0,3,0,0,10,4,0,0,0,0,4,119,29,14,3,0,166,3,0,0,0,0,3,5,0,0,0,0,5,7,0,0,0,0,9,22,10,5,0,0,41,36,13,22,14,8,93,0,0,0,0,0,3,80,24,29,19,8,159,18,5,8,7,0,41,7236,3144,3036,1642,739,15791
10401,562,12941,0,0,0,0,0,0,8,3,0,0,0,12,180,41,16,0,0,235,160,61,31,3,4,261,10,3,13,7,8,43,4,0,0,0,0,7,366,113,55,15,11,561,0,0,0,0,0,0,15,3,0,0,0,18,119,23,12,0,0,146,68,22,19,5,0,112,14,5,0,3,3,22,0,0,0,0,0,0,211,48,30,14,3,297,12,0,0,0,0,12,52,0,0,0,0,49,44,7,3,0,0,58,34,14,12,5,4,66,23,7,11,9,0,49,5,0,0,0,0,9,173,31,25,8,5,240,23,3,8,0,3,42,7787,2596,2126,988,583,14084
