SA3_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
12001,15,5,300,71,135,56,24,15,5,306,59,45,22,19,7,0,155,6944,10755,5830,5318,1742,668,31249,1905,3635,2263,3066,1338,477,12685,255,337,193,213,58,10,1072,468,772,429,416,82,28,2198,722,1113,625,629,137,33,3263,1256,1220,466,270,50,14,3271,1148,1286,545,274,54,8,3312,1977,2790,1073,519,120,22,6498,1140,1817,698,367,58,9,4091,33,30,14,13,3,6,93,5549,7144,2798,1442,277,54,17269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,146,62,35,8,4,373,116,146,62,35,8,4,373,24,6,7,5,6,0,46,8323,12051,5757,5171,1766,570,33640
12002,3,9,224,68,74,50,18,3,9,228,59,47,17,15,4,0,144,6102,7273,3643,3404,884,202,21514,1202,2212,1266,1642,435,85,6837,924,1418,759,688,143,34,3964,986,1704,889,889,222,34,4718,1907,3121,1651,1576,360,73,8687,985,691,271,150,27,5,2128,1178,700,177,87,14,0,2156,1194,878,204,92,22,6,2385,130,153,42,13,0,0,349,29,24,9,7,0,0,61,3511,2443,702,355,63,11,7074,3,4,0,0,0,0,5,0,0,0,0,0,0,0,59,57,20,12,5,0,156,57,68,20,12,5,0,161,10,13,4,0,0,0,28,6692,7852,3639,3578,863,162,22794
12003,31,21,576,165,197,108,65,31,21,582,219,114,62,45,17,8,469,11696,15767,10090,9066,3569,1998,52194,3056,5734,3867,4326,1966,1186,20136,701,905,558,530,114,44,2841,682,1007,751,687,253,147,3525,1381,1909,1310,1211,366,191,6370,2948,2150,885,542,124,40,6694,3495,3361,1678,1028,279,79,9912,2998,3943,2095,1253,341,110,10739,1338,2205,1128,690,196,55,5612,42,47,21,14,7,7,129,10820,11705,5812,3521,937,291,33082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,191,77,60,23,6,570,217,191,77,60,23,6,570,105,64,11,16,8,3,206,15574,19599,11077,9130,3306,1678,60357
12101,0,0,85,32,28,16,12,0,0,88,56,32,10,14,8,4,123,9277,13014,7370,7347,2714,886,40608,2228,5108,3267,4854,2045,669,18181,238,325,211,235,39,15,1057,460,544,390,397,83,28,1893,697,865,601,627,127,39,2956,954,818,329,230,43,11,2382,2191,2229,985,636,104,25,6169,2501,2646,1205,677,126,15,7169,2350,2729,1191,726,122,43,7161,28,33,16,20,9,0,113,8018,8460,3729,2289,405,98,22996,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,26,13,10,8,0,81,31,31,13,10,8,0,83,25,19,13,8,0,0,59,10992,14479,7616,7786,2589,804,44276
12102,0,4,43,17,12,8,5,3,4,45,43,34,9,3,3,5,101,5099,7945,5324,5908,2225,892,27396,2549,5516,3606,4754,1821,751,18998,142,56,52,39,13,3,313,347,450,375,359,80,14,1630,496,510,425,398,95,16,1943,422,266,122,71,19,4,907,1178,967,518,260,47,23,2992,893,1072,812,504,85,16,3389,612,830,604,400,67,17,2525,42,38,22,10,6,0,118,3147,3174,2081,1253,220,64,9934,7,0,0,0,0,0,7,0,0,0,0,0,0,0,22,8,0,6,5,0,39,24,10,0,6,5,0,48,13,11,4,0,0,0,24,6227,9219,6123,6414,2137,832,30954
12103,0,0,22,8,6,0,5,0,0,25,35,23,11,4,9,0,84,6161,11216,6733,9137,3919,1398,38564,2893,7813,5400,8035,3434,1257,28826,81,87,18,24,0,0,210,373,527,230,221,47,16,1419,451,619,247,243,52,15,1630,772,583,160,94,19,10,1632,730,537,245,170,21,7,1702,1925,2674,1445,857,145,36,7081,225,317,198,91,12,0,842,27,25,15,11,8,4,88,3678,4129,2061,1219,199,56,11350,5,5,0,0,0,0,5,0,0,0,0,0,0,0,33,41,18,14,0,0,112,35,49,18,14,0,0,121,12,10,3,4,4,0,37,7074,12615,7736,9517,3689,1325,41956
12104,8,0,112,39,47,18,13,8,0,122,58,32,11,11,8,0,121,13539,15067,5700,4212,1300,324,40150,1093,2478,1292,1731,796,221,7616,471,633,363,378,75,14,1931,867,1361,638,568,102,25,3567,1339,1995,999,943,180,44,5499,1849,1852,680,470,76,18,4944,4511,3754,1117,535,73,9,10010,3296,2626,709,320,44,4,7001,3389,2812,708,275,34,14,7227,38,37,16,3,0,0,95,13083,11075,3225,1605,237,43,29272,5,0,3,0,0,0,11,0,0,0,0,0,0,0,45,78,20,12,0,0,166,54,82,21,12,0,0,171,62,23,8,7,0,0,101,15632,15651,5547,4297,1213,313,42656
12201,0,0,72,19,27,15,6,0,0,74,20,11,12,9,6,0,52,3678,5385,2541,2724,1028,205,15563,657,1626,997,1778,765,203,6028,212,201,129,154,33,6,737,325,589,277,279,79,15,1573,540,790,405,432,114,20,2306,618,795,371,234,49,7,2071,863,1124,437,205,31,0,2659,784,846,261,105,23,5,2016,485,504,138,65,8,0,1203,0,8,5,4,0,0,19,2751,3273,1202,610,111,17,7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,11,11,0,0,106,38,42,11,11,0,0,103,12,9,0,0,0,0,23,3999,5729,2620,2837,995,241,16422
12202,0,0,85,100,83,20,13,0,3,214,47,47,16,16,5,0,130,4127,6551,3190,4219,1784,694,20561,2256,5147,2617,3593,1736,631,15981,186,137,38,49,24,9,444,512,635,241,293,65,14,1761,699,775,277,338,89,25,2197,596,503,139,104,22,10,1383,625,475,176,99,12,8,1392,321,369,161,79,12,0,939,0,5,0,0,0,0,13,32,43,23,14,6,0,123,1577,1401,497,294,54,18,3851,13,6,0,0,0,0,20,3,0,0,0,0,0,0,39,38,18,10,5,0,106,49,43,16,13,5,0,130,23,25,9,3,7,0,65,4609,7387,3430,4245,1883,678,22227
12203,8,0,99,71,37,22,15,9,3,161,79,54,31,20,7,5,197,11328,15498,8470,10551,4266,1699,51812,3609,8203,5654,9159,3848,1565,32029,531,253,50,67,10,6,923,1089,842,374,426,111,32,2868,1618,1094,432,493,123,36,3794,1565,1045,370,244,63,18,3302,3253,3958,1526,822,123,25,9707,1973,2343,825,368,56,16,5586,245,277,107,48,11,5,696,93,143,47,59,18,9,377,7131,7771,2874,1543,270,77,19662,32,13,6,0,0,0,50,0,0,0,0,0,0,0,22,39,23,11,4,6,101,54,51,22,15,4,6,154,37,25,12,16,5,4,92,12450,17144,8994,11216,4246,1685,55729
