SA3_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
10102,0,37,216,255,275,240,168,66,5,1259,16,104,525,478,295,210,69,8,0,1702,18,179,901,838,901,817,508,206,68,4433,23,173,543,401,370,342,232,88,30,2199,0,43,129,141,165,149,100,43,10,770,5,126,664,522,576,447,300,119,29,2783,5,84,463,506,463,408,305,142,16,2397,35,221,1426,1590,1653,1167,538,167,31,6830,19,235,1003,1208,1136,889,494,168,14,5166,19,82,315,290,247,168,87,28,10,1233,31,121,406,382,284,170,76,30,6,1503,0,3,8,7,10,5,4,0,0,26,0,17,125,173,161,103,49,16,4,653,194,205,664,603,541,567,421,238,87,3523,377,1635,7368,7388,7075,5678,3334,1314,306,34476
10103,0,3,49,33,56,49,48,19,0,264,5,14,38,36,35,43,18,5,0,201,6,58,277,289,313,340,263,132,43,1726,5,44,163,149,161,155,90,42,17,818,3,25,103,99,111,119,56,28,6,561,3,31,141,132,178,218,140,69,20,933,5,28,109,155,176,172,140,55,11,852,13,93,308,321,354,336,210,64,14,1722,5,41,236,188,237,216,122,42,8,1096,0,19,98,61,68,58,35,12,3,359,3,46,123,115,124,89,43,23,9,576,0,0,0,0,4,3,0,0,0,10,3,3,19,24,33,39,24,3,0,149,108,108,344,277,286,270,229,169,66,1850,156,532,2019,1887,2129,2115,1415,664,203,11116
10104,0,18,76,112,145,202,266,123,27,967,3,16,79,88,81,108,120,31,4,526,19,126,481,526,770,1176,1363,689,189,5331,19,136,463,428,489,703,592,233,64,3127,11,48,159,214,299,375,270,83,22,1482,17,109,562,552,695,1104,885,373,114,4398,7,50,326,455,544,922,1151,394,106,3958,35,154,601,822,1035,1379,1258,489,119,5889,15,150,521,692,855,1170,978,317,68,4772,4,23,147,202,183,274,257,92,27,1199,50,140,471,405,446,414,300,107,24,2353,0,11,9,6,7,8,15,3,0,53,5,25,47,61,101,114,144,60,22,575,439,281,573,654,894,1147,1243,917,554,6713,626,1280,4496,5211,6546,9086,8841,3921,1337,41346
10105,0,19,49,38,64,61,55,18,3,310,0,12,55,63,48,41,28,0,0,252,10,107,444,422,435,516,434,221,45,2629,23,101,236,200,218,199,141,62,18,1195,17,41,118,117,157,141,108,47,14,767,3,81,351,303,262,400,346,151,39,1943,4,43,249,233,248,288,269,112,49,1497,31,143,520,553,555,578,358,137,35,2909,17,131,411,433,524,450,280,89,7,2350,4,18,88,84,69,72,54,35,3,427,19,102,240,212,167,117,77,27,4,974,9,4,6,3,5,0,3,0,0,32,6,8,34,34,41,47,41,18,0,229,211,188,538,476,495,476,461,325,227,3396,363,989,3340,3174,3292,3393,2656,1250,447,18907
10106,0,14,51,86,134,112,73,35,6,505,4,17,64,98,93,60,42,9,0,389,9,97,331,367,436,468,361,147,37,2260,18,106,248,212,233,200,114,65,7,1197,18,50,206,190,240,229,160,78,17,1184,9,65,265,268,322,343,302,110,30,1714,3,66,230,303,325,263,259,121,23,1595,15,104,392,600,722,577,359,102,25,2884,22,108,338,493,530,441,311,93,13,2348,9,25,85,105,95,70,43,17,11,451,32,72,185,175,149,122,60,29,0,835,0,0,0,0,3,0,0,0,3,8,0,6,26,41,73,46,51,17,4,263,155,127,307,336,412,455,431,365,144,2729,303,850,2722,3267,3756,3384,2568,1184,321,18368
10201,0,115,323,430,452,381,341,170,30,2242,21,117,405,701,531,339,172,42,4,2338,45,298,1279,1676,2074,2471,2175,1386,411,11812,69,395,1062,1234,1296,1120,757,419,122,6472,18,102,329,412,393,311,170,85,27,1858,76,525,1939,2080,1995,2074,1447,637,210,10985,22,275,1172,1431,1463,1466,1710,678,163,8383,111,639,2465,3817,3965,3423,2654,1249,310,18633,74,588,1839,2200,2281,2075,1389,562,103,11105,67,344,888,1036,743,467,341,165,41,4088,119,376,910,963,931,681,477,239,55,4746,13,14,19,15,8,26,14,9,5,120,13,36,139,243,273,213,170,99,27,1221,499,500,1231,1281,1329,1350,1506,1585,1391,10675,1147,4335,13990,17524,17741,16403,13334,7319,2893,94679
10202,3,57,194,221,234,170,186,72,16,1149,16,90,285,363,274,198,106,20,0,1349,56,392,1554,1555,1889,2335,1949,1227,309,11264,105,438,1270,1251,1045,974,768,396,112,6353,33,102,345,300,277,235,133,57,17,1489,64,448,1592,1572,1546,1490,1011,423,95,8245,24,269,1265,1251,1064,1017,1037,352,101,6387,131,618,2349,2957,2780,2458,1775,728,148,13939,118,673,1965,1992,2014,1513,905,313,48,9548,65,280,573,455,320,253,189,84,16,2242,130,369,1182,1047,944,677,457,212,44,5067,14,9,22,4,8,6,13,4,3,94,22,64,144,187,204,165,112,52,16,963,631,609,1454,1441,1436,1306,1556,1755,1272,11466,1408,4415,14185,14599,14033,12816,10207,5693,2200,79553
10301,4,18,68,80,80,85,67,31,3,436,3,26,98,104,70,64,38,7,0,415,19,155,601,602,667,740,562,266,64,3664,17,114,293,250,205,229,171,72,20,1372,10,31,116,117,153,139,109,59,10,759,32,207,519,437,412,475,373,124,52,2635,12,84,397,382,459,445,388,169,38,2378,29,164,736,811,838,754,492,177,57,4051,34,205,560,556,556,435,292,114,31,2776,10,82,180,112,135,86,81,43,10,732,32,115,307,279,243,140,85,43,8,1251,3,18,11,7,4,3,5,0,0,50,5,15,36,49,45,54,31,15,3,256,232,360,775,720,615,478,470,364,191,4204,430,1603,4702,4490,4489,4128,3161,1490,494,24982
10302,0,3,52,45,60,38,41,13,0,263,0,17,52,49,36,33,24,8,0,221,41,214,713,600,610,660,522,234,60,3653,15,74,210,197,171,237,156,73,16,1153,23,80,236,263,307,305,240,129,28,1619,18,98,431,314,368,452,388,163,60,2296,9,114,411,438,404,388,344,151,46,2298,24,160,565,682,693,628,414,147,33,3343,27,142,386,409,466,394,228,64,16,2129,8,19,67,75,55,58,40,16,0,337,36,95,269,237,222,166,110,44,15,1203,0,0,7,0,3,3,3,5,0,22,0,12,35,34,66,46,42,21,4,268,372,303,636,662,721,825,766,634,315,5239,561,1345,4062,4006,4178,4242,3331,1716,593,24047
10303,0,13,59,57,74,64,56,24,4,351,7,13,47,51,50,38,25,11,0,239,50,215,787,706,855,933,726,320,66,4660,18,104,235,231,219,226,153,76,8,1276,9,37,131,140,166,201,103,58,9,861,16,83,352,329,335,470,325,164,44,2114,3,57,284,311,359,351,360,134,30,1889,16,121,584,583,630,610,471,148,33,3191,21,99,380,403,437,412,266,94,23,2133,0,31,94,119,104,97,56,32,8,532,41,133,296,268,245,181,100,56,6,1309,4,0,15,4,7,0,6,0,0,30,10,16,44,42,51,51,30,21,5,262,262,212,613,607,581,621,651,541,203,4293,454,1140,3912,3838,4117,4250,3327,1672,433,23132
