SA3_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
10102,9611,706,205,38,947,466,11024,5921,499,20,7,528,315,6764,5570,976,56,7,1035,341,6952,7163,978,60,18,1061,381,8605,7208,750,63,4,826,388,8424,5315,627,103,13,742,289,6346,2593,446,106,11,567,133,3289,1099,254,117,5,379,86,1561,408,70,40,0,110,42,550,44878,5312,764,109,6189,2445,53512,9518,762,228,32,1023,694,11235,5909,527,21,5,548,423,6877,5843,1295,51,14,1356,588,7793,6293,1161,39,3,1203,542,8046,7605,864,77,14,959,618,9182,5895,670,104,7,784,496,7172,3488,466,88,9,560,378,4424,1323,294,115,6,413,168,1909,462,82,69,5,152,73,691,46342,6114,792,100,7003,3984,57333,10582,1163,250,62,1469,587,12643,6021,654,13,0,665,289,6973,7104,1842,40,6,1888,509,9502,7154,1591,42,3,1640,415,9210,7924,1054,62,0,1117,368,9411,7049,686,106,6,792,427,8276,4500,535,112,5,647,298,5446,1973,327,103,4,432,144,2548,519,125,70,0
10103,3255,103,26,0,132,256,3635,1911,87,5,0,89,197,2198,1604,93,10,0,105,184,1892,2221,124,10,0,128,244,2596,2599,147,6,3,160,228,2990,2260,139,4,0,141,145,2543,1481,135,6,0,146,84,1713,812,84,8,0,98,51,960,345,34,6,0,41,19,409,16484,938,82,16,1034,1413,18933,2963,95,18,6,112,196,3275,1865,95,11,4,108,189,2164,1750,124,38,4,160,251,2157,1979,105,8,3,119,227,2327,2458,154,14,5,167,281,2909,2440,120,8,0,131,209,2777,1877,132,6,0,140,173,2192,900,90,6,5,109,117,1119,335,32,3,0,37,81,449,16561,948,113,19,1087,1725,19365,2982,128,31,11,178,194,3354,2015,85,10,0,89,165,2275,2094,272,49,0,319,290,2702,1876,204,11,0,214,232,2325,2503,138,12,0,149,223,2878,2683,134,13,5,147,204,3034,2087,97,11,0,109,165,2362,1128,88,3,0,96,86,1311,388,46,3,0
10104,10745,196,50,8,250,508,11508,5960,112,5,4,118,270,6351,4387,130,7,0,143,230,4767,6661,269,17,3,289,317,7272,9332,298,18,5,319,379,10036,10988,344,29,6,378,484,11841,8211,430,29,8,461,379,9050,4542,277,37,3,320,266,5125,1658,94,12,0,104,160,1931,62488,2145,209,40,2389,3003,67878,9638,272,60,7,342,628,10610,5556,120,11,5,137,381,6067,4505,213,17,8,231,368,5108,5782,271,27,9,315,452,6540,8291,341,32,0,376,670,9337,11723,333,11,7,350,898,12971,10433,395,29,3,430,834,11699,5007,327,36,8,370,553,5933,2031,93,22,3,113,239,2384,62955,2368,241,49,2658,5028,70642,9840,347,71,21,430,799,11075,5642,154,3,0,163,497,6302,5373,385,16,0,400,446,6219,5988,416,23,6,445,476,6911,8080,366,37,3,406,640,9128,12130,337,29,3,367,826,13323,12916,336,30,9,366,785,14074,6316,260,34,0,301,499,7112,2152,98,25,5
10105,5864,111,39,8,158,240,6262,3561,85,19,5,104,186,3852,2944,128,17,4,152,292,3388,3813,155,14,3,166,299,4275,4396,131,14,0,149,225,4769,4187,128,18,0,148,168,4502,3064,113,19,3,131,153,3344,1771,54,9,6,63,153,1991,604,18,12,0,23,87,720,30198,925,145,27,1099,1802,33104,5825,154,57,17,226,345,6398,3511,109,23,0,133,341,3988,3204,297,47,3,345,453,4009,3479,213,18,5,238,406,4124,4322,167,23,5,196,414,4922,4419,141,29,0,175,317,4910,3645,113,10,3,132,305,4086,1935,84,15,6,106,196,2231,765,36,10,0,46,78,893,31108,1322,234,44,1594,2863,35561,5943,265,68,22,358,472,6771,3585,175,16,0,187,295,4065,3644,468,39,0,510,446,4603,3520,384,41,3,424,377,4324,4175,225,36,0,257,353,4786,4894,180,33,0,215,353,5458,4246,138,30,0,175,306,4723,2359,74,24,3,104,174,2637,884,34,10,3
10106,6790,149,38,8,197,393,7384,3492,77,13,0,89,158,3736,2865,126,9,0,135,138,3142,4377,176,10,0,185,214,4774,4571,141,17,0,163,178,4908,4412,133,19,0,152,156,4726,3021,83,24,0,107,131,3257,1645,38,12,0,47,91,1778,619,12,10,0,23,47,693,31793,940,147,14,1095,1508,34395,6614,191,46,9,246,396,7255,3556,101,11,3,114,254,3921,2888,186,11,5,194,190,3268,3926,198,11,0,203,254,4384,4671,147,16,3,167,321,5156,4415,139,14,3,159,335,4909,3730,122,18,3,146,277,4151,1831,47,10,0,58,167,2059,754,16,0,0,15,66,840,32387,1144,135,25,1304,2250,35939,6577,315,74,25,417,407,7401,3653,165,10,0,169,219,4045,3220,241,25,0,264,236,3720,3726,345,35,0,376,248,4355,4756,183,15,0,200,295,5242,4757,156,33,0,190,331,5281,4221,117,22,0,145,289,4660,2285,48,18,0,64,203,2550,805,16,8,0
10201,27937,1048,261,56,1367,1201,30504,18190,681,38,10,726,781,19696,14622,1064,62,5,1129,755,16506,18719,1444,104,17,1561,889,21166,20909,1245,95,14,1354,1009,23276,18778,989,109,8,1100,840,20724,13633,778,125,9,918,706,15257,9551,502,104,16,622,676,10848,4339,208,53,0,255,533,5130,146679,7943,945,143,9028,7399,163109,27011,1503,441,43,1990,1235,30234,17260,817,37,4,861,880,18998,15153,1542,131,9,1690,881,17716,17453,2009,131,18,2163,982,20595,20152,1650,166,23,1832,1061,23051,19918,1192,202,11,1413,1097,22431,16979,979,191,14,1182,1042,19197,9570,619,116,12,747,823,11139,4579,304,72,4,387,727,5691,148067,10622,1493,143,12260,8724,169052,27160,2247,451,114,2809,1221,31188,17442,1071,36,7,1123,749,19307,15271,2061,98,0,2159,880,18308,17836,2856,171,9,3030,863,21730,20282,1983,210,4,2198,863,23351,21140,1445,230,7,1690,882,23708,19177,1079,297,4,1383,904,21460,11945,662,175,13,857,812,13606,4664,287,83,12
10202,28208,634,170,28,832,1154,30192,17394,451,27,7,483,675,18553,14546,676,47,9,725,563,15834,17477,899,64,12,976,738,19188,18005,799,83,10,890,684,19576,16192,756,112,3,877,605,17677,13109,700,109,3,819,619,14550,8634,411,73,15,498,538,9664,3380,120,36,0,155,294,3830,136940,5441,723,97,6257,5881,149079,27682,919,239,25,1178,1326,30188,17622,522,48,5,574,910,19103,15733,903,71,3,978,849,17561,16648,1120,94,13,1230,906,18782,18329,1067,109,11,1182,1070,20585,17808,888,132,16,1031,1093,19935,15257,837,137,20,991,1142,17390,8966,515,104,17,631,958,10554,3654,163,44,3,214,725,4589,141702,6924,977,111,8006,8976,158688,27950,1299,293,99,1691,1523,31165,17781,720,37,6,759,913,19456,17424,1302,84,4,1392,998,19816,16869,1660,113,0,1776,979,19628,18559,1202,118,4,1325,958,20839,19182,1000,164,7,1168,829,21178,17169,934,204,3,1135,922,19226,10457,571,136,3,708,931,12096,3707,191,54,9
10301,8420,194,44,10,246,358,9024,6134,194,13,3,216,501,6846,4301,172,7,0,183,457,4941,4939,226,19,0,245,393,5578,5237,181,22,5,209,271,5717,4819,151,11,0,172,248,5241,3174,104,7,4,111,182,3465,1800,60,13,0,77,134,2011,665,22,3,0,31,39,729,39490,1299,156,24,1478,2585,43554,8212,265,76,9,351,482,9047,5754,201,21,7,221,814,6793,4659,299,23,3,323,676,5656,4554,325,27,4,355,530,5440,5217,243,28,0,272,507,5996,5111,148,24,5,181,424,5716,4062,137,25,0,161,408,4636,1985,67,9,0,78,253,2308,811,23,0,0,26,169,1002,40369,1714,228,23,1970,4264,46592,8203,351,75,32,461,473,9137,5542,255,9,0,260,497,6306,4994,526,42,0,573,651,6227,4603,499,37,0,538,599,5738,5318,303,32,3,338,466,6121,5580,204,23,0,233,352,6162,4831,156,37,0,194,324,5343,2680,81,18,0,101,177,2957,1044,30,7,0
10302,10671,197,41,14,241,488,11404,5708,72,3,0,82,250,6039,4860,112,10,0,122,242,5225,5898,188,20,5,210,263,6371,7007,140,11,0,144,265,7426,6950,120,15,5,135,291,7380,5361,87,4,6,96,293,5749,3475,46,9,0,59,230,3762,1310,17,8,6,31,102,1445,51246,975,124,29,1121,2420,54794,9712,214,52,9,282,824,10814,5472,114,9,7,130,549,6143,4750,227,13,5,253,431,5433,5081,205,15,4,228,489,5799,6297,171,26,0,204,609,7109,6825,140,29,4,174,645,7642,5771,112,14,3,124,654,6546,3568,57,10,4,70,459,4101,1463,28,0,0,32,259,1748,48927,1285,174,39,1493,4923,55339,9193,273,57,14,349,894,10435,5124,149,10,0,162,501,5785,4905,349,24,0,376,491,5763,4860,300,23,0,319,516,5694,5679,214,21,8,245,517,6437,6810,136,20,4,164,595,7563,6356,99,17,0,120,458,6926,3858,46,12,5,67,391,4311,1557,21,7,0
10303,7978,143,34,3,179,420,8581,4661,82,6,0,93,291,5041,3797,135,14,3,149,299,4241,5061,197,15,0,215,359,5631,5813,181,23,3,207,325,6345,5540,164,19,0,189,301,6025,4300,148,15,3,169,194,4659,2247,91,14,0,111,157,2512,767,29,7,0,30,77,884,40161,1163,156,16,1339,2418,43918,7730,170,42,12,223,807,8763,4286,87,3,3,93,495,4878,4196,171,19,3,199,627,5022,4404,212,30,0,244,581,5230,5576,206,24,3,227,669,6476,5563,168,19,6,196,685,6445,4950,176,23,0,198,632,5780,2517,99,16,0,117,330,2966,894,27,14,0,40,120,1056,40126,1322,182,25,1537,4951,46611,7801,227,38,18,281,651,8730,4250,144,3,0,147,360,4761,4563,287,24,0,309,476,5353,4455,294,30,0,329,461,5237,5426,213,22,0,235,433,6090,6160,222,25,0,245,468,6873,5424,177,36,0,208,405,6035,3179,100,18,0,119,306,3604,1017,47,11,0
