SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
10102,942,1867,64,88,145,1219,1341,2548,136,257,399,156,164,319,24,39,66,316,460,784,1341,1495,2840,29581,29006,58594,1741,1621,3363,32663,32122,64793
10103,493,1016,50,44,92,661,646,1311,78,143,216,110,100,210,15,28,48,203,271,474,504,528,1029,9194,8788,17989,974,729,1702,10672,10045,20717
10104,2785,5539,232,228,459,3492,3615,7112,377,736,1113,559,624,1179,113,174,291,1049,1534,2586,2598,2820,5414,32159,33533,65687,2881,2754,5628,37638,39107,76736
10105,982,1948,83,81,165,1272,1370,2637,159,355,514,207,223,435,44,43,83,410,621,1034,1252,1446,2696,16292,16360,32649,1795,1265,3057,19339,19071,38403
10106,964,1918,94,97,191,1270,1286,2550,149,269,417,172,237,405,33,43,75,354,549,902,1165,1216,2376,16355,16977,33331,1271,1180,2447,18791,19373,38159
10201,5450,10445,337,496,828,6296,7313,13606,807,1640,2449,1059,1507,2566,258,495,751,2124,3642,5769,5220,6072,11299,76832,81348,158183,4321,4633,8949,86373,92053,178427
10202,4593,8664,408,549,961,5547,6545,12096,680,1353,2033,860,1104,1967,266,521,782,1806,2978,4781,6428,6632,13061,70374,74883,145249,4807,5056,9859,81609,86571,168171
10301,1130,2220,97,81,179,1432,1521,2957,180,422,602,208,273,477,32,50,80,420,745,1156,1519,1592,3113,20737,21376,42116,2519,1396,3914,24775,24364,49146
10302,1631,3180,181,169,355,2083,2224,4311,256,536,786,363,443,810,61,96,160,680,1075,1757,1859,1961,3819,22970,23191,46162,2405,2300,4701,27234,27452,54684
10303,1367,2712,138,143,277,1766,1846,3604,176,375,547,230,302,528,27,73,97,433,750,1178,1608,1622,3230,20371,20391,40760,2158,1720,3877,24137,23733,47870
