region_id,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,0,536,203,58,83,103,56,27,6,1072,0,240,339,257,508,805,841,878,440,4308,105,221,103,52,67,104,92,62,24,830,6612,4329,3872,4387,4800,4305,2971,1949,688,33913,0,218,3035,5058,5787,5600,3714,1897,342,25651,0,895,1481,1007,788,470,184,35,5,4865,0,156,535,895,806,275,138,143,87,3035,13236,0,0,0,0,0,0,0,0,13236,0,2939,0,0,0,0,0,0,0,2939,0,2020,587,261,227,93,14,0,0,3202,0,284,131,64,92,110,101,70,48,900,0,194,97,42,42,34,7,5,0,421,0,1005,514,159,176,198,116,48,9,2225,0,521,867,796,1192,1549,1375,1272,575,8147,214,403,239,144,158,196,165,106,33,1658,13450,8635,7486,8426,9268,8525,5814,3576,1099,66279
SED10002,0,244,291,107,109,92,36,16,3,898,0,89,267,225,333,418,396,460,282,2470,80,116,141,50,42,50,41,33,14,567,8628,6329,7642,5892,5491,3954,2099,1470,601,42106,0,1102,7793,7996,7479,5172,2795,1348,259,33944,0,274,921,510,379,257,53,19,0,2413,0,102,469,907,1068,615,241,226,132,3760,17640,0,0,0,0,0,0,0,0,17640,0,5805,0,0,0,0,0,0,0,5805,0,3154,2725,699,378,161,14,4,0,7135,0,943,876,271,334,402,286,306,144,3562,0,552,688,176,158,80,25,9,6,1694,0,821,1233,373,324,257,90,48,9,3155,0,226,717,614,792,851,668,666,370,4904,164,251,304,151,114,97,66,47,19,1213,17804,13230,15726,11697,11026,7892,4238,2673,939,85225
SED10003,0,288,295,162,231,197,82,38,4,1297,0,62,165,284,563,958,782,893,480,4187,91,164,104,89,113,139,102,31,21,854,5542,2994,2866,4615,5208,4638,2902,2062,803,31630,0,107,1697,4104,4960,5205,3459,1931,457,21920,0,378,1168,1473,1256,805,233,55,13,5381,0,93,393,1010,1120,421,179,167,104,3487,11219,0,0,0,0,0,0,0,0,11219,0,2618,0,0,0,0,0,0,0,2618,0,1575,637,299,240,122,17,0,0,2890,0,224,110,76,110,174,112,142,88,1036,0,203,169,130,123,73,27,9,5,739,0,597,682,434,487,430,169,77,16,2892,0,135,415,642,1219,1658,1203,1210,646,7128,197,266,220,193,213,253,164,53,28,1587,11416,6196,5491,8361,9728,9141,5563,3644,1357,60897
SED10004,0,889,1306,375,193,163,83,36,10,3055,0,198,867,1020,931,1104,781,570,228,5699,72,135,218,99,77,63,37,15,15,731,5339,3591,7228,6949,4868,4125,2154,1261,429,35944,0,96,3854,7105,4328,3671,1910,983,183,22130,0,486,3321,2369,1474,913,239,30,4,8836,0,40,177,560,703,541,213,176,89,2499,10719,0,0,0,0,0,0,0,0,10719,0,2174,0,0,0,0,0,0,0,2174,0,1116,879,370,261,101,26,0,0,2753,0,453,353,149,123,158,149,132,66,1583,0,240,289,96,50,50,12,7,0,744,0,1548,2453,753,399,322,167,66,20,5728,0,377,1584,1871,1708,1749,1258,827,299,9673,143,224,378,217,165,110,61,31,21,1350,10862,6754,13288,13490,9211,7615,4035,2252,682,68189
SED10005,0,98,105,52,83,68,30,18,8,462,0,67,169,154,272,436,440,512,320,2370,62,104,105,59,39,42,43,36,19,509,8488,5385,5894,5302,4770,3693,2310,1624,675,38141,0,804,5783,6818,6326,5026,3208,1568,319,29852,0,137,487,372,278,156,47,17,6,1500,0,112,638,986,996,572,283,260,144,3991,17510,0,0,0,0,0,0,0,0,17510,0,5157,0,0,0,0,0,0,0,5157,0,3273,2672,849,416,193,30,0,0,7433,0,598,461,238,281,315,251,272,119,2535,0,219,217,127,130,82,24,21,5,825,0,203,309,157,201,161,85,39,15,1170,0,159,436,448,673,829,721,723,424,4413,133,190,218,155,88,83,63,53,27,1010,17643,10852,11221,10150,9389,7417,4712,2953,1059,75396
SED10006,0,153,78,58,91,72,56,17,7,532,0,184,225,213,382,553,702,678,281,3218,198,232,138,96,126,136,96,65,18,1105,6697,3324,3504,3923,4259,3672,2647,1547,471,30044,0,184,2474,4188,4950,4741,3256,1457,207,21457,0,959,1546,1198,968,536,157,28,5,5397,0,317,630,766,651,289,196,146,76,3071,13299,0,0,0,0,0,0,0,0,13299,0,1733,0,0,0,0,0,0,0,1733,0,1697,603,337,247,121,19,0,6,3030,0,461,150,138,183,202,205,115,52,1506,0,201,84,76,47,43,14,7,4,476,0,314,210,127,195,190,119,46,10,1211,0,434,660,698,1236,1413,1461,1080,382,7364,415,445,323,245,276,265,199,110,28,2306,13714,6745,6680,7773,8753,7800,5626,2989,770,60850
SED10007,0,388,100,62,80,89,56,36,3,814,0,158,225,222,443,750,845,765,355,3763,112,219,94,65,94,118,91,51,23,867,6753,4251,3546,4444,4715,4221,2982,1796,595,33303,0,240,2811,5003,5659,5521,3622,1692,233,24781,0,1006,1498,1109,917,503,169,29,6,5237,0,246,550,851,759,288,199,178,84,3155,13822,0,0,0,0,0,0,0,0,13822,0,2817,0,0,0,0,0,0,0,2817,0,2202,680,344,265,111,14,0,0,3616,0,305,102,84,110,152,166,131,73,1123,0,218,88,68,54,31,13,4,3,479,0,761,315,162,165,180,128,65,10,1786,0,343,620,703,1179,1546,1505,1121,443,7460,243,455,233,170,178,217,168,81,32,1777,14065,8593,6897,8494,9286,8549,5984,3301,884,66053
SED10008,0,167,171,54,47,52,42,14,0,547,0,39,128,175,195,454,523,501,267,2282,50,85,71,35,25,49,46,16,11,388,7173,4154,4209,5701,4904,4432,2928,1399,543,35443,0,152,4080,8371,7385,6478,4381,1520,261,32628,0,190,864,691,467,304,89,14,4,2623,0,30,170,555,742,425,191,143,74,2330,14577,0,0,0,0,0,0,0,0,14577,0,4602,0,0,0,0,0,0,0,4602,0,2522,1820,546,200,82,20,0,4,5194,0,299,222,99,109,174,210,201,120,1434,0,178,115,59,41,21,12,0,6,432,0,278,343,176,112,111,70,25,3,1118,0,78,300,387,417,679,740,678,359,3638,91,153,130,93,58,76,70,32,14,717,14668,8482,8044,10977,9531,8350,5783,2613,845,69293
SED10009,0,121,51,44,133,123,71,42,15,600,0,77,133,180,514,847,906,939,417,4013,108,150,86,74,134,228,180,89,22,1071,5236,2826,2326,3531,4856,5411,4000,2325,762,31273,0,116,1478,3464,5033,6753,5459,2511,462,25276,0,554,1053,1161,1191,922,343,66,4,5294,0,123,464,835,842,276,121,148,89,2898,10535,0,0,0,0,0,0,0,0,10535,0,2402,0,0,0,0,0,0,0,2402,0,1540,456,283,220,118,14,0,0,2631,0,192,65,52,90,151,113,122,96,881,0,144,86,52,57,38,10,5,6,398,0,272,164,132,250,252,144,92,25,1331,0,167,377,551,1206,1683,1553,1414,595,7546,225,305,214,181,279,436,342,147,34,2163,10760,5815,4357,6711,9168,10629,8099,4505,1311,61355
SED10010,0,98,130,54,91,80,37,23,7,520,0,59,169,204,282,487,505,522,204,2432,83,132,83,43,47,45,34,22,12,501,7936,5180,6438,5364,5026,4094,2306,1432,443,38219,0,506,6447,6945,6484,5433,2877,1202,195,30089,0,448,1161,772,566,260,66,19,8,3300,0,181,704,1030,1037,609,295,221,82,4159,16226,0,0,0,0,0,0,0,0,16226,0,4526,0,0,0,0,0,0,0,4526,0,3358,2318,706,357,123,18,0,0,6880,0,645,534,229,255,340,269,267,106,2645,0,285,327,132,96,62,14,10,3,929,0,274,432,179,229,178,102,46,11,1451,0,141,503,579,755,891,741,720,262,4592,183,249,212,116,116,65,48,33,12,1034,16409,10613,12638,10688,9895,7961,4430,2518,679,75831
