region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
SED10001,191,151,153,143,236,154,119,125,2228,10,0,3,0,3,0,3,0,3,10,32,4046,332,463,218,220,211,301,233,180,346,6550
SED10002,6609,1684,2277,2511,2349,1625,945,2206,44748,115,54,40,16,19,44,27,17,5,56,393,21945,5813,7160,1807,2427,2717,2532,1747,998,2485,49631
SED10003,275,85,93,72,103,99,36,102,1921,8,0,3,0,0,0,0,0,0,0,11,5763,687,898,232,227,220,260,234,113,440,9074
SED10004,910,269,366,367,413,435,254,398,9158,37,3,3,0,3,7,3,3,3,13,75,11972,2001,2655,670,852,892,930,1017,647,903,22539
SED10005,3528,884,867,917,834,687,367,1378,31493,108,25,32,10,10,11,7,10,9,40,262,21138,3719,3830,960,934,988,899,743,407,1616,35234
SED10006,104,47,70,118,97,63,38,51,1156,15,0,0,0,0,0,4,0,3,5,27,2060,172,227,91,106,164,145,130,65,200,3360
SED10007,171,58,55,62,61,44,32,407,1846,8,3,0,0,0,0,0,0,0,0,11,4127,367,388,125,116,131,136,89,62,618,6159
SED10008,2067,403,426,387,389,283,165,409,14475,47,21,7,0,3,0,0,0,4,13,95,13633,2663,2745,546,581,560,563,480,311,701,22783
SED10009,101,22,25,29,18,43,28,64,1619,10,0,0,0,3,0,0,0,0,9,22,7093,275,343,72,80,92,77,81,60,402,8575
SED10010,4325,1368,1372,1453,1234,760,421,892,26325,76,22,45,17,7,24,21,7,4,27,250,15822,4087,5132,1559,1551,1656,1399,859,473,1247,33785
SED10011,205,50,58,65,67,49,36,77,2315,9,0,3,0,0,0,0,0,0,3,15,9025,612,620,130,140,159,155,91,73,414,11419
SED10012,127,17,35,51,46,31,19,60,1004,4,0,0,0,0,0,0,0,5,0,9,3281,227,320,50,72,107,87,69,43,238,4494
SED10013,3234,832,844,874,1010,700,330,1905,39020,186,25,23,8,6,11,11,3,0,62,335,27349,4311,3449,889,902,937,1069,734,353,2132,42125
SED10014,597,124,126,187,150,78,46,292,6784,36,3,10,0,0,3,0,3,0,17,72,10084,1252,1022,224,242,309,241,181,80,617,14252
SED10015,1704,463,504,496,417,277,185,446,12820,48,26,13,7,12,0,6,3,0,13,128,11907,2471,2190,546,603,601,509,348,252,818,20245
SED10016,3101,862,1299,1444,1176,774,450,1167,29209,120,7,10,5,6,21,9,10,3,42,233,20289,3423,3699,993,1397,1584,1306,901,515,1461,35568
SED10017,2534,496,544,532,451,483,222,535,19085,57,13,16,4,0,3,8,3,6,9,119,16330,3708,3385,666,765,817,645,756,363,847,28282
SED10018,119,42,24,37,48,57,56,170,1196,7,0,3,0,0,3,0,3,3,3,22,3386,250,334,84,61,98,87,127,92,383,4902
SED10019,215,61,87,64,78,79,52,102,2252,16,0,0,0,0,0,0,0,3,4,23,4312,410,539,151,185,147,176,145,85,281,6431
SED10020,92,17,36,40,33,30,24,80,890,3,0,0,0,0,0,0,3,0,3,9,3658,226,312,52,66,81,78,81,64,301,4919
SED10021,312,123,141,203,253,217,98,146,2799,8,3,3,3,0,3,3,6,3,7,39,5675,524,714,249,259,325,338,334,148,479,9045
