region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED10001,1335,304,1659,11161,4411,577,16149,37370,4461,57980
SED10002,989,188,1189,13643,3288,258,17189,47951,8210,73350
SED10003,1601,323,1941,10378,3921,683,14982,35245,3903,54130
SED10004,774,239,1028,11522,3495,508,15525,43084,5232,63841
SED10005,1211,298,1525,12253,3330,280,15863,39982,6160,62005
SED10006,952,192,1153,9987,3611,541,14139,33013,5442,52594
SED10007,1080,187,1275,11349,4590,600,16539,36350,5382,58271
SED10008,962,251,1233,13454,4940,508,18902,35999,2558,57459
SED10009,1519,387,1923,8822,3783,517,13122,37912,4652,55686
SED10010,807,170,987,13392,4037,391,17820,39952,4426,62198
SED10011,1137,305,1460,11003,4697,804,16504,34296,3836,54636
SED10012,1233,271,1517,10290,3989,539,14818,34204,4301,53323
SED10013,943,183,1143,10990,3240,182,14412,40879,5213,60504
SED10014,749,105,863,14987,4721,663,20371,35761,3862,59994
SED10015,465,131,601,10991,4419,452,15862,34879,4022,54763
SED10016,1310,235,1573,12549,3780,391,16720,43213,5064,64997
SED10017,1088,354,1459,12972,4693,461,18126,38607,2873,59606
SED10018,1073,175,1258,12774,5574,658,19006,34736,4645,58387
SED10019,1175,279,1471,10624,5151,594,16369,32448,3003,51820
SED10020,1475,332,1823,10117,4268,567,14952,38216,4681,57849
SED10021,1359,421,1787,10676,4120,561,15357,37565,4291,57213
SED10022,1389,334,1744,11441,3487,492,15420,47068,7242,69730
SED10023,1462,361,1847,10711,4870,464,16045,35212,3591,54848
SED10024,1716,284,2029,12672,4604,591,17867,33535,2714,54116
SED10025,1224,290,1525,12923,3978,357,17258,44621,5589,67468
SED10026,1252,232,1509,11332,4652,652,16636,34751,4269,55656
SED10027,1338,277,1645,10830,3959,330,15119,35138,3938,54195
SED10028,1539,187,1751,11984,4084,470,16538,39109,2324,57971
SED10029,1240,216,1469,11922,3421,252,15595,45016,5593,66204
SED10030,1683,608,2304,10637,4425,566,15628,36880,5473,57981
SED10031,1399,353,1758,10830,4435,538,15803,36351,4542,56696
SED10032,950,270,1231,13345,3646,281,17272,45361,7193,69826
SED10033,640,89,744,14344,4630,615,19589,35302,3140,58031
SED10034,844,123,977,12532,4928,752,18212,31391,2658,52261
SED10035,881,225,1122,9968,3459,280,13707,53791,8595,76093
SED10036,862,179,1065,13665,4385,654,18704,37321,2555,58580
SED10037,1477,250,1745,11107,5073,594,16774,35020,3354,55148
SED10038,1336,230,1580,11402,5017,738,17157,34969,3199,55325
SED10039,1574,246,1842,12655,3863,231,16749,41822,4282,62853
SED10040,2118,443,2592,13494,4240,502,18236,37745,3102,59083
SED10041,1623,309,1940,10043,5324,550,15917,35871,3569,55357
SED10042,1095,386,1486,13516,3514,218,17248,42628,7357,67233
SED10043,1812,283,2124,12162,3749,516,16427,35998,3027,55452
SED10044,1354,238,1608,11203,4586,758,16547,38045,4098,58690
SED10045,406,136,548,12794,3227,259,16280,41361,6908,64549
SED10046,687,118,819,12062,4810,621,17493,35328,5090,57911
SED10047,612,368,991,15098,4009,378,19485,40542,5417,65444
SED10048,934,168,1114,13730,5431,711,19872,35446,3735,59053
SED10049,1265,262,1544,13794,4100,638,18532,38081,4249,60862
SED10050,1445,280,1739,12165,4009,453,16627,40176,6990,63793
SED10051,657,154,821,9999,3383,492,13874,47429,6198,67501
SED10052,749,78,833,12701,4203,509,17413,35997,2782,56192
SED10053,1360,323,1694,11350,4661,555,16566,32666,3021,52253
SED10054,778,173,968,12288,4072,559,16919,36626,4556,58101
SED10055,574,113,693,14621,4062,455,19138,39040,5217,63395
SED10056,394,153,554,13822,4518,628,18968,36458,3906,59332
SED10057,1112,408,1532,9318,3839,410,13567,34378,5139,53084
SED10058,1183,297,1506,10858,4297,471,15626,33574,5715,54915
SED10059,1738,547,2298,8901,3779,494,13174,38062,4699,55935
SED10060,1403,332,1759,9561,4519,604,14684,38465,4367,57516
SED10061,1316,314,1658,10073,4004,353,14430,46939,6500,67869
SED10062,1243,319,1573,10464,4059,558,15081,38265,4743,58089
SED10063,1568,259,1847,11873,4000,322,16195,40699,3670,60564
SED10064,1194,211,1417,11845,4389,587,16821,35610,4884,57315
SED10065,1524,346,1877,9490,3894,561,13945,37018,4813,55776
SED10066,1264,342,1625,15242,3608,369,19219,49680,6940,75839
SED10067,894,236,1144,11591,5067,588,17246,33747,3866,54859
SED10068,2006,413,2445,11948,4671,614,17233,34091,3580,54904
SED10069,1836,415,2268,9266,3819,556,13641,37137,4050,54828
SED10070,1436,373,1816,10228,4662,588,15478,36732,4702,56912
SED10071,503,81,590,20166,4849,769,25784,42285,4346,72415
SED10072,1607,305,1936,11068,3689,281,15038,41590,5540,62168
SED10073,1437,315,1774,11902,3511,341,15754,43621,4127,63502
SED10074,754,167,935,11219,5313,625,17157,33591,3527,54275
SED10075,577,154,741,11328,4218,314,15860,40474,3674,60008
SED10076,1531,434,1972,9384,3951,470,13805,37612,5714,57131
SED10077,1491,337,1862,11686,3405,292,15383,48873,5984,70240
SED10078,1258,292,1567,10234,5135,535,15904,35121,3828,54853
SED10079,804,365,1182,7269,3424,171,10864,73347,16136,100347
SED10080,1191,305,1512,11169,4422,554,16145,35583,4690,56418
SED10081,1590,467,2073,10553,4620,658,15831,33960,3863,53654
SED10082,1611,557,2184,11400,4899,628,16927,35897,4530,57354
SED10083,892,268,1175,12711,4171,436,17318,37951,4200,59469
SED10084,1868,554,2436,10163,4034,561,14758,38426,4984,58168
SED10085,1029,172,1214,12146,4354,584,17084,35697,4499,57280
SED10086,1511,383,1924,10842,4259,406,15507,40776,7792,64075
SED10087,1221,251,1489,11751,4459,588,16798,37521,3689,58008
SED10088,1349,284,1654,13847,4482,598,18927,36374,3388,58689
SED10089,1434,251,1700,11025,4924,602,16551,36033,3348,55932
SED10090,1418,199,1645,13824,3528,521,17873,40839,4041,62753
SED10091,661,107,780,13319,4848,605,18772,36125,4123,59020
SED10092,1501,278,1788,9911,4955,447,15313,41531,5030,61874
SED10093,1549,329,1891,12704,4644,683,18031,36857,4588,59476
SED19494,70,52,122,1113,551,42,1706,7210,2821,11737
SED19797,0,0,0,6,0,0,6,89,15,110
