region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED10001,8607,288,450,106,7,9458,8740,183,387,16,3,9329,2297,475,1781,15,5,4573,643,21,238,0,0,902,1346,109,331,14,6,1806,63,53,70,0,0,186,276,14,38,38,3,369,181,4,25,3,0,213,4806,676,2483,70,14,8049,194,28,11,3,0,236,624,58,159,17,3,861,22971,1233,3490,212,27,27933
SED10002,5960,693,853,16,13,7535,5285,1254,2333,18,15,8905,1806,693,3888,20,20,6427,468,371,493,3,6,1341,895,199,592,22,5,1713,47,59,59,0,0,165,167,26,94,7,0,294,79,19,57,3,0,158,3462,1367,5183,55,31,10098,105,21,40,3,0,169,535,108,305,3,0,951,15347,3443,8714,95,59,27658
SED10003,8055,766,531,461,10,9823,6201,580,281,33,7,7102,2139,954,805,19,3,3920,298,155,313,0,0,766,1709,367,298,75,12,2461,84,48,71,3,0,206,195,13,23,154,0,385,155,21,25,10,0,211,4580,1558,1535,261,15,7949,129,28,124,7,0,288,426,90,126,82,0,724,19391,3022,2597,844,32,25886
SED10004,3867,2577,1030,26,0,7500,3589,3694,1886,42,7,9218,1337,2603,4674,132,10,8756,96,893,1061,5,0,2055,556,783,751,84,9,2183,30,57,108,0,0,195,26,68,58,13,0,165,42,43,49,3,7,144,2087,4447,6701,237,26,13498,29,62,46,5,0,142,182,179,213,19,3,596,9754,10959,9876,329,36,30954
SED10005,6209,741,629,17,3,7599,4793,1362,1563,8,17,7743,1228,592,1902,21,18,3761,629,504,756,0,0,1889,818,222,305,8,4,1357,59,76,105,0,0,240,176,53,49,24,0,302,76,24,26,4,0,130,2986,1471,3143,57,22,7679,96,28,43,4,3,174,504,135,206,5,0,850,14588,3737,5584,91,45,24045
SED10006,9058,48,68,293,25,9492,5607,21,43,36,21,5728,1185,79,511,16,3,1794,1063,54,190,3,0,1310,1923,36,182,63,6,2210,550,16,124,0,0,690,1381,38,181,65,5,1670,576,5,40,22,0,643,6678,228,1228,169,14,8317,296,6,14,20,0,336,805,13,79,76,0,973,22444,316,1432,594,60,24846
SED10007,9330,292,139,58,6,9825,8530,188,95,15,11,8839,2604,625,649,29,7,3914,822,111,161,6,0,1100,1328,134,101,15,7,1585,58,47,16,5,0,126,230,11,9,23,3,276,207,12,13,0,0,232,5249,940,949,78,17,7233,132,33,5,0,3,173,611,70,54,36,3,774,23852,1523,1242,187,40,26844
SED10008,7743,747,423,3,0,8916,9184,1329,271,0,3,10787,1419,685,315,3,0,2422,100,89,64,0,0,253,495,131,45,0,0,671,29,52,34,0,0,115,57,43,26,3,8,137,59,11,11,0,0,81,2159,1011,495,6,8,3679,74,63,132,0,0,269,267,60,65,0,0,392,19427,3210,1386,9,11,24043
SED10009,10680,636,477,310,14,12117,6478,203,187,46,3,6917,2099,453,720,18,4,3294,474,153,129,3,0,759,1444,169,223,47,3,1886,134,55,32,0,0,221,183,21,28,67,0,299,159,18,21,18,0,216,4493,869,1153,153,7,6675,141,86,31,9,3,270,545,101,93,33,0,772,22337,1895,1941,551,27,26751
SED10010,6247,292,114,3,3,6659,8335,1169,466,0,3,9973,2517,707,1026,14,7,4271,1417,510,227,0,0,2154,1013,177,139,8,3,1340,49,21,75,0,0,145,116,19,22,3,3,163,76,19,13,0,0,108,5188,1453,1502,25,13,8181,100,34,6,0,0,140,535,74,82,4,0,695,20405,3022,2170,32,19,25648
