region_id,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SED10001,4,4,0,3,2599,2610,77,3,4,3,2015,2102,1434,79,81,5,2358,3957,2594,188,327,13,1253,4375,3093,218,633,33,865,4842,3149,192,730,118,447,4636,2310,130,390,199,193,3222,1280,40,144,319,90,1873,308,7,17,209,24,565,14249,861,2326,902,9844,28182,6,0,0,0,2491,2497,179,16,4,4,2072,2275,1862,123,123,4,1948,4060,2828,259,490,33,988,4598,3181,299,882,114,560,5036,3114,232,788,308,245,4687,2014,92,391,692,119,3308,945,36,128,1056,76,2241,154,4,28,863,46,1095,14283,1061,2834,3074,8545,29797,10,4,0,3,5090,5107,256,19,8,7,4087,4377,3296,202,204,9,4306,8017,5422,447,817,46,2241,8973,6274,517,1515,147,1425,9878,6263,424,1518,426,692,9323,4324,222,781,891,312,6530,2225,76,272,1375,166,4114,462,11,45,1072,70,1660,28532,1922,5160,3976,18389,57979
SED10002,13,8,0,4,3199,3224,459,6,13,4,3874,4356,4331,160,168,3,4541,9203,4531,233,378,12,1367,6521,4365,257,602,38,771,6033,3056,197,548,66,416,4283,1767,86,192,101,158,2304,907,25,92,204,77,1305,221,6,16,145,17,405,19650,978,2009,577,14420,37634,54,0,3,3,2867,2927,964,41,37,3,2734,3779,4966,235,247,17,2714,8179,4460,347,566,62,833,6268,3849,301,839,191,609,5789,2676,186,601,342,343,4148,1301,64,222,540,108,2235,580,27,97,828,76,1608,124,4,22,599,32,781,18974,1205,2634,2585,10316,35714,67,8,3,7,6066,6151,1423,47,50,7,6608,8135,9297,395,415,20,7255,17382,8991,580,944,74,2200,12789,8214,558,1441,229,1380,11822,5732,383,1149,408,759,8431,3068,150,414,641,266,4539,1487,52,189,1032,153,2913,345,10,38,744,49,1186,38624,2183,4643,3162,24736,73348
SED10003,0,0,0,0,2067,2067,35,5,4,3,1384,1431,779,44,55,0,2035,2913,1986,166,317,9,1578,4056,2623,228,761,41,1257,4910,2995,254,1030,95,586,4960,2100,90,441,149,174,2954,1211,34,162,268,76,1751,390,10,33,254,24,711,12119,831,2803,819,9181,25753,7,0,0,3,1876,1886,80,7,6,3,1227,1323,1075,76,100,8,1809,3068,2447,256,594,35,1528,4860,2800,354,1143,128,1100,5525,2904,209,1252,240,431,5036,1816,78,544,588,105,3131,949,31,212,1073,54,2319,207,4,69,909,40,1229,12285,1015,3920,2987,8170,28377,7,0,0,3,3943,3953,115,12,10,6,2611,2754,1854,120,155,8,3844,5981,4433,422,911,44,3106,8916,5423,582,1904,169,2357,10435,5899,463,2282,335,1017,9996,3916,168,985,737,279,6085,2160,65,374,1341,130,4070,597,14,102,1163,64,1940,24404,1846,6723,3806,17351,54130
SED10004,0,0,3,3,1323,1329,38,5,3,3,2179,2228,1843,59,112,3,4814,6831,3873,175,453,13,2750,7264,2361,176,633,32,1630,4832,2096,176,726,62,895,3955,1161,86,416,105,413,2181,668,45,122,189,161,1185,157,5,16,106,48,332,12197,727,2484,516,14213,30137,3,0,0,0,1382,1385,79,4,0,6,2578,2667,2475,85,226,8,5056,7850,3947,198,580,19,2762,7506,2362,220,920,89,1638,5229,1980,202,1113,277,903,4475,991,97,567,432,335,2422,442,37,195,660,140,1474,69,9,48,503,66,695,12348,852,3649,1994,14860,33703,3,0,3,3,2705,2714,117,9,3,9,4757,4895,4318,144,338,11,9870,14681,7820,373,1033,32,5512,14770,4723,396,1553,121,3268,10061,4076,378,1839,339,1798,8430,2152,183,983,537,748,4603,1110,82,317,849,301,2659,226,14,64,609,114,1027,24545,1579,6133,2510,29073,63840
SED10005,13,0,0,0,2974,2987,217,13,9,3,2556,2798,2839,160,142,7,2567,5715,3655,243,343,9,956,5206,3507,211,541,25,644,4928,2888,217,473,70,370,4018,1978,107,233,122,135,2575,1076,38,83,220,73,1490,282,7,19,192,18,518,16455,996,1843,648,10293,30235,56,0,0,0,2644,2700,713,53,30,0,2162,2958,3737,335,330,14,1861,6277,3785,373,613,55,775,5601,3303,299,800,162,460,5024,2526,177,572,364,250,3889,1461,89,240,571,99,2460,735,25,109,930,55,1854,162,3,35,779,29,1008,16478,1354,2729,2875,8335,31771,69,0,0,0,5618,5687,930,66,39,3,4718,5756,6576,495,472,21,4428,11992,7440,616,956,64,1731,10807,6810,510,1341,187,1104,9952,5414,394,1045,434,620,7907,3439,196,473,693,234,5035,1811,63,192,1150,128,3344,444,10,54,971,47,1526,32933,2350,4572,3523,18628,62006
SED10006,4,3,3,0,2122,2132,66,7,6,3,1702,1784,1203,55,56,5,2198,3517,2243,154,259,26,1597,4279,2732,248,564,51,1339,4934,2781,290,727,124,694,4616,2079,169,433,290,369,3340,993,57,154,320,143,1667,191,3,22,166,31,413,12292,986,2224,985,10195,26682,5,3,3,3,1957,1971,131,19,0,3,1646,1799,1589,91,79,14,2010,3783,2452,183,287,40,1292,4254,2873,241,566,117,836,4633,2651,191,561,299,324,4026,1697,85,291,739,114,2926,697,20,77,926,60,1780,88,4,10,614,24,740,12183,837,1874,2755,8263,25912,9,6,6,3,4079,4103,197,26,6,6,3348,3583,2792,146,135,19,4208,7300,4695,337,546,66,2889,8533,5605,489,1130,168,2175,9567,5432,481,1288,423,1018,8642,3776,254,724,1029,483,6266,1690,77,231,1246,203,3447,279,7,32,780,55,1153,24475,1823,4098,3740,18458,52594
SED10007,9,3,3,0,2650,2665,123,4,10,3,2519,2659,1408,78,69,4,2423,3982,2615,192,349,9,1448,4613,3030,259,655,47,1103,5094,3213,236,713,109,534,4805,2247,131,482,211,267,3338,1136,51,120,287,100,1694,197,3,18,125,30,373,13978,957,2419,795,11074,29223,4,0,0,3,2510,2517,162,16,4,0,2202,2384,1700,139,117,12,1781,3749,2838,256,480,50,1043,4667,3122,302,756,113,682,4975,3041,195,749,300,271,4556,1862,126,460,653,157,3258,779,30,140,1008,83,2040,98,4,31,701,68,902,13606,1068,2737,2840,8797,29048,13,3,3,3,5160,5182,285,20,14,3,4721,5043,3108,217,186,16,4204,7731,5453,448,829,59,2491,9280,6152,561,1411,160,1785,10069,6254,431,1462,409,805,9361,4109,257,942,864,424,6596,1915,81,260,1295,183,3734,295,7,49,826,98,1275,27584,2025,5156,3635,19871,58271
SED10008,7,0,0,3,2555,2565,48,0,3,0,2057,2108,1786,45,64,3,2112,4010,4159,126,256,6,928,5475,3913,135,363,31,411,4853,3403,97,354,70,171,4095,2581,61,173,134,71,3020,1018,25,61,164,26,1294,213,4,7,154,3,381,17128,493,1281,565,8334,27801,8,0,0,3,2218,2229,116,3,3,0,1954,2076,2523,66,91,12,1684,4376,4518,186,413,26,703,5846,3802,188,589,83,379,5041,3417,128,605,259,185,4594,2104,66,304,530,67,3071,664,12,99,754,41,1570,120,5,30,678,20,853,17272,654,2134,2345,7251,29656,15,0,0,6,4773,4794,164,3,6,0,4011,4184,4309,111,155,15,3796,8386,8677,312,669,32,1631,11321,7715,323,952,114,790,9894,6820,225,959,329,356,8689,4685,127,477,664,138,6091,1682,37,160,918,67,2864,333,9,37,832,23,1234,34400,1147,3415,2910,15585,57457
SED10009,3,0,4,0,2117,2124,30,0,3,0,1109,1142,665,55,53,3,1447,2223,1742,159,266,12,1265,3444,2641,234,693,43,1076,4687,3817,274,987,135,547,5760,3403,164,557,245,206,4575,1700,47,201,371,113,2432,406,11,28,255,17,717,14407,944,2792,1064,7897,27104,6,0,0,0,1947,1953,92,13,4,4,947,1060,982,91,91,18,1311,2493,2049,217,423,41,995,3725,2968,326,907,141,849,5191,3990,240,995,335,366,5926,2922,113,515,742,98,4390,1176,38,179,1184,61,2638,217,6,45,907,30,1205,14402,1044,3159,3372,6604,28581,9,0,4,0,4064,4077,122,13,7,4,2056,2202,1647,146,144,21,2758,4716,3791,376,689,53,2260,7169,5609,560,1600,184,1925,9878,7807,514,1982,470,913,11686,6325,277,1072,987,304,8965,2876,85,380,1555,174,5070,623,17,73,1162,47,1922,28809,1988,5951,4436,14501,55685
SED10010,3,5,0,3,2764,2775,166,8,3,0,2699,2876,3093,90,109,6,3175,6473,3682,215,315,17,1323,5552,3386,226,554,41,861,5068,2976,191,488,96,285,4036,1698,87,201,130,100,2216,810,34,73,219,51,1187,159,3,12,120,26,320,15973,859,1755,632,11284,30503,24,0,3,0,2635,2662,422,17,0,0,2276,2715,3922,215,173,8,2350,6668,3596,319,521,48,1038,5522,3411,314,746,164,573,5208,2728,218,686,383,223,4238,1312,74,326,611,72,2395,526,31,123,903,38,1621,74,3,20,556,13,666,16015,1191,2598,2673,9218,31695,27,5,3,3,5399,5437,588,25,3,0,4975,5591,7015,305,282,14,5525,13141,7278,534,836,65,2361,11074,6797,540,1300,205,1434,10276,5704,409,1174,479,508,8274,3010,161,527,741,172,4611,1336,65,196,1122,89,2808,233,6,32,676,39,986,31988,2050,4353,3305,20502,62198
