region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
SED10001,824,325,1660,12273,15152,7339,6361,11964,4889,57978
SED10002,617,202,1186,14272,13636,6005,5789,24714,8933,73349
SED10003,954,372,1940,11210,15079,7896,6131,9504,4311,54131
SED10004,454,238,1027,19310,18951,6254,3867,9952,5505,63839
SED10005,757,311,1525,11014,11245,5403,5689,21765,6889,62005
SED10006,598,215,1152,9077,12173,6337,6584,12353,6070,52594
SED10007,658,205,1275,11374,15057,7625,7049,11360,5805,58270
SED10008,556,261,1233,13740,15865,7850,6125,11090,2788,57458
SED10009,861,406,1924,9367,14632,8697,7526,10462,5002,55686
SED10010,527,181,988,12882,14233,6401,6100,17552,5031,62199
SED10011,650,316,1460,11605,16183,8227,6412,8090,4119,54636
SED10012,746,296,1517,9650,13316,7545,7144,10846,4823,53324
SED10013,665,199,1144,11260,10384,4784,4893,23227,5955,60503
SED10014,473,111,863,13701,15696,7367,6166,12777,4287,59994
SED10015,292,141,603,11407,13171,6105,5662,13882,4535,54762
SED10016,846,242,1572,14414,15348,6544,5193,17949,5550,64998
SED10017,652,347,1459,14748,15709,7800,6226,12099,3022,59604
SED10018,729,197,1258,11011,14211,7298,7533,13153,5181,58387
SED10019,601,298,1470,11207,13931,7274,5906,10047,3454,51819
SED10020,924,358,1824,9515,14126,8336,8414,12265,5193,57849
SED10021,797,438,1786,11013,15441,8195,6773,11063,4728,57213
SED10022,860,367,1743,21607,17533,5678,3683,13664,7564,69729
SED10023,688,404,1847,13992,14534,6648,5121,10619,3935,54849
SED10024,937,305,2030,13354,14431,7917,5938,9533,2943,54116
SED10025,664,310,1523,16994,17354,7124,5094,14938,5964,67468
SED10026,784,244,1510,10806,14318,7487,6635,11738,4673,55657
SED10027,767,306,1647,11628,12604,6011,5530,14039,4382,54194
