region_id,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10001,28,227,2612,11986,6529,979,199,410,22970,7,77,725,255,12,0,3,44,1123,0,7,47,55,3,0,0,0,112,7,84,772,310,15,0,3,44,1235,40,492,2217,417,21,6,3,150,3346,5,13,75,0,0,0,0,5,98,0,0,21,3,0,0,0,0,24,0,9,6,7,0,0,0,0,22,45,514,2319,427,21,6,3,155,3490,25,72,52,37,5,0,0,18,209,0,3,3,16,3,0,3,0,28,105,900,5758,12776,6573,985,208,627,27932
SED10002,61,169,2320,7592,3742,855,219,391,15349,21,92,367,664,198,32,10,37,1421,17,32,435,1166,306,21,4,43,2024,38,124,802,1830,504,53,14,80,3445,43,329,1769,314,37,0,3,138,2633,51,111,1845,631,12,3,0,67,2720,31,416,2062,685,31,0,5,72,3302,3,11,34,9,3,0,0,0,60,128,867,5710,1639,83,3,8,277,8715,0,18,29,19,11,6,3,4,90,5,7,33,8,5,0,0,0,58,232,1185,8894,11088,4345,917,244,752,27657
SED10003,74,461,2071,9519,5710,1036,223,296,19390,9,98,815,717,42,4,0,46,1731,0,45,383,767,52,12,6,25,1290,9,143,1198,1484,94,16,6,71,3021,16,340,1183,646,33,4,4,84,2310,0,28,72,33,0,0,0,5,138,0,0,52,17,0,3,0,0,72,5,31,22,8,3,3,0,4,76,21,399,1329,704,36,10,4,93,2596,61,265,323,103,6,3,3,81,845,0,10,3,10,7,0,3,0,33,165,1278,4924,11820,5853,1065,239,541,25885
SED10004,46,243,2384,4553,1993,337,76,123,9755,18,428,2231,1529,289,31,10,65,4601,43,371,2050,2899,750,127,30,85,6355,61,799,4281,4428,1039,158,40,150,10956,187,803,990,298,35,9,5,77,2404,141,959,1330,161,12,3,0,77,2683,327,1938,1955,399,16,3,4,73,4715,9,38,20,5,4,0,0,0,76,664,3738,4295,863,67,15,9,227,9878,15,66,159,51,17,4,4,13,329,0,11,13,11,3,0,0,0,38,786,4857,11132,9906,3119,514,129,513,30956
SED10005,27,110,1876,7256,3775,956,236,352,14588,18,98,280,675,266,56,7,48,1448,29,154,446,1087,454,42,13,64,2289,47,252,726,1762,720,98,20,112,3737,25,195,871,150,21,3,0,39,1304,6,94,2167,319,11,3,0,96,2696,7,69,1172,257,10,0,0,46,1561,4,7,7,5,0,0,0,0,23,42,365,4217,731,42,6,0,181,5584,5,34,17,21,14,0,0,3,94,0,0,29,9,0,0,4,0,42,121,761,6865,9779,4551,1060,260,648,24045
SED10006,81,619,3232,10303,6147,1152,304,605,22443,0,29,136,87,16,3,0,11,282,0,7,12,12,4,0,0,0,35,0,36,148,99,20,3,0,11,317,29,369,808,90,33,4,4,77,1414,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3,0,14,29,374,815,93,33,4,7,77,1432,79,197,106,95,24,11,10,72,594,3,8,15,17,14,0,3,0,60,192,1234,4316,10607,6238,1170,324,765,24846
SED10007,55,393,3103,11110,7101,1332,311,448,23853,9,141,644,396,33,5,3,61,1292,8,22,52,98,34,6,3,10,233,17,163,696,494,67,11,6,71,1525,35,235,644,132,13,3,4,45,1111,0,7,52,14,0,0,0,7,80,0,0,6,0,0,0,0,0,6,0,9,13,18,0,5,0,0,45,35,251,715,164,13,8,4,52,1242,13,63,40,25,8,0,0,37,186,0,5,12,8,3,3,8,0,39,120,875,4566,11801,7192,1354,329,608,26845
SED10008,14,107,577,7646,8588,1925,378,193,19428,3,57,340,444,16,3,0,12,875,4,22,468,1443,335,31,11,21,2335,7,79,808,1887,351,34,11,33,3210,6,141,441,258,12,0,0,45,903,0,3,205,139,0,3,0,0,350,0,0,83,20,0,0,0,0,103,3,19,4,0,3,0,0,3,32,9,163,733,417,15,3,0,48,1388,0,0,3,3,0,0,0,0,6,0,6,0,3,0,0,0,0,9,30,355,2121,9956,8954,1962,389,274,24041
SED10009,79,492,3182,11121,5843,998,241,382,22338,3,151,497,417,27,7,3,55,1160,7,68,245,315,60,13,0,26,734,10,219,742,732,87,20,3,81,1894,14,178,1081,397,54,10,3,75,1812,3,12,26,15,0,0,3,3,62,0,0,0,0,0,0,0,0,0,0,25,30,8,3,0,0,0,66,17,215,1137,420,57,10,6,78,1940,31,175,211,80,14,0,5,36,552,3,0,14,10,0,0,0,0,27,140,1101,5286,12363,6001,1028,255,577,26751
SED10010,37,173,1453,11363,5820,991,192,377,20406,7,121,308,545,63,4,0,39,1087,5,111,318,1293,169,8,0,30,1934,12,232,626,1838,232,12,0,69,3021,14,115,108,11,9,0,0,21,278,0,10,525,17,3,3,0,23,581,11,40,1120,53,8,0,0,33,1265,3,22,11,6,0,0,0,3,45,28,187,1764,87,20,3,0,80,2169,0,4,15,8,0,0,0,3,30,0,3,3,3,3,3,3,3,21,77,599,3861,13299,6075,1009,195,532,25647
