region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED10001,8096,15929,140,770,841,3894,241,1100,4229,16826,5451,22590,316,1246,626,1995,1161,3568,2103,6809,7554,29399,45,192,228,808,120,446,1389,3812,1782,5258,107,327,308,663,839,1768,1254,2758,3036,8016,234,484,18920,53828
SED10002,6409,13040,296,1828,1271,6434,352,1735,6102,24551,8021,34548,735,3296,1066,3770,2283,7686,4084,14752,12105,49300,61,321,278,1078,117,492,1225,3546,1681,5437,201,691,430,1070,1446,3317,2077,5078,3758,10515,622,1402,22894,74257
SED10003,7447,14720,117,598,700,3176,178,764,3660,14236,4655,18774,232,912,611,1897,1081,3290,1924,6099,6579,24873,32,131,256,865,91,303,1554,3928,1933,5227,98,275,446,923,1010,2107,1554,3305,3487,8532,208,424,17721,48549
SED10004,8376,16414,41,221,446,1951,63,275,5171,18834,5721,21281,250,1003,596,1939,995,3092,1841,6034,7562,27315,13,54,108,355,64,218,855,2096,1040,2723,92,293,343,715,1026,2172,1461,3180,2501,5903,514,1065,18953,50697
SED10005,4958,10055,326,2006,1190,6018,347,1696,5354,22325,7217,32045,706,3189,736,2655,2306,7857,3748,13701,10965,45746,80,391,280,1133,156,579,1401,4202,1917,6305,186,648,376,888,1512,3537,2074,5073,3991,11378,357,790,20271,67969
SED10006,7072,13963,104,568,640,2766,275,1295,3978,16114,4997,20743,238,921,417,1197,1091,3324,1746,5442,6743,26185,48,226,212,799,150,585,1551,4639,1961,6249,52,163,174,359,881,1905,1107,2427,3068,8676,322,675,17205,49499
SED10007,7632,15069,143,853,810,3781,279,1267,4291,17322,5523,23223,338,1370,573,1840,1329,4139,2240,7349,7763,30572,49,220,231,853,123,472,1454,4007,1857,5552,68,209,270,566,962,2016,1300,2791,3157,8343,282,571,18834,54555
SED10008,6743,13456,164,919,1120,5030,226,1037,5905,23086,7415,30072,701,2964,1051,3713,2095,6742,3847,13419,11262,43491,27,129,144,513,57,180,726,1959,954,2781,121,394,280,642,976,2176,1377,3212,2331,5993,209,443,20545,63383
SED10009,9755,19184,113,612,667,3082,195,890,3155,12431,4130,17015,220,871,540,1656,1094,3303,1854,5830,5984,22845,35,166,244,856,86,314,1355,3727,1720,5063,85,250,306,660,787,1591,1178,2501,2898,7564,161,329,18798,49922
SED10010,5960,12165,213,1244,1026,4894,361,1714,5688,22247,7288,30099,679,2979,824,2897,2198,7322,3701,13198,10989,43297,70,350,275,1070,206,785,1520,4342,2071,6547,177,610,314,726,1594,3637,2085,4973,4156,11520,388,842,21493,67824
SED10011,7024,13872,162,900,799,3671,219,1008,4211,16560,5391,22139,413,1718,737,2389,1409,4386,2559,8493,7950,30632,33,169,229,779,87,280,1148,3004,1497,4232,118,344,327,682,947,1974,1392,3000,2889,7232,163,335,18026,52071
SED10012,8218,16166,172,944,873,4010,231,1052,3993,16152,5269,22158,287,1120,594,1831,1180,3591,2061,6542,7330,28700,35,155,176,633,92,312,1138,3188,1441,4288,60,183,204,426,796,1682,1060,2291,2501,6579,204,419,18253,51864
SED10013,4592,9519,219,1288,1094,5354,344,1678,4282,17400,5939,25720,689,3067,861,3082,2296,7772,3846,13921,9785,39641,87,415,426,1628,222,813,1983,5785,2718,8641,256,891,507,1240,1791,4242,2554,6373,5272,15014,481,1070,20130,65244
SED10014,6015,12039,267,1532,1154,5470,457,2136,5910,23871,7788,33009,729,3126,755,2620,2293,7632,3777,13378,11565,46387,74,357,285,1054,192,717,1518,4357,2069,6485,178,581,288,680,1025,2318,1491,3579,3560,10064,215,460,21355,68950
SED10015,5423,10922,255,1508,808,3919,371,1779,4175,16665,5609,23871,530,2306,662,2277,2111,6941,3303,11524,8912,35395,58,277,277,1065,208,737,1699,4858,2242,6937,162,528,321,733,1460,3251,1943,4512,4185,11449,325,695,18845,58461
SED10016,6983,14117,111,616,922,4229,226,1005,5370,20383,6629,26233,534,2327,904,3089,2271,7446,3709,12862,10338,39095,26,134,189,637,85,305,1162,2916,1462,3992,142,468,458,1030,1458,3191,2058,4689,3520,8681,474,1023,21315,62916
SED10017,6122,12208,172,939,1417,6398,189,842,5406,21207,7184,29386,1058,4475,1610,5718,2358,7589,5026,17782,12210,47168,24,106,176,586,37,127,578,1511,815,2330,140,449,339,809,834,1834,1313,3092,2128,5422,198,435,20658,65233
SED10018,7451,14855,190,1048,815,3790,396,1841,4680,18573,6081,25252,379,1589,516,1681,1873,5932,2768,9202,8849,34454,61,274,255,919,182,643,1815,5008,2313,6844,108,351,249,555,1246,2652,1603,3558,3916,10402,238,491,20454,60202
SED10019,6928,13748,137,752,742,3360,245,1095,4023,15711,5147,20918,393,1603,656,2266,1575,4926,2624,8795,7771,29713,53,230,191,655,121,426,1253,3335,1618,4646,123,361,323,722,1171,2482,1617,3565,3235,8211,245,499,18179,52171
SED10020,8872,17579,133,745,764,3579,265,1239,3556,14323,4718,19886,254,1030,544,1684,1272,3910,2070,6624,6788,26510,61,269,297,1036,129,521,1749,4980,2236,6806,100,300,313,665,1003,2096,1416,3061,3652,9867,278,580,19590,54536
SED10021,8342,16490,134,762,776,3600,219,974,3822,15045,4951,20381,295,1168,623,1998,1240,3775,2158,6941,7109,27322,43,198,295,1049,131,492,1710,4593,2179,6332,110,337,364,786,1026,2128,1500,3251,3679,9583,189,392,19319,53787
SED10022,8134,15976,35,175,495,2210,68,282,5090,18752,5688,21419,255,1036,692,2297,913,2828,1860,6161,7548,27580,4,24,113,364,33,86,833,1920,983,2394,98,304,362,775,878,1808,1338,2887,2321,5281,594,1245,18597,50082
SED10023,7009,13858,140,729,772,3469,157,717,4285,16715,5354,21630,553,2290,714,2506,1652,5271,2919,10067,8273,31697,18,63,152,496,76,262,887,2213,1133,3034,108,342,267,590,1084,2308,1459,3240,2592,6274,278,572,18152,52401
SED10024,6026,11915,135,719,1407,6406,149,606,5246,21212,6937,28943,753,3100,1487,5167,1824,5652,4064,13919,11001,42862,14,54,175,588,28,93,470,1274,687,2009,126,404,306,729,716,1537,1148,2670,1835,4679,193,411,19055,59867
SED10025,8533,16961,99,521,813,3640,175,759,5702,21181,6789,26101,507,2107,914,3181,1902,6095,3323,11383,10112,37484,10,64,163,543,50,169,825,2041,1048,2817,152,479,372,852,1139,2486,1663,3817,2711,6634,490,1029,21846,62108
SED10026,7444,14653,173,926,818,3762,283,1306,4294,17476,5568,23470,269,1060,554,1681,1241,3791,2064,6532,7632,30002,58,263,278,1031,170,626,1730,4924,2236,6844,92,284,260,568,932,1954,1284,2806,3520,9650,273,559,18869,54864
SED10027,5450,10988,178,997,891,4188,275,1295,4536,18228,5880,24708,663,2901,759,2709,2097,6947,3519,12557,9399,37265,43,193,194,724,131,487,935,2649,1303,4053,166,542,268,631,1365,3070,1799,4243,3102,8296,302,658,18253,57207
SED10028,6302,12556,128,692,1215,5431,134,571,4982,19164,6459,25858,778,3292,1489,5189,1874,5969,4141,14450,10600,40308,21,83,140,464,33,97,593,1553,787,2197,129,395,404,956,891,1927,1424,3278,2211,5475,351,729,19464,59068
