region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED10001,240,283,523,7239,8217,15456,0,0,0,437,461,898,55,60,115,9479,10329,19808,39,44,83,192,208,400,84,141,225,32,33,65,1398,1445,2843,14,13,27,48,53,101,386,454,840,1850,1989,3839,95,120,215,132,151,283,1894,2380,4274,576,747,1323,24,26,50,23974,26871,50845,248,217,465,144,116,260,16,20,36,3,3,6,115,123,238,118,126,244,7137,6258,13395,358,191,549,3070,2608,5678,35305,36690,71995
SED10002,3988,4595,8583,2062,2245,4307,4,3,7,637,721,1358,20,17,37,8715,9364,18079,19,26,45,1284,1235,2519,104,115,219,69,73,142,77,81,158,155,152,307,132,135,267,384,389,773,960,1043,2003,51,66,117,73,87,160,886,960,1846,659,765,1424,41,40,81,16332,17517,33849,2186,1770,3956,12427,11172,23599,28,18,46,0,3,3,511,373,884,511,376,887,6464,5731,12195,206,144,350,5131,3434,8565,47273,44757,92030
SED10003,635,850,1485,6197,7118,13315,0,0,0,321,357,678,17,17,34,6724,7523,14247,25,24,49,106,111,217,165,196,361,27,49,76,102,149,251,4,0,4,27,48,75,307,361,668,1326,1506,2832,73,93,166,149,215,364,1452,1790,3242,667,810,1477,38,55,93,17727,20422,38149,90,68,158,57,40,97,174,137,311,15,18,33,254,334,588,269,352,621,9358,8939,18297,720,611,1331,2844,2736,5580,31874,34155,66029
SED10004,802,1157,1959,4388,5239,9627,11,3,14,199,221,420,3,0,3,9401,11177,20578,14,15,29,939,1054,1993,51,102,153,18,32,50,169,217,386,45,50,95,69,77,146,128,158,286,608,782,1390,41,32,73,31,46,77,641,887,1528,332,420,752,38,44,82,17126,20556,37682,244,229,473,368,325,693,225,247,472,8,8,16,206,257,463,214,265,479,12866,12822,25688,631,402,1033,3556,3390,6946,36032,39393,75425
SED10005,2970,3402,6372,1949,2287,4236,12,8,20,441,479,920,10,7,17,10557,11225,21782,26,41,67,3955,3850,7805,81,113,194,100,95,195,79,80,159,324,282,606,93,105,198,344,407,751,477,506,983,28,40,68,76,98,174,483,569,1052,341,364,705,60,66,126,19436,20622,40058,314,312,626,10924,10633,21557,12,11,23,0,0,0,248,231,479,248,231,479,2753,2379,5132,106,68,174,3184,3089,6273,39947,40747,80694
SED10006,84,87,171,11058,11053,22111,0,0,0,260,261,521,21,34,55,9790,9980,19770,10,8,18,114,84,198,114,151,265,37,40,77,205,193,398,11,11,22,70,78,148,240,299,539,1965,1837,3802,114,138,252,88,121,209,1374,1522,2896,399,486,885,26,28,54,25896,26324,52220,49,46,95,59,42,101,9,7,16,24,15,39,52,55,107,76,70,146,4513,3670,8183,182,116,298,3416,2826,6242,34284,33188,67472
SED10007,223,264,487,8705,9384,18089,0,0,0,511,571,1082,175,157,332,11193,11767,22960,14,31,45,153,127,280,109,156,265,44,55,99,134,130,264,11,10,21,67,71,138,224,232,456,1609,1720,3329,109,161,270,97,106,203,2031,2264,4295,555,616,1171,18,21,39,25759,27579,53338,60,61,121,98,86,184,20,11,31,12,8,20,104,156,260,116,164,280,6371,5241,11612,344,163,507,3961,2536,6497,36952,36105,73057
SED10008,871,1066,1937,6398,7060,13458,9,10,19,745,832,1577,42,47,89,10809,11744,22553,34,51,85,969,975,1944,46,62,108,128,119,247,135,156,291,176,174,350,120,111,231,732,898,1630,1075,1220,2295,89,96,185,99,121,220,1476,1796,3272,650,745,1395,39,43,82,23771,26260,50031,1349,1383,2732,899,866,1765,44,41,85,0,0,0,439,447,886,439,447,886,6101,5015,11116,258,171,429,1818,1697,3515,35550,36946,72496
SED10009,265,415,680,8714,9807,18521,0,0,0,359,397,756,5,3,8,7029,7488,14517,17,31,48,173,128,301,176,250,426,45,38,83,204,264,468,3,3,6,36,44,80,118,176,294,1148,1274,2422,121,135,256,89,110,199,1306,1673,2979,570,666,1236,27,42,69,20140,22529,42669,38,35,73,41,29,70,16,31,47,17,10,27,112,186,298,129,196,325,8796,7671,16467,340,253,593,3149,2941,6090,32914,34100,67014
SED10010,714,788,1502,4869,5335,10204,9,14,23,626,666,1292,21,15,36,12728,13913,26641,118,114,232,1224,1220,2444,133,171,304,172,203,375,99,143,242,515,549,1064,214,247,461,712,765,1477,757,822,1579,55,62,117,210,241,451,1023,1171,2194,822,885,1707,85,80,165,24392,26616,51008,2879,2739,5618,2398,2378,4776,15,19,34,0,4,4,1615,1303,2918,1615,1307,2922,4563,3650,8213,257,173,430,2382,2152,4534,39215,39822,79037
SED10011,430,669,1099,6491,7494,13985,0,0,0,876,1016,1892,104,131,235,6651,7541,14192,52,55,107,244,243,487,154,177,331,71,80,151,196,185,381,9,7,16,64,82,146,309,334,643,1068,1283,2351,121,131,252,61,88,149,1063,1383,2446,936,1126,2062,58,93,151,18528,21449,39977,74,74,148,82,80,162,72,85,157,19,11,30,249,355,604,268,366,634,9525,8898,18423,576,402,978,3078,2983,6061,32633,35006,67639
SED10012,119,136,255,9706,10203,19909,0,0,0,310,360,670,132,153,285,10631,11044,21675,7,3,10,125,116,241,101,129,230,34,42,76,150,180,330,0,0,0,14,25,39,151,161,312,1272,1314,2586,116,155,271,57,72,129,1812,2010,3822,488,534,1022,21,27,48,25127,26528,51655,29,31,60,125,110,235,17,16,33,6,11,17,80,82,162,86,93,179,4853,4383,9236,215,128,343,2576,2328,4904,33147,33753,66900
SED10013,13337,14773,28110,1844,1964,3808,470,485,955,538,604,1142,0,4,4,8761,9450,18211,13,20,33,2287,2317,4604,145,206,351,177,178,355,94,71,165,112,110,222,120,117,237,222,230,452,201,233,434,24,44,68,108,133,241,334,359,693,483,544,1027,46,48,94,15979,17117,33096,153,137,290,1162,1060,2222,7,4,11,0,0,0,178,194,372,178,194,372,3822,3225,7047,135,90,225,2564,2320,4884,37337,38920,76257
SED10014,451,577,1028,9846,10884,20730,28,13,41,582,610,1192,79,69,148,13497,14281,27778,29,44,73,767,703,1470,161,198,359,195,221,416,137,158,295,69,69,138,172,165,337,534,591,1125,874,927,1801,70,79,149,94,116,210,1152,1320,2472,746,809,1555,73,81,154,29105,31338,60443,288,294,582,871,794,1665,26,32,58,0,4,4,133,148,281,133,152,285,5389,4621,10010,221,126,347,2455,2357,4812,38939,40291,79230
SED10015,652,786,1438,6995,7780,14775,4,6,10,635,692,1327,60,56,116,9841,10714,20555,42,43,85,580,624,1204,171,222,393,356,390,746,127,133,260,171,157,328,168,179,347,549,583,1132,827,872,1699,87,107,194,144,167,311,807,939,1746,673,762,1435,55,70,125,22292,24496,46788,1156,1160,2316,2262,2177,4439,23,17,40,5,7,12,333,331,664,338,338,676,4765,4076,8841,272,169,441,2405,2123,4528,34165,35342,69507
SED10016,2085,2663,4748,2434,2780,5214,4,3,7,345,435,780,5,7,12,11585,12490,24075,15,24,39,4776,4946,9722,130,204,334,37,55,92,96,95,191,175,177,352,114,121,235,285,341,626,746,848,1594,58,91,149,67,89,156,684,834,1518,439,530,969,29,41,70,22024,24111,46135,1405,1084,2489,1457,1326,2783,46,54,100,5,8,13,358,299,657,363,307,670,7943,7766,15709,308,207,515,2841,2780,5621,38472,40298,78770
SED10017,1462,1727,3189,5944,6811,12755,8,4,12,936,1050,1986,100,99,199,10144,11031,21175,51,69,120,712,750,1462,59,68,127,113,116,229,154,175,329,187,194,381,171,181,352,614,686,1300,1198,1302,2500,39,49,88,146,214,360,1411,1706,3117,644,744,1388,61,53,114,22692,25302,47994,1409,1375,2784,875,851,1726,50,54,104,0,0,0,401,411,812,401,411,812,7132,6086,13218,211,134,345,1799,1848,3647,36031,37788,73819
SED10018,133,207,340,10857,11923,22780,0,0,0,584,616,1200,35,39,74,8151,8604,16755,25,43,68,133,112,245,117,185,302,91,110,201,112,126,238,3,6,9,101,118,219,267,295,562,1473,1639,3112,240,291,531,171,189,360,2551,3028,5579,582,638,1220,39,29,68,25532,27991,53523,70,59,129,69,56,125,9,12,21,6,3,9,64,140,204,70,143,213,7330,6204,13534,287,192,479,3331,2624,5955,36831,37488,74319
SED10019,235,308,543,7274,8444,15718,0,0,0,712,744,1456,49,47,96,7624,8454,16078,25,37,62,511,524,1035,76,109,185,64,83,147,114,152,266,7,8,15,70,55,125,465,543,1008,1153,1277,2430,126,143,269,94,116,210,2151,2701,4852,596,730,1326,48,66,114,21159,24233,45392,111,99,210,99,94,193,17,12,29,3,0,3,73,110,183,76,110,186,7043,6042,13085,307,164,471,2099,1915,4014,31146,32977,64123
SED10020,210,260,470,10099,10998,21097,0,0,0,525,547,1072,4,3,7,8070,8710,16780,14,16,30,58,48,106,210,247,457,43,39,82,103,130,233,8,3,11,18,42,60,270,387,657,2264,2404,4668,172,216,388,72,125,197,1620,1930,3550,649,721,1370,46,50,96,24245,26616,50861,27,15,42,35,18,53,10,17,27,10,9,19,107,171,278,117,180,297,7183,6190,13373,360,246,606,3204,2706,5910,35391,36248,71639
SED10021,308,447,755,8138,9294,17432,0,0,0,550,602,1152,0,6,6,7406,8212,15618,46,55,101,82,97,179,172,238,410,58,66,124,176,195,371,10,4,14,51,86,137,589,717,1306,1448,1636,3084,109,138,247,106,126,232,1396,1804,3200,864,1063,1927,41,53,94,21242,24392,45634,83,79,162,108,87,195,20,15,35,21,18,39,595,628,1223,616,646,1262,8539,7632,16171,475,322,797,2832,2709,5541,34223,36329,70552
SED10022,1009,1264,2273,4701,5743,10444,8,8,16,167,212,379,4,4,8,10318,11641,21959,17,15,32,1262,1462,2724,37,39,76,15,10,25,198,238,436,34,31,65,69,82,151,186,233,419,736,829,1565,12,20,32,24,22,46,522,647,1169,379,430,809,19,36,55,18708,21702,40410,312,269,581,537,467,1004,1991,2330,4321,7,0,7,155,173,328,162,173,335,11395,10919,22314,567,337,904,4876,4524,9400,39557,41985,81542
SED10023,291,430,721,8060,9114,17174,4,0,4,552,599,1151,4,5,9,10025,11077,21102,39,53,92,1437,1427,2864,74,76,150,33,42,75,112,158,270,101,98,199,68,73,141,233,281,514,891,1089,1980,65,86,151,15,17,32,1203,1432,2635,459,514,973,36,44,80,23411,26185,49596,117,101,218,193,208,401,49,43,92,0,0,0,70,71,141,70,71,141,5898,4857,10755,216,121,337,2214,1978,4192,32459,33994,66453
SED10024,557,770,1327,7741,9005,16746,0,0,0,332,375,707,10,13,23,7022,8062,15084,29,29,58,488,508,996,36,53,89,19,13,32,197,236,433,333,308,641,103,138,241,334,407,741,1108,1210,2318,28,30,58,18,32,50,1726,2252,3978,616,681,1297,43,38,81,20183,23390,43573,329,340,669,192,185,377,1578,1558,3136,0,0,0,245,266,511,245,266,511,7672,6746,14418,258,141,399,2133,2161,4294,33147,35557,68704
SED10025,1183,1577,2760,3983,4721,8704,12,23,35,344,376,720,9,16,25,14628,16153,30781,11,24,35,1862,2070,3932,101,110,211,24,30,54,122,131,253,181,176,357,67,97,164,221,309,530,1199,1422,2621,41,27,68,45,48,93,903,1087,1990,420,513,933,18,39,57,24191,27372,51563,1244,1022,2266,679,604,1283,112,109,221,0,0,0,280,208,488,280,208,488,7951,7176,15127,294,162,456,3640,3186,6826,39574,41416,80990
SED10026,111,161,272,9943,10894,20837,0,0,0,596,694,1290,40,60,100,11150,11931,23081,32,38,70,100,118,218,55,77,132,26,32,58,210,250,460,13,12,25,39,35,74,317,376,693,1578,1734,3312,135,179,314,113,144,257,2488,2920,5408,613,687,1300,11,6,17,27459,30187,57646,74,91,165,103,64,167,7,9,16,18,18,36,72,78,150,90,96,186,4183,3583,7766,218,116,334,2683,2339,5022,34928,36646,71574
SED10027,1527,1756,3283,5335,6102,11437,8,8,16,669,804,1473,11,18,29,10087,10688,20775,23,33,56,2955,3003,5958,61,84,145,48,66,114,122,124,246,342,336,678,126,166,292,238,317,555,681,717,1398,60,89,149,33,43,76,762,936,1698,455,524,979,63,89,152,22079,24147,46226,414,378,792,2579,2536,5115,15,11,26,4,0,4,215,241,456,219,241,460,3988,3322,7310,176,94,270,2155,2057,4212,33152,34542,67694
