region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
SED10001,2400,53297,4701,71993
SED10002,2138,9873,9007,92032
SED10003,3439,42660,4194,66025
SED10004,4415,29790,5871,75423
SED10005,2426,11137,7427,80693
SED10006,1558,53813,6056,67469
SED10007,2606,53290,5961,73057
SED10008,3529,29686,2799,72495
SED10009,2925,45019,4419,67013
SED10010,2765,22576,4748,79036
SED10011,4180,37744,4650,67637
SED10012,2172,51627,4580,66910
SED10013,1367,7228,5856,76261
SED10014,4030,42285,4809,79235
SED10015,2974,29798,4629,69502
SED10016,2913,16824,5357,78765
SED10017,3137,25554,2964,73819
SED10018,2586,56565,4968,74322
SED10019,2715,45495,3226,64121
SED10020,2424,55077,4777,71634
SED10021,3139,47436,4647,70556
SED10022,4292,26345,8027,81544
SED10023,3641,38349,3614,66449
SED10024,4227,27122,3045,68700
SED10025,3485,24894,6152,80992
SED10026,1800,57954,4800,71575
SED10027,2679,26115,4365,67693
SED10028,3254,25384,2685,70508
SED10029,1995,12699,6173,84234
SED10030,3596,41934,5814,70618
SED10031,3217,46677,4834,70185
SED10032,2603,14974,8391,88348
SED10033,3918,38640,3659,75657
SED10034,3861,41484,3007,66292
SED10035,3458,23399,9057,86606
SED10036,4027,30721,2962,73347
SED10037,3895,35803,3455,67852
SED10038,3706,43911,3188,69089
SED10039,2609,16221,4813,76793
SED10040,4180,28064,3646,73976
SED10041,3068,46679,3913,67317
SED10042,2251,12730,8061,85553
SED10043,4096,28023,3297,68641
SED10044,3101,51973,4431,73186
SED10045,2199,14247,7715,83385
SED10046,3724,40641,5984,74353
SED10047,3136,21659,6072,86148
SED10048,2813,57504,4137,75694
SED10049,4892,31151,4778,75526
SED10050,3450,24887,7641,77424
SED10051,4311,26756,6934,77739
SED10052,3244,33992,3453,71186
SED10053,3572,36165,3240,64950
SED10054,3585,43619,5341,72881
SED10055,2781,25477,6347,85348
SED10056,3707,36070,4483,76826
SED10057,1668,51337,4861,65270
SED10058,1842,49947,5706,70440
SED10059,2466,49533,4762,67785
SED10060,3158,44574,5193,67922
SED10061,4230,28499,7202,77913
SED10062,2298,55691,4815,72394
SED10063,2747,22741,3892,73304
SED10064,2390,54778,5565,73212
SED10065,2557,50611,4903,69062
SED10066,2921,20614,7919,92448
SED10067,3699,38399,4326,68895
SED10068,4532,34216,4304,67939
SED10069,2850,46190,4144,66304
SED10070,3052,46940,5070,69667
SED10071,4233,39190,5134,96450
SED10072,2624,17614,5860,74889
SED10073,2824,20362,4603,75674
SED10074,3908,36458,3774,68321
SED10075,2518,17871,4098,74691
SED10076,3094,45218,5941,69384
SED10077,2552,14551,6455,82571
SED10078,2976,47886,3774,66987
SED10079,4090,26900,17031,107119
SED10080,1792,57594,4970,71379
SED10081,3554,40356,4224,66034
SED10082,3644,45977,4436,71363
SED10083,2814,26111,4467,74725
SED10084,3331,44864,4705,70402
SED10085,2396,55807,4880,72467
SED10086,4385,22324,8594,76085
SED10087,2226,57154,3995,73449
SED10088,4473,31627,3710,73746
SED10089,2761,46783,3944,68815
SED10090,4273,25395,4661,77043
SED10091,3932,42629,4798,76326
SED10092,3515,31653,5202,73719
SED10093,3579,49262,5250,75864
SED19494,512,5475,2883,12918
SED19797,9,44,8,119
