region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,5024,2963,1725,752,30771
SED10002,3774,1735,1018,376,37983
SED10003,6397,3265,1876,828,31677
SED10004,6089,2732,1176,484,46108
SED10005,3281,1823,1126,588,29194
SED10006,3821,2327,1294,395,24170
SED10007,5258,3086,1649,529,31107
SED10008,5663,3401,1415,582,36241
SED10009,6941,4726,2515,960,30441
SED10010,4238,1917,1099,375,32829
SED10011,7303,3924,1887,734,35494
SED10012,5000,3191,1682,575,26820
SED10013,2751,1487,910,385,22299
SED10014,4251,1800,837,281,31493
SED10015,4425,1942,780,256,27213
SED10016,4125,1989,1296,551,36657
SED10017,6839,3391,1466,798,38437
SED10018,4658,2428,1314,429,28557
SED10019,4541,2996,1963,723,29473
SED10020,5629,3472,2056,713,28085
SED10021,5998,3399,2070,948,31339
SED10022,4970,2678,1590,834,50163
SED10023,5114,2890,2165,870,34094
SED10024,6325,4395,2462,1147,36808
SED10025,5303,2696,1531,629,44543
SED10026,4253,2544,1410,499,28010
SED10027,3768,2184,1581,728,28591
SED10028,6216,3517,2184,951,39271
SED10029,3199,1869,1358,471,27283
SED10030,4977,3624,2416,1173,32263
SED10031,5993,4374,2375,867,32191
SED10032,3518,1879,1215,512,36704
SED10033,5675,2855,1018,355,35024
SED10034,5241,2725,1262,451,33158
SED10035,4472,2616,1459,473,49342
SED10036,6422,3208,1373,529,38658
SED10037,4871,2907,1969,690,32049
SED10038,5956,3628,1949,663,32312
SED10039,4366,2278,1475,781,36160
SED10040,6496,4131,2763,1479,41541
SED10041,5709,3829,2174,832,30489
SED10042,3415,2025,1486,663,34512
SED10043,5786,3241,1993,1128,38089
SED10044,6406,2998,1467,542,31332
SED10045,3463,1673,791,203,29971
SED10046,4256,2247,1012,343,28714
SED10047,3936,1767,925,441,33299
SED10048,4767,2427,1250,427,31339
SED10049,5135,2983,1598,777,43243
SED10050,5022,2839,1740,766,38900
SED10051,4148,1725,817,305,45319
SED10052,5077,1980,898,356,32723
SED10053,4902,3057,1953,771,32682
SED10054,5467,2677,1157,414,34093
SED10055,3614,1551,698,233,29487
SED10056,4023,1689,659,252,29366
SED10057,4127,2685,1775,719,24417
SED10058,3739,2220,1315,494,25487
SED10059,5572,4336,2715,1107,28695
SED10060,4940,2557,1666,861,35212
SED10061,6887,4435,2020,982,53031
SED10062,5327,3337,1659,627,29527
SED10063,4535,2552,1706,655,36166
SED10064,4899,2917,1590,523,30706
SED10065,6052,3721,1969,801,28772
SED10066,4505,2361,1551,686,48749
SED10067,4676,2312,1189,485,29537
SED10068,6450,3980,2157,1485,36540
SED10069,5386,4316,2922,1108,30192
SED10070,5276,4250,2304,872,30847
SED10071,4553,1736,631,185,42076
SED10072,4005,2336,1513,670,35758
SED10073,4988,2639,1718,924,40951
SED10074,4161,2525,1363,316,27030
SED10075,4050,1828,759,218,28018
SED10076,5619,4420,2766,980,30981
SED10077,4961,2532,1752,930,44832
SED10078,4914,3684,2328,684,28962
SED10079,6539,3459,1513,732,76524
SED10080,4789,2948,1677,626,28639
SED10081,5694,3522,2454,1112,32358
SED10082,4807,3006,2130,1068,30855
SED10083,4417,2306,1313,490,33213
SED10084,5149,3676,2887,1137,30638
SED10085,4618,2599,1279,391,29059
SED10086,6013,3610,2069,1051,47513
SED10087,4587,2402,1460,558,30372
SED10088,4838,3253,2008,772,37086
SED10089,4325,2464,1540,658,29942
SED10090,6013,3152,1791,842,45136
SED10091,4835,2173,948,275,30867
SED10092,4374,2608,1878,742,32961
SED10093,4374,3041,1977,791,29774
SED19494,1017,562,137,73,7326
SED19797,13,12,13,3,62
