region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SED10001,5266,432,1374,96,3,7171,15383,625,1573,81,18,17680,737,28,88,3,0,856,762,80,257,12,3,1114,16882,733,1918,96,21,19650,824,66,198,19,3,1110,22972,1231,3490,211,27,27931
SED10002,3182,609,1441,27,11,5270,10715,2513,6215,43,45,19531,361,74,211,3,0,649,359,101,406,11,0,877,11435,2688,6832,57,45,21057,732,145,443,7,3,1330,15349,3442,8716,91,59,27657
SED10003,3323,747,936,358,0,5364,14222,1877,1298,336,28,17761,670,94,87,26,0,877,591,201,152,29,0,973,15483,2172,1537,391,28,19611,588,102,123,97,3,913,19394,3021,2596,846,31,25888
SED10004,1365,1246,1516,45,5,4177,7661,8749,6990,240,30,23670,192,231,241,4,3,671,284,456,811,25,0,1576,8137,9436,8042,269,33,25917,251,277,319,15,0,862,9753,10959,9877,329,38,30956
SED10005,3329,882,1284,31,4,5530,9825,2471,3620,48,29,15993,361,83,157,0,3,604,383,117,232,7,7,746,10569,2671,4009,55,39,17343,689,183,293,8,0,1173,14587,3736,5586,94,43,24046
SED10006,7471,136,684,285,18,8594,12393,136,504,209,38,13280,682,7,35,6,0,730,894,22,98,24,3,1041,13969,165,637,239,41,15051,1003,14,110,70,4,1201,22443,315,1431,594,63,24846
SED10007,5862,580,522,75,7,7046,15470,731,511,64,25,16801,886,30,37,3,3,959,860,89,99,12,3,1063,17216,850,647,79,31,18823,776,94,72,33,0,975,23854,1524,1241,187,38,26844
SED10008,1801,407,395,0,0,2603,16376,2535,825,6,9,19751,383,78,36,0,0,497,328,114,57,0,0,499,17087,2727,918,6,9,20747,541,78,72,0,0,691,19429,3212,1385,6,9,24041
SED10009,5055,684,793,237,12,6781,14952,945,905,245,9,17056,999,71,62,21,3,1156,640,77,85,9,3,814,16591,1093,1052,275,15,19026,692,117,94,39,3,945,22338,1894,1939,551,30,26752
SED10010,3981,590,458,8,0,5037,14488,2098,1432,19,12,18049,474,71,56,0,0,601,634,127,118,3,0,882,15596,2296,1606,22,12,19532,830,137,105,3,3,1078,20407,3023,2169,33,15,25647
