region_id,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SED10001,0,37,2293,2330,64,322,1412,1798,1304,765,1411,3480,2393,500,1052,3945,2828,375,1171,4374,2805,260,1064,4129,1974,113,684,2771,1095,22,467,1584,236,0,165,401,12699,2394,9719,24812,3,85,2108,2196,153,453,1305,1911,1733,717,1317,3767,2665,508,1167,4340,2958,411,1363,4732,2795,210,1194,4199,1738,72,1069,2879,803,13,1069,1885,106,4,555,665,12954,2473,11147,26574,3,122,4401,4526,217,775,2717,3709,3037,1482,2728,7247,5058,1008,2219,8285,5786,786,2534,9106,5600,470,2258,8328,3712,185,1753,5650,1898,35,1536,3469,342,4,720,1066,25653,4867,20866,51386
SED10002,3,11,2949,2963,294,95,3414,3803,3416,457,4046,7919,3927,274,1504,5705,3914,213,1335,5462,2748,144,1005,3897,1612,30,471,2113,833,9,346,1188,175,0,157,332,16922,1233,15227,33382,39,12,2695,2746,768,155,2541,3464,4378,464,2660,7502,4069,236,1538,5843,3563,167,1717,5447,2424,112,1368,3904,1183,23,854,2060,514,11,914,1439,84,0,503,587,17022,1180,14790,32992,42,23,5644,5709,1062,250,5955,7267,7794,921,6706,15421,7996,510,3042,11548,7477,380,3052,10909,5172,256,2373,7801,2795,53,1325,4173,1347,20,1260,2627,259,0,660,919,33944,2413,30017,66374
SED10003,0,13,1874,1887,37,132,1041,1210,705,545,1259,2509,1821,696,1124,3641,2377,604,1438,4419,2658,469,1260,4387,1842,140,619,2601,1091,36,435,1562,317,8,220,545,10848,2643,9270,22761,6,34,1659,1699,66,198,867,1131,992,624,1145,2761,2285,778,1466,4529,2580,653,1864,5097,2548,336,1618,4502,1617,92,1088,2797,840,18,1171,2029,138,5,639,782,11072,2738,11517,25327,6,47,3533,3586,103,330,1908,2341,1697,1169,2404,5270,4106,1474,2590,8170,4957,1257,3302,9516,5206,805,2878,8889,3459,232,1707,5398,1931,54,1606,3591,455,13,859,1327,21920,5381,20787,48088
SED10004,0,4,1182,1186,32,168,1687,1887,1622,1591,2688,5901,3505,1270,1648,6423,2154,755,1349,4258,1889,493,1060,3442,1037,155,664,1856,599,20,357,976,135,0,113,248,10973,4456,10748,26177,0,16,1154,1170,60,301,1925,2286,2232,1731,3046,7009,3603,1099,2150,6852,2173,718,1893,4784,1782,420,1862,4064,874,83,1161,2118,383,8,851,1242,49,3,366,418,11156,4379,14408,29943,0,20,2336,2356,92,469,3612,4173,3854,3322,5734,12910,7108,2369,3798,13275,4327,1473,3242,9042,3671,913,2922,7506,1911,238,1825,3974,982,28,1208,2218,184,3,479,666,22129,8835,25156,56120
SED10005,3,3,2796,2802,170,45,2366,2581,2437,238,2539,5214,3319,181,1256,4756,3256,146,1168,4570,2678,87,918,3683,1858,32,487,2377,951,10,346,1307,218,4,157,379,14890,746,12033,27669,36,12,2510,2558,591,77,2052,2720,3344,248,2197,5789,3499,190,1552,5241,3068,131,1528,4727,2349,70,1234,3653,1353,15,904,2272,618,7,963,1588,103,3,550,656,14961,753,13490,29204,39,15,5306,5360,761,122,4418,5301,5781,486,4736,11003,6818,371,2808,9997,6324,277,2696,9297,5027,157,2152,7336,3211,47,1391,4649,1569,17,1309,2895,321,7,707,1035,29851,1499,25523,56873
SED10006,3,48,1719,1770,56,337,1048,1441,1049,755,1184,2988,1964,618,1120,3702,2397,489,1462,4348,2411,296,1291,3998,1783,98,996,2877,866,21,509,1396,148,5,134,287,10677,2667,9463,22807,4,111,1489,1604,117,466,905,1488,1426,790,1154,3370,2223,580,1023,3826,2552,478,1096,4126,2331,241,966,3538,1474,59,1021,2554,592,6,888,1486,62,0,388,450,10781,2731,8930,22442,7,159,3208,3374,173,803,1953,2929,2475,1545,2338,6358,4187,1198,2143,7528,4949,967,2558,8474,4742,537,2257,7536,3257,157,2017,5431,1458,27,1397,2882,210,5,522,737,21458,5398,18393,45249
SED10007,3,27,2130,2160,85,370,1494,1949,1214,759,1245,3218,2322,553,1065,3940,2737,482,1270,4489,2811,281,1134,4226,1972,96,858,2926,999,17,459,1475,159,3,117,279,12302,2588,9772,24662,0,106,1989,2095,150,500,1287,1937,1598,741,1111,3450,2682,557,1145,4384,2923,435,1261,4619,2711,222,1172,4105,1650,73,1167,2890,692,12,1038,1742,73,3,496,572,12479,2649,10666,25794,3,133,4119,4255,235,870,2781,3886,2812,1500,2356,6668,5004,1110,2210,8324,5660,917,2531,9108,5522,503,2306,8331,3622,169,2025,5816,1691,29,1497,3217,232,6,613,851,24781,5237,20438,50456
SED10008,3,0,2273,2276,37,66,1881,1984,1695,421,1659,3775,3990,341,891,5222,3715,234,649,4598,3245,157,486,3888,2417,58,354,2829,936,8,256,1200,166,4,121,291,16204,1289,8570,26063,4,6,2102,2112,109,113,1732,1954,2386,443,1312,4141,4381,352,930,5663,3669,234,972,4875,3232,145,1008,4385,1965,33,887,2885,585,8,790,1383,93,0,442,535,16424,1334,10175,27933,7,6,4375,4388,146,179,3613,3938,4081,864,2971,7916,8371,693,1821,10885,7384,468,1621,9473,6477,302,1494,8273,4382,91,1241,5714,1521,16,1046,2583,259,4,563,826,32628,2623,18745,53996
SED10009,3,25,1862,1890,25,170,748,943,592,502,809,1903,1563,586,927,3076,2348,575,1246,4169,3307,491,1211,5009,2924,208,806,3938,1491,40,591,2122,303,0,231,534,12556,2597,8431,23584,4,72,1687,1763,85,287,541,913,886,550,803,2239,1902,574,982,3458,2683,617,1423,4723,3447,432,1302,5181,2534,136,1149,3819,1020,26,1190,2236,159,3,581,743,12720,2697,9658,25075,7,97,3549,3653,110,457,1289,1856,1478,1052,1612,4142,3465,1160,1909,6534,5031,1192,2669,8892,6754,923,2513,10190,5458,344,1955,7757,2511,66,1781,4358,462,3,812,1277,25276,5294,18089,48659
SED10010,0,15,2626,2641,133,163,2379,2675,2766,563,2740,6069,3497,397,1359,5253,3249,282,1267,4798,2830,152,865,3847,1635,40,432,2107,743,13,321,1077,134,5,96,235,14987,1630,12085,28702,11,34,2473,2518,356,238,1934,2528,3681,598,2076,6355,3449,375,1495,5319,3236,283,1466,4985,2605,109,1336,4050,1243,26,1002,2271,460,4,944,1408,61,3,367,431,15102,1670,13093,29865,11,49,5099,5159,489,401,4313,5203,6447,1161,4816,12424,6946,772,2854,10572,6485,565,2733,9783,5435,261,2201,7897,2878,66,1434,4378,1203,17,1265,2485,195,8,463,666,30089,3300,25178,58567
SED10011,0,18,1995,2013,54,124,1229,1407,1051,525,1087,2663,2398,619,946,3963,2816,526,1028,4370,2989,370,1041,4400,1794,118,632,2544,831,36,338,1205,169,3,145,317,12102,2339,8441,22882,0,29,1827,1856,112,199,1056,1367,1378,606,921,2905,2728,661,1136,4525,3050,557,1433,5040,2852,364,1617,4833,1542,79,1284,2905,559,12,1008,1579,85,3,537,625,12306,2510,10819,25635,0,47,3822,3869,166,323,2285,2774,2429,1131,2008,5568,5126,1280,2082,8488,5866,1083,2461,9410,5841,734,2658,9233,3336,197,1916,5449,1390,48,1346,2784,254,6,682,942,24408,4849,19260,48517
