region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED10001,22971,58428,1125,1793,109,216,1234,2009,3346,5178,99,141,23,35,22,32,3490,5386,148,218,7,17,55,117,210,352,26,73,27931,66248,4136,0,32067,66248
SED10002,15348,51454,1421,4075,2024,6482,3445,10557,2633,6930,2720,7169,3303,8520,60,131,8716,22750,0,6,3,13,87,250,90,269,57,162,27656,85192,1502,0,29158,85192
SED10003,19391,49411,1730,3226,1289,2737,3019,5963,2309,3835,139,250,73,136,75,113,2596,4334,751,1134,15,22,80,147,846,1303,34,60,25886,61071,3559,0,29445,61071
SED10004,9754,25736,4601,10372,6355,15152,10956,25524,2405,4086,2683,4337,4713,7832,76,133,9877,16388,3,0,3,4,326,683,332,687,37,74,30956,68409,2912,0,33868,68409
SED10005,14588,49181,1448,4389,2288,7158,3736,11547,1304,3259,2695,6989,1562,4127,23,46,5584,14421,40,52,9,30,44,114,93,196,45,143,24046,75488,1218,0,25264,75488
SED10006,22443,56849,283,536,33,83,316,619,1417,2161,4,9,0,0,10,20,1431,2190,392,597,71,116,131,273,594,986,62,137,24846,60781,5635,0,30481,60781
SED10007,23853,60889,1291,2253,232,474,1523,2727,1110,1604,81,113,7,10,45,109,1243,1836,91,132,12,18,85,148,188,298,38,77,26845,65827,4130,0,30975,65827
SED10008,19428,59453,875,1766,2336,5800,3211,7566,906,1439,349,733,102,223,29,48,1386,2443,0,0,0,0,8,10,8,10,9,26,24042,69498,1150,0,25192,69498
SED10009,22337,53465,1161,1894,733,1300,1894,3194,1814,2924,59,99,3,8,65,96,1941,3127,430,678,31,56,89,182,550,916,29,56,26751,60758,10244,0,36995,60758
SED10010,20407,62500,1086,2644,1935,5493,3021,8137,279,429,581,1491,1265,3166,44,84,2169,5170,0,4,0,0,31,85,31,89,18,43,25646,75939,1240,0,26886,75939
SED10011,23205,58703,866,1476,445,753,1311,2229,387,560,74,109,5,7,79,126,545,802,11,18,3,5,29,57,43,80,20,38,25124,61852,3758,0,28882,61852
SED10012,23753,58834,631,925,43,102,674,1027,723,977,18,23,8,7,24,44,773,1051,126,197,23,67,109,256,258,520,29,48,25487,61480,4665,0,30152,61480
SED10013,15626,53206,1323,3881,2286,7168,3609,11049,1258,3121,1827,4616,266,616,41,101,3392,8454,3,3,0,0,34,103,37,106,25,64,22689,72879,1127,0,23816,72879
SED10014,22164,69705,924,1914,923,2923,1847,4837,234,309,22,35,0,0,27,60,283,404,142,192,0,0,13,34,155,226,29,70,24478,75242,1167,0,25645,75242
SED10015,18809,56692,1588,3419,1744,4142,3332,7561,761,1230,156,284,230,419,28,37,1175,1970,3,3,0,8,132,361,135,372,10,29,23461,66624,1159,0,24620,66624
SED10016,14467,43038,1480,3717,1668,4528,3148,8245,6005,13285,3109,6794,901,2010,36,84,10051,22173,4,0,0,0,206,497,210,497,30,82,27906,74035,1748,0,29654,74035
SED10017,18552,59611,696,1457,2131,5507,2827,6964,447,675,443,958,892,1879,23,50,1805,3562,3,0,0,0,0,6,3,6,33,75,23220,70218,1093,0,24313,70218
SED10018,24368,65989,972,1839,91,184,1063,2023,857,1317,23,32,0,0,26,58,906,1407,42,75,9,30,40,81,91,186,13,40,26441,69645,2193,0,28634,69645
SED10019,20546,54461,1636,2828,637,1404,2273,4232,1151,1765,71,113,196,346,41,71,1459,2295,4,3,3,7,32,61,39,71,3,12,24320,61071,1686,0,26006,61071
SED10020,23965,60086,885,1480,382,737,1267,2217,1636,2589,78,132,20,29,22,36,1756,2786,579,909,40,72,112,258,731,1239,35,52,27754,66380,4537,0,32291,66380
SED10021,20610,54411,1703,2960,1214,2382,2917,5342,2118,3452,261,439,237,408,76,134,2692,4433,832,1267,7,16,51,108,890,1391,9,23,27118,65600,3058,0,30176,65600
SED10022,5569,16359,2870,7425,2504,6486,5374,13911,3982,7926,8627,17036,7594,14506,58,103,20261,39571,4,5,0,0,204,476,208,481,61,144,31473,70466,3027,0,34500,70466
SED10023,13582,40287,1402,2551,2075,4849,3477,7400,2073,3363,3826,6984,2540,4500,46,102,8485,14949,31,46,0,3,33,64,64,113,3,13,25611,62762,2269,0,27880,62762
SED10024,19192,59231,152,305,805,1747,957,2052,804,1306,291,568,690,1558,34,65,1819,3497,0,0,0,0,25,60,25,60,28,68,22021,64908,1470,0,23491,64908
SED10025,13199,38761,1103,2673,2413,5938,3516,8611,2248,4270,3631,7549,6863,15119,35,77,12777,27015,3,0,0,0,138,311,141,311,58,114,29691,74812,2450,0,32141,74812
SED10026,23356,61070,1120,1842,51,114,1171,1956,1580,2210,26,39,14,25,19,31,1639,2305,131,220,12,13,86,186,229,419,17,46,26412,65796,3078,0,29490,65796
SED10027,16910,50416,1441,3236,2692,8022,4133,11258,1012,1656,146,278,188,402,46,111,1392,2447,0,3,0,0,101,248,101,251,10,17,22546,64389,1125,0,23671,64389
SED10028,16704,50601,1007,2061,2649,6450,3656,8511,1263,2191,1554,3459,1176,2498,38,71,4031,8219,0,0,0,0,29,71,29,71,15,36,24435,67438,1544,0,25979,67438
SED10029,17867,58439,1281,3305,2387,7842,3668,11147,1852,3534,1784,4158,1026,2539,195,476,4857,10707,0,11,12,16,56,158,68,185,10,23,26470,80501,1428,0,27898,80501
SED10030,19102,49540,2824,4950,1725,3489,4549,8439,2463,3854,754,1235,875,1575,73,104,4165,6768,100,167,0,0,64,131,164,298,85,150,28065,65195,4156,0,32221,65195
SED10031,23696,59113,1539,2785,238,455,1777,3240,640,880,36,51,48,58,27,49,751,1038,147,218,22,50,90,173,259,441,46,124,26529,63956,4638,0,31167,63956
SED10032,16162,52298,1506,3770,1920,5923,3426,9693,2934,6746,3779,9419,1562,3888,66,133,8341,20186,0,8,5,15,69,193,74,216,48,84,28051,82477,1786,0,29837,82477
SED10033,21634,69609,301,605,294,730,595,1335,148,192,5,10,81,135,66,157,300,494,267,418,17,43,9,26,293,487,14,29,22836,71954,1638,0,24474,71954
SED10034,17733,52946,879,1661,1173,2389,2052,4050,405,725,1854,3500,768,1474,60,107,3087,5806,32,56,4,4,59,128,95,188,6,7,22973,62997,1892,0,24865,62997
SED10035,8085,22949,2910,6807,3026,7349,5936,14156,1805,3323,4458,9178,13969,27113,81,137,20313,39751,7,10,0,0,73,186,80,196,372,575,34786,77627,2506,0,37292,77627
SED10036,19861,59828,383,764,901,2383,1284,3147,583,1070,1958,4075,908,1892,94,182,3543,7219,10,21,0,0,40,91,50,112,21,39,24759,70345,1369,0,26128,70345
SED10037,18295,50556,1832,3337,2313,4989,4145,8326,2407,4026,377,607,116,226,30,45,2930,4904,267,399,0,3,82,163,349,565,14,32,25733,64383,1822,0,27555,64383
SED10038,21466,58739,1183,2144,580,1200,1763,3344,1021,1565,149,248,166,226,50,82,1386,2121,182,268,4,5,80,165,266,438,26,54,24907,64696,3985,0,28892,64696
SED10039,14355,44489,2043,4978,1263,3714,3306,8692,1760,3946,3984,9518,2315,5605,14,36,8073,19105,5,7,0,0,147,337,152,344,39,104,25925,72734,1652,0,27577,72734
SED10040,16874,51331,547,951,822,1847,1369,2798,1185,2072,1479,2757,4245,9543,21,44,6930,14416,5,6,0,0,5,12,10,18,29,81,25212,68644,1943,0,27155,68644
SED10041,22274,58363,1084,1726,218,443,1302,2169,753,1135,48,82,16,45,28,43,845,1305,324,521,7,4,28,54,359,579,25,51,24805,62467,2916,0,27721,62467
SED10042,14603,46178,919,2262,1824,5458,2743,7720,6477,16306,2985,7393,806,1847,19,27,10287,25573,11,27,0,0,98,286,109,313,118,333,27860,80117,1621,0,29481,80117
SED10043,14743,43744,891,1894,1514,3607,2405,5501,1525,2604,3448,6288,2701,5024,29,48,7703,13964,12,20,0,0,91,192,103,212,48,116,25002,63537,1977,0,26979,63537
SED10044,24322,62207,837,1400,478,786,1315,2186,1358,2188,116,147,44,62,98,162,1616,2559,412,662,69,111,103,193,584,966,26,44,27863,67962,3272,0,31135,67962
SED10045,16723,58211,1035,2953,1176,3515,2211,6468,926,1663,2391,5386,2537,6350,17,38,5871,13437,3,19,3,0,11,27,17,46,27,62,24849,78224,1189,0,26038,78224
SED10046,20693,61657,1275,2556,894,2037,2169,4593,921,1833,531,900,54,102,52,88,1558,2923,14,32,9,30,46,88,69,150,5,25,24494,69348,1558,0,26052,69348
SED10047,19903,66866,2140,5082,2876,8518,5016,13600,565,1181,76,124,6,8,22,46,669,1359,42,56,4,8,17,29,63,93,0,5,25651,81923,1142,0,26793,81923
SED10048,23798,67043,1223,2170,292,540,1515,2710,1179,1895,0,0,0,0,16,28,1195,1923,83,123,4,13,78,144,165,280,4,12,26677,71968,1775,0,28452,71968
SED10049,12446,38059,940,2282,1494,3649,2434,5931,2936,5893,6237,11815,4402,8073,63,127,13638,25908,5,13,3,4,73,173,81,190,27,47,28626,70135,3110,0,31736,70135
SED10050,11551,34621,2289,5870,3026,8655,5315,14525,2117,4048,4801,9586,3362,6917,19,46,10299,20597,0,3,0,0,127,349,127,352,43,85,27335,70180,2113,0,29448,70180
SED10051,8002,22252,5184,11867,5119,12566,10303,24433,4195,7452,4686,8433,2616,4480,115,206,11612,20571,4,0,4,6,405,1025,413,1031,67,144,30397,68431,2523,0,32920,68431
SED10052,18706,59598,583,1327,1632,4191,2215,5518,354,631,755,1406,152,272,12,26,1273,2335,44,67,0,0,13,24,57,91,21,32,22272,67574,844,0,23116,67574
SED10053,16334,48271,841,1579,1895,4359,2736,5938,1159,1852,1337,2574,1462,2711,29,50,3987,7187,50,89,5,3,61,133,116,225,9,19,23182,61640,1376,0,24558,61640
SED10054,20617,56027,1829,3431,847,1776,2676,5207,1507,2547,828,1360,380,647,44,78,2759,4632,215,396,29,74,81,174,325,644,88,184,26465,66694,4659,0,31124,66694
SED10055,19854,67116,1584,4453,1849,6420,3433,10873,238,334,683,1646,572,1512,15,34,1508,3526,4,7,3,4,7,27,14,38,0,3,24809,81556,1083,0,25892,81556
SED10056,21147,66128,910,1972,1440,3840,2350,5812,531,1087,242,452,12,20,59,107,844,1666,55,96,3,6,15,43,73,145,9,28,24423,73779,1209,0,25632,73779
SED10057,23342,55586,456,623,31,79,487,702,1104,1648,0,0,73,152,9,17,1186,1817,310,504,19,24,131,279,460,807,86,247,25561,59159,5669,0,31230,59159
SED10058,22904,59546,746,1334,92,201,838,1535,1224,2125,3,3,3,5,15,32,1245,2165,127,186,22,49,81,189,230,424,26,63,25243,63733,3996,0,29239,63733
