region_id,Singapore_Before_1941,Singapore_1941_1950,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2005,Singapore_2006,Singapore_2007,Singapore_2008,Singapore_2009,Singapore_2010,Singapore_2011,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1941,South_Africa_1941_1950,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2005,South_Africa_2006,South_Africa_2007,South_Africa_2008,South_Africa_2009,South_Africa_2010,South_Africa_2011,South_Africa_Yr_arrival_ns,South_Africa_Tot,SE_Europe_nfd_Before_1941,SE_Europe_nfd_1941_1950,SE_Europe_nfd_1951_1960,SE_Europe_nfd_1961_1970,SE_Europe_nfd_1971_1980,SE_Europe_nfd_1981_1990,SE_Europe_nfd_1991_2000,SE_Europe_nfd_2001_2005,South_Eastern_Europe_nfd_2006,South_Eastern_Europe_nfd_2007,South_Eastern_Europe_nfd_2008,South_Eastern_Europe_nfd_2009,South_Eastern_Europe_nfd_2010,South_Eastern_Europe_nfd_2011,SE_Europe_nfd_arrival_ns,SE_Europe_nfd_Total,Sri_Lanka_Before_1941,Sri_Lanka_1941_1950,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2005,Sri_Lanka_2006,Sri_Lanka_2007,Sri_Lanka_2008,Sri_Lanka_2009,Sri_Lanka_2010,Sri_Lanka_2011,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1941,Thailand_1941_1950,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2005,Thailand_2006,Thailand_2007,Thailand_2008,Thailand_2009,Thailand_2010,Thailand_2011,Thailand_Yr_arrival_ns,Thailand_Tot,Turkey_Before_1941,Turkey_1941_1950,Turkey_1951_1960,Turkey_1961_1970,Turkey_1971_1980,Turkey_1981_1990,Turkey_1991_2000,Turkey_2001_2005,Turkey_2006,Turkey_2007,Turkey_2008,Turkey_2009,Turkey_2010,Turkey_2011,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1941,United_Kingdom_1941_1950,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2005,United_Kingdom_2006,United_Kingdom_2007,United_Kingdom_2008,United_Kingdom_2009,United_Kingdom_2010,United_Kingdom_2011,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1941,USA_1941_1950,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2005,United_States_America_2006,United_States_America_2007,United_States_America_2008,United_States_America_2009,United_States_America_2010,United_States_America_2011,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1941,Vietnam_1941_1950,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2005,Vietnam_2006,Vietnam_2007,Vietnam_2008,Vietnam_2009,Vietnam_2010,Vietnam_2011,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1941,Born_elsewhere_1941_1950,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2005,Born_elsewhere_2006,Born_elsewhere_2007,Born_elsewhere_2008,Born_elsewhere_2009,Born_elsewhere_2010,Born_elsewhere_2011,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1941,Tot_1941_1950,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2005,Tot_2006,Tot_2007,Tot_2008,Tot_2009,Tot_2010,Tot_2011,Tot_Yr_arrival_NS,Tot_Tot
SED10001,0,0,0,3,7,0,5,5,0,0,0,0,0,0,0,20,0,0,3,5,9,14,47,25,13,8,6,16,6,4,4,160,0,3,12,20,0,4,0,0,0,0,0,0,0,0,3,42,0,0,0,3,5,7,6,0,4,6,4,6,0,0,0,41,0,0,0,3,4,4,12,12,7,0,0,8,5,3,3,61,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,23,92,300,608,330,207,100,115,31,26,22,29,10,6,118,2017,0,3,0,10,13,19,24,22,8,5,3,0,4,10,0,121,0,0,0,0,4,10,3,0,0,0,0,0,6,0,13,36,3,67,107,137,122,70,70,64,47,44,53,108,93,89,40,1114,32,317,927,1126,768,658,552,464,216,219,212,301,234,183,343,6552
SED10002,0,0,0,0,15,47,26,30,13,5,13,7,4,13,6,179,0,0,3,3,33,27,44,51,3,6,9,18,5,0,9,211,0,3,8,31,10,3,4,3,0,0,0,0,0,0,3,65,0,0,0,3,17,333,519,180,46,47,83,74,44,22,33,1401,0,0,0,3,7,66,63,45,9,11,20,19,13,3,14,273,0,0,4,376,761,523,449,253,26,24,30,59,43,30,108,2686,16,31,84,202,114,84,64,54,15,13,20,14,17,11,66,805,0,0,0,0,11,28,27,15,4,13,11,18,7,3,10,147,0,0,0,11,1412,1939,779,157,45,56,55,79,50,27,275,4885,3,122,105,298,741,914,1937,1986,557,768,893,905,664,353,553,10799,28,346,806,2473,5377,8641,10084,7159,1807,2427,2717,2533,1747,999,2484,49628
SED10003,0,0,3,5,11,3,7,0,0,0,0,0,0,0,3,32,0,0,15,35,67,53,40,27,17,8,15,25,7,4,4,317,0,3,3,14,0,0,0,0,0,0,0,0,0,0,3,23,0,3,0,7,9,3,6,0,0,0,3,0,0,0,3,34,0,0,0,3,3,14,29,21,5,5,3,4,6,0,3,96,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,9,39,129,384,844,490,324,335,307,53,68,52,59,52,30,170,3336,0,0,3,38,69,80,81,73,18,6,16,14,14,11,19,442,0,0,0,0,3,8,10,0,3,0,3,5,3,3,4,42,11,47,92,167,176,182,179,146,61,49,39,48,50,19,70,1336,90,283,904,1484,1290,1246,1149,899,234,226,217,260,238,114,442,9076
SED10004,0,0,3,13,29,35,31,37,10,5,4,27,21,12,8,235,0,4,3,29,77,111,74,47,15,18,18,19,26,7,17,465,0,5,7,23,13,6,15,0,3,0,0,0,0,0,4,76,0,0,0,4,21,47,28,3,3,3,3,8,3,4,3,130,0,0,0,9,13,46,84,61,22,26,26,20,14,12,5,338,0,0,0,18,22,22,15,13,3,3,3,7,8,4,3,121,15,79,264,648,706,728,888,882,214,219,262,206,233,144,235,5723,0,0,13,50,89,90,114,85,25,28,51,71,70,41,22,749,0,0,0,7,109,183,76,22,5,4,9,8,7,3,16,449,8,59,121,339,543,569,492,363,105,159,172,172,180,117,123,3522,50,330,1537,2637,2722,3396,3306,2652,668,853,892,930,1018,644,904,22539
SED10005,0,4,0,0,14,16,10,10,3,10,0,0,3,0,0,70,0,4,0,13,23,40,23,13,0,3,4,3,6,0,5,137,0,4,14,37,21,6,8,3,3,0,0,0,0,0,3,99,0,0,3,15,12,33,34,17,3,0,3,3,0,3,3,129,0,0,0,0,6,22,41,23,6,11,7,3,5,0,8,132,0,0,0,15,50,50,34,10,3,0,0,0,0,0,5,167,23,58,102,201,88,55,37,24,3,0,12,3,6,0,47,659,0,0,3,3,8,18,18,28,3,4,6,4,3,3,7,108,0,4,0,6,783,2336,1701,530,112,158,165,180,139,67,312,6493,0,135,144,361,803,957,1443,1077,311,236,281,270,216,118,287,6639,51,450,1322,3269,5367,7307,7097,3830,960,932,988,896,742,409,1615,35235
SED10006,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,9,3,0,4,4,9,10,9,16,27,5,19,23,0,3,0,132,0,4,5,37,6,3,3,0,0,0,0,0,0,0,4,62,0,0,0,0,0,4,4,0,3,3,3,0,3,0,0,20,0,0,0,0,0,0,0,7,0,0,4,5,3,0,4,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,10,56,155,254,118,58,42,25,5,13,15,11,24,3,69,858,0,0,0,34,15,14,20,15,4,3,3,5,7,3,8,131,0,0,0,0,3,3,3,3,3,3,3,0,0,3,3,27,3,15,39,108,62,52,48,39,24,33,37,19,22,19,23,543,31,130,376,628,382,381,312,226,88,105,163,143,131,65,200,3361
SED10007,0,0,0,4,3,3,6,5,3,0,0,0,0,0,3,27,0,0,3,8,9,17,31,21,9,7,12,20,4,0,3,144,0,3,3,14,12,0,0,0,3,0,0,0,0,0,4,39,0,0,0,0,0,15,14,11,3,3,0,7,0,0,4,57,0,0,0,0,0,7,6,5,0,4,5,4,5,0,4,40,3,0,0,0,3,3,0,0,0,0,3,0,0,0,3,15,27,114,309,665,446,204,110,63,17,10,18,9,5,6,127,2130,0,3,0,14,22,17,20,16,6,0,4,3,3,5,3,116,0,0,0,0,5,10,10,4,0,0,5,0,3,3,31,71,0,47,67,121,116,89,93,71,15,26,14,17,14,10,108,808,41,288,718,1155,921,737,633,389,125,115,133,135,90,61,618,6159
SED10008,0,0,3,11,30,48,33,34,6,8,20,6,6,0,6,211,0,0,3,11,80,114,160,86,24,27,51,41,24,10,4,635,0,3,11,20,8,3,20,0,0,0,3,0,0,0,0,68,0,0,3,31,43,317,332,153,22,30,30,40,27,4,24,1056,0,0,0,3,7,27,32,25,5,3,9,3,3,7,0,124,0,0,0,21,52,34,24,16,0,0,3,5,3,0,4,162,21,109,296,754,439,374,269,181,43,61,46,52,41,42,126,2854,0,0,3,20,32,32,59,42,15,17,16,30,39,54,14,373,0,0,0,0,114,98,31,0,6,9,0,0,7,0,7,272,3,104,126,287,487,724,904,394,98,98,99,81,100,55,117,3677,49,444,1145,2217,2507,4740,5193,2744,545,580,565,561,481,313,700,22784
SED10009,3,3,0,0,4,3,3,3,0,0,3,0,0,0,0,22,0,3,7,19,35,39,19,23,4,3,5,0,0,0,6,163,0,3,11,27,5,4,3,0,0,0,0,0,0,0,5,58,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,7,6,4,7,0,3,0,3,13,0,4,50,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,10,45,232,751,1363,605,324,162,112,18,26,27,29,15,11,197,3917,4,3,4,32,48,41,35,29,6,0,8,9,3,4,12,238,0,0,0,0,5,24,15,0,0,0,0,0,3,3,7,57,10,86,174,203,184,86,59,57,6,4,8,10,6,11,25,929,83,527,1750,2244,1345,874,546,345,70,79,91,76,81,59,403,8573
SED10010,0,0,0,3,11,37,14,15,8,3,5,0,7,0,3,106,0,0,0,3,45,84,67,72,7,7,15,3,3,0,3,309,3,10,23,65,25,15,69,18,0,0,0,3,0,0,12,243,0,0,0,13,26,136,254,112,49,29,63,29,28,17,13,769,0,0,0,0,4,38,32,34,8,7,11,9,3,0,5,151,0,0,0,65,97,85,107,55,3,6,5,15,9,3,18,468,8,63,222,549,330,195,129,43,22,21,5,12,15,0,82,1696,0,0,0,8,13,17,25,39,7,8,4,10,0,3,3,137,0,0,0,0,58,108,57,12,4,3,3,4,3,0,12,264,3,85,124,272,604,919,1689,1568,357,253,341,335,267,144,245,7206,32,455,1292,2242,2703,5680,7507,5131,1556,1551,1655,1398,861,471,1249,33783
