LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA11800,204,66,30,175,1776,97,82,340,328,201,68,51,147,1310,81,84,275,302,198,93,70,305,1402,8407,3775,9390,6012,2432,772,479,2583,33851
LGA12000,14,4,13,9,98,4,4,16,12,15,5,3,11,74,10,3,5,14,14,13,11,11,75,407,141,372,383,212,78,71,128,1793
LGA12150,6,8,4,15,62,0,3,7,18,10,0,0,13,54,4,6,14,3,11,3,5,8,55,316,142,294,260,144,52,57,237,1502
LGA12160,46,22,9,36,307,26,13,54,53,42,29,15,38,258,12,12,46,42,36,29,31,27,230,950,404,1212,1003,452,200,130,446,4799
LGA12350,42,17,15,31,310,22,15,49,59,38,14,17,39,254,10,22,41,61,50,20,13,30,247,1147,533,1276,1054,518,174,142,497,5344
LGA12380,324,143,144,226,2590,131,143,500,422,271,125,172,192,1963,135,165,426,349,263,154,223,333,2047,29569,12855,20274,10675,5404,2286,2045,8001,91112
LGA12390,147,57,35,103,965,48,31,143,181,142,49,46,97,739,38,44,122,134,121,70,80,110,722,5589,2309,5232,3872,1900,598,466,2183,22146
LGA12700,19,4,0,11,181,9,9,37,32,24,11,0,8,136,7,6,24,27,21,5,11,16,112,917,369,1151,793,329,83,42,218,3911
LGA12730,31,14,9,21,188,0,4,39,35,33,18,8,29,175,21,4,31,42,31,17,13,23,175,784,271,904,731,327,110,70,390,3596
LGA12750,145,37,23,114,1244,48,43,211,209,113,42,25,101,794,71,56,212,209,139,63,49,119,915,3792,1831,5319,3302,1434,421,269,1598,17964
LGA12850,422,182,309,277,2964,136,154,475,458,287,182,398,292,2383,107,154,443,367,293,203,568,550,2690,26986,9034,20135,12936,6183,2658,2920,6696,87551
LGA12870,60,20,15,44,372,32,14,53,76,56,20,15,44,302,13,14,32,63,49,25,33,38,264,1078,507,1498,1146,534,164,121,461,5505
LGA12900,35,19,3,23,211,12,7,31,34,23,12,18,26,163,4,6,23,39,33,22,15,31,174,791,314,870,787,384,147,84,385,3767
LGA12930,196,61,42,198,2504,119,172,749,405,196,66,52,203,1959,150,225,667,466,261,133,107,601,2610,22284,10589,17573,7481,2411,694,441,4084,65558
LGA12950,20,6,0,14,92,8,5,16,23,15,4,7,13,88,4,7,14,17,8,7,0,13,72,334,150,408,378,186,61,34,223,1778
LGA13010,34,14,4,40,269,12,7,42,42,28,9,3,15,168,10,4,56,48,27,12,18,26,188,809,362,947,750,351,112,84,438,3839
LGA13310,103,36,14,47,667,38,24,123,110,57,32,22,43,448,44,45,128,113,65,28,33,57,508,3343,1470,3487,2295,999,328,206,987,13120
LGA13340,28,15,3,23,210,13,0,24,31,19,11,6,21,132,11,7,21,28,23,21,9,21,134,956,343,1054,914,439,158,107,447,4416
LGA13450,69,17,22,39,399,14,13,80,93,68,26,14,49,362,13,16,79,95,68,35,37,96,429,2742,1135,2594,2001,927,267,210,1036,10917
LGA13550,44,11,12,44,256,9,13,36,54,36,18,19,35,220,8,8,33,43,30,11,22,52,207,1106,462,1227,1018,490,137,117,537,5096
LGA13660,27,10,9,17,137,12,3,24,20,14,7,6,8,97,10,5,17,18,21,5,16,12,105,390,135,542,454,201,72,47,204,2041
LGA13800,129,44,34,103,1128,59,53,203,186,99,45,36,86,763,64,56,183,140,93,46,50,136,766,7765,3054,7454,4891,1939,532,348,1588,27572
LGA13850,7,5,8,10,82,3,0,15,15,17,3,7,11,67,0,0,7,9,6,7,7,4,45,225,118,293,228,102,32,48,159,1205
LGA13910,71,28,30,49,432,17,10,78,63,58,29,35,35,323,32,16,45,58,55,27,49,44,328,1767,760,1833,1581,811,314,251,716,8033
LGA14000,249,54,39,128,2710,157,136,641,550,264,70,50,206,2073,201,206,636,590,364,125,77,489,2700,18271,9625,20346,8995,2791,618,358,2586,63592
LGA14100,28,5,5,30,312,27,17,54,54,20,3,14,48,233,66,25,79,63,43,16,20,192,507,1740,694,1648,887,284,79,57,486,5870
LGA14170,197,52,40,168,2472,204,175,646,376,164,70,51,156,1843,194,234,643,401,226,109,112,280,2192,39134,11260,16826,5972,1766,529,404,4708,80601
LGA14220,59,17,12,55,422,21,19,71,90,67,25,11,36,337,26,16,44,50,68,31,26,49,295,1582,670,1800,1437,685,258,171,779,7390
