LGA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
LGA10800,0,0,6,0,0,3,0,0,7,0,0,0,0,0,3,27,3,0,0,0,0,3,0,0,0,0,0,0,13,3,0,4,0,0,0,0,0,0,0,0,0,14,11,3,10,8,5,18,3,4,0,0,0,0,64,42,17,27,37,51,114,60,58,15,14,17,31,487
LGA10850,0,0,12,5,0,0,3,4,5,6,3,0,0,0,4,44,0,0,0,0,0,4,3,0,0,0,0,0,13,4,0,0,4,0,10,5,0,0,0,0,4,31,4,5,0,8,16,30,15,6,3,0,0,7,98,39,15,15,32,59,169,144,140,63,64,53,39,832
LGA10900,3,6,112,15,7,8,14,19,66,101,132,48,42,19,23,479,3,6,7,6,17,35,48,60,15,14,11,9,235,26,21,14,22,24,61,62,61,27,27,12,30,374,46,31,32,52,55,181,222,276,112,84,45,65,1199,400,163,116,254,313,971,1361,2507,1638,1351,687,438,10215
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,19,21,5,11,21,26,43,28,17,6,5,13,5,194
LGA11150,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,0,3,0,0,0,0,0,4,19,20,11,10,12,18,24,21,11,3,3,3,7,136
LGA11200,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,7,9,4,0,5,0,3,3,0,0,0,5,5,36
LGA11250,0,0,21,14,16,17,28,26,24,12,7,0,0,0,18,167,0,0,0,8,5,15,0,4,0,0,0,3,45,7,18,9,10,10,11,9,3,0,0,0,3,95,17,39,30,53,49,61,22,13,0,0,4,29,322,91,123,126,234,237,397,193,99,29,23,18,104,1679
LGA11300,8,4,30,10,0,0,3,0,4,7,17,14,26,28,6,111,13,6,0,0,4,4,11,15,11,12,10,10,90,14,3,0,4,0,12,7,29,10,17,14,13,128,34,6,0,13,5,25,28,66,44,55,55,27,350,201,26,29,50,48,154,167,408,321,481,662,224,2780
LGA11350,0,8,45,11,9,4,5,3,26,27,35,20,17,16,18,190,3,0,0,0,0,20,9,22,3,9,4,3,74,16,10,0,11,12,33,10,28,11,7,3,10,149,29,14,8,21,20,86,53,89,36,40,29,33,460,165,54,44,80,108,260,331,519,391,393,436,194,2974
LGA11400,3,0,9,0,4,0,9,10,12,6,5,3,6,3,6,60,0,0,0,8,0,9,0,0,5,0,5,0,22,0,0,5,3,4,13,4,4,3,0,0,7,42,3,4,10,16,20,37,11,11,5,0,5,10,132,63,26,35,69,89,275,218,261,150,119,123,93,1519
