LGA_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
LGA12850,1568,1235,1125,1050,1111,1076,735,362,98,8369,3,18,13,12,17,20,17,11,5,108,18182,13660,12261,11821,13466,14222,11735,6761,2656,104761,174,152,232,204,154,198,124,51,11,1299,4093,2125,2017,1883,1355,932,563,175,43,13190,4,3,6,4,3,8,3,6,0,36,0,0,0,0,0,0,0,0,0,3,28,9,40,33,7,3,4,0,0,130,361,236,266,237,212,223,136,64,30,1753,385,246,311,267,220,227,142,65,30,1888,5954,5890,5610,3683,3161,3325,2062,771,305,30766,3065,2037,2081,1867,1766,1670,1169,780,626,15054,37247,29122,27047,24959,27188,27942,20373,10159,4440,208475
LGA12870,31,10,16,9,26,42,29,9,0,171,0,0,0,0,0,0,0,0,0,5,815,480,407,548,808,1235,1411,937,336,6988,5,4,8,5,0,5,0,0,0,20,7,3,3,0,3,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,4,0,0,0,12,0,3,7,0,3,4,0,0,0,21,1030,603,597,492,570,539,586,241,76,4733,159,97,105,85,132,167,159,102,51,1059,2021,1189,1135,1153,1525,1956,2169,1284,468,12899
LGA12900,35,18,15,22,11,26,11,7,0,142,0,0,0,0,0,0,0,0,0,0,1007,578,513,599,723,877,881,597,236,6011,3,0,11,3,0,0,3,0,0,28,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0,0,9,671,325,363,290,241,226,164,73,21,2376,162,110,101,98,100,110,80,76,27,857,1850,1023,1003,1003,1074,1217,1126,748,284,9319
LGA12930,693,490,606,682,618,558,408,192,82,4332,25,15,30,12,22,23,30,17,3,180,11568,8526,7392,8620,10613,9769,7833,5548,2688,72565,1146,2582,4355,1403,393,217,158,85,23,10363,1908,1057,1261,1167,696,443,280,135,24,6964,22,10,17,22,30,26,46,25,4,212,6,0,3,0,0,0,0,0,0,10,30,31,43,42,25,14,9,4,0,201,35,38,68,74,66,66,38,11,5,409,66,73,115,122,94,79,42,10,10,614,7508,5662,7759,6858,5168,6004,4070,1524,670,45217,1420,1065,1521,1171,984,907,708,584,700,9053,24266,19595,23667,20681,19057,18651,13895,8224,4229,152274
LGA12950,14,11,4,11,4,13,13,4,0,80,0,3,0,0,0,0,0,0,0,4,428,185,218,247,330,478,405,266,92,2655,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,140,153,126,125,104,98,37,10,1062,118,52,69,61,72,64,58,46,21,559,818,379,444,435,531,650,555,353,129,4295
LGA13010,32,7,14,13,22,35,39,17,8,193,0,0,0,0,0,0,4,0,0,6,564,396,277,420,620,880,933,656,235,4996,9,3,33,10,4,4,0,0,0,52,6,7,4,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,5,10,6,8,11,12,4,0,0,49,3,12,8,6,13,12,4,0,0,62,587,318,367,270,287,342,284,116,25,2600,192,118,152,130,138,159,144,83,36,1162,1367,854,849,840,1074,1416,1375,855,303,8931
LGA13310,105,55,61,64,64,62,58,34,3,502,3,0,0,0,5,4,7,5,0,21,2570,1699,1692,1918,2363,2892,2652,1651,667,18107,64,29,131,53,16,7,5,4,0,319,51,18,56,45,22,7,9,0,0,207,0,0,0,3,4,5,3,0,0,14,0,0,0,0,0,0,0,0,0,0,16,4,25,10,9,0,0,0,0,57,17,12,32,19,20,13,7,0,0,120,32,11,51,35,27,12,7,0,0,183,2522,1382,1622,1234,1131,991,756,298,78,10014,507,322,498,399,381,337,293,155,84,2973,5784,3474,4097,3740,3987,4284,3744,2121,825,32053
LGA13340,68,50,27,34,32,49,25,21,3,313,0,0,0,0,0,0,0,0,0,0,1151,652,438,661,813,1045,995,539,179,6478,11,3,10,9,3,0,0,0,0,35,3,0,0,4,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,11,0,0,5,0,3,0,4,0,0,13,901,453,408,451,405,419,305,116,21,3473,172,119,70,117,147,188,177,87,25,1110,2250,1228,934,1253,1376,1669,1486,743,229,11157
LGA13450,126,69,85,61,50,56,34,15,3,505,0,0,0,0,0,4,0,0,0,12,3014,1900,1897,1788,2150,2283,1774,1181,545,16544,219,75,364,332,196,124,23,0,0,1330,191,73,178,124,98,50,14,8,0,732,3,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,187,103,204,169,96,79,59,12,4,917,0,8,7,7,12,4,0,0,0,47,193,113,213,176,111,84,59,12,4,964,1167,818,967,658,558,434,272,105,43,5007,440,277,343,276,297,241,224,130,97,2323,5257,3270,4019,3396,3433,3221,2369,1431,689,27086
LGA13550,42,16,31,29,26,36,14,17,5,212,0,0,0,0,0,0,0,0,0,7,1271,640,738,839,894,1112,921,671,273,7357,5,4,10,5,0,0,0,0,0,22,5,3,7,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,5,3,6,3,0,0,4,0,0,15,0,6,14,3,0,0,4,0,0,29,1331,574,772,493,371,326,214,83,30,4192,278,144,201,149,119,131,125,89,35,1264,2895,1371,1747,1509,1394,1575,1264,851,332,12929
