LGA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
LGA10050,923,17210,288,19958,0,10,3,166,3,176,254,15,24,90,3,384,92,27,12,43,0,180,363,109,76,300,9,861,1790,1309,850,15892,321,20159,258,11,42,10,5,330,49,14,11,123,7,199,457,215,146,3009,50,3878,127,40,16,131,5,322,73,18,7,43,7,147,614,30,25,12,8,680,357,346,220,6122,90,7137,244,116,52,717,8,1141,27,0,7,0,0,37,39,22,11,66,5,140,8,0,0,4,0,17,34,16,3,59,0,116,104,21,12,25,0,161,103,80,56,50,5,294,142,34,16,96,0,287,45,9,10,26,0,88,8,5,6,5,0,22,476,316,222,4610,76,5700,67,3,0,21,0,94,58,14,6,12,0,87,78,11,8,72,0,168,91,5,14,0,0,109,43,3,6,0,3,58,66,34,16,144,8,272,1927,240,170,517,30,2884,123,24,12,452,3272,3891,6986,2587,1736,35766,3995,51080,324,1574,1090,18267
LGA10180,604,10179,167,11835,8,4,0,335,6,354,445,18,24,68,3,550,10,6,0,6,0,23,111,49,37,114,4,315,1058,710,532,8859,189,11338,143,7,18,6,5,180,50,19,7,60,0,137,200,70,58,1001,12,1338,36,9,0,39,0,92,29,8,0,16,0,51,194,5,7,15,0,215,242,171,132,3312,50,3910,62,32,30,230,3,360,18,0,0,3,0,24,14,10,7,42,0,72,0,3,0,0,0,3,8,7,4,20,0,36,53,11,18,12,3,91,62,34,30,26,0,156,36,10,4,38,0,89,29,11,3,32,0,69,11,4,0,4,0,17,324,195,148,2617,48,3332,8,0,0,0,0,14,46,6,6,5,0,68,30,6,5,27,0,70,57,3,0,0,0,65,55,0,0,0,0,58,51,20,12,93,5,181,1481,162,171,269,8,2098,36,5,3,251,1885,2180,4145,1359,1062,19620,2279,28468,129,769,632,8887
LGA10250,1080,13788,299,16767,6,10,3,242,7,257,150,27,24,89,6,296,36,5,8,11,0,67,307,90,55,123,7,580,2385,1379,994,13268,307,18333,102,3,45,10,0,156,96,27,14,140,3,278,326,113,89,1287,23,1829,53,21,10,97,0,180,52,15,3,20,0,95,150,20,10,32,0,213,503,368,254,4873,92,6089,288,149,49,712,12,1207,21,0,4,0,0,30,12,10,3,29,0,56,5,0,5,3,0,12,59,19,12,41,0,124,62,27,25,16,0,123,173,75,60,33,10,355,84,21,18,49,0,173,31,18,0,29,0,80,8,6,0,0,0,20,604,382,268,3722,92,5073,15,4,0,3,0,26,108,26,8,12,0,149,70,6,4,40,0,117,16,13,0,11,0,34,38,0,4,0,0,42,108,28,17,138,3,297,936,286,222,460,23,1929,33,23,16,334,2732,3138,5459,2688,1911,28332,3403,41786,281,1796,1364,14533
LGA10300,20,873,22,951,0,0,0,39,0,39,7,0,0,3,0,6,0,0,0,0,0,0,4,0,0,5,0,8,29,29,28,659,3,753,3,0,3,0,0,3,0,0,0,3,0,3,0,0,0,67,3,77,0,0,0,6,0,6,0,0,0,0,0,0,3,0,0,0,0,4,11,9,9,269,6,299,92,15,9,139,10,263,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,4,0,7,0,0,0,10,3,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,6,8,0,0,0,0,8,4,8,8,161,4,176,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,58,9,6,15,0,94,3,0,0,21,228,249,218,72,67,1675,264,2290,8,34,23,710
LGA10470,827,15508,276,17872,0,10,8,266,5,289,210,14,28,122,6,379,39,9,5,23,0,80,202,88,51,213,0,549,1439,998,798,13238,299,16767,142,3,51,15,6,220,50,14,14,140,0,221,224,101,74,1031,20,1457,39,13,8,80,5,151,40,12,4,18,0,72,232,12,12,3,0,251,340,268,186,5406,82,6282,144,121,45,444,5,753,21,0,7,0,0,27,64,23,9,42,4,153,5,4,5,3,0,16,53,19,22,94,0,186,61,29,11,12,0,123,106,68,36,52,4,260,75,24,13,66,0,177,26,11,13,16,0,67,14,6,0,9,0,31,436,254,209,3309,61,4268,20,6,5,16,0,46,62,16,14,10,0,101,43,9,0,26,0,78,44,0,4,11,0,64,57,0,3,0,0,64,66,33,14,112,5,233,906,190,142,363,11,1614,69,16,16,380,3432,3905,4358,1999,1537,29375,4033,41301,188,1256,962,15827
LGA10500,2481,14522,338,23095,16,41,7,254,6,318,20579,215,318,274,165,21558,1006,108,73,219,10,1419,384,87,75,140,3,681,6766,2338,1678,12220,416,23413,3587,77,275,40,52,4035,531,63,31,129,12,771,1103,224,142,1052,35,2555,8938,1161,659,3119,137,14010,455,45,22,52,5,574,3856,64,40,28,32,4015,2237,852,516,5729,120,9449,3882,738,337,1658,126,6742,673,7,22,6,8,710,5839,882,393,759,80,7957,4426,312,208,510,40,5498,1022,198,118,359,24,1717,919,129,66,39,12,1171,649,168,112,59,15,1003,704,73,46,105,4,928,1022,29,70,46,8,1186,370,38,17,10,5,447,1473,582,399,3148,85,5688,1029,77,43,60,13,1216,341,47,30,15,7,450,1903,59,67,104,26,2156,187,12,5,18,4,221,1651,30,42,18,21,1764,165,60,37,176,5,435,30781,1443,1215,1299,298,35041,1084,108,56,345,9343,10939,97857,8562,5891,32657,11093,156061,3424,3810,3018,14156
LGA10550,814,11672,289,13988,0,10,0,117,6,132,103,10,30,56,0,199,34,4,7,4,0,50,343,100,62,133,10,648,2170,1068,766,10174,246,14434,112,0,32,8,4,145,57,17,6,75,10,165,409,96,102,1037,25,1670,52,11,6,30,0,95,56,9,9,18,0,97,56,0,0,10,0,70,360,234,136,3352,69,4148,157,72,31,284,9,543,14,0,3,0,0,19,10,0,0,25,0,34,3,4,5,0,0,10,64,24,5,42,0,131,48,13,0,12,0,74,72,33,26,23,3,157,83,14,13,64,4,172,39,10,6,25,0,72,6,6,3,4,0,17,492,277,185,2715,60,3732,9,0,3,0,0,12,52,8,6,13,0,85,34,0,0,28,5,68,9,0,0,4,0,13,23,0,0,0,0,24,98,23,16,94,0,224,710,165,126,352,23,1378,38,12,16,319,2241,2631,4727,1987,1420,22266,2849,33254,178,1215,921,12126
LGA10600,317,4350,112,5318,0,3,0,64,0,73,21,9,0,17,4,55,6,4,4,10,0,23,127,29,24,34,0,214,878,467,323,3814,108,5587,16,0,6,3,0,28,36,12,7,50,4,106,156,25,41,379,11,615,11,9,3,26,4,49,24,3,4,15,0,48,25,3,0,0,0,28,149,124,64,1382,25,1745,33,29,8,126,4,207,0,0,0,0,0,0,4,7,0,9,0,17,4,0,0,0,0,4,3,5,0,19,0,25,16,3,11,9,0,36,32,24,14,19,0,94,30,7,6,18,0,64,21,6,3,13,0,31,3,8,0,3,0,6,205,124,102,1101,20,1551,0,0,4,0,0,6,20,4,5,0,0,29,14,0,7,16,0,47,0,0,0,0,0,0,7,0,0,4,0,14,43,14,3,42,0,108,301,99,69,140,11,618,25,12,4,124,708,875,1757,912,609,8452,937,12670,61,580,360,4145
LGA10650,148,3052,71,3498,0,0,0,4,0,7,38,5,3,11,0,56,0,0,3,0,0,4,53,12,18,26,0,110,267,184,132,2748,81,3409,34,0,11,0,0,41,9,3,0,21,0,33,52,16,5,225,7,310,4,3,0,6,0,15,3,5,0,5,0,12,22,0,0,10,0,30,69,30,37,944,15,1094,33,25,9,117,5,184,3,0,0,0,0,3,0,0,0,8,0,8,0,0,0,0,0,0,3,9,0,11,0,24,13,3,0,3,0,17,19,15,6,8,0,53,11,6,0,4,0,26,5,0,0,0,0,5,6,0,0,0,0,9,101,59,43,731,13,946,0,0,0,0,0,0,14,0,4,0,0,14,0,0,0,0,0,4,5,3,0,0,0,16,0,0,0,5,0,4,8,11,0,18,0,40,123,22,10,80,5,242,15,4,0,157,731,908,775,373,258,6157,895,8462,38,237,157,2976
LGA10750,6176,53843,1234,76675,24,142,46,1160,26,1399,12761,220,421,401,89,13892,1919,227,135,449,25,2758,1330,383,251,663,26,2655,15643,6695,4537,41638,1200,69712,27908,488,1127,173,235,29924,752,89,58,333,16,1244,2765,662,421,3251,105,7205,1895,409,234,933,41,3517,864,136,53,194,12,1259,37207,295,207,133,217,38064,3037,1566,1094,13199,222,19117,3750,1179,512,3113,95,8643,1948,7,31,15,4,2010,3381,771,342,712,39,5242,320,54,21,54,4,452,4568,922,495,2397,79,8462,2765,327,248,141,77,3552,1394,449,284,210,35,2370,1819,209,165,431,18,2635,755,59,56,168,17,1054,4877,422,214,79,138,5729,3198,1378,1082,9125,177,14962,981,79,51,79,14,1200,1120,133,115,57,11,1433,3063,129,76,137,31,3431,3796,65,53,41,17,3965,1280,41,82,16,7,1422,310,106,65,392,8,886,62669,3190,2168,2560,599,71184,2769,154,157,1065,15754,19897,189430,17998,12415,97470,19651,336960,9376,9399,6658,49504
