LGA_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
LGA10050,18326,20187,38512,19761,21708,41464,21678,23850,45524,8911,4883,13797,8745,4850,13597,9686,5795,15485,1965,5235,7199,2342,5735,8081,2913,6485,9392,685,753,1441,533,690,1225,613,861,1470,720,653,1376,896,781,1681,735,585,1326,12281,11527,23809,12513,12068,24587,13941,13728,27666,5084,7739,12820,5767,8089,13852,6406,8818,15225,5.9,5.7,5.8,7.2,6.5,6.8,5.3,4.3,4.8,67,57.1,61.8,63.3,55.6,59.3,64.3,57.6,60.8,63.1,53.9,58.3,58.8,52,55.2,60.9,55.1,57.9,396,361,756,467,579,1043,745,935,1679,250,452,699,297,545,843,355,743,1101,1574,2479,4053,1776,2930,4704,2253,3716,5967,1085,1682,2775,1396,2135,3530,1675,2491,4166,4881,2307,7189,5440,2896,8331,5925,3510,9427,232,474,710,212,433,648,221,405,626,197,402,594,308,571,885,308,565,875,5315,3181,8497,5960,3900,9864,6452,4478,10926,18099,19300,37398,18126,19389,37514,20920,22554,43472,3560,4143,7699,3904,4274,8175,4161,4506,8674,11737,12461,24201,11895,12578,24473,13063,14008,27072,8436,9459,17890,9169,10272,19433,10530,11598,22132
LGA10180,10479,11651,22131,11141,12174,23312,11369,12509,23882,4333,2727,7066,4236,2737,6969,4405,2961,7367,1383,2691,4067,1544,2799,4346,1697,2878,4573,349,393,744,325,394,720,352,475,823,495,406,904,524,455,988,388,330,715,6552,6220,12777,6627,6388,13016,6840,6645,13482,3276,4727,8000,3628,4826,8457,3420,4574,7993,7.5,6.6,7.1,8,7.2,7.6,5.6,5,5.3,62.5,53.4,57.7,59.5,52.5,55.8,60.1,53.1,56.4,57.8,49.9,53.7,54.8,48.7,51.6,56.7,50.5,53.4,733,581,1315,915,819,1738,1006,1106,2111,144,336,485,191,376,568,219,448,666,1151,1701,2858,1256,2011,3266,1433,2146,3580,553,931,1485,620,1073,1692,666,1147,1814,2057,1005,3067,2199,1165,3359,2296,1268,3556,118,232,352,125,192,324,148,223,375,130,283,409,173,324,495,156,298,451,2310,1513,3827,2502,1680,4175,2595,1790,4384,9923,10545,20463,9906,10425,20329,9966,10655,20618,2370,2753,5122,2351,2792,5146,2488,2727,5220,6337,6745,13085,6390,6733,13125,6209,6565,12770,5200,5825,11026,5424,6052,11470,5582,6208,11787
LGA10250,15211,17025,32238,16493,18362,34861,18330,20424,38753,5733,3345,9071,5843,3543,9385,6474,4124,10594,2138,4310,6446,2466,4680,7142,3195,5530,8725,516,554,1070,449,488,939,661,790,1454,612,505,1113,627,455,1084,398,341,736,8995,8708,17711,9377,9165,18547,10729,10782,21513,5491,7578,13069,5851,7788,13640,6563,8474,15038,6.8,5.8,6.3,6.7,5,5.8,3.7,3.2,3.4,59.2,51.2,54.9,56.9,49.9,53.2,58.5,52.8,55.5,55.1,48.2,51.5,53.1,47.4,50.1,56.4,51.1,53.6,362,354,719,509,561,1068,686,923,1608,213,336,556,293,452,745,310,640,951,1681,2269,3947,1941,2795,4736,2545,3709,6248,1018,1703,2719,1237,2086,3327,1569,2437,4002,3989,1758,5741,4358,2022,6383,4821,2528,7347,155,308,466,133,299,432,162,316,475,205,408,616,333,606,940,321,622,940,4350,2479,6826,4831,2921,7752,5303,3461,8767,15159,16529,31691,15338,16328,31667,17634,18820,36458,2711,3021,5734,2915,3296,6215,3162,3545,6705,10099,10925,21024,10083,10887,20967,11355,11985,23342,6737,7649,14394,7473,8178,15656,8426,9486,17917
LGA10300,922,899,1818,927,879,1801,886,888,1776,455,221,676,419,196,612,412,213,629,82,192,272,95,212,304,89,188,279,48,36,86,35,30,63,33,31,60,26,18,45,30,22,58,21,18,31,609,465,1075,576,459,1035,553,449,1001,223,374,596,235,322,556,207,290,496,4.1,3.9,4,5.3,5.7,5.5,3.3,3.3,3.3,66.2,51.8,59.1,62.8,52.2,57.6,62.3,50.8,56.6,63.5,49.8,56.7,59.5,49.2,54.5,60.3,49.1,54.7,0,7,10,5,14,24,8,9,19,3,13,15,0,14,17,5,6,11,33,53,89,34,62,94,35,75,112,27,46,71,22,59,83,33,64,98,159,88,252,172,84,251,176,109,285,12,11,19,9,13,25,4,15,17,4,13,19,8,15,21,8,11,14,172,112,287,186,111,297,184,131,320,943,897,1837,916,847,1765,837,818,1656,115,134,247,120,121,237,101,101,198,690,641,1335,671,610,1271,636,636,1273,294,316,610,296,303,604,260,214,473
LGA10470,15186,15337,30526,16478,16705,33187,17659,17732,35394,7091,3865,10951,6988,4175,11165,7497,4954,12449,1609,3914,5519,1780,4145,5922,2260,4505,6763,518,543,1057,476,606,1086,557,689,1248,513,472,991,646,518,1162,476,391,863,9723,8797,18523,9890,9443,19332,10783,10533,21317,4664,5782,10443,5399,6021,11423,5944,6278,12217,5.3,5.4,5.4,6.5,5.5,6,4.4,3.7,4.1,64,57.3,60.7,60,56.5,58.3,61.1,59.4,60.2,60.7,54.2,57.4,56.1,53.4,54.8,58.4,57.2,57.8,362,325,688,453,492,951,653,710,1364,153,308,466,228,423,652,253,519,764,1215,1921,3130,1375,2382,3753,1676,2908,4585,853,1246,2098,1021,1648,2672,1119,1843,2961,3963,1701,5667,4456,2051,6507,4762,2668,7429,169,350,524,166,358,527,198,343,540,192,441,636,260,558,824,299,531,833,4330,2502,6830,4892,2965,7859,5263,3540,8805,14566,14899,29461,14904,15367,30273,16267,16709,32980,2950,3183,6136,2966,3144,6106,3317,3574,6892,9351,9458,18808,9608,9775,19383,10326,10512,20837,6996,7477,14472,7425,7987,15419,8148,8778,16932
LGA10500,55211,57411,112626,64267,66443,130716,73726,74966,148694,25241,16408,41649,29318,19538,48857,27656,21299,48955,7023,10713,17740,9166,13836,23003,11456,14487,25942,1999,1960,3963,1899,2033,3932,5074,5162,10236,2050,1794,3847,2591,2266,4859,2783,2218,5002,36312,30884,67199,42976,37675,80646,46968,43170,90134,15008,23001,38007,16871,24291,41169,21899,27176,49079,5.6,5.8,5.7,6,6,6,5.9,5.1,5.5,65.8,53.8,59.7,66.9,56.7,61.7,63.7,57.6,60.6,62.1,50.7,56.2,62.8,53.3,58,59.9,54.6,57.3,3128,2692,5828,4754,4721,9468,6763,7390,14154,497,704,1200,696,1071,1759,958,1517,2476,7732,8981,16715,11451,13246,24698,15461,17966,33429,4646,5658,10300,5622,6781,12402,7096,8293,15394,9177,3766,12940,9584,4381,13960,10627,5060,15683,377,741,1112,376,679,1055,467,741,1205,631,1190,1820,1007,1592,2601,1110,1727,2839,10177,5698,15873,10971,6650,17623,12206,7529,19730,54098,55948,110053,57539,59476,117019,64493,65789,130283,8332,8399,16729,12469,12195,24668,16567,16175,32745,35352,37261,72616,36601,38701,75305,39783,41832,81612,23067,23278,46342,30662,30206,60868,37086,36132,73224
LGA10550,12838,13527,26356,13551,14442,27995,14826,15683,30514,4594,2401,6997,4460,2499,6960,4736,2878,7613,1711,3399,5112,1787,3512,5301,2197,4031,6233,453,482,935,439,458,899,532,598,1131,481,344,827,412,334,745,319,229,548,7243,6625,13874,7106,6799,13901,7783,7741,15523,4950,6220,11169,5410,6537,11943,5990,6871,12864,6.7,5.2,6,5.8,4.9,5.4,4.1,3,3.5,56.4,49,52.6,52.4,47.1,49.7,52.5,49.3,50.9,52.7,46.5,49.5,49.4,44.8,47,50.3,47.9,49.1,223,207,425,308,346,649,472,604,1072,175,341,518,189,407,596,261,569,829,1009,1464,2473,1119,1820,2942,1470,2320,3791,741,1201,1938,892,1441,2332,1056,1701,2756,3650,1395,5040,3843,1649,5494,4234,2232,6470,120,294,413,129,310,443,140,284,423,159,347,504,254,481,734,255,417,678,3926,2030,5962,4223,2444,6671,4633,2937,7566,12711,13183,25892,12653,13184,25836,14000,14487,28489,2152,2297,4445,2018,2189,4206,2159,2382,4547,8810,8933,17743,8949,9123,18073,9507,9713,19214,5277,5753,11032,5190,5743,10932,5989,6551,12538
LGA10600,4808,5262,10071,5033,5435,10466,5291,5748,11037,1520,886,2410,1506,880,2385,1554,976,2532,743,1343,2087,834,1372,2204,913,1552,2467,150,136,283,136,159,300,168,199,364,228,183,416,225,155,382,171,132,303,2640,2553,5190,2700,2572,5274,2807,2862,5667,1992,2553,4545,1993,2502,4493,2073,2456,4530,8.8,7.2,8,8.3,6.1,7.2,6.1,4.6,5.3,54.9,48.5,51.6,53.6,47.3,50.3,53,49.8,51.4,50.1,45,47.4,49.2,44.4,46.7,49.8,47.5,48.6,105,131,237,128,187,314,192,273,462,60,151,216,70,159,228,106,239,342,420,707,1126,504,898,1405,632,1027,1651,319,515,835,367,608,974,388,680,1068,1366,562,1925,1367,604,1972,1468,716,2182,45,90,140,66,92,155,32,101,132,47,132,178,99,176,268,78,149,229,1459,790,2244,1528,868,2396,1581,964,2552,4968,5276,10245,4746,5070,9817,5149,5425,10569,852,953,1806,847,931,1778,715,827,1538,3452,3585,7037,3350,3479,6826,3453,3653,7107,2013,2311,4325,2025,2286,4313,2139,2358,4500
LGA10650,3299,3367,6668,3487,3534,7019,3610,3715,7328,1423,650,2069,1275,622,1894,1308,677,1979,295,772,1065,311,822,1133,363,856,1223,135,140,272,141,122,262,118,130,255,82,78,158,91,76,163,60,48,111,1932,1639,3572,1818,1635,3448,1853,1710,3566,1171,1514,2683,1316,1546,2863,1365,1575,2940,4.1,4.7,4.4,5.1,4.5,4.8,3.4,2.8,3.1,58.6,48.6,53.5,52,46.3,49.1,51.3,46.1,48.7,56.2,46.3,51.2,49.4,44.2,46.8,49.6,44.8,47.1,14,24,36,23,29,51,31,42,73,17,42,59,15,50,67,34,79,106,146,285,435,163,334,493,186,402,589,169,231,398,185,272,462,196,309,505,815,380,1195,889,460,1354,955,525,1478,23,60,87,22,57,81,32,70,104,31,53,81,45,90,136,51,66,115,869,492,1364,955,611,1569,1036,664,1703,3278,3321,6596,3229,3214,6440,3281,3344,6631,514,540,1055,481,536,1015,509,568,1082,2351,2355,4713,2271,2264,4534,2263,2293,4551,1220,1267,2486,1271,1326,2601,1370,1483,2853
LGA10750,112507,117126,229639,128164,132135,260300,151658,154995,306652,57802,33821,91620,63971,38433,102405,60499,43940,104443,11394,22492,33885,14755,26538,41291,18616,27694,46306,4168,4110,8283,3747,4024,7769,13433,10746,24184,5223,5085,10304,5908,6002,11907,5703,5109,10816,78586,65510,144091,88377,74993,163373,98256,87494,185750,28432,46294,74726,33298,50450,83747,44619,58732,103358,6.6,7.8,7.2,6.7,8,7.3,5.8,5.8,5.8,69.9,55.9,62.7,69,56.8,62.8,64.8,56.4,60.6,65.2,51.6,58.3,64.3,52.2,58.2,61,53.2,57,4333,3636,7971,7234,6782,14018,12738,12728,25463,924,1235,2158,1262,1726,2986,1821,2929,4749,12819,16440,29262,17581,22723,40308,26611,32857,59472,8068,9655,17721,10542,12430,22966,12926,14519,27446,22180,10137,32313,23258,12313,35573,24081,14475,38551,1032,2145,3172,1022,2013,3041,1132,2050,3178,1296,2393,3690,2153,3099,5253,2228,3172,5402,24509,14673,39180,26436,17431,43866,27442,19700,47137,122434,125360,247794,131207,134161,265364,156313,158451,314765,17881,18243,36127,21665,21603,43266,27046,27345,54387,81475,83745,165221,86356,88419,174778,95223,97059,192288,47458,49059,96523,57877,58793,116669,75492,76780,152266
