LGA_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
LGA10050,0,0,0,9,32,0,8,0,0,39,113,4,53,6,7,183,87,0,52,0,7,143,211,7,134,5,15,378,359,31,264,17,33,709,248,38,317,25,38,670,62,23,91,19,14,205,13,5,18,5,0,47,7,0,4,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,5,25,7,29,0,7,70,1164,119,978,77,128,2469
LGA10180,0,0,0,0,9,0,10,0,0,21,30,3,7,0,4,43,76,6,33,0,5,114,128,8,80,6,4,228,155,19,138,10,13,328,165,50,166,17,21,418,29,10,42,3,3,88,4,5,12,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,35,0,20,0,3,57,645,105,506,37,57,1342
LGA10250,0,0,0,0,22,0,0,0,0,25,38,0,6,0,0,46,14,0,10,0,5,21,33,0,9,0,3,48,91,3,42,3,12,149,228,16,152,15,37,447,176,14,212,26,32,464,153,27,171,21,30,405,91,16,117,7,15,249,31,5,26,0,8,61,9,3,14,0,0,24,12,7,11,0,0,20,14,0,15,0,5,37,915,91,789,81,132,2007
LGA10300,0,0,0,0,3,0,0,0,0,5,5,0,3,0,0,11,14,0,7,0,0,20,3,0,11,0,0,14,6,0,4,0,0,8,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,43,3,30,0,0,74
LGA10470,5,0,0,10,17,0,11,0,0,20,47,0,6,0,0,50,41,0,17,0,5,64,78,0,46,3,3,127,230,16,197,11,25,478,271,40,307,17,34,669,85,30,128,19,19,285,11,5,20,0,0,33,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,22,0,0,42,818,90,756,52,79,1793
LGA10500,4,0,0,6,37,0,12,0,3,58,116,6,14,0,5,136,66,5,20,5,10,100,129,6,37,7,9,191,321,5,107,9,18,466,1268,59,847,55,64,2298,2321,70,1078,83,111,3667,1722,89,1123,92,141,3166,908,80,680,75,91,1839,343,49,326,45,56,819,123,23,169,31,36,386,102,36,152,40,25,351,194,9,107,19,26,351,7670,438,4674,462,611,13852
LGA10550,0,0,0,3,18,0,5,0,0,26,17,0,4,0,0,25,32,3,12,0,3,50,61,7,32,5,9,106,107,13,87,4,15,218,189,25,166,14,19,416,67,21,70,14,12,176,18,5,19,4,0,39,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,17,3,19,0,0,34,550,72,421,39,58,1141
LGA10600,0,0,0,0,6,0,0,0,0,6,11,0,6,0,0,12,5,0,3,0,4,17,19,0,10,0,0,30,42,0,21,0,0,64,70,4,63,5,10,150,19,10,38,3,7,70,8,0,13,0,0,20,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,21,179,22,164,9,21,393
LGA10650,0,0,0,7,12,0,4,0,0,16,14,0,13,0,0,33,20,3,15,0,0,43,20,3,13,5,0,38,27,8,22,3,3,63,16,4,9,0,0,32,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,11,123,21,86,3,13,248
LGA10750,0,4,0,38,101,5,33,0,7,149,371,14,88,8,46,532,150,12,70,19,13,261,272,57,162,20,43,555,792,106,700,64,181,1842,2658,475,3487,347,469,7435,1671,487,2702,314,408,5578,970,417,1776,268,340,3767,270,183,591,125,140,1308,47,37,89,18,31,228,15,6,20,3,10,50,12,11,35,0,3,64,219,34,219,38,64,568,7599,1846,9976,1233,1767,22413
LGA10800,4,0,0,4,10,0,4,0,0,16,5,0,8,0,0,12,10,0,7,0,0,14,15,0,14,0,7,40,13,3,14,0,3,37,7,0,10,5,0,17,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,14,68,12,69,5,11,160
