LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA10050,141,81,35,19,274,187,69,31,18,305,354,176,67,27,621,198,115,30,11,351,137,64,30,15,238,48,21,13,0,82,25,19,3,4,60,17,14,10,4,41,74,45,30,5,161,30,12,4,0,48,1511,776,297,126,2705
LGA10180,55,35,18,6,118,93,23,25,18,157,150,59,32,15,255,77,41,16,13,146,66,23,10,4,99,17,10,3,0,28,6,9,0,0,15,9,11,0,0,24,39,23,13,4,77,9,0,3,0,14,661,296,143,80,1178
LGA10250,115,47,13,7,177,174,77,19,7,272,336,128,42,15,516,197,91,17,8,316,118,64,8,8,197,48,12,6,4,69,30,15,9,5,61,35,15,8,0,56,78,55,23,5,161,20,3,0,3,29,1330,576,176,65,2142
LGA10300,0,0,0,0,0,4,0,0,4,12,10,3,0,0,11,5,0,0,0,9,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,7,0,0,0,0,3,34,19,11,6,73
LGA10470,78,48,27,10,169,146,62,30,18,257,260,128,58,18,469,148,81,34,12,276,133,73,16,12,225,54,27,8,0,91,32,26,12,0,63,21,8,0,0,33,66,51,21,8,149,30,14,3,7,46,1115,619,246,99,2077
LGA10500,271,114,30,16,434,407,126,30,17,581,905,295,78,24,1311,656,258,58,14,994,554,244,49,14,860,248,137,16,10,411,185,185,36,10,417,139,154,49,17,356,179,135,55,19,377,57,12,15,8,86,4240,1925,494,164,6829
LGA10550,83,39,12,3,139,112,46,12,4,179,201,80,23,8,314,95,52,7,6,163,62,32,7,5,96,31,14,3,6,43,17,11,5,0,29,14,5,0,4,26,52,44,16,10,121,21,3,0,0,27,857,377,119,66,1419
LGA10600,35,25,13,3,76,50,25,4,5,84,92,47,15,0,150,36,20,8,5,67,30,14,8,0,47,7,0,0,0,13,10,0,0,0,14,4,0,0,0,9,25,28,3,0,61,5,4,0,0,17,378,214,61,18,671
LGA10650,17,10,0,0,30,21,20,0,0,41,43,22,4,0,69,15,4,6,0,30,11,4,0,0,21,5,0,0,0,8,3,0,0,0,3,0,0,0,0,6,13,8,0,0,17,9,6,0,0,12,171,89,24,10,292
LGA10750,625,369,182,124,1295,951,392,191,107,1647,1988,900,341,181,3410,1313,649,234,115,2317,1040,598,185,77,1899,468,307,99,34,915,385,361,128,44,917,193,221,101,40,560,371,313,154,78,923,185,73,34,23,317,9129,5052,2024,1031,17238
LGA10800,8,7,0,0,15,24,6,0,0,34,13,14,4,3,33,5,3,5,6,20,9,8,0,0,13,4,0,0,0,8,5,0,0,0,3,0,3,3,0,8,5,3,3,0,18,5,0,0,0,4,115,56,21,11,200
LGA10850,19,13,4,4,37,24,4,6,5,39,34,20,9,0,66,21,11,4,3,42,10,9,4,0,24,4,3,0,4,12,6,3,0,0,8,5,0,0,0,5,10,6,6,0,27,3,0,0,0,3,166,96,29,12,312
LGA10900,155,65,12,6,242,206,67,24,11,310,451,203,57,20,726,297,133,39,12,481,219,120,51,14,393,114,52,17,3,183,82,47,8,7,147,67,36,7,3,113,106,88,39,14,239,15,10,0,0,30,1992,928,289,82,3285
LGA10950,3,3,0,3,17,4,0,3,0,3,7,6,0,0,12,5,3,0,0,6,0,0,0,0,10,0,0,0,0,3,4,0,0,0,4,4,0,0,0,5,4,0,5,0,7,0,0,0,0,3,43,27,10,10,90
LGA11150,8,4,0,4,16,3,7,0,0,10,11,0,4,0,12,6,4,0,0,7,7,0,0,0,9,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,4,4,0,6,55,36,9,7,106
LGA11200,6,5,0,0,11,4,0,0,0,6,8,9,0,3,16,5,0,0,0,6,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,7,0,0,0,0,0,50,22,10,7,90
LGA11250,49,32,17,0,101,76,29,18,11,132,124,63,20,8,220,73,34,15,4,124,47,22,13,3,89,11,10,0,0,27,24,8,4,0,35,3,5,4,0,7,38,28,6,5,73,17,0,3,5,29,597,296,120,46,1063
LGA11300,58,16,3,0,80,85,22,3,0,109,180,60,15,4,256,111,58,8,3,181,107,42,9,3,172,44,18,3,0,61,37,30,9,0,73,40,35,3,7,89,32,32,8,9,82,10,6,0,0,15,940,389,86,32,1441
LGA11350,86,48,9,3,147,111,46,19,0,167,232,84,14,11,343,109,77,13,4,203,74,48,4,0,123,29,17,0,0,45,10,14,0,0,31,20,16,5,0,41,68,55,21,4,149,16,3,4,0,25,960,477,113,26,1577
LGA11400,24,14,5,3,44,31,12,0,0,40,62,26,13,8,105,34,16,0,0,57,13,10,0,3,27,8,6,4,0,17,9,5,0,0,11,7,0,0,0,7,18,16,11,0,44,8,0,0,0,14,243,123,42,17,433
LGA11450,113,113,49,22,295,177,115,65,24,379,482,278,119,44,920,371,247,86,41,747,290,236,70,22,620,147,99,50,18,315,133,126,41,17,315,59,84,38,11,192,97,88,46,21,241,40,22,4,9,68,2200,1595,648,247,4695
LGA11500,361,259,132,71,823,598,226,110,69,1002,1080,523,217,111,1932,708,334,137,67,1239,530,266,88,32,915,238,132,38,25,438,178,154,61,25,415,80,84,40,17,215,229,138,95,50,512,99,54,23,11,187,5071,2712,1168,573,9528
LGA11520,83,31,10,0,133,157,52,10,0,224,357,119,23,7,506,313,101,20,0,435,284,125,19,0,429,140,55,8,0,208,143,98,22,8,262,187,114,35,0,341,96,79,20,0,195,22,10,5,0,40,2052,877,188,32,3151
LGA11570,758,349,163,87,1361,1059,325,157,106,1648,2111,801,314,149,3367,1304,593,197,114,2206,969,502,182,66,1713,490,288,83,52,915,333,372,122,51,875,176,232,130,62,596,402,278,145,107,933,181,87,36,14,318,9630,4775,1952,997,17356
LGA11600,5,0,3,0,9,15,3,3,0,15,10,8,0,0,22,4,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,11,0,0,0,0,5,55,32,11,0,94
LGA11650,808,520,214,64,1602,1280,486,188,101,2060,2601,1079,353,140,4174,1418,773,220,78,2479,1014,539,179,65,1802,444,261,61,17,784,273,234,80,28,613,189,139,64,19,406,516,404,180,48,1153,181,59,19,6,269,10368,5381,1801,648,18194
LGA11700,3,0,0,0,7,11,4,0,0,16,9,4,4,0,15,4,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,5,0,3,8,0,9,0,0,9,51,27,12,7,97
LGA11720,188,125,68,28,403,291,105,63,34,494,449,231,103,43,826,230,135,47,17,429,161,90,30,11,286,69,39,17,8,132,34,34,14,11,93,18,22,4,8,51,107,70,35,23,234,44,17,3,7,71,1969,1099,485,219,3775
LGA11730,151,83,34,23,289,207,86,31,20,345,368,156,66,30,618,159,76,29,9,272,89,34,13,7,144,35,16,0,3,58,22,19,0,0,41,20,12,5,5,36,98,51,24,13,184,53,18,12,0,79,1499,707,276,127,2604
LGA11750,7,3,0,0,15,12,5,0,0,18,13,0,0,0,21,12,3,0,5,14,9,5,0,0,15,3,0,0,0,0,5,0,0,0,7,0,0,0,0,9,10,3,0,0,12,3,0,0,0,8,92,36,14,7,148
LGA11800,200,124,47,18,388,306,119,39,17,476,584,257,95,48,974,292,165,60,18,538,174,77,36,3,291,51,30,6,4,99,36,38,14,5,94,36,16,9,7,68,129,96,40,25,289,46,21,3,3,72,2261,1145,402,159,3967
LGA12000,3,8,0,0,15,11,4,0,6,24,24,16,0,4,45,12,0,0,4,14,11,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,79,48,10,14,151
LGA12150,9,6,4,0,23,11,12,5,3,30,26,8,6,0,34,13,11,0,3,23,3,3,0,0,12,5,0,0,0,4,4,0,0,0,6,0,0,0,0,4,3,3,0,3,15,11,0,0,0,8,120,53,27,20,222
LGA12160,15,18,13,5,45,38,9,3,5,59,66,15,14,7,95,29,13,4,4,57,6,8,3,0,14,0,3,0,0,9,0,6,0,0,7,5,0,0,0,5,12,13,3,0,32,10,0,3,0,8,241,115,65,25,442
LGA12350,30,22,9,5,69,32,30,6,12,82,73,39,15,6,123,34,18,8,6,63,18,12,0,3,35,0,0,0,6,8,7,3,0,0,8,8,0,0,0,7,22,16,6,5,50,16,3,4,0,17,307,172,65,43,584
LGA12380,375,170,88,42,670,521,168,81,62,832,1068,442,143,98,1752,685,319,114,54,1169,523,254,82,50,901,276,139,48,35,499,181,178,70,39,473,111,106,68,30,316,189,163,64,50,471,97,38,22,8,165,5060,2494,975,571,9106
LGA12390,106,64,38,21,223,159,87,39,11,296,354,151,76,27,611,170,117,42,16,345,109,66,28,5,208,54,21,9,0,89,30,19,10,4,66,23,15,6,0,51,91,51,27,12,175,42,19,7,8,76,1362,747,333,136,2576
LGA12700,13,16,4,0,34,21,9,0,0,31,54,19,9,0,75,28,10,9,0,36,8,17,5,0,30,14,9,0,0,19,7,0,0,0,6,0,6,0,4,6,24,7,4,0,38,3,5,0,0,6,197,104,30,16,349
LGA12730,16,9,0,0,25,21,7,10,3,43,45,18,9,9,78,28,22,3,0,47,12,5,6,0,23,3,0,0,0,3,6,0,0,0,3,0,0,0,0,3,5,4,3,4,19,0,0,0,0,5,167,86,34,16,297
LGA12750,84,41,19,0,142,147,53,17,11,230,261,90,41,18,409,112,66,19,10,204,60,51,15,3,128,27,15,5,5,49,14,13,6,0,28,8,7,0,4,25,73,33,19,15,141,23,12,6,0,44,993,467,176,85,1722
LGA12850,469,266,125,46,901,788,285,129,72,1265,1463,721,249,95,2525,808,489,173,63,1530,528,369,131,58,1090,255,250,93,33,635,170,247,90,51,556,89,136,71,38,339,218,193,87,54,554,123,63,19,17,216,6291,3852,1447,630,12217
LGA12870,28,18,4,4,46,38,14,3,3,57,72,15,19,6,105,34,25,3,4,66,22,16,4,0,44,5,7,0,0,11,3,0,0,0,5,4,0,0,0,4,19,13,4,3,39,0,0,0,0,0,284,124,44,19,476
LGA12900,26,12,13,3,50,28,13,8,7,60,65,19,12,0,97,17,14,5,0,34,21,11,4,3,32,11,0,0,0,7,8,5,0,0,17,5,0,0,0,9,21,13,3,6,39,5,3,0,0,9,238,118,47,27,431
LGA12930,242,107,30,8,388,357,103,33,10,502,763,287,66,26,1141,528,238,63,12,839,461,226,51,11,752,242,116,15,11,380,183,182,41,13,416,130,141,50,5,330,125,106,48,13,300,51,25,4,4,84,3706,1756,460,127,6053
LGA12950,6,8,3,4,19,10,6,3,0,12,34,15,7,0,52,10,7,0,3,22,8,0,0,0,11,3,0,0,0,3,0,0,0,0,4,3,3,0,0,3,11,7,5,0,16,3,3,0,0,8,115,54,25,17,207
LGA13010,16,9,7,0,37,42,13,8,5,65,51,16,4,6,76,24,11,5,0,43,8,5,6,0,18,3,3,0,0,8,0,0,0,0,0,0,3,0,0,5,15,6,6,0,30,9,0,0,0,10,238,98,45,17,403
LGA13310,73,38,16,6,141,95,45,19,11,173,212,77,36,9,337,108,54,25,5,190,84,34,15,6,142,33,19,8,0,58,27,12,6,5,47,11,4,0,0,17,44,22,7,0,81,14,12,3,3,28,818,394,174,66,1447
LGA13340,23,10,11,3,43,29,9,9,3,50,44,26,7,5,87,24,12,6,0,51,22,11,4,0,36,3,0,0,3,10,3,4,0,0,8,4,4,0,0,8,11,9,5,0,27,11,0,0,0,11,218,109,48,23,395
LGA13450,35,31,16,4,84,64,32,17,7,121,118,57,30,15,221,71,42,14,6,127,64,33,10,0,103,19,7,5,0,30,24,19,10,3,52,11,3,0,0,16,34,26,13,6,77,11,13,3,0,23,552,290,130,61,1041
LGA13550,31,17,9,5,64,47,13,9,4,72,59,31,13,7,116,38,15,8,0,62,23,9,4,0,36,10,4,0,5,13,8,7,4,0,18,11,3,4,0,15,15,9,14,0,33,13,5,0,0,26,319,139,79,36,573
LGA13660,15,13,0,5,26,31,3,0,0,31,22,9,0,0,28,6,4,4,0,14,6,8,0,0,12,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,4,4,0,19,4,0,0,0,8,111,58,19,3,200
LGA13800,106,68,30,9,203,158,62,29,15,274,357,151,56,9,581,250,126,44,7,428,182,90,29,7,304,93,52,12,0,164,92,63,11,9,173,38,35,7,6,86,99,77,38,10,223,24,9,0,7,39,1638,852,309,103,2903
LGA13850,8,3,0,0,13,6,7,0,0,15,13,9,0,0,25,7,5,0,0,8,13,4,5,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,8,0,0,0,10,0,3,0,0,3,80,29,12,4,124
LGA13910,36,24,15,10,85,72,31,16,7,123,107,31,17,11,161,48,25,3,0,77,37,16,3,3,58,8,5,0,0,21,9,0,0,0,10,3,0,0,0,5,18,11,4,4,45,19,11,0,0,34,472,202,92,51,821
LGA14000,139,87,25,0,249,238,70,25,10,344,549,227,53,17,846,427,231,57,12,722,398,220,59,4,683,197,104,15,8,319,184,125,35,11,348,158,159,37,8,359,149,115,55,9,331,32,8,0,0,37,2847,1523,389,82,4841
LGA14100,6,6,6,0,10,19,3,0,0,24,32,12,5,0,47,22,11,0,0,42,29,23,4,0,50,18,3,0,0,21,23,7,5,0,35,46,23,5,0,72,7,8,3,4,25,0,0,0,0,0,233,115,30,9,383
LGA14170,196,75,17,3,295,354,70,21,9,452,763,252,33,5,1066,633,241,34,9,910,609,298,43,7,957,229,80,12,0,325,251,168,24,12,450,336,280,51,7,678,193,141,47,23,406,50,9,9,0,61,4185,1791,328,93,6391
LGA14220,33,28,23,7,86,71,42,18,5,146,108,62,16,9,198,50,16,9,3,77,31,11,0,5,49,11,3,0,0,13,6,0,0,0,8,4,9,0,0,8,19,16,7,9,49,12,7,0,3,20,448,267,101,60,880
