LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA15950,36,37,38,2756,2600,3000,1216,1386,1593,481,580,580,2767,3210,3743,1,1,1,2205,2360,2524,2,2,2
LGA15990,39,40,41,2800,2800,3124,779,916,1109,465,575,625,2188,2528,3131,0.9,0.9,0.9,1812,2178,2592,2.6,2.7,2.7
LGA16100,41,45,47,1517,1452,1560,527,611,759,190,230,280,1266,1509,1869,0.8,0.7,0.7,993,1239,1441,2.5,2.4,2.3
LGA16150,36,37,37,1625,1629,1700,582,667,842,230,272,330,1471,1655,2133,0.8,0.8,0.7,1161,1295,1665,2.5,2.5,2.5
LGA16200,39,41,41,1300,1300,1300,456,554,700,153,200,250,1127,1412,1790,0.8,0.8,0.7,881,1088,1336,2.5,2.4,2.4
LGA16260,35,34,35,2167,2167,2383,620,722,908,360,450,450,1652,1933,2298,1,1,1,1455,1759,2051,2.7,2.8,2.6
LGA16350,34,34,35,1993,2000,2167,623,728,866,300,370,400,1582,1858,2188,0.9,0.8,0.8,1398,1658,1903,2.9,2.9,2.8
LGA16380,47,48,49,1647,1671,1733,447,540,647,250,320,375,1008,1300,1576,0.8,0.8,0.7,837,1042,1263,2.3,2.3,2.3
LGA16400,42,45,47,1733,1733,1733,498,571,671,250,310,370,1246,1431,1714,0.8,0.8,0.7,999,1180,1372,2.5,2.5,2.4
LGA16490,37,38,38,2080,2100,2167,838,933,1159,290,310,355,2076,2303,2801,0.8,0.8,0.8,1694,1882,2295,2.6,2.6,2.6
LGA16550,35,34,37,2600,2600,3033,718,834,1121,450,550,550,2066,2421,3009,1,1,1,1578,1916,2305,2.4,2.5,2.4
LGA16610,42,44,46,1300,1300,1341,407,491,609,213,250,295,956,1191,1431,0.8,0.8,0.8,789,953,1137,2.4,2.4,2.4
LGA16700,36,36,37,2310,2200,2600,635,738,967,370,460,460,1841,2106,2519,1,1,1,1466,1786,2098,2.6,2.7,2.5
LGA16900,37,39,39,1900,1846,2114,479,579,729,255,350,420,1345,1562,1977,0.8,0.8,0.8,1127,1343,1647,2.7,2.7,2.6
LGA16950,46,48,48,1500,1517,1733,426,511,634,220,280,350,984,1226,1537,0.7,0.7,0.7,822,992,1250,2.3,2.3,2.3
LGA17000,35,36,37,2000,1950,1917,641,684,819,265,290,338,1930,1981,2315,0.8,0.8,0.8,1695,1682,2016,2.7,2.7,2.7
LGA17040,41,43,43,1343,1300,1500,561,675,835,195,240,300,1279,1569,2092,0.8,0.8,0.8,981,1200,1593,2.4,2.3,2.4
LGA17080,42,45,45,1300,1300,1300,478,577,685,165,190,230,1189,1418,1683,0.8,0.8,0.8,923,1120,1306,2.4,2.3,2.4
LGA17100,33,32,33,2200,2167,2300,558,682,869,400,475,460,1596,1894,2301,1.1,1.1,1.1,1421,1781,2105,2.9,3,2.7
LGA17150,39,40,41,2400,2427,2620,718,837,1018,375,450,500,2014,2312,2758,0.9,0.9,0.9,1674,1979,2288,2.7,2.7,2.7
LGA17200,32,32,34,2518,2499,2700,888,953,1241,470,570,550,2274,2524,3057,1.1,1.2,1.1,1639,1926,2212,1.9,2,1.9
LGA17310,39,40,39,1428,1500,1517,516,633,755,210,270,300,1181,1446,1821,0.8,0.8,0.7,958,1180,1416,2.5,2.5,2.4
LGA17350,44,46,47,1083,1148,1100,418,546,656,145,180,230,978,1329,1623,0.8,0.8,0.7,782,1033,1203,2.4,2.4,2.3
LGA17400,48,53,55,1083,1079,1083,377,454,490,160,190,240,865,1015,1206,0.8,0.7,0.7,690,767,885,2.3,2.1,2.1
LGA17420,37,38,38,2600,2500,3000,737,827,1033,462,570,580,2257,2464,2990,0.8,0.8,0.8,2124,2363,2831,3.1,3.2,3.1
LGA17550,45,47,47,1733,1733,1872,442,539,658,300,340,400,1045,1332,1663,0.8,0.8,0.8,845,1064,1296,2.4,2.4,2.4
LGA17620,39,41,42,1600,1688,1560,552,630,751,195,240,270,1391,1589,1914,0.8,0.8,0.7,1071,1242,1429,2.4,2.4,2.4
LGA17640,46,48,49,1417,1400,1540,492,609,753,175,220,277,1197,1498,1906,0.7,0.7,0.7,946,1161,1465,2.4,2.4,2.4
LGA17650,42,46,47,1278,1346,1333,480,552,677,170,210,250,1138,1342,1708,0.8,0.8,0.7,934,1058,1346,2.5,2.4,2.4
LGA17750,34,35,35,1525,1517,1517,586,696,839,230,270,300,1419,1682,2060,0.8,0.8,0.7,1149,1354,1638,2.5,2.5,2.5
LGA17850,45,48,50,1040,1083,1056,457,577,690,135,175,200,1081,1329,1583,0.7,0.7,0.7,835,1054,1224,2.3,2.3,2.2
LGA17900,41,43,44,850,750,858,386,464,556,120,150,180,955,1039,1362,0.9,0.9,0.8,703,806,1001,2.3,2.3,2.2
LGA17950,42,43,45,867,899,1045,496,649,744,125,150,200,1117,1468,1743,0.7,0.7,0.7,890,1104,1321,2.4,2.4,2.4
LGA18020,45,49,50,901,923,922,379,479,559,130,173,200,867,1103,1387,0.8,0.7,0.7,692,878,1068,2.4,2.3,2.3
LGA18050,35,35,35,3000,3000,3500,973,1151,1442,500,630,670,2494,2917,3709,1,1,1,1912,2308,2854,2.3,2.4,2.3
LGA18100,47,51,52,900,910,953,384,492,575,120,150,198,879,1193,1398,0.7,0.7,0.7,720,904,1046,2.3,2.2,2.2
LGA18200,41,44,43,1192,1200,1300,474,555,717,150,175,200,1087,1308,1765,0.8,0.8,0.8,887,1052,1392,2.5,2.4,2.5
LGA18250,37,37,39,2900,2877,3299,858,946,1145,500,590,571,2478,2671,3235,1,1,1,1997,2271,2556,2.6,2.7,2.6
LGA18350,45,47,48,1842,1842,2167,548,645,794,270,350,430,1347,1639,2096,0.7,0.7,0.7,1094,1335,1673,2.5,2.4,2.4
LGA18400,36,37,37,2141,2167,2363,617,738,877,280,375,415,1661,2032,2350,0.8,0.8,0.8,1478,1871,2151,3,3,3
LGA18450,38,39,39,1950,1950,2167,489,584,754,250,330,390,1426,1710,2151,0.9,0.8,0.8,1101,1339,1682,2.5,2.6,2.5
LGA18500,38,39,41,3200,3200,3900,1146,1365,1619,550,669,695,2833,3626,4561,0.9,0.9,0.9,2395,2687,3192,2.3,2.3,2.3
LGA18710,40,42,43,2000,2000,2167,755,869,1050,250,300,350,1916,2214,2701,0.8,0.8,0.8,1621,1879,2289,2.7,2.7,2.7
LGA19399,43,41,45,816,1083,1300,562,717,900,100,150,263,1136,1427,1927,0.8,0.8,0.8,946,1270,1638,2.4,2.5,2.5
LGA19499,37,39,39,0,0,0,349,405,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,64,58,56,0,0,0,490,540,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
