LGA_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
LGA10050,1060,27,19,54,83,111,196,58,258,321,49,34,79,791,912,1705,430,343,770,11,17,27,49,71,120,68,307,372,31,28,54,583,760,1342,327,202,525,8,8,20,38,32,64,97,391,490,17,22,36,488,649,1138,183,101,283,7,6,8,8,24,38,114,586,699,11,28,38,318,745,1069,8852,8900,17747,536,733,1268,1487,2052,3542,485,2050,2533,6964,6454,13419,18326,20187,38512,8,7,16,0,0,0,0,0,0,0,0,0,1603,1627,3231,1613,1637,3249,49,118,166,6,7,12,0,0,0,0,4,4,1643,1679,3323,1696,1811,3507,349,530,880,21,46,69,10,13,22,3,0,6,1183,1065,2254,1567,1652,3227,790,884,1673,43,60,100,36,64,99,4,3,7,751,640,1397,1628,1644,3272,815,898,1712,56,93,153,80,110,187,5,9,15,516,488,1004,1477,1596,3072,897,958,1855,71,107,182,112,181,289,5,16,21,411,377,791,1495,1637,3136,907,920,1820,100
LGA10180,646,15,10,25,42,67,109,27,145,170,25,25,51,458,541,1000,244,173,420,8,8,20,15,35,50,26,190,220,14,13,26,315,413,728,149,97,245,11,4,15,17,16,35,47,222,268,12,14,26,231,354,587,103,54,158,3,0,5,5,16,21,67,280,350,7,10,18,187,361,555,4817,4818,9637,309,380,684,680,1008,1682,271,1108,1383,4411,4339,8746,10479,11651,22131,5,0,5,0,0,0,0,0,0,0,0,0,1203,1263,2473,1207,1265,2477,40,69,109,0,4,6,5,0,5,0,0,5,1308,1325,2637,1353,1406,2754,212,314,523,12,17,32,9,11,18,0,0,0,628,571,1199,866,917,1783,388,422,813,16,33,49,14,35,43,0,0,0,375,330,704,789,817,1609,374,412,787,27,36,63,33,27,55,3,4,3,247,257,500,682,732,1412,424,482,908,36,59,95,50,95,144,0,10,9,224,206,433,740,843,1583,473,495,966,35
LGA10250,1215,22,15,40,99,134,229,59,231,290,36,30,68,855,981,1838,497,403,894,14,12,25,63,86,151,73,323,396,31,17,45,679,835,1513,400,297,698,7,13,18,38,56,96,122,434,557,18,24,44,590,826,1420,294,163,455,12,3,12,23,36,60,176,649,828,16,28,51,521,878,1397,7969,8091,16057,460,581,1042,1442,2059,3507,558,2062,2621,4781,4228,9013,15211,17025,32238,0,4,5,0,0,0,0,0,0,0,0,0,1246,1133,2382,1246,1133,2382,18,41,58,0,11,11,0,0,0,0,4,4,767,732,1500,784,788,1569,158,235,399,10,8,18,7,12,17,0,0,4,632,550,1178,806,806,1614,377,493,867,19,28,43,21,45,66,4,6,3,504,485,989,921,1040,1967,520,570,1090,24,49,73,43,70,117,0,0,3,428,379,808,1022,1075,2092,647,754,1396,58,83,142,85,162,254,6,7,13,398,376,770,1191,1387,2574,742,830,1577,61
LGA10300,61,4,0,0,5,4,11,5,11,13,6,0,6,50,47,97,25,15,38,0,0,3,3,0,5,6,17,22,6,0,6,37,35,73,15,13,27,0,0,4,0,0,0,3,14,21,0,5,8,23,31,55,7,0,6,0,0,0,0,0,0,8,20,31,0,0,0,10,23,39,468,471,941,37,32,67,73,62,135,26,94,123,313,237,552,922,899,1818,0,0,0,0,0,0,0,0,0,0,0,0,76,57,131,74,57,131,0,3,5,0,0,0,0,0,0,0,0,0,76,49,122,77,55,132,15,25,41,0,0,0,0,0,0,0,0,0,40,36,77,55,68,124,24,36,63,0,0,0,0,0,0,0,0,0,16,28,45,45,67,109,34,28,65,0,3,5,6,8,11,0,0,0,29,25,51,72,62,131,36,52,86,5,0,7,7,5,11,0,0,0,22,13,40,74,71,142,39,39,81,0
LGA10470,770,16,22,28,72,68,134,49,151,202,39,34,69,602,604,1210,310,271,583,14,6,15,24,45,70,53,218,269,27,25,55,423,563,988,221,130,355,9,7,13,26,26,51,63,267,331,14,23,36,330,453,786,100,48,150,0,3,6,10,17,28,66,340,406,16,44,61,188,460,647,7130,6921,14057,450,572,1022,1116,1431,2548,346,1346,1686,6149,5065,11209,15186,15337,30526,4,0,5,0,0,0,0,3,3,0,0,0,1515,1456,2971,1518,1456,2977,57,78,135,4,7,13,3,3,7,0,4,4,1540,1447,2984,1606,1543,3149,302,385,684,20,27,45,9,14,25,0,0,3,1121,810,1930,1460,1234,2690,591,631,1217,30,40,67,22,36,56,0,4,4,669,460,1131,1312,1167,2481,623,669,1296,53,69,123,47,96,146,3,8,13,436,297,733,1161,1144,2309,736,749,1489,61,79,141,112,183,293,0,5,7,372,272,642,1286,1289,2573,800,816,1611,65
LGA10500,2849,95,66,164,246,258,506,136,690,827,185,137,325,2204,2460,4671,1313,952,2269,49,50,98,127,165,292,181,804,981,131,102,236,1809,2078,3884,966,523,1491,32,16,48,72,113,187,264,981,1243,83,117,194,1418,1746,3160,562,300,858,8,9,20,43,82,124,363,1610,1974,64,109,173,1038,2114,3154,28202,28051,56249,1536,1989,3527,3650,5197,8843,1284,5479,6760,20543,16695,37240,55211,57411,112626,15,40,55,0,0,10,6,0,6,0,0,7,4155,3899,8052,4176,3937,8117,341,840,1183,4,27,37,3,22,21,6,4,16,5595,5030,10629,5960,5927,11885,2162,3217,5377,57,81,136,63,113,175,11,13,20,5490,4332,9818,7785,7748,15534,4272,4449,8723,138,166,299,163,280,442,6,11,20,3118,2540,5660,7698,7442,15137,4017,3784,7796,141,235,376,235,398,637,9,20,30,1794,1479,3273,6195,5912,12110,3372,3442,6811,186,244,430,347,590,938,16,42,60,1386,1172,2555,5306,5487,10792,2946,3020,5966,224
LGA10550,1193,33,18,52,103,76,180,52,197,248,52,13,60,909,824,1737,443,315,752,11,14,27,61,48,110,69,244,309,31,15,47,619,634,1251,264,179,441,4,6,11,24,23,49,81,273,351,23,7,31,400,491,891,170,75,244,4,5,7,18,18,39,107,387,495,7,9,14,309,498,800,6759,6765,13525,419,485,902,1314,1454,2764,464,1501,1958,3880,3325,7210,12838,13527,26356,0,0,0,0,0,0,0,0,0,0,0,0,912,877,1792,912,879,1796,16,39,56,0,5,5,0,0,0,0,0,0,596,527,1127,623,571,1191,84,155,243,7,17,21,7,8,20,3,0,3,461,384,843,562,571,1129,250,335,586,11,32,49,23,24,52,0,0,0,344,326,671,632,725,1350,325,393,713,22,36,53,35,47,83,0,12,12,278,270,552,659,756,1411,413,471,884,58,56,112,52,104,160,0,3,8,279,263,545,798,904,1705,506,620,1126,60
LGA10600,357,7,11,17,38,53,90,22,77,100,13,9,17,271,319,588,160,121,279,5,0,8,34,26,57,21,89,112,12,4,16,230,239,470,93,55,149,0,8,7,13,5,19,26,101,132,6,0,12,145,176,316,68,41,110,0,0,0,10,9,17,38,136,182,6,8,13,128,192,323,2320,2329,4643,186,200,391,584,746,1328,160,536,697,1567,1454,3018,4808,5262,10071,0,0,4,0,0,0,0,0,0,0,0,0,384,328,718,391,335,721,4,16,18,0,0,0,0,0,3,0,0,0,194,175,370,203,190,394,49,74,131,4,5,8,0,6,3,0,0,0,166,145,312,217,231,450,90,112,201,5,10,19,4,5,9,0,0,0,143,126,269,246,254,500,105,134,242,4,20,19,18,21,37,0,0,0,133,131,262,262,301,567,166,196,362,22,22,40,36,46,76,0,6,6,141,129,269,366,394,755,201,241,449,13
LGA10650,351,9,3,10,31,15,46,19,63,76,18,4,20,246,261,512,136,90,225,3,0,7,18,8,30,26,69,95,11,7,16,197,174,372,89,63,150,5,0,5,6,0,6,31,80,108,5,4,11,138,143,280,56,29,81,0,0,0,4,5,7,33,121,154,3,4,14,96,155,252,1782,1817,3599,119,135,255,330,307,635,135,441,577,929,673,1605,3299,3367,6668,0,0,0,0,0,0,4,0,4,0,0,0,216,200,420,226,200,425,4,5,13,0,0,0,0,0,0,0,0,0,180,144,318,182,156,337,42,61,101,0,5,7,0,0,3,0,0,0,137,126,259,182,192,375,96,108,203,0,7,10,4,7,11,0,0,0,89,61,149,193,184,376,99,140,238,9,7,18,9,20,28,0,0,0,48,50,98,165,214,388,144,128,277,18,14,31,19,22,39,0,0,0,54,62,115,238,223,464,132,140,273,9
LGA10750,4037,141,107,241,298,408,707,261,1139,1399,117,76,196,3153,3430,6582,1485,954,2432,82,61,140,142,244,391,321,1394,1716,90,60,148,2120,2710,4826,891,528,1416,45,29,74,78,146,223,363,1242,1603,54,56,110,1430,2001,3428,433,215,643,18,15,32,33,59,97,314,1569,1885,50,64,113,849,1922,2770,59416,59262,118678,3262,4561,7823,6407,9497,15901,2042,8486,10527,41374,35323,76699,112507,117126,229639,37,66,95,3,9,12,7,0,9,5,0,11,12012,11147,23157,12065,11230,23289,490,1125,1610,25,68,95,14,28,46,8,8,15,11237,9828,21070,11774,11056,22827,3451,5569,9018,139,236,376,102,162,266,12,12,25,8076,6424,14499,11777,12407,24183,8224,9927,18154,313,467,775,301,401,702,15,39,56,4645,3728,8377,13505,14561,28065,9859,9810,19670,385,596,983,473,683,1153,14,55,76,2908,2359,5266,13643,13504,27149,8749,8233,16980,451,641,1095,674,1076,1749,18,113,131,2278,2020,4301,12166,12089,24253,7383,7200,14584,525
