LGA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA10050,1454,2644,80,119,200,1549,1988,3539,207,490,694,254,339,598,42,52,92,503,881,1385,1811,2101,3916,23607,25321,48933,1669,1583,3249,27087,29005,56093
LGA10180,769,1420,85,113,192,865,1064,1918,77,173,251,149,183,328,41,94,132,267,450,713,707,823,1528,11927,12770,24693,1373,1530,2905,14007,15123,29124
LGA10250,1649,3134,88,119,209,1828,2139,3968,258,550,806,365,470,834,66,129,195,689,1149,1834,1421,1698,3117,19581,20992,40570,1269,1331,2603,22271,24021,46296
LGA10300,32,70,9,13,16,54,61,117,9,12,31,8,12,19,3,3,7,20,27,47,61,62,124,895,870,1761,162,162,326,1118,1094,2208
LGA10470,976,1906,72,60,131,1215,1310,2528,170,388,556,175,248,422,25,51,73,370,687,1052,1376,1431,2807,18398,19163,37565,2084,1109,3192,21858,21703,43567
LGA10500,3004,5770,324,349,672,3965,4749,8707,730,1246,1984,576,640,1224,246,352,601,1552,2238,3802,3888,4961,8844,77890,77679,155568,5554,5219,10774,87332,87859,175184
LGA10550,1244,2457,109,89,197,1531,1566,3104,148,277,424,256,243,494,72,96,170,476,616,1089,1106,1171,2273,15225,15946,31170,1293,1200,2490,17624,18317,35942
LGA10600,403,806,37,40,76,505,548,1054,51,122,173,89,95,186,14,25,38,154,242,395,359,469,830,5553,5851,11401,511,509,1025,6423,6829,13253
LGA10650,326,657,40,49,89,443,460,899,52,94,147,84,70,150,20,13,36,156,177,334,327,322,644,3526,3664,7190,408,414,829,4261,4400,8665
LGA10750,3936,7821,360,404,766,5785,6646,12432,827,1740,2559,580,688,1271,148,320,467,1555,2748,4304,9867,11163,21032,175081,176191,351271,12928,11551,24477,197876,198905,396776
LGA10800,159,312,22,24,45,195,211,411,23,48,70,32,49,85,9,15,21,64,112,176,132,158,292,2392,2352,4747,268,241,513,2792,2751,5547
LGA10850,166,343,23,25,52,233,243,477,19,46,64,50,37,86,3,10,5,72,93,165,195,224,421,3266,3324,6586,258,229,492,3719,3777,7497
LGA10900,2267,4166,113,134,246,2361,2901,5258,239,539,788,378,464,837,36,103,140,653,1106,1763,2126,2445,4568,34353,36424,70777,1390,1390,2777,37869,40259,78121
LGA10950,89,164,12,10,18,94,112,208,9,11,18,19,23,45,0,7,7,28,41,71,50,57,111,1074,1079,2155,113,87,200,1237,1223,2467
LGA11150,34,72,14,9,22,59,56,106,5,16,21,10,8,16,0,0,0,15,24,34,50,56,102,888,891,1781,224,225,450,1162,1172,2340
LGA11200,12,33,0,4,8,22,24,51,0,10,9,0,0,4,0,4,3,0,14,17,18,37,52,554,531,1084,108,111,220,680,679,1356
LGA11250,491,884,45,78,122,542,730,1272,81,163,247,93,140,238,27,80,108,201,383,590,727,739,1462,7048,7495,14550,792,787,1579,8567,9021,17588
LGA11300,640,1187,75,116,193,852,1109,1960,221,369,592,153,188,346,85,160,237,459,717,1177,886,1161,2045,17602,18177,35775,1173,1230,2394,19661,20568,40217
LGA11350,636,1263,72,64,128,803,827,1634,80,199,280,112,137,247,18,41,60,210,377,584,709,779,1490,14771,16124,30894,1836,1896,3732,17316,18799,36116
LGA11400,365,738,44,41,85,481,490,960,47,97,139,67,89,160,12,23,33,126,209,331,306,374,681,6021,6034,12053,523,502,1026,6850,6910,13766
LGA11450,1229,2374,77,80,151,1602,1834,3432,204,521,721,195,223,420,27,53,80,426,797,1220,2641,2886,5530,53793,55684,109472,2154,2165,4318,58588,60735,119325
LGA11500,2132,4267,270,345,617,3137,3549,6689,301,647,945,283,389,670,96,243,336,680,1279,1953,5405,5780,11184,75852,78409,154261,5386,5680,11071,86643,89869,176519
LGA11520,1794,3462,111,143,253,2147,2598,4743,411,709,1121,345,424,769,78,241,324,834,1374,2219,1588,2277,3863,39417,41921,81338,1953,2017,3976,42958,46215,89177
LGA11570,5145,10454,688,731,1418,8255,9252,17504,1683,2756,4444,1288,1301,2592,465,875,1339,3436,4932,8374,11547,13523,25076,160228,158232,318465,14226,13239,27463,186001,184994,371006
LGA11600,45,95,10,5,18,63,61,126,3,24,31,12,12,25,0,0,5,15,36,56,50,66,115,1286,1129,2415,193,147,340,1529,1342,2866
LGA11650,10041,19111,748,1039,1791,11849,13852,25702,1488,2994,4483,1924,2611,4531,518,1012,1532,3930,6617,10545,11653,12703,24360,147199,156226,303427,9120,9691,18807,167972,178620,346596
